sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
sädant sätt stulle stogsafkaftningen bliswa jemn och uthållig samt för all tid blifwa till gagn för hemman fortgäende odling och förkoftan $	14	0	gagn	sädant sätt stulle stogsafkaftningen bliswa jemn och uthållig samt för alla tider blifwa till gagn för hemmanets fortgäende odling och förkoftan . 	bib19277301_18960730_145146_61_0002_alto.xml-70-14
den anföra $ och då derjemte äfven för den gröfre virke öka e afsättningstillfällen i viss mån måste genom denna jernvägsanläggniug uppstå $ anse styrelse den samma skola medföra väsentlig gagn för krona såsom skog egare $	30	0	gagn	det anförda , och då derjemte äfven för det gröfre virket öka e afsättningstillfällen i viss mån måste genom denna jernvägsanläggniug uppstå , anser styrelsen den samma skola medföra väsentligt gagn för kronan såsom skogs egare . 	bib19227462_18950913_147640_213_0002_alto.xml-106-30
i denna afseende finna ej anledning till twifwel derom $ att $ ifall den af direktör hummel söka koncession affläs $ målerås $ mönsteräsbygden komma att fortfarande säsom hittills sakna den jernwägssörbindelse $ simma mäste anse och allmän erkänna wara för ort af synnerlig gagn $	44	0	gagn	I detta afseende finnes ej anledning till twifwel derom , att , ifall den af direktören Hummel sökta koncessionen affläs , Målerås — Mönsteräsbygden kommer att fortfarande säsom hittills sakna den jernwägssörbindelse , sam mäste anser och allmänt erkänneS wara för orten af synnerligt gagn . 	bib15760690_18950408_145050_55_0003_alto.xml-21-44
om säledes swinuvpfödningen inom tvär län bringa pä sig rätt plats $ nämligen tillwarataaes säsom en binäring till jordbruk $ samt ställa i sig rätt förhällande till denna och en oswall antyda göra erfarenhet $ vara jag förwissad om att denna binäring stall lända ben jordbrukande befolkning i wärl län till gagn och att wi med begagna af mera ihärdighet wid möta tillfällig swärigheter slutligen stola komma derhän $ att wi inom denna omräde ej behöfwa stä efter mänga af en sydlig belägen län i wart land $	51	0	gagn	Om säledes swinuvpfödningen inom tvärt län bringas pä sin rätta plats , nämligen tillwarataaes säsom en binäring till jordbruket , samt ställes i sitt rätta förhällande till detta och de oswall antydda gjorda erfarenheterna , är jag förwissad om att denna binäring stall lända ben jordbrukande befolkningen i wärl län till gagn och att wi med begagnande af mera ihärdighet wid mötande tillfälliga swärigheter slutligen stola komma derhän , att wi inom detta omräde ej behöfwa stä efter mänga af de sydligare belägna länen i wart land . 	bib15650835_18950226_146472_17_0002_alto.xml-93-51
låta borttransportera jord för att använda den till enskildt eller jernväg gagn $	11	0	gagn	låtit borttransportera jord för att använda den till enskildt eller jernvägens gagn ? 	bib15975090_18960109_148377_4_0002_alto.xml-75-11
räkna för närvarande 40 medlem och ha visa sig vara till stor gagn för delegarne $	12	0	gagn	räknar för närvarande 40 medlemmar och har visat sig vara till stort gagn för delegarne . 	bib15975090_18960620_148377_76_0002_alto.xml-83-12
ibland fpftct $ ty hvarje berättelse om tapper och själfuppoffrande handling $ hvilka dsa ehekildö utföra tilt sig fädernesland gagn och ära $ skola icke förfela att hos läsare mgjute eli anda af sund oeh kraft $ gara fosterlandskärlek $	19	0	gagn	ibland fpftct , ty hvarje berättelse om tappra och själfuppoffrande handlingar , hvilka dsa ehekildö utfört tilt sitt fäderneslands gagn och ära , skall icke förfela att hos läsaren mgjute eli anda af sundare oeh kraft ' gare fosterlandskärlek . 	bib19227462_18951104_147640_257_0004_alto.xml-106-19
förslag $ att olik slag donationsjord finna $ all donationsjord vara af lika ursprung $ men ändamål med donationsjord vara af två slag $ nämligen jord inom stad till bebyggande och jord utom densamma till stad gagn och förkofran i öfrig $	36	0	gagn	förslag , att olika slags donationsjord funnes — all donationsjord vore af lika ursprung — men ändamålet med donationsjorden vore af två slag , nämligen jorden inom staden till bebyggande och jorden utom densamma till stadens gagn och förkofran i öfrigt . 	bib15760600_18951029_146401_128_0003_alto.xml-125-36
att den ny regering häfda sill rätt att bryta med den ämbetsmannamässig befordringsslentrianeu $ den $ som endast räkna en år $ vederbörande $ sitta $ i verk $ när den gälla att till gagn för stat och sak sätta rätt man på rätt plats $	34	0	gagn	att den nya regeringen häfdat sill rätt att bryta med den ämbetsmannamässiga befordringsslentrianeu — den , som endast räknar de år , vederbörande » suttit » i verket — när det gäller att till gagn för staten och saken sätta rätt man på rätt plats . 	bib11653811_19021119_145317_178_0001_alto.xml-54-34
mycket lämplig att motta den viktig uppdrag till gagn för all berättiga samhällsintresse $	8	0	gagn	mycket lämplig att mottaga det viktiga uppdraget till gagn för alla berättigade samhällsintressen . 	bib15873936_18960711_147385_79_0003_alto.xml-118-8
premieringarne kunna komma mycket god ästad $ den vara wär innerlig öfwertygelse $ men skola län hafwa den gagn af de $ som man till följd af ve ganska stor kostnad de förorsaka säwäl landsting som hushällningssällskap och stat $ ha rätt att fordra $ vara den först och främst nödwändigt att denna premiering handhafwas sä $ att de af allmoge omfatta med förtroende $	18	0	gagn	Premieringarne kunna komma mycket godt ästad , det är wär innerliga öfwertygelse , men skall länet hafwa det gagn af dem , som man till följd af ve ganska stora kostnader de förorsaka säwäl landsting som huShällningssällskap och stat , har rätt att fordra , är det först och främst nödwändigt att dessa premieringar handhafwas sä , att de af allmogen omfattas med förtroende . 	bib19277301_18960427_145146_34_0002_alto.xml-59-18
hel viss skola skola ha ännu mera gagn af han embetsverksambet $ om förhållande mellan han och han medlärare vara bra $	7	0	gagn	Helt visst skulle skolan haft ännu mera gagn af hans embetsverksambet , om förhållandet mellan honom och hans medlärare varit bättre . 	bib15975090_18960305_148377_29_0003_alto.xml-37-7
litterär arbete så der ian vara allom till gagn $	8	0	gagn	litterärt arbete så der ian vara allom till gagn . 	bib11653811_19010824_145317_130_0003_alto.xml-90-8
arbete $ sorn tillkomma på uppmaning af intressera $ skola säkerligen $ redig upp ställa sorn de äro $ blifva till gagn för man af fack $	21	0	gagn	Arbetena , sorn tillkommit på uppmaning af intresserade , skola säkerligen — redigt upp ställda sorn de äro — blifva till gagn för män af facket . 	bib19277277_18950110_147683_9_0003_alto.xml-93-21
utan att ue till $ huru man kunna föra sig fordran igenom $ inbringa hvarken gagn eller heder $	15	0	gagn	utan att ue till , huru man kan föra sin fordran igenom , inbringar hvarken gagn eller heder . 	bib19225758_18951012_144022_238_0003_alto.xml-36-15
komma till allt klar insikt om landshöfdingehusens stor gagn för en föga bemedla $	8	0	gagn	kommit till allt klarare insikt om landshöfdingehusens stora gagn för de mindre bemedlade . 	bib19225758_18950215_144022_39_0002_alto.xml-263-8
för målskjutning konst men örn man därmed förspilla söndag $ så göra man fosterland ojämförlig stor skada än gagn $	18	0	gagn	för målskjutningens konst Men örn man därmed förspiller söndagarne , så gör man fosterlandet ojämförligt större skada än gagn . 	bib11653790_19000731_145648_60_0004_alto.xml-22-18
