sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
huru mycken boijer och alfred söka undertrycka den till sä hög grad uppdrifna själsrörelse $ vara den likväl omöjlig att icke ännu spår skola syna deraf $ och ameliea misstänksamhet $ en gång väcka $ få lätt i hvarje den liten omständighet ny anledning $	6	0	undertrycka	Huru mycket Boijer och Alfred sökte undertrycka den till sä hög grad uppdrifna själsrörelsen , var det likväl omöjligt att icke ännu spår skulle synas deraf ; och Ameliea misstänksamhet — en gång väckt — fick lätt i hvarje den minsta omständighet nya anledningar . 	bib11653838_19010809_147024_32_0004_alto.xml-167-6
utan tvifvel anta hon $ att han vara förälskad i hon $ hon beteende vara utan tvifvel öfverlagdt och beräknadt på att undertrycka han förhoppning $	22	0	undertrycka	Utan tvifvel antog hon , att han var förälskad i henne , hennes beteende var utan tvifvel öfverlagdt och beräknadt på att undertrycka hans förhoppningar . 	bib15761097_18950806_145020_92_0003_alto.xml-27-22
sedan en engelsk krigstidningarna länge afvisa all anklagelse mot sjukvård i fält i sydafrika såsom $ illvillig utländsk lögn $ $ komma $ som bekant $ sjelfva times $ anse korrespondent $ med en mycket ond skildring $ än någon icke engelsk tidning prestera $ och icke blott tvinga times $ som först vela undertrycka han rapport $ att offentlliggöra den $ utan fram dref också en så kraftig opinion i underhus $ att regering mycket mot sig vilja nödga anordna en undersökning $	54	0	undertrycka	Sedan de engelska krigstidningarna länge afvisat alla anklagelser mot sjukvården i fält i Sydafrika såsom » illvilliga utländska lögner » , kom , som bekant , sjelfva Times ’ ansedde korrespondent Burdett-Coutts med en mycket värre skildring , än någon icke engelsk tidning presterat , och icke blott tvingade Times — som först velat undertrycka hans rapport — att offentlliggöra den , utan fram dref också en så kraftig opinion i underhuset , att regeringen mycket mot sin vilja nödgats anordna en undersökning . 	bib11653811_19000820_145317_128_0003_alto.xml-0-54
jag kunna i denna sammanhang ej undertrycka en beklagande $ att vid spphandling af kalksten för den ny operabyggnad räkning $ således en nationel företag $ dansk blifvit gynna på en svensk prodneenterues bekostnad $	6	0	undertrycka	Jag kan i detta sammanhang ej undertrycka ett beklagande , att vid spphandling af kalksten för den nya operabyggnadens räkning , således ett nationelt företag , danskarna blifvit gynnade på de svenske prodneenterues bekostnad . 	bib19227462_18951005_147640_232_0009_alto.xml-90-6
hvars hel kropp skälfde af undertrycka snyftning $ hålla med en uttryck af förfäran sig mörk öga fästad på han $	5	0	undertrycka	hvars hela kropp skälfde af undertryckta snyftningar , höll med ett uttryck af förfäran sina mörka ögon fästade på honom . 	bib11653811_18960314_145317_41_0003_alto.xml-77-5
amiral ha sändt fem krigsfartyg till kandia för att undertrycka den muhammedansk rörelse $	9	0	undertrycka	Amiralerna ha sändt fem krigsfartyg till Kandia för att undertrycka den muhammedanska rörelsen . 	bib11653811_18970717_145317_108_0003_alto.xml-23-9
göra intet försök att afskaka polisman hand $ nion säga långsam med samma egendomlig undertrycka röst under den han förstulen blicka $ från den ena ansigte till den andra $ $ år denna engelsk rättvisa $	14	0	undertrycka	gjorde intet försök att afskaka polismannens hand , nion sade långsamt med samma egendomliga undertryckta röst under det han förstulet blicka !de från det ena ansigtet till det andra : - År detta engelsk rättvisa ? 	bib11653830_18961109_146968_90_0003_alto.xml-172-14
sultan ha utfärda en sträng order örn energisk undertrycka af all orolighet $ från hvilket håll de än anstifta $ och 128 milisbataljoner ha kommendera att kväsa uppror i anatolien $	8	0	undertrycka	Sultanen har utfärdat de strängaste order örn energiskt undertryckande af alla oroligheter , från hvilket håll de än anstiftas ; och 128 milisbataljoner ha kommenderats att kväsa upproret i Anatolien . 	bib19225758_18951116_144022_268_0002_alto.xml-65-8
hålla till feriekurs och örn dispens $ i rncdgaf nied hr hernlund $ att rektor som han finna betänklig $ men i viss fall dock ha rätt att undertrycka ofullständig	28	0	undertrycka	hållande till feriekurserna och örn dispensen , i rncdgaf nied hr Hernlund , att rektorerna som han fann betänklig , men i vissa fall dock hade rätt att undertrycka ofullständiga 	bib19227462_18950815_147640_188_0003_alto.xml-241-28
marskalk canrobert $ som vara föda 1809 $ vara i egenskap af brigadgeneral och napoleon adjutant en kraftig verktyg till undertrycka af resning vid statskupp 1851 samt ha 1854 $ 55 under krimkrig öfverbefäl efter $ arnauds död $	20	0	undertrycka	Marskalk Canrobert , som var född 1809 , var i egenskap af brigadgeneral och Napoleons adjutant ett kraftigt verktyg till undertryckande af resningen vid statskuppen 1851 samt hade 1854 — 55 under Krimkriget öfverbefälet efter S:t Arnauds död . 	bib15975087_18950130_145596_17_0003_alto.xml-68-20
balfour svara å regering vägnar $ att ingen underrättelse angående krig blifvit undertrycka $	12	0	undertrycka	Balfour svarade å regeringens vägnar , att inga underrättelser angående kriget blifvit undertryckta . 	bib11653811_19020120_145317_10_0003_alto.xml-33-12
tagande plats midt emot sig man $ säga hon nied en half undertrycka suck $ $ jag komma ensam $	12	0	undertrycka	Tagande plats midt emot sin man , sade hon nied en halft undertryckt suck : “ Jag kommer ensam . 	bib15869824_18961202_145700_96_0002_alto.xml-2-12
att så ej inträffa efter första fall och ej heller efter den andra $ den tredje $ $ $ $ och då han vid ovilkorligen måste hafva inse $ att hanna vid kullstörtandet på hufvud å en af sten fullsatt väg med nödvändighet skola komma att skada sig svår $ särskildt som han iaktta $ att vid hvarje fall hufvud $ med våldsam kraft $ först träffa mark $ så ha den vara att förvänta $ att han $ följa hon i hack och häl $ äfven skola hafva kunna upphinna hon och ta hand örn hon $ särskildt vid någon af fall $ och man kunna ej undertrycka en viss tvekan beträffande riktighet af den tilltala framställning härutinnan $	108	0	undertrycka	att så ej inträffade efter första fallet och ej heller efter det andra , det tredje o. s. v. , och då han vidare ovilkorligen måste hafva insett , att Hanna vid kullstörtandet på hufvudet å en af stenar fullsatt väg med nödvändighet skulle komma att skada sig svårt , särskildt som han iakttog , att vid hvarje fall hufvudet » med våldsam kraft » först träffade marken , så hade det varit att förvänta , att han , följande henne i hack och häl , äfven skulle hafva kunnat upphinna henne och taga hand örn henne , särskildt vid något af fallen , och man kan ej undertrycka en viss tvekan beträffande riktigheten af den tilltalades framställning härutinnan . 	bib11653811_18970609_145317_87_0003_alto.xml-135-108
