sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
en sen år ha många svea son inse $ att denna förhållande tarfva ändring $ därest den gammal kär moder ej skola bli en främling i egen $ $ och hvad de uträtta ha ingalunda vara småsak $	32	0	utrtta	de senare åren ha många Sveas söner insett , att detta förhållande tarfvade ändring , därest den gamla kära modern ej skulle bli en främling i eget h°m , och hvad de uträttat har ingalunda varit småsaker . 	bib15761097_18951116_145020_136_0003_alto.xml-170-32
instälde sig och tillkalla läkare kunna ingenting uträtta $ efter svår plågot aflida den liten följa dag $	7	0	utrtta	instälde sig och tillkallad läkare kunde ingenting uträtta , Efter svåra plågoT afled den lilla följande dag . 	bib15975090_18950528_148377_62_0003_alto.xml-8-7
han än här än der $ oell om fru léon lemna hus för att göra någon inköp eller uträtta någon ärende $ så $ märka hon rätt väl att en annan polisman $ som tydligen stå på lur på gata $ följa hon $	18	0	utrtta	han än här än der , oell om fru Léon lemnade huset för att göra några inköp eller uträtta något ärende , så » märkte hon rätt väl att en annan polisman , som tydligen stod på lur på gatan , följde henne . 	bib11653811_18970621_145317_94_0002_alto.xml-119-18
kräk $ $ säde rosenbuske öfvermodig $ $ hvad ha du väl uträtta här i värld $	12	0	utrtta	kräk » , säde rosenbusken öfvermodigt , » hvad har du väl uträttat här i världen ? 	bib15975087_18951111_145596_175_0003_alto.xml-5-12
när den ny pastor om eftermiddag göra sig promenad $ då fingo en god stadsbo alltid någonting att uträtta ute $ bara för att få möta och riktig grundlig bekika underdjur $	18	0	utrtta	När den nye pastorn om eftermiddagarna gjorde sin promenad , då fingo de goda stadsborna alltid någonting att uträtta ute , bara för att få möta och riktigt grundligt bekika underdjuret . 	bib11653830_18960513_146968_39_0003_alto.xml-119-18
$ ja $ visst $ $ svara elsie $ $ ännu ha vi ju $ icke få uträtta någoutiug $ $ $ först och främst skola vi se att blifva gifta $ innan vi blifva gammal $ $ $ skola du icke tycka örn att få en gammal hustru $ george $ $ $ nej $ gärna icke $ elsie $ $ svara den ung manaeu uppriktig $	17	0	utrtta	" Ja , visst , ” svarade Elsie ; ' ännu ha vi ju n&stan icke fått uträtta någoutiug . ” ” Först och främst skulle vi se att blifva gifta , innan vi blifva gamla , ” " Skulle du icke tycka örn att få en gammal hustru , George ? ” " Nej — helst icke , Elsie , ” svarade den unge manaeu uppriktigt . 	bib19227291_18950129_145289_12_0004_alto.xml-0-17
nyligen $ elfte häfte af $ ord och bild $ gifver $ john kruse en utförlig $ varm och liflig skrifven redogörelse för hvad sorn uträtta så väl i utland som i vi land $ hos vi till stor del genom $ förening för skola pryda med konstverk $ $ för den uppväxa ungdom uppfostran till förtrogenhet med den bildande konst alster $	25	0	utrtta	nyligen utkomna elfte häftet af » Ord och bild » gifver d:r John Kruse en utförlig , varmt och lifligt skrifven redogörelse för hvad sorn uträttats så väl i utlandet som i vårt land — hos oss till stor del genom » Föreningen för skolornas prydande med konstverk » — för den uppväxande ungdomens uppfostran till förtrogenhet med den bildande konstens alster . 	bib11653811_19001203_145317_188_0003_alto.xml-142-25
rätt i den väg skola samhälle föga kunna uträtta till afhjälpande af den öfverklaga missförhållande $	8	0	utrtta	rätt i den vägen skall samhället föga kunna uträtta till afhjälpande af det öfverklagade missförhållandet . 	bib15650814_18950712_146365_160_0002_alto.xml-121-8
sig $ att man liten eller intet kunna uträtta för fiske befrämja i hafvet inom skär $ men skola jag länge fram visa $ att man å dylik plats kunna göra ofantlig $ mycket för att erhålla en rik fiske $	8	0	utrtta	sig , att man litet eller intet kan uträtta för fiskets befrämjande i hafvet inom skären , men skall jag längre fram visa , att man å dylika platser kan göra ofantligt ' mycket för att erhålla ett rikt fiske . 	bib15975090_18960121_148377_9_0003_alto.xml-129-8
betjänten $ jean gändin $ berätta att då han återkomma till slott elter att hafva uträtta någon uppdrag 1 $ helliers $ ha han genast begifvit sig till den rum $ sorn tjenstgöra sorn kök ocb der finna piga $ elizabeth picot $ sysselsatt med att tillreda sig herre lunch $	15	0	utrtta	Betjänten , Jean Gändin , berättade att då han återkommit till slottet elter att hafva uträttat några uppdrag 1 St. Helliers , hade han genast begifvit sig till det rum , sorn tjenstgjorde sorn kök ocb der funnit pigan , Elizabeth Picot , sysselsatt med att tillreda sin herres lunch . 	bib11653815_18950528_146944_62_0004_alto.xml-23-15
