sentence_lemma	sentence_token	target_index	original_word
i have be in the country a little more than three month $ and have have several attack of the fever $	I have been in the country a little more than three months ; and have had several attacks of the fever .	17	attack
by oblige him to put his mortar on shore $ and to transport them some distance overland $ we so delay his attack that our troop may be concentrate in great force to oppose his onset $	By obliging him to put his mortars on shore , and to transport them some distance overland , we so delay his attack that our troops may be concentrated in great force to oppose his onset .	22	attack
among the city grant to the latter loxa be particularly specify $ with a condition that he should immediately take command of it in person $ for the council think the favor he enjoy with the castilian monarch might avert the threaten attack $	Among the cities granted to the latter Loxa was particularly specified , with a condition that he should immediately take command of it in person , for the council thought the favor he enjoyed with the Castilian monarchs might avert the threatened attack .	42	attack
its sympathy for my brother in bond -- its scathing denunciation of slaveholder -- its faithful exposure of slavery -- and its powerful attack upon the upholder of the institution -- send a thrill of joy through my soul $ such as i have never feel before $	Its sympathy for my brethren in bonds -- its scathing denunciations of slaveholders -- its faithful exposures of slavery -- and its powerful attacks upon the upholders of the institution -- sent a thrill of joy through my soul , such as I had never felt before !	23	attack
have hy an appearance of submission lull the suspicion of the russian $ they detei * mine in the summer of 1802 to make the attack $	Having hy an appearance of submission lulled the suspicions of the Russians , they detei * mined in the summer of 1802 to make the attack .	25	attack
though kemp declare here that his $ imployment for the pageant be utterly spend $ $ yet anthony furnish the city show for 1605 $ 1611 $ and $ in spite of an attack make on him by middleton in 1613 -- see my <nul>	Though Kemp declares here that his " imployment for the pageant was utterly spent , " yet Anthony furnished the city shows for 1605 , 1611 , and ( in spite of an attack made on him by Middleton in 1613 -- see my ed.	33	attack
bugeaud's plan be this $ instant attack with an overwhelming force of artillery $ cavalry and infantry of the line $ $ which $ he assert $ he have now all ready in position in anticipation of this event $ and well dispose to act $ $ on all the barricade	Bugeaud's plan is this : Instant attack with an overwhelming force of artillery , cavalry and infantry of the Line , ( which , he asserts , he has now all ready in position in anticipation of this event , and well disposed to act , ) on all the barricades	6	attack
in a merely military point of view $ this be sufficiently proper $ for it can not be suppose that either grammar or latin be necessary to the attack and defense of fortify place $ or that the grace of composition be necessary to the art of castrametation $	In a merely military point of view , this is sufficiently proper ; for it can not be supposed that either grammar or Latin is necessary to the attack and defence of fortified places , or that the graces of composition are necessary to the art of castrametation .	28	attack
the attack here allude to relate not to the public work $ but to the whig policy of burrow thirteen hundred thousand dollar $ in violation of the constitution $	The attack here alluded to relates not to the public works , but to the whig policy of burrowing thirteen hundred thousand dollars , in violation of the constitution .	1	attack
yet they stand in special need of defense $ as the country from which they draw their support have not in itself the mean of promptly sustain them in their attempt to repel an attack $ and especially as the hope $ so confidently and cruelly entertain across the atlantic $ of derive assistance from servile insurrection $ would greatly tend to attract invasion towards this portion of our union $	Yet they stand in special need of defence , as the country from which they draw their support has not in itself the means of promptly sustaining them in their attempts to repel an attack , and especially as the hope , so confidently and cruelly entertained across the Atlantic , of deriving assistance from servile insurrections , would greatly tend to attract invasion towards this portion of our Union .	34	attack
a system of personal attack be $ therefore $ organize against mr.- porter $ of the most profligate and disgraceful description $	A system of personal attack was , therefore , organized against Mr. Porter , of the most profligate and disgraceful description .	4	attack
but he reject the compromise indignantly $ and still continue his attack on my face $ as though nothing short of that would satisfy him $	But he rejected the compromise indignantly , and still continued his attack on my face , as though nothing short of that would satisfy him .	11	attack
trample of old tom might be hear on the stair-case $ as in vociferous converse with our host he come down from the chamber $ wherein $ by some strange process of persuasion assuredly peculiar to himself $ harry have force him to go through the ceremony of ablution $ previous to his attack upon the viands $ which be in truth not likely to be deal with more mercifully in consequence of this delay $	trampling of Old Tom might be heard on the stair-case , as in vociferous converse with our host he came down from the chamber , wherein , by some strange process of persuasion assuredly peculiar to himself , Harry had forced him to go through the ceremony of ablution , previous to his attack upon the viands , which were in truth not likely to be dealt with more mercifully in consequence of this delay .	53	attack
this be the usual indian hour of attack and surprise $ and the sioux be know to be in the neighborhood $ the camp be instantly on the alert $	This being the usual Indian hour of attack and surprise , and the Sioux being known to be in the neighborhood , the camp was instantly on the alert .	7	attack
but $ as if the cowardice of their countryman have sting them into a determination to show $ at all hazard $ that they $ at least $ be make of very different stuff $ they not only resist the attack of the enemy $ but carry the bayonet into his rank $	But , as if the cowardice of their countrymen had stung them into a determination to show , at all hazards , that they , at least , were made of very different stuff , they not only resisted the attack of the enemy , but carried the bayonet into his ranks .	40	attack
the good people of england be not so enlighten at the * $ the old jealousy of which it $ $ a stand army $ $ be the object $ no long exist $ and there can be no doubt that the establishment of a properly train military force be not only indispensable to guaranty the national independence from hostile attack $ but that it be the best force that can be employ to maintain internal tranquillity and order $ $	The good people of England were not so enlightened at the * " The old jealousies of which it " ( a standing army ) " was the object , no longer exist , and there can be no doubt that the establishment of a properly trained military force is not only indispensable to guaranty the national independence from hostile attack , but that it is the best force that can be employed to maintain internal tranquillity and order . "	60	attack
the man divide $ some plunge deeper into the forest $ in order to gain their station without give an alarm $ and other continue to advance $ at a gait that would allow the whole party to go in order $ but all devise the best plan to repulse the attack of a dog $ or to escape a rifle-bullet $	The men divided , some plunging deeper into the forest , in order to gain their stations without giving an alarm , and others Continuing to advance , at a gait that would allow the whole party to go in order ; but all devising the best plan to repulse the attack of a dog , or to escape a rifle-bullet .	51	attack
he witness the attack $ but know nothing of its cause $	He witnessed the attack , but knew nothing of its cause .	3	attack
the public feel this event the more that its proximate cause be an attack make upon his brother's house by paradisi $ now imprison in the castle of <nul> angelo $ pending a law process for proof of his accusation $	The public felt this event the more that its proximate cause was an attack made upon his brother's house by Paradisi , now imprisoned in the Castle of St. Angelo , pending a law process for proof of his accusations .	13	attack
it knot $ that it may unravel $ itself $ one of its slope attack $ the other relieve $	It knots , that it may unravel , itself ; one of its slopes attacks , the other relieves .	14	attack
i talk as if her agency be already ascertain $ and the feeling she betray at this abrupt and unaware attack $ confirm my suspicion $	I talked as if her agency was already ascertained , and the feelings she betrayed at this abrupt and unaware attack , confirmed my suspicions .	20	attack
in execute this duty $ friend and fellow-citizen $ you be to use courage and discretion $ courage $ that you may not be daunt by any lawless attempt that this man may make with his rifle and his dog to oppose you $ and discretion $ which here mean caution and prudence $ that he may not escape from this sudden attack $	In executing this duty , friends and fellow-citizens , you are to use courage and discretion ; courage , that you may not be daunted by any lawless attempt that this man may make with his rifle and his dogs to oppose you ; and discretion , which here means caution and prudence , that he may not escape from this sudden attack ?	62	attack
a single instance of discipline spring from a rude attack make by one of the large boy $ consider gisborne $ on one whose helplessness appeal strongly to the teacher's sensibility $ job luce $	A single instance of discipline sprang from a rude attack made by one of the larger boys , Consider Gisborne , on one whose helplessness appealed strongly to the teacher's sensibilities , Job Luce .	9	attack
the leaf-cutting ant be confine to tropical america $ and we can easily understand that tree and vegetable introduce from foreign land where these ant be unknown could not have acquire $ except accidentally $ and without any reference to the ant $ any protection against their attack $ and now they be most eagerly seek by them $	The leaf-cutting ants are confined to tropical America ; and we can easily understand that trees and vegetables introduced from foreign lands where these ants are unknown could not have acquired , excepting accidentally , and without any reference to the ants , any protection against their attacks , and now they are most eagerly sought by them .	47	attack
an idea prevail $ that hawley have only retire for a time $ and would renew the attack next morning $ but the true state of the army be soon understand $ and after be expose to the storm for five hour $ charles edward enter falkirk $ and take possession of the cannon $ baggage $ and all the military store of hawley $	An idea prevailed , that Hawley had only retired for a time , and would renew the attack next morning ; but the true state of the armies was soon understood , and after being exposed to the storm for five hours , Charles Edward entered Falkirk , and took possession of the cannon , baggage , and all the military stores of Hawley .	17	attack
a slight immunity from the attack of acari and pediculi might in a tropical country more than compensate an animal for the loss of its hairy coat $ especially in the case of the domesticated dog $ which find shelter with its master $ have not to seek for its food at night $ and be protect from the attack of strong animal $	A slight immunity from the attacks of acari and pediculi might in a tropical country more than compensate an animal for the loss of its hairy coat , especially in the case of the domesticated dog , which finds shelter with its master , has not to seek for its food at night , and is protected from the attacks of stronger animals .	5	attack
* * * * * * god bless the son of harvard $ and preserve our alma mater from the open attack of enemy $ the secret treachery of hypocritical friend $ and from the baleful influence of every wrong principle to be find in her own heart $ '	* * * * * * God bless the sons of Harvard , and preserve our Alma Mater from the open attacks of enemies , the secret treachery of hypocritical friends , and from the baleful influence of every wrong principle to be found in her own heart . '	21	attack
