sentence_lemma	sentence_token	target_index	original_word
as chairman of the committee on the geological survey $ mr.- buel make an able and scientific report $ set forth its probable benefit $ and amongst these $ the manufacture of salt $ in which his prediction and argument have be verify $	As chairman of the Committee on the Geological Survey , Mr. Buel made an able and scientific report , setting forth its probable benefits ; and amongst these , the manufacture of salt , in which his predictions and arguments have been verified .	1	chairman
on the conclusion of his remark $ the president will say $ $ the following resolution have be move and second $ it will be read by the secretary $ $ and be so read $ the chairman $ find the meeting prepare for a vote $ proceed to put the question $	On the conclusion of his remarks , the President will say , " The following resolution has been moved and seconded , it will be read by the Secretary , " and being so read , the Chairman , finding the meeting prepared for a vote , proceeds to put the question .	37	chairman
the chairman of that committee $ or in his absence $ one of the member $ will then rise and say $ $ mr.- president $ the committee on have instruct me to make the following report $ $ hand it to the president $	The Chairman of that committee , or in his absence , one of the members , will then rise and say : " Mr. President , the Committee on have instructed me to make the following report , " handing it to the President .	1	chairman
the desire pitch $ fearing $ also $ lest his station might somewhat involve himself in the mesh he be weave around other $ the sagacious chairman $ upon the first show of violence $ roar out his resignation $ and descend from his place $	the desired pitch -- fearing , also , lest his station might somewhat involve himself in the meshes he was weaving around others , the sagacious chairman , upon the first show of violence , roared out his resignation , and descended from his place .	26	chairman
the chairman be constantly up shout order $ and whenever a pause occur some member or other would spring to his leg $	The chairman was constantly up shouting order ; and whenever a pause occurred some member or other would spring to his legs ,	1	chairman
pending the discussion of these resolution the chairman of the committee on territory prepare and report to the senate $ on the 25th of march $ two bills-one for the admission of california into the	Pending the discussion of these resolutions the chairman of the Committee on Territories prepared and reported to the Senate , on the 25th of March , two bills-one for the admission of California into the	7	chairman
of nobleborough $ the present marshal of maine $ call them to order $ and nominate mr white of monmouth $ chairman $ who be declare elect without ceremony $ and take the chair $	of Nobleborough , the present Marshal of Maine , called them to order , and nominated Mr White of Monmouth , Chairman , who was declared elected without ceremony , and took the chair .	21	chairman
he be again a member of the legislature in 1833-4 $ and $ as chairman of the committee on internal improvement $ report a volume of bill $ under whose salutary infiuei * e that noble state have ever since be rapidly rise in wealth $ comfort $ and power $	He was again a member of the Legislature in 1833-4 , and , as Chairman of the Committee on Internal Improvements , reported a volume of bills , under whose salutary infiuei * e that noble State has ever since been rapidly rising in wealth , comfort , and power .	14	chairman
for a moment the company cease its clamor $ out of respect to the chairman's cough $ and $ have clear his throat with the content of a tumbler of monongahela which seem to stand permanently full by his side $ he recommence the proceeding $ the offender $ in the meantime $ stand mute and motionless $ now almost stupified with terror $ conscious of repeat offense $ know perfectly the reckless spirit of those who judge him $ and hopeless of escape from their hand $ without $ in the country phrase $ the loss at least of $ wing and tail feather $ $	For a moment the company ceased its clamor , out of respect to the chairman's cough ; and , having cleared his throat with the contents of a tumbler of Monongahela which seemed to stand permanently full by his side , he recommenced the proceedings ; the offender , in the meantime , standing mute and motionless , now almost stupified with terror , conscious of repeated offences , knowing perfectly the reckless spirit of those who judged him , and hopeless of escape from their hands , without , in the country phrase , the loss at least of " wing and tail feathers . "	14	chairman
should a division be call for any time previous to the result be declare by the /z/ chairman $ he will say $ a division be call for gentleman in the affirmative will please rise $ $	Should a division be called for any time previous to the result being declared by the /z/ Chairman , he will say " a division is called for gentleman in the affirmative will please rise . "	17	chairman
