sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
even you $ my friend $ educate $ as you have be $ amid the painting and statue of europe $ you who have wandcred through the louvre and vatican $ and see the chef d'oeuvre of florence $ $ even you $ my friend $ express wonder $ when you look upon him first at xx_p $ d $	34	0	chef	Even you , my friend , educated , as you have been , amid the paintings and statues of Europe , you who have wandcred through the Louvre and Vatican , and seen the chefs d'oeuvre of Florence , -- even you , my friend , expressed wonder , when you looked upon him first at P -- d .	fic_1843_7026.txt-1111-34
$ mellowness of finish $ for it be color the very counterpart of the original $ which bring five hundred louis at the auction of the famous collection of the duc de montmorenci $ and be now one of the chef d'oeuvres in the gallery of the luxemburgh $ bauble $	40	0	chef	, mellowness of finish , for it is coloured the very counterpart of the original , which brought five hundred louis at the auction of the famous collection of the Duc de Montmorenci , and is now one of the chef d'oeuvres in the gallery of the Luxemburgh -- bauble !	fic_1827_7168.txt-1724-40
his tour $ for his return be accompany by sundry chef d'oeuvres of the dutch artist $ as be remember to this day $ from his unbounded liberality $ for in the generosity of his heart he bestow on the stadt one amsterdam apollo without a nose $ mould at the lime kiln in overyssel $ a venus $ cut by edric vanderkunderspuke $ without a leg $ and a cupid and psyche without head but of admirable form $ the one be dress in a field marshal 's uniform and the other in a hoop and stomacher $	10	0	chef	his tour , for his return was accompanied by sundry chef d'oeuvres of the Dutch artists , as is remembered to this day , from his unbounded liberality -- for in the generosity of his heart he bestowed on the Stadt one Amsterdam Apollo without a nose , moulded at the lime kilns in Overyssel ; a Venus , cut by Edric Vanderkunderspuke , without a leg ; and a Cupid and Psyche without heads but of admirable form , the one being dressed in a field marshal 's uniform and the other in a hoop and stomacher .	fic_1827_7168.txt-915-10
yet in conformity with this estimate of the nature and rank of our author 's genius $ we be much inclined to regard the $ posthumous paper of the pickwick club $ $ as his chef d'wuvre $	35	0	chef	Yet in conformity with this estimate of the nature and rank of our author 's genius , we are much inclined to regard the " Posthumous Papers of the Pickwick Club , " as his chef d'wuvre .	mag_1843_565236.txt-728-35
indeed what can be so gratifying as the contemplation of so many chef d'obuvres of genius or of mind $	12	0	chef	Indeed what can be so gratifying as the contemplation of so many chef d'oBuvres of genius or of mind ?	nf_1833_747531.txt-2651-12
compare the conduct of the mob who rush through the magnificent gallery of the louvre in july $ and write on the wall $ $ respect awe chef d'oeuvres d ' art $ $ with that of the howling mass of human brute who bring the unfortunate louis a prisoner into paris $ and you	27	0	chef	Compare the conduct of the mob who rushed through the magnificent gallery of the Louvre in July , and wrote on the walls , " respect awe chefs d'oeuvres d ' art , " with that of the howling mass of human brutes who brought the unfortunate Louis a prisoner into Paris , and you	mag_1832_564353.txt-125-27
one of the happy effect of our law of entail $ be that it foster genius by preserve in family the chef d'oeuvres of the art $	21	0	chef	One of the happy effects of our law of entail , is that it fosters genius by preserving in families the chef d'oeuvres of the arts .	fic_1830_7266.txt-2405-21
t and among these chef d'auvres i hesitate not to name the $ camp-meeting hymn $ $ commence $ $ o thou in whose presence $ $ the authorship of which be unknown to me $	4	0	chef	t And among these chef d'auvres I hesitate not to name the " Camp-Meeting Hymn , " commencing , " O Thou in whose presence , " the authorship of which is unknown to me .	nf_1844_747533.txt-1857-4
the poet of rome sing her praise $ the name of athens be ever in the mouth of horace and virgil $ and cicero follow the crowd to learn the lesson of wisdom and taste $ in the birth-place of genius $ and among the chef d'euvres of art $	45	0	chef	The poets of Rome sang her praises ; the name of Athens was ever in the mouths of Horace and Virgil ; and Cicero followed the crowd to learn the lessons of wisdom and taste , in the birth-place of genius , and among the chef d'euvres of art .	mag_1834_564675.txt-91-45
we feel as do an artist $ when he see rude hand mar a chef d'xuvre $	14	0	chef	We feel as does an artist , when he sees rude hands marring a chef d'xuvre .	mag_1845_565442.txt-141-14
