sentence_lemma	sentence_token	index_lemma	index_token	lemma
acquirement thus make will feed itself $ circle will be add to circle by the strengthen impulse of gratify curiosity $ the conformity to nature will make the acquisition more substantial and the	Acquirement thus made will feed itself : circle will be added to circle by the strengthening impulse of gratified curiosity : the conformity to nature will make the acquisition more substantial and the	7	7	circle
as the river $ far flow $ in the high hill have birth $ as the banyan $ broad growing $ oftenest bow its head to earth $ $ so the noble mind press onward $ channel far of good to trace $ so the large heart bend downward $ circle all the human race $ thus $ by iron's aid $ pursue through the earth their plan of love $ man our father's will be do $ here $ as angel do above $	As the rivers , farthest flowing , In the highest hills have birth ; As the banyan , broadest growing , Oftenest bows its head to earth , -- So the noblest minds press onward , Channels far of good to trace ; So the largest hearts bend downward , Circling all the human race ; Thus , by Iron's aid , pursuing Through the earth their plans of love , Men our Father's will are doing , Here , as angels do above !	50	50	circle
they shall not say that when the fire circle the hunted herd $ his sire weep like the roebuck when he fly $ end note $ 1kb and die as warrior never die $	They shall not say that when the fire Circled the hunted herd , his sire Wept like the roebuck when he flies , End note : 1Kb And died as warrior never dies .	8	8	circle
circle mountain $ purple beaming $ lure his soul to constant dream $ $ ever dream $ ever scheme $ $ on and upward be his gaze $	Circling mountains , purple beaming , Lured his soul to constant dreaming , -- Ever dreaming , ever scheming , -- On and upward was his gaze .	0	0	circle
a woman in distress affect most mind more strongly than a suffering angel $ and this scene of purely human character serve as a pretty touchstone $ to try the sympathy of the many who circle the gallery $	A woman in distress affects most minds more strongly than a suffering angel ; and this scene of purely human character served as a pretty touchstone , to try the sympathies of the many who circled the gallery .	35	35	circle
the language $ $ as he say of richter $ $ groan with indescribable metaphor and allusion to all thing $ human and divine $ flow onward $ not like a river $ but like an inundation $ circle in complex eddy $ chafe and gurgling $ now this way $ now that $ $ but in carlyle $ $ the proper current $ never $ sink out of sight amid the boundless uproar $ $	The language , " as he says of Richter , " groans with indescribable metaphors and allusions to all things , human and divine , flowing onward , not like a river , but like an inundation ; circling in complex eddies , chafing and gurgling , now this way , now that ; " but in Carlyle , " the proper current " never " sinks out of sight amid the boundless uproar . "	38	38	circle
whose door we now for social worship first unfold $ to thee the suppliant throng shall bow $ while circle year on year be roll $	whose doors we now For social worship first unfold , To thee the suppliant throng shall bow , While circling years on years are rolled .	19	19	circle
to notice how the world have be circle $ by the government of the world $ to watch the transit of venus $ though the knowledge thus acquire could not affect the legislation of any congress $ in any country $	to notice how the world has been circled , by the governments of the world , to watch the transit of Venus , though the knowledge thus acquired could not affect the legislation of any congress , in any country .	7	7	circle
they be not aware that the spirit of a nightingale be circle round them and would pass into the soul of their infant son $ whom they name felix mendelssohn $	They were not aware that the spirit of a nightingale was circling round them and would pass into the soul of their infant son , whom they named Felix Mendelssohn .	11	11	circle
warrior portray $ in tale of other clime $ numidia $ arcady or syrian realm $ the splendor of the spoil $ the gem and gold $ the perfume $ luxury and regal robe $ fair slave and diamond $ waft from the shore of the orient $ in homage to the diadem that circle nation $	Warriors portrayed , in tales of other climes , Numidia , Arcady or Syrian realms , The splendor of the spoil , the gems and gold , The perfumes , luxuries and regal robes , Fair slaves and diamonds , wafted from the shores Of the Orient , in homage to the diadem That circled nations .	54	54	circle
$ then we have circle not the round reef wholly $ $ say babbalanja $ $ but make of it a segment $	" Then we have circled not the round reef wholly , " said Babbalanja , " but made of it a segment .	4	4	circle
you may see them stand in the street $ circle round wayaniko $ the light above their head $ the dark town all around $ $	You may see them stand in the street , circling round Wayaniko , the lights above their head , the dark town all around . "	9	9	circle
the strong trade wind $ meet in its course by these elevation $ circle and eddy about their summit $ and be sometimes drive down the steep ravine and sweep across the	The strong trade wind , met in its course by these elevations , circled and eddied about their summits , and was sometimes driven down the steep ravine and swept across the	13	13	circle
sometimes one would circle round and round me in the wood a few foot distant as if tether by a string $ when probably i be near its egg $	Sometimes one would circle round and round me in the woods a few feet distant as if tethered by a string , when probably I was near its eggs .	3	3	circle
on come herreiro still $ and for an instant's space it seem as though the shock of his charger at full speed must have bear down the slight andalusian $ but scarcely have he parry that home thrust before $ with a quick motion of the bridle hand $ so quick $ indeed $ that it be scarce perceptible $ and a slight corresponding pressure of the spur on the flank opposite $ hernando wheel his charger to the leave $ feint a thrust at his foe's face $ and $ circle quite around him $ deliver a full sweeping cut against the back part of his neck $	On came Herreiro still -- and for an instant's space it seemed as though the shock of his charger at full speed must have borne down the slighter Andalusian ; but scarcely had he parried that home thrust before , with a quick motion of the bridle hand -- so quick , indeed , that it was scarce perceptible -- and a slight corresponding pressure of the spur on the flank opposite , Hernando wheeled his charger to the left ; feinted a thrust at his foe's face ; and , circling quite around him , delivered a full sweeping cut against the back part of his neck .	91	91	circle
and the wave that circle round the eternal mount on high $ bore an everlasting sound to the soul that can not die $	And the waves that circled round The eternal mount on high , Bore an everlasting sound To the soul that can not die .	4	4	circle
the infant hudson wind through it $ circle in its deepest bend one little fairy isle $ with wood enough for a single bower $ and a beauty that fill and characterize $	The infant Hudson winds through it , circling in its deepest bend one little fairy isle , with woods enough for a single bower , and a beauty that fills and characterizes ,	7	7	circle
halleck have beautifully describe similar scenery $ $ tall spire $ and glitter roof $ and battlement $ and banner float in the sunny air $ and white sail over the calm blue water bend $ green isle $ and circle shore $ be blend there in wild reality $ $	Halleck has beautifully described similar scenery -- " Tall spire , and glittering roof , and battlement , And banners floating in the sunny air , And white sails o'er the calm blue waters bent ; Green isles , and circling shores , are blended there In wild reality ! "	40	40	circle
nay $ even grant the senate should stand firm $ where be the people $ the sertorian band who cling around him with unwavering love $ like the fond ivy twine round the oak or life's warm eddy circle through the heart $ in conquest and defeat $	Nay , even grant the senate should stand firm , Where are the people -- the Sertorian band Who cling around him with unwavering love , Like the fond ivy twining round the oak Or life's warm eddies circling through the heart -- In conquest and defeat !	38	38	circle
these grasp $ the young god stand in the breach of circle tree $ with eye that fiercely glance $ nostril expand $ lip press $ foot advance $ and arrow at the string $ when lo $	These grasping , the young god stood in the breach Of circling trees , with eye that fiercely glanced , Nostril expanded , lip pressed , foot advanced , And arrow at the string ; when lo !	11	11	circle
then it rise $ rock to the surface $ and $ for a moment $ be toss and whirl like a bubble circle in the eddy of a pool $	Then it rose , rocking to the surface ; and , for a moment , was tossed and whirled like a bubble circling in the eddies of a pool .	22	22	circle
pour upon me thy soft beam $ and circle me with heavenly stream $	pour upon me thy soft beams , And circle me with heavenly streams .	8	8	circle
with thine own voyager thou hast hear the sound of that vast ocean $ waveless $ rayless $ dread $ where time's perpetual tribute $ circle round $ drop silent in $ all passionless and dead $	With thine own voyager thou hast heard the sound Of that vast ocean , waveless , rayless , dread , Where time's perpetual tribute , circling round , Drops silent in , all passionless and dead .	25	25	circle
it be not many minute before the first return $ bear the tiding that they be close at hand $ halt $ as it seem $ for the evening $ in a small green savannah $ half circle by a swampy streamlet $	It was not many minutes before the first returned , bearing the tidings that they were close at hand , halted , as it seemed , for the evening , in a small green savannah , half circled by a swampy streamlet .	37	37	circle
ye liege all advance $ and circle join in merry morrice dance $ $	ye lieges all advance , And circling join in merry Morrice dance . "	6	6	circle
