sentence_lemma	sentence_token	target_index	original_word
be far beyond the regular path for descend $ and wish to intercept the procession before its arrival at the bury ground $ i have something like the wolf-race i have just behold to get down in time $ unluckily $ i have send paul back to the place where we have leave our cloak $ and donkey $ and the little girl $ with direction to ride round the foot of the hill and meet me at the bury $ $ ground $	Being far beyond the regular path for descending , and wishing to intercept the procession before its arrival at the burying ground , I had something like the wolf-race I had just beheld to get down in time ; unluckily , I had sent Paul back to the place where we had left our cloaks , and donkeys , and the little girl , with directions to ride round the foot of the hill and meet me at the burying - - ground .	57	donkey
the charcoal vender disappear $ unhitch his donkey $ and turn him with his head into the cart $ his body be between the shaft $ which position be consider absolutely essential to a valid sale of charcoal $ and this ceremony be go through with $ proceed to fill the barrel which he afterwards bring in and empty in the box prepare for it $	The charcoal vender disappeared -- unhitched his donkey , and turned him with his head into the cart , his body being between the shafts , which position is considered absolutely essential to a valid sale of charcoal -- and this ceremony being gone through with , proceeded to fill the barrel which he afterwards brought in and emptied in the box prepared for it .	7	donkey
he lay himself to it $ his heel paddle in the side of his donkey with redouble industry $	He laid himself to it , his heels paddling in the sides of his donkey with redoubled industry .	14	donkey
we be oblige to walk smartly $ too $ as the gate close at nine oclock $ but when about half way there we meet an arab with a donkey $ cheer the stillness of the evening with a song $	We were obliged to walk smartly , too , as the gate closed at nine oclock ; but when about half way there we met an Arab with a donkey , cheering the stillness of the evening with a song .	29	donkey
donkey bray $ mexican chatter $ cock crew $ every horse in the corral $ or horse-yard $ seem determine to give us his farewell neigh $ and amid the almost stunning din i could with difficulty catch the parting word of our host $ $ goodbye $ never trouble yourselves about the horse -- but take good	Donkeys brayed , Mexicans chattered , cocks crew , every horse in the corral , or horse-yard , seemed determined to give us his farewell neigh ; and amid the almost stunning din I could with difficulty catch the parting words of our host : " Good-by ; never trouble yourselves about the horses -- but take good	0	donkey
he be convince that the whole country would rise to a man $ in favor of a donkey mail $ in preference to the present post office system $ $	He was convinced that the whole country would rise to a man , in favor of a donkey mail , in preference to the present post office system ! "	17	donkey
gypsy gentleman $ ' say i to one of them $ ' what will you have for that donkey $ '	Gypsy gentleman , ' say I to one of them , ' what will you have for that donkey ? '	18	donkey
a lady once tell him in just that her young brother $ a lad of twelve year old $ have call his donkey braham $ in honor of the great singer of that name $	A lady once told him in jest that her youngest brother , a lad of twelve years old , had called his donkey Braham , in honour of the great singer of that name .	22	donkey
have they enter have the room while the donkey withdraw $ they have have see their own folly	Had they enter'd the room while the donkey withdrew , They'd have seen their own folly	7	donkey
like the crest of a helmet teach proudly to nod and wave like a meteor's train abroad $ be the long $ long tail $ that glorify the glorious donkey's hinder side $	Like the crest of a helmet taught proudly to nod And wave like a meteor's train abroad , Was the long , long tail , that glorified The glorious donkey's hinder side !	29	donkey
get rid of them $ or as many of them as we could $ we again mount our shaggy donkey $ and ride to the island of philcb $	Getting rid of them , or as many of them as we could , we again mounted our shaggy donkeys , and rode to the Island of PhilcB .	19	donkey
there i take my solitary walk $ morning and evening $ or $ mount on a little mouse-colored donkey $ pace demurely along the woodland pathway $	There I took my solitary walk , morning and evening ; or , mounted on a little mouse-colored donkey , paced demurely along the woodland pathway .	18	donkey
the comfortable sled $ with its wolf-skins and bear-skins $ stand at the door $ with the same strong donkey fasten to it which be gottlieb's patient companion in all his journey through the forest $	The comfortable sled , with its wolf-skins and bear-skins , stood at the door , with the same strong donkey fastened to it which was Gottlieb's patient companion in all his journeys through the forest .	19	donkey
i be glad to get back to my rascally donkey $	I was glad to get back to my rascally donkey .	9	donkey
three month after $ she happen to encounter him on the same spot $ when he accost her $ without any previous salutation $ $ you be tell me about a donkey $ miss -- - $ a donkey of your brother's -- braham $ i think you call him -- yes $ braham $ a strange name for an ass $	Three months after , she happened to encounter him on the same spot , when he accosted her , without any previous salutation , " You were telling me about a donkey , Miss -- - , a donkey of your brother's -- Braham , I think you called him -- yes , Braham ; a strange name for an ass !	31	donkey
the number of horse $ ox $ cow $ sheep $ donkey $ swine $ hen $ duck $ goose $ and gosling $ the quantity of corn $ oats $ buckwheat $ potato $ hay $ cotton $ hemp $ flax $ cheese $ bacon $ <nul> $ <nul> $ <nul> $ and when he have get all this before him in a well-arranged table $ he be fully competent to make all sort of law $ recoinmen $ l all sort of measure $ meddle with every man's private business $ govern the nation according to cocker's arithmetic $ and take his stand among the $ heaven-born statesman $ $	The number of horses , oxen , cows , sheep , donkeys , swine , hens , ducks , geese , and goslings ; the quantity of corn , oats , buckwheat , potatoes , hay , cotton , hemp , flax , cheese , bacon , &c. , &c. , &c. ; and when he has got all this before him in a well-arranged table , he is fully competent to make all sorts of laws , recoinmen ( l all sorts of measures , meddle with every man's private business , govern the nation according to Cocker's arithmetic , and take his stand among the " Heaven-born Statesmen . "	11	donkey
these arrangement have scarcely be effect before the crowd of pilgrim come on-men $ woman $ and childrenmounted on donkey $ horse $ camel $ and mule $ and	These arrangements had scarcely been effected before the crowd of pilgrims came on-men , women , and childrenmounted on donkeys , horses , camels , and mules , and	19	donkey
$ $ say the woman $ point with her hand in a particular direction $ $ he be prisoner yonder for choring a mailla $ steal a donkey $ $ we be come to see what we can do in his behalf $ and where can we lodge better than in this forest $ where there be nothing to pay $	, " said the woman , pointing with her hand in a particular direction ; " he is prisoner yonder for choring a mailla ( stealing a donkey ) ; we are come to see what we can do in his behalf ; and where can we lodge better than in this forest , where there is nothing to pay ?	27	donkey
other be walk leisurely up and down $ beneath the few decapitate tree $ which represent a public promenade $ and a boy $ with a blue frock and crimson cap $ be drive three donkey down the street $	Others were walking leisurely up and down , beneath the few decapitated trees , which represent a public promenade ; and a boy , with a blue frock and crimson cap , was driving three donkeys down the street .	35	donkey
