sentence_lemma	sentence_token	target_index	original_word
square $ yet sharp $ have an edge though no point $ in short $ such a combination of feature and limb in face and person $ be never see before nor since $	square , yet sharp , having an edge though no point : in short , such a combination of feature and limb in face and person , was never seen before nor since .	7	edge
zephyr $ still loosely cling to his foe $ allow himself to be drag to the edge of the cliff $ the opposite column shout all the while their yell of triumph $ when suddenly he untwisted his leg $ throw a back somerset $ wrench himself free from orson's clutch as he do so $ and then stand on his foot at the head of his column $ while his antagonist $ who $ with his whole party $ have be tug with might and main to drag their enemy to the brow of the precipice $ now suddenly release from the oppose pressure $ topple backwards upon his man $ who all fall one upon another $ heel over head $ down the steep side of the mount $ roll helter-skelter on each other $ till they reach the marsh below $ some of them even souse themselves in the creek at the base of the hill $ before the impetus of their descent	Zephyr , still loosely clinging to his foe , allowed himself to be dragged to the edge of the cliff , the opposite column shouting all the while their yells of triumph , when suddenly he untwisted his legs , threw a back somerset , wrenched himself free from Orson's clutches as he did so , and then stood on his feet at the head of his column , while his antagonist , who , with his whole party , had been tugging with might and main to drag their enemies to the brow of the precipice , now suddenly released from the opposing pressure , toppled backwards upon his men , who all fell one upon another , heels over head , down the steep side of the mount , rolling helter-skelter on each other , till they reached the marsh below , some of them even sousing themselves in the creek at the base of the hill , before the impetus of their descent	16	edge
besides the distinctive common faith ' of evangelical christian $ spurgeon preach calvinism too $ sometimes ultra calvinism $ as it will be call $ with all its edge and point $ but in his use it have so much vitality that it may be accept for the theology of the feeling ' by many who would question it	Besides the distinctive common faith ' of evangelical Christians , Spurgeon preaches Calvinism too , sometimes ultra Calvinism , as it will be called , with all its edges and points , but in his use it has so much vitality that it may be accepted for the theology of the feelings ' by many who would question it	28	edge
i be as far away from them as if pillow on the cloud $ whose silver edge crinkle round the moon $	I was as far away from them as if pillowed on the clouds , whose silver edges crinkled round the moon .	16	edge
i look a moment though i be hotly engage with two good swordsmen $ in the expectation of see him fall $ but $ in a twinkle $ he be out of sight $ his blade rattle like hail $ about the bayonet that hedge him in $ as he pass in a circle of incessant fire $ give point and edge $ at the same moment $	I looked a moment though I was hotly engaged with two good swordsmen , in the expectation of seeing him fall ; but , in a twinkling , he was out of sight , his blade rattling like hail , about the bayonets that hedged him in , as he passed in a circle of incessant fire , giving point and edge , at the same moment .	61	edge
selonee come within sight of their back settlement $ and seat himself upon a log at the edge of the forest with his back carefully turn towards the smoke of the camp $	Selonee came within sight of their back settlements , and seated himself upon a log at the edge of the forest with his back carefully turned towards the smoke of the camp .	17	edge
cloth $ extra $ per set $ $7.50 $ half calf $ gilt $ marbled edge $ per set $ $18.00 $ half russia $ gilt top $ $21.00 $	Cloth , extra , per set , $7.50 ; half calf , gilt , marbled edges , per set , $18.00 ; half Russia , gilt top , $21.00 ;	15	edge
which shade will be light on that edge which be next to the wall and to the luminary $ and darke at that edge next to the middle of the column $	which shade will be lightest on that edge which is next to the wall and to the luminary , and darkest at that edge next to the middle of the column .	7	edge
when within fifty yard of this cavern $ on look up $ he find himself under the drop from the edge above $ '	When within fifty yards of this cavern , on looking up , he found himself under the drop from the edges above . '	20	edge
// edge of herb $ root $ and water $ in any of the king's dominion $ to minister in and to any outward sore $ uncome $ wind $ apostemation $ outward swelling or disease $ any herb $ ointment $ bath $ pultess and emplasters $ according to their cunning $ ' or drink for the stone $ strangury $ or ague $ without suit $ vexation $ trouble $ penalty $ or loss of their good $ '	// edge of herbs , roots , and waters , in any of the king's dominions , to minister in and to any outward sore , uncome , wound , apostemation , outward swellings or disease , any herbs , ointments , baths , pultess and emplasters , according to their cunning , ' or drinks for the stone , strangury , or agues , without suit , vexation , trouble , penalty , or loss of their goods . '	1	edge
