sentence_lemma	sentence_token	target_index	original_word
he look full into his face $ and scrutinize his feature closely $ still fail to recognize them $	He looked full into his face , and scrutinized his features closely , still failing to recognize them .	5	face
she go out $ and shortly after lander come in with a sort of hopeful apathy in his face $	She went out , and shortly after Lander came in with a sort of hopeful apathy in his face .	18	face
i hate thy face $ hate it as i do hell $	I hate thy face -- hate it as I do hell !	3	face
i have escape the grave $ i know no more $ $ after a trouble sleep $ break by a frightful dream $ $ in which i see his face and the uplift knife $ i wake once more $ and become conscious that a woman's form be slumber at my side $	I had escaped the grave -- I knew no more -- " After a troubled sleep , broken by a frightful dream , -- in which I saw his face and the uplifted knife -- I woke once more , and became conscious that a woman's form was slumbering at my side .	29	face
the eye $ as it roam around the brilliant circle $ encounter few of those vapid face which make the staple of the surroundings of an hereditary throne $	The eye , as it roamed around the brilliant circle , encountered few of those vapid faces which make the staple of the surroundings of an hereditary throne .	16	face
as the carriage draw up $ they see several face at the window $ and a pocket handkerchief wave at the end of the piazza $ and as they alight $ they be welcome by	As the carriage drew up , they saw several faces at the window , and a pocket handkerchief waving at the end of the piazza ; and as they alighted , they were welcomed by	9	face
in this strange dress $ and $ i suppose $ without wash her hand or face $ she visit the magnificent court of louis the fourteenth $	In this strange dress , and , I suppose , without washing her hands or face , she visited the magnificent court of Louis the Fourteenth .	15	face
but for once the routiers keep faith $ the din cease in the encampment $ the light go out one by one $ and silence of dewy night fall over tent and bivouac as peacefully as if the deadly of foe be not almost array beneath it face to face $	But for once the routiers kept faith -- the din ceased in the encampment , the lights went out one by one , and silence of dewy night fell over tent and bivouac as peacefully as if the deadliest of foes were not almost arrayed beneath it face to face .	47	face
the face $ too $ be not that of a common child $ the proportion be perfectly develop and of great beauty $	The face , too , is not that of a common child ; the proportions are perfectly developed and of great beauty .	1	face
but $ when they look into the venerable stranger's face $ not the most thoughtless among them dare to offer him the least impertinence $	But , when they looked into the venerable stranger's face , not the most thoughtless among them dared to offer him the least impertinence .	9	face
arabella be play with enthusiasm $ it be evident she be charm with her own performance $ and her noble teacher sit beside her $ the music book open in his hand $ his small keen eye cast partly upward in admiration $ but as his glance could rest on the face of his fair pupil $ it be not certain whether her beauty or her music cause his rapture $ $	Arabella was playing with enthusiasm ; it was evident she was charmed with her own performance ; and her noble teacher sat beside her , the music book open in his hand , his small keen eyes cast partly upward in admiration ; but as his glance could rest on the face of his fair pupil , it was not certain whether her beauty or her music caused his raptures . "	51	face
for $ many a face do i see bathe in tear $ and other beam with smile and love $ as $ with respectful $ half-turned look $ they seem to give us their blessing $ $	for , many a face did I see bathed in tears , and others beaming with smiles and love , as , with respectful , half-turned looks , they seemed to give us their blessing . "	4	face
$ this be strange $ $ cry copley $ look him in the face $ which now $ as the painter fancy $ have a singular depth of intelligence $ though hitherto it have not	" This is strange , " cried Copley , looking him in the face , which now , as the painter fancied , had a singular depth of intelligence , though hitherto it had not	13	face
she have a kind of tender dignity in her dance $ and the delicate beauty of her face translate itself into the grace of her movement $	She had a kind of tender dignity in her dance , and the delicate beauty of her face translated itself into the grace of her movements .	17	face
and far $ i have some notion of a dozen or more trimly dress youth $ with bronzed face newly shave $ and shine with their late ablution $ all this i faintly apprehend $ before the cavalcade disappear $ in a cloud of dust $	And further , I had some notion of a dozen or more trimly dressed youths , with bronzed faces newly shaved , and shining with their late ablutions -- all this I faintly apprehended , before the cavalcade disappeared , in a cloud of dust .	18	face
mabel and the boy gaze in silent satisfaction at the rapt and excite child $ as $ lose in the contemplation of this panorama of ocean $ earth $ and sky $ she manifest in her face and gesture an extasy of delight such as word would have be powerless to express $	Mabel and the boys gazed in silent satisfaction at the rapt and excited child , as , lost in the contemplation of this panorama of ocean , earth , and sky , she manifested in her face and gestures an extasy of delight such as words would have been powerless to express .	36	face
you may therefore imagine the amazement $ the indignation struggle into life on peter's face $ when he behold himself defy and insult by the sublime impertinence of jacopo $ $	You may therefore imagine the amazement , the indignation struggling into life on Peter's face , when he beheld himself defied and insulted by the sublime impertinence of Jacopo . "	14	face
a quantity of blue window glass be next obtain $ and hole drill through the corner of it $ and several sheet be wire together to increase the size $ and $ when complete $ be suspend from the ceiling in its proper place $ and so arrange that when a person be sit $ this sheet of glass could be move to and from $ the object of which be to prevent shadow on the face of the sitter produce from the uneven surface of the glass $	A quantity of blue window glass was next obtained , and holes drilled through the corners of it , and several sheets were wired together to increase the size , and , when complete , was suspended from the ceiling in its proper place , and so arranged that when a person was sitting , this sheet of glass could be moved to and from , the object of which was to prevent shadows on the face of the sitter produced from the uneven surface of the glass .	76	face
he install himself in his great arm-chair $ and look around $ musingly $ upon his book and paper $ as we gaze upon the face of familiar friend after a long absence $	He installed himself in his great arm-chair , and looked around , musingly , upon his books and papers , as we gaze upon the faces of familiar friends after a long absence .	25	face
soon after breakfast i start out $ and be go in the direction of judge bigelow's office $ when $ hear a step behind me that have in it a familiar sound $ i turn to find myself face to face with henry wallingford $	Soon after breakfast I started out , and was going in the direction of Judge Bigelow's office , when , hearing a step behind me that had in it a familiar sound , I turned to find myself face to face with Henry Wallingford !	38	face
none who have see her before could fail now to observe the softened character of her beauty $ and those who see $ a thousand blush apparition start into her face $ $ whenever his eye rest on her $ could scarcely doubt his influence over her $	None who had seen her before could fail now to observe the softened character of her beauty , and those who saw " A thousand blushing apparitions start Into her face " -- whenever his eyes rested on her , could scarcely doubt his influence over her .	30	face
uncertain as he have be at the first who be the man $ whom he thus recklessly attack $ aulus fulvius have not well turn the angle of the wood $ before he recognize the face of almost all the leading man of the opposite party $	Uncertain as he had been at the first who were the men , whom he thus recklessly attacked , Aulus Fulvius had not well turned the angle of the wood , before he recognized the faces of almost all the leading men of the opposite party .	35	face
from the bottom of the breast to the navel $ one face $ $	From the bottom of the breast to the navel , one face . "	11	face
to catch the beau's unthinking heart $ to check th ' assume fopling's vow $ the bridle frown of wrinkled brow $ those haughty air of face and mind $ depart beauty leave behind $	To catch the beau's unthinking heart , To check th ' assuming fopling's vows , The bridling frown of wrinkled brows ; Those haughty airs of face and mind , Departed beauty leaves behind .	26	face
do we not see the trace of bitter tear upon the face that use to glow with smile $	Do we not see the trace of bitter tears upon the face that used to glow with smiles ?	11	face
