sentence_lemma	sentence_token	index_lemma	index_token	lemma
on far examination he find a basket $ the remain of food $ three or four empty bottle and drinking-cups $ one or two full bottle $ and a phial contain a small quantity of dark-colored liquid $ with the quality of which he do not think it prudent to make himself acquaint by experiment upon his own person $ not possess a particle of the philosophical courage and zeal of sir humphrey davy $ who gulp down poisonous gas till it become a matter of astonishment and mystery to his friend $ as well as	On further examination he found a basket , the remains of food , three or four empty bottles and drinking-cups , one or two full bottles , and a phial containing a small quantity of dark-colored liquid , with the qualities of which he did not think it prudent to make himself acquainted by experiment upon his own person ; not possessing a particle of the philosophical courage and zeal of Sir Humphrey Davy , who gulped down poisonous gases till it became a matter of astonishment and mystery to his friends , as well as	79	93	gas
it be prove tbtf the apparatus would not succeed in make gas from oil $ and it be argue $ that there be nothing to prevent a person who see this specification from consider that oil gas be mean to be include in it $	It was proved tbtf the apparatus would not succeed in making gas from oil ; and it was argued , that there was nothing to prevent a person who saw this specification from considering that oil gas was meant to be included in it .	11	11	gas
we enter by an avenue of poplar and other tree and shrub $ so illuminate by jet of gas sprinkle amongst the foliage as to give it the effect of enchantment $	We entered by an avenue of poplars and other trees and shrubs , so illuminated by jets of gas sprinkled amongst the foliage as to give it the effect of enchantment .	18	18	gas
on the application of the heat from a spirit lamp to the bottom of the flask $ a current of chlorine gas will be disengage $ and pass into the bromine $ when it readily combine $ and give off a vapor $ which $ when condense in the third vessel $ form a volatile yellowish-red liquid $	On the application of the heat from a spirit lamp to the bottom of the flask , a current of chlorine gas will be disengaged , and pass into the bromine , when it readily combines , and gives off a vapor , which , when condensed in the third vessel , forms a volatile yellowish-red liquid .	21	21	gas
porphyry $ with basis of pitch-stone $ be whiten externally by the slow action of the vapour of sulphurous acid gas $	Porphyry , with basis of pitch-stone , is whitened externally by the slow action of the vapours of sulphurous acid gas .	20	20	gas
the lemonade and the punch obey order $ the gas burn bright $ and smell not $	The lemonade and the punch obey orders -- the gas burns bright , and smells not .	9	9	gas
/q/ qwq and that oil be not mean to be include in iiy it be prove that $ at the time in question $ oil be consider much too expensive too be use for the make of gas	/q/ qwq and that oil was not meant to be included in iiy it being proved that , at the time in question , oil was considered much too expensive too be used for the making of gas	37	37	gas
if cold $ about twice its bulk of chlorine gas $ acquire its color and characteristic property $	if cold , about twice its bulk of chlorine gas , acquiring its color and characteristic properties .	9	9	gas
if we interrupt the current of the gas $ the pore of the platinum become instantaneously fill again with oxygen $ and the same phenomenon can be repeat a second time $ and so on interminably $	If we interrupt the current of the gas , the pores of the platinum become instantaneously filled again with oxygen ; and the same phenomenon can be repeated a second time , and so on interminably .	7	7	gas
since the above paragraph be pen $ the huge swing lamp have be supersede by gas light $ which now brilliantly illuminate all the principal street of the city $	Since the above paragraph was penned , the huge swinging lamps have been superseded by gas lights , which now brilliantly illuminate all the principal streets of the city .	15	15	gas
in large town $ or such establishment as hotel $ where coke be in demand $ and where loss in stolen tallow or oil must be consider $ together with the labour of snuff candle and clean lamp $ the high price of gas be compensate $	In large towns , or such establishments as hotels , where coke is in demand , and where losses in stolen tallow or oil must be considered , together with the labour of snuffing candles and cleaning lamps , the higher price of gas is compensated .	43	43	gas
the painter and paperhanger have be employ $ a furnace diffuse its warmth throughout the house $ and gas illuminate the hall and parlor $	The painter and paperhanger had been employed ; a furnace diffused its warmth throughout the house , and gas illuminated the halls and parlors .	18	18	gas
il can only red by rope ladder $ and it be suppose $ though i think without sutlicient reason $ to be charge with mephitic gas $ fatal ta life $	Il can only red by rope ladders ; and it is supposed , though I think without sutlicient reason , to be charged with mephitic gases , fatal ta life .	25	25	gas
moselle explode because her boiler be empty $ from the effect of gas generate upon the sudden admission of water $ on the start of her forcing-pump $ $	Moselle exploded because her boilers were empty , from the effect of gas generated upon the sudden admission of water , on the starting of her forcing-pump . "	12	12	gas
but it be not alone by their direct action $ that they affect plant injuriously $ the putrid gas which they give out $ be destructive to the young stem and foliage of plant $ in proportion to their strength $ such gas be $ up to a certain point $ absolute poison $ although $ below that point $ they be nutritious $	But it is not alone by their direct action , that they affect plants injuriously ; the putrid gases which they give out , are destructive to the young stems and foliage of plants , in proportion to their strength ; such gases are , up to a certain point , absolute poisons , although , below that point , they are nutritious .	18	18	gas
when we have ascertain the fact of gas become fluid under the influence of cold or pressure $ a curious property possess by charcoal $ that of absorbing gas to the extent of many time its volume $	When we had ascertained the fact of gases becoming fluid under the influence of cold or pressure , a curious property possessed by charcoal , that of absorbing gas to the extent of many times its volume ,	7	28	gas
