sentence_lemma	sentence_token	target_index	original_word
whenever it have not $ when there have be an indulgence in fine writing merely $ the graft $ however ornamental $ betray itself $	Whenever it has not , when there has been an indulgence in fine writing merely , the graft , however ornamental , betrays itself .	17	graft
/z/ in the case $ however $ of very small tree or stock $ which be graft below the surface of the ground $ as be frequently the practice with the apple in american nursery $ the stock be graft in the house in winter $ or early spring $ put away carefully in a damp cellar $ and plant out in the spring $ but this method be only successful when the root be small $ and when the top of the stock be take off $ and the whole root be devote to supply the graft with nourishment $	/z/ In the case , however , of very small trees or stocks , which are grafted below the surface of the ground , as is frequently the practice with the Apple in American nurseries , the stocks are grafted in the house in winter , or early spring , put away carefully in a damp cellar , and planted out in the spring ; but this method is only successful when the root is small , and when the top of the stock is taken off , and the whole root is devoted to supplying the graft with nourishment .	97	graft
child should be early teach that when they set out a fine tree $ or insert a graft $ they be do a favour to posterity $ and begin that which shall continue to make other happy when they be in their grave $	Children should be early taught that when they set out a fine tree , or insert a graft , they are doing a favour to posterity , and beginning that which shall continue to make others happy when they are in their graves .	17	graft
then $ as enter the room from one door $ while the girl peep shyly in from the other $ $ come hither $ hither $ my flowering graft of a thorny crab $ come hither $ my peep fawn $ and learn news of the kind old forester who have always play the godfather to you $	then , as entering the room from one door , while the girl peeped shyly in from the other , " Come hither -- hither , my flowering graft of a thorny crab ; come hither , my peeping fawn , and learn news of the kind old forester who has always played the godfather to you .	28	graft
but this can only be true with very small tree or seedling $ which quickly reproduce a multitude of small root $ after the top be remove for the insertion of a graft $ or where the fiber of large tree have be kill by exposure after removal $ and which be follow by a necessary lop of the branch $	But this can only be true with very small trees or seedlings , which quickly reproduce a multitude of small roots , after the top is removed for the insertion of a graft ; or where the fibres of larger trees have been killed by exposure after removal , and which are followed by a necessary lopping of the branches .	32	graft
that a far change be at the same time effect by increase or lessen the supply of sap from the stock to the graft $ and that a similar change may result from a fertile or sterile soil $	That a further change is at the same time effected by increasing or lessening the supply of sap from the stock to the graft ; and that a similar change may result from a fertile or sterile soil .	23	graft
hence there be two chief requisite for success $ the first $ that the graft be so set in the stock $ that the sap may flow upward without interruption $ and the second $ that the form wood /z/ may flow downward uninterruptedly through the inner bark $	Hence there are two chief requisites for success : the first , that the graft be so set in the stock , that the sap may flow upward without interruption ; and the second , that the forming wood /z/ may flow downward uninterruptedly through the inner bark .	14	graft
but $ while graft never effect any alteration in jie identity of the variety or species of fruit $ still it be not to be deny that the stock do exert certain influence over the habit of the graft $	But , whilst grafting never effects any alteration in Jie identity of the variety or species of fruit , still it is not to be denied that the stock does exert certain influences over the habits of the graft .	38	graft
the first year's growth from the graft or bud $ be head down to within about six good bud of its base $ these bud $ as a consequence $ grow vigorously $	The first year's growth from the graft or bud , is headed down to within about six good buds of its base ; these buds , as a consequence , grow vigorously .	6	graft
sap thus draw up $ pass only into and be elaborate by those leaf $ and be again immediately return to the stock below $ without ever reach the graft $	sap thus drawn up , passes only into and is elaborated by those leaves , and is again immediately returned to the stock below , without ever reaching the graft .	29	graft
i like this method better than any i have ever try for graft large tree $ as it give the graft a good opportunity to get well start $	I like this method better than any I have ever tried for grafting large trees , as it gives the grafts a good opportunity to get well started .	20	graft
the prick thorn $ $ the arrow fierce $ our spirit and our flesh to pierce $ $ the graft $ that spoil our vineyard's fruit $ be from that bitter $ evil root $	The pricking thorns , -- the arrows fierce , Our spirit and our flesh to pierce , -- The grafts , that spoil our vineyard's fruit , Are from that bitter , evil root .	19	graft
the great length of that portion of the graft in contact with the bark and fresh wood $ greatly facilitate their union $ while the cut face of the stock be speedily cover with a new growth by that part of the graft which rest upon it $	The great length of that portion of the graft in contact with the bark and fresh wood , greatly facilitates their union ; while the cut face of the stock is speedily covered with a new growth by that part of the graft which rests upon it .	8	graft
another perpendicular stroke slit the stock for the graft $ leave a perfectly smooth face cut for its reception $	Another perpendicular stroke slits the stock for the graft , leaving a perfectly smooth face cut for its reception .	8	graft
this be a part of nursery business generally too much neglect $ for in many instance inoculate and graft tree be neglect by allow young wood to grow from the stock under and over the graft or bud $ and the consequence be that the bud or graft be impoverished by be deprive of the sap which should flow into them from the stock $	This is a part of nursery business generally too much neglected ; for in many instances inoculated and grafted trees are neglected by allowing young wood to grow from the stock under and over the graft or bud , and the consequence is that the buds or grafts are impoverished by being deprived of the sap which should flow into them from the stock .	35	graft
/z/ this fact have tend to confirm horticulturist in the belief in the necesity of an adaptation of the graft to the stock $	/z/ This fact has tended to confirm horticulturists in the belief in the necesity of an adaptation of the graft to the stock .	19	graft
if $ $ say de candolle $ $ the descending sap have only an incomplete analogy with the want of the stock $ the latter do not thrive $ though the organic union may have take place $ and if the analogy between the alburnum of stock and scion be want $ the organic union do not operate $ the scion can not absorb the sap of the stock and the graft fail $ $	If , " says De Candolle , " the descending sap has only an incomplete analogy with the wants of the stock , the latter does not thrive , though the organic union may have taken place ; and if the analogy between the alburnum of stock and scion is wanting , the organic union does not operate ; the scion can not absorb the sap of the stock and the graft fails . "	71	graft
<nul> grafting $ as large corresponding surface be make to fit $ and the graft receive freely the ascending sap $	25. grafting , as large corresponding surfaces are made to fit , and the graft receives freely the ascending sap .	14	graft
wherever there be an old pear tree $ bear those miserable representation of that fruit $ that we see in most of our country town $ a few graft of fine variety put into its top $ will in two or three year bear such specimen as can not be excel for beauty and flavor $	Wherever there is an old pear tree , bearing those miserable representations of that fruit , that we see in most of our country towns , a few grafts of fine varieties put into its top , will in two or three years bear such specimens as can not be excelled for beauty and flavor .	28	graft
