sentence_lemma	sentence_token	index_lemma	index_token	lemma
pompey $ however $ for a time make head against spain $ and overthrow perpenna $ who command one of the wing $	Pompey , however , for a time made head against Spain , and overthrew Perpenna , who commanded one of the wings .	8	8	head
first officer great duke $ you must $ for i know that $ for when we make a former head against them $ it seem but as a noiseless place $ but afore our thought be turn for it $ we be in one another's rank right thickly $ hilt and hilt the game $ and death the stake $ and by chance $ i save myself from the sacrifice $	First Officer Great Duke , you must , for I know that ; for when we made a former head against them , it seemed but as a noiseless place ; but afore our thoughts were turned for it ; we were in one another's ranks right thickly ; hilt and hilt the game , and death the stakes ; and by chance , I saved myself from the sacrifice .	19	19	head
bridget my answer $ dear $ would betray my promise to my mother $ and $ perhaps $ bring will $ nay death upon our head $	Bridget My answer , dearest , would betray my promise to my mother , and , perhaps , bring wo , nay death upon our head .	25	25	head
the blow be give by a person of grisly aspect $ with a head almost bald $ and sunken cheek $ apparently of the feminine gender $ though hardly to be class in the gentl sex $	The blows were given by a person of grisly aspect , with a head almost bald , and sunken cheeks , apparently of the feminine gender , though hardly to be classed in the gentler sex .	13	13	head
no $ $ he answer $ and replace the hat on his head	No , " he answered ; and replacing the hat on his head	12	12	head
commencement $ which part philly run over with a hurry voice $ but he assume a more deliberate manner when he come to the ground of the decision $ state $ $ that the say arbitrator $ have duly consider all and singular the letter $ declaration in writing $ and other paper touch the exposition of the intent of the say party $ and their motive for make and receive the say grant $ and also duly consider the deed appertain thereunto $ and all other matter connect therewith $ have not find it necessary to declare their opinion upon the true intent and effect in law of the say deed $ by reason that certain fact and matter in evidence have come to the knowledge of the say arbitrator $ whereby the original proprietary right and relation of the say party litigant $ $ $ i wish you would change that word litigant $ ' mr.- wart $ $ say mr.- tracy $ who during the reading of the award sit listen with fix attention $ and nod his head $ somewhat in the manner of one keep time	commencement , which part Philly ran over with a hurried voice ; but he assumed a more deliberate manner when he came to the grounds of the decision , stating , " that the said arbitrators , having duly considered all and singular the letters , declarations in writing , and other papers touching the exposition of the intent of the said parties , and their motives for making and receiving the said grant , and also duly considering the deeds appertaining thereunto , and all other matters connected therewith , have not found it necessary to declare their opinion upon the true intent and effect in law of the said deeds , by reason that certain facts and matters in evidence have come to the knowledge of the said arbitrators , whereby the original proprietary rights and relations of the said parties litigant -- " " I wish you would change that word litigant , ' Mr. Wart , " said Mr. Tracy , who during the reading of the award sat listening with fixed attention , and nodding his head , somewhat in the manner of one keeping time	181	181	head
and some how or other my head get jam have under one of their bonnet $ but ' t be none of my duins though $ and say she $ sir $ i will thank you to take your head out of my face $	And some how or other my head got jam'd under one of their bonnets , but ' t was none of my duins though , and says she , sir , I'll thank you to take your head out of my face .	6	6	head
the indian who appear to be the leader of the party $ and who wear the hawk's wing in his head $ now suddenly draw his bow $ while the blacksmith's attention have be momentarily withdraw from his enemy by an unexpected noise in an opposite direction $ and take a rapid aim $ discharge an arrow at the solitary champion $	The Indian who appeared to be the leader of the party , and who wore the hawk's wing in his head , now suddenly drew his bow , while the blacksmith's attention had been momentarily withdrawn from his enemies by an unexpected noise in an opposite direction , and taking a rapid aim , discharged an arrow at the solitary champion .	20	20	head
they almost expect to find the doctor in the study $ as they know he have be there a short time before $ but the sole occupant of the chamber be frank digby $ who $ to the astonishment of all $ be stand in a very disconsolate attitude near the fireplace $ lean his head on the mantelpiece $ and neither move nor speak when they enter $ $	They almost expected to find the doctor in the study , as they knew he had been there a short time before , but the sole occupant of the chamber was Frank Digby , who , to the astonishment of all , was standing in a very disconsolate attitude near the fireplace , leaning his head on the mantelpiece , and neither moved nor spoke when they entered . "	55	55	head
her eye glance wildly from sir philip to his helpless victim $ then she groan aloud $ and press her hand upon her head as if it be burst $	Her eyes glanced wildly from Sir Philip to his helpless victim -- then she groaned aloud , and pressed her hand upon her head as if it were bursting .	23	23	head
