sentence_lemma	sentence_token	index_lemma	index_token	lemma
on one side $ the river be continually form new land	On one side , the river is continually forming new land	10	10	land
at an early hour $ the whole city be in motion $ almost every man $ woman and child be prepare to witness the land of their much respect guest $	At an early hour , the whole city was in motion ; almost every man , woman and child was preparing to witness the landing of their much respected guest .	24	17	land
he land among us $ fall into some circle $ good or bad $ as the case may be $ hear them speak in strong term of their party adversary $ be able to make none of that secret	He lands among us , falls into some circle , good or bad , as the case may be , hears them speak in strong terms of their party adversaries , is able to make none of that secret	1	1	land
the day previous to our land be a sunday $ and i be pleased to observe the decorum which pervade the ship $	The day previous to our landing was a Sunday , and I was pleased to observe the decorum which pervaded the ship .	5	10	land
the catholic army $ say antonio agapida $ enter moclin in solemn state $ not as a licentious host intent upon plunder and desolation $ but as a band of christian warrior come to purify and regenerate the land $	The Catholic army ( says Antonio Agapida ) entered Moclin in solemn state , not as a licentious host intent upon plunder and desolation , but as a band of Christian warriors coming to purify and regenerate the land .	38	38	land
a neighboring farmer $ into whose land the acre in question make an awkward elbow $ be anxious to buy solomon's title $ and dispossess the unlawful occupant $	A neighboring farmer , into whose land the acres in question made an awkward elbow , was anxious to buy Solomon's title , and dispossess the unlawful occupant .	6	6	land
he talk of a class of man who play upon the public sympathy $ who make a trade of philanthropy and live by it $ whose benevolence be according to their mere instinct and sensibility $ and without regard to god's comprehensive government be always exclusively on one side $ and that the side of crime $ lawlessness $ and violence-who be spread abroad a new visionary philosophy and literature which subject scripture to the interpretation of the intuitional reason $ and corresponding impulse of a romantic sensibility $ and plead for the boast dignity and perfectibility of man $ and set up his imaginary right above his duty $ and his happiness above his virtue $ who be encourage by selfish and time-serving politician $ and be do much mis- chief iu the land $	He talks of a class of men who play upon the public sympathies , who make a trade of philanthropy and live by it , whose benevolence is according to their mere instincts and sensibilities , and without regard to God's comprehensive government is always exclusively on one side , and that the side of crime , lawlessness , and violence-who are spreading abroad a new visionary philosophy and literature which subject scripture to the interpretation of the intuitional reason , and corresponding impulses of a romantic sensibility , and plead for the boasted dignity and perfectibility of man , and set up his imaginary rights above his duties , and his happiness above his virtue ; who are encouraged by selfish and time-serving politicians , and are doing much mis- chief iu the land .	134	134	land
few sun set on that dismal scene $ my wound be still unsear have and green $ when thunder on with trump and drum $ i hear again the war-horse come $ like gather tempest $ big and black $ that through the forest wing its track $ sweeping and tear all that stand $ and desolating wood and land $	Few suns set on that dismal scene , My wounds were still unsear'd and green , When thundering on with trump and drum , I heard again the war-horse come , Like gathering tempest , big and black , That through the forest wings its track , Sweeping and tearing all that stand , And desolating wood and land .	59	58	land
the reality of the world affect me as vision $ and as vision only $ while the wild idea of the land of dream become $ in turn $ not the material of my every-day existence $ but in very deed that existence utterly and solely in itself $	The realities of the world affected me as visions , and as visions only , while the wild ideas of the land of dreams became , in turn , not the material of my every-day existence , but in very deed that existence utterly and solely in itself .	21	21	land
go $ tourist $ where the genesee $ in fall $ shake the solid land $	Go , tourist , where the Genesee , In falling , shakes the solid land !	14	14	land
then $ lead on by the child-like attention and womanly intelligence of his eager listener $ he describe to her his travel in the far west $ in the land which she cherish and love as her father's birthplace and the home of his boyhood $ tell her of the boundless prairie $ which have be the red man's hunting-ground $ and of stream so broad and long that the boast river of damascus and of lebanon be as feeble rill in comparison $	Then , led on by the child-like attention and womanly intelligence of his eager listener , he described to her his travels in the farther West , in the land which she cherished and loved as her father's birthplace and the home of his boyhood ; told her of the boundless prairies , which had been the red man's hunting-ground , and of streams so broad and long that the boasted rivers of Damascus and of Lebanon were as feeble rills in comparison .	29	29	land
she gaze on the land which have $ in truth $ be her country $ until its outline be lose in the haze of fall night $ and then $ order her couch to be spread on the deck al fresco $ command the pilot to awaken her should the coast be in sight at daybreak $	She gazed on the land which had , in truth , been her country , until its outlines were lost in the haze of falling night ; and then , ordering her couch to be spread on the deck al fresco , commanded the pilot to awaken her should the coast be in sight at daybreak .	4	4	land
their eye be gloat over the land of our neighbor $ lie between the proper limit of texas and the great north river of the mexican $ including part of four other department of mexico $ with santa f * $ and then stretch away to the pacific $ and embrace the best portion $ or the whole $ of the californias $ and heaven know how much more besides $	Their eyes were gloating over the lands of our neighbor , lying between the proper limits of Texas and the Great North River of the Mexicans ; including parts of four other departments of Mexico , with Santa F * , and then stretching away to the Pacific , and embracing the best portions , or the whole , of the Californias : and heaven knows how much more besides .	6	6	land
