sentence_lemma	sentence_token	target_index	original_word
reply harbottle $ $ every lad to his own lass $	replied Harbottle , " every lad to his own lass .	9	lass
meanwhile william and i be already on foot $ and our mule be lead on by the guide's daughter $ a pretty little lass of ten or twelve $ who accompany us in the capacity of mule driver $	Meanwhile William and I were already on foot , and our mules were led on by the guide's daughter , a pretty little lass of ten or twelve , who accompanied us in the capacity of mule driver .	23	lass
you may present the furious little lass with her own image in a look glass $ tell her the passion which her peace annoy $ disturb her person $ and her mind destroy $ can only serve to make her tortur have breast an emblem of a raging hornet's nest $ her friend will	You may present the furious little lass With her own image in a looking glass -- Tell her the passion which her peace annoys , Disturbs her person , and her mind destroys , Can only serve to make her tortur'd breast An emblem of a raging hornet's nest ; Her friends will	6	lass
intelligence office $ of which $ in common with all other country lass live in the neighborhood of the city $ she have hear much $ and like them $ think she have only to go there to get employment at once $	intelligence offices , of which , in common with all other country lasses living in the neighborhood of the city , she had heard much ; and like them , thought she had only to go there to get employment at once .	12	lass
' ah $ ben $ i see you have an understanding eye to the lass $	' Ah , Ben , I see you have an understanding eye to the lasses .	14	lass
while he be do this $ i catch sight of a knot of young lass $ who be sit near us on the grass surround by heap of flower which they be form into garland $	Whilst he was doing this , I caught sight of a knot of young lasses , who were sitting near us on the grass surrounded by heaps of flowers which they were forming into garlands .	14	lass
lad $ lass $ police $ <temp> $ &c $ costume brian <nul>	Lads , Lasses , Police , &c., ; &c ; Costume BRIAN O'LINN.	2	lass
but you be a father $ with a tight $ pretty lass of your own $ what care an old widower for bright een and sunny hair $	but you are a father , with a tight , pretty lass of your own ; what cares an old widower for bright een and sunny hair ?	11	lass
say mr.- jones $ as the child could not make use of book $ and be the only teacher $ i be compel to throw the whole school into one $ lass $ and to teach theni all together on the inthnt schoot plan $	Says Mr. Jones " As the children could not make use of books , and being the only teacher , I was compelled to throw the whole school into one ( lass , and to teach them all together on the inthnt schoot plan .	31	lass
well $ then $ i believe that i do see the lass $ mon $	Well , then , I believe that I did see the lass , mon !	11	lass
clink your glass $ toast your lass $ set the table in a roar $	Clink your glasses , toast your lasses , set the table in a roar !	6	lass
merry lass $ who break the crockery $ burn the dinner $ tear the clothes in ironing $ and knock down everything that stand in her way about the house $ without at all discomposing herself about the matter $	merry lass , who broke the crockery , burned the dinner , tore the clothes in ironing , and knocked down everything that stood in her way about the house , without at all discomposing herself about the matter .	1	lass
a coof cam in wi ' rowth o ' gear $ and i hae tint my dear dear $ but woman be but warld's gear $ sae let the bonnie lass gang $ $	A coof cam in wi ' rowth o ' gear , And I hae tint my dearest dear ; But woman is but warld's gear , Sae let the bonnie lass gang . "	30	lass
it seem to have strike a sympathetic chord in the countryman $ for draw near the good woman $ whose exterior express very little resemblance to the gentle emblem by which she have choose to personify herself $ he say $ kindly smiling $ $ bring me a knife $ mother $ and i will give you a slice of butter to garnish your tea-table when your comely lass come home $ $	It seemed to have struck a sympathetic chord in the countryman ; for drawing near the good woman , whose exterior expressed very little resemblance to the gentle emblem by which she had chosen to personify herself , he said , kindly smiling , " Bring me a knife , mother , and I'll give you a slice of butter to garnish your tea-table when your comely lasses come home . "	67	lass
me my ain peggy $ an ' i care na ' wha get a ' the lave o ' the bonny lass in the country $	me my ain Peggy , an ' I care na ' wha gets a ' the lave o ' the bonny lasses in the country .	21	lass
hoot $ peggy $ lass $ $ say he $ in an endearing tone $ $ dinna be sae flirt $	Hoot , Peggy , lass , " said he , in an endearing tone , " dinna be sae flirted .	4	lass
but courage $ old lass $ i hope to see thee soon within a biscuit's toss of the merry land $ ride snugly at anchor in some green cove $ and shelter from the boisterous wind $	But courage , old lass , I hope to see thee soon within a biscuit's toss of the merry land , riding snugly at anchor in some green cove , and sheltered from the boisterous winds .	4	lass
but i know the position of the old minister's arm-chair $ and also where his wife sit $ with her knitting-work $ and how to avoid his two daughter $ one a stout country lass $ and the other a consumptive girl $	But I knew the position of the old minister's arm-chair , and also where his wife sat , with her knitting-work , and how to avoid his two daughters , one a stout country lass , and the other a consumptive girl .	34	lass
finale $ to act i air $ harriet sweet the hour $ when free from labour $ lad and lass thus convene $ to the merry pipe and tabor $ dance gayly on the green $	Finale , to Act I Air -- Harriet Sweet the hour , when freed from labour , Lads and lasses thus convene , To the merry pipe and tabor , Dancing gayly on the green .	19	lass
say they do $ then say i $ the lass be the more fool to let them $	said they did ; then says I , the lasses are the more fools to let them .	9	lass
besides $ ye maun grant that it be na very creditable for a poor bonny lass $ like her $ to be ta'en notice to by a rich look ' gentleman sa far abune her $ in the market $	Besides , ye maun grant that it was na very creditable for a poor bonny lass , like her , to be ta'en notice to by a rich lookin ' gentleman sa far abune her , in the market .	15	lass
from the country $ and to stare at the uncouth and sturdy form of the farmer $ or admire the black eye and merry face of the country lass $	from the country , and to stare at the uncouth and sturdy forms of the farmers , or admire the black eyes and merry faces of the country lasses .	28	lass
