sentence_lemma	sentence_token	target_index	original_word
work on $ consider that every story he have hear $ be strongly attest $ some of the narrator have go so far as to say $ that if necessary $ they would not mind swear to what they have behold on the brass clasp of dominie van gieson's great parchment cover bible $ $ a folio $ whose size and sacredness $ be believe to be hallowed $ and far $ as to the very manner and distinct dress of the relation $ the vividness of the hollander's recollection $ seem to perfect itself nearly in a moment $ as he look about him midst the darkness of the forest $ the groan of the tall pine tree $ disturb by the blast $ as it rush with the wing of an eagle over its towering crest $ the sudden and startling yell of the ounce $ as it roam abroad in the jungle of the mountain $ be conjure up $ and dress out in the livery of dire and nameless phantasy of the woud gest ' and the koubold $ $ and ever and anon $	wrought on , considering that every story he had heard , was strongly attested ; some of the narrators having gone so far as to say , that if necessary , they would not mind swearing to what they had beheld on the brass clasps of Dominie Van Gieson's great parchment covered Bible , -- a folio , whose size and sacredness , was believed to be hallowed : and further , as to the very manner and distinct dress of the relations , the vividness of the Hollander's recollection , seemed to perfect itself nearly in a moment , as he looked about him midst the darkness of the forest ; the groan of the tall pine tree , disturbed by the blast , as it rushed with the wing of an eagle o'er its towering crest , the sudden and startling yell of the ounce , as it roamed abroad in the jungles of the mountain , were conjured up , and dressed out in the livery of dire and nameless phantasies of the woud gest ' and the koubold ; -- and ever and anon ,	146	ounce
if any man be fortunate enough to find a few ounce at the surface $ it be herald by the storekeeper and other interested in promote emigration $ to all part of the world $ while nothing be hear of the thousands who be daily undergo extreme labor $ sickness $ and privation $ without a return sufficient to pay their expense $	If any man is fortunate enough to find a few ounces at the surface , it is heralded by the storekeepers and others interested in promoting emigration , to all parts of the world , while nothing is heard of the thousands who are daily undergoing extreme labor , sickness , and privation , without a return sufficient to pay their expenses .	10	ounce
corresponding official return of the gold plate annually manufacture in england $ on which duty be pay $ show that the average do not exceed 7,000 ounce troy $ or about $	Corresponding official returns of the gold plate annually manufactured in England , on which duty was paid , show that the average did not exceed 7,000 ounces troy , or about ?	26	ounce
association $ and show beyond a doubt that $ an ounce of prevention be worth a pound of cure $ $ a maxim of the $ wisdom of nation $ which have prove of little practical efficacy as yet $	association , and show beyond a doubt that " an ounce of prevention is worth a pound of cure , " a maxim of the " wisdom of nations " which has proved of little practical efficacy as yet .	10	ounce
in the third year of q $ ueen anne $ an attempt be make to put an end to this confusion $ by a royal proclamation and act of parliament $ fix the plantation pound at two ounce sixteen pennyweights sixteen grain of silver $ of the fineness of common piece of eight $ at six shilling and ten pence half-penny per ounce $ but $ from various cause $ the act prove effective in barbadoes only $	In the third year of Q , ueen Anne , an attempt was made to put an end to this confusion , by a Royal Proclamation and act of Parliament , fixing the plantation pound at two ounces sixteen pennyweights sixteen grains of silver , of the fineness of common pieces of eight , at six shillings and ten pence half-penny per ounce ; but , from various causes , the act proved effective in Barbadoes only .	62	ounce
let the graft be carefully hold in it &; due position $ and secure it with cotton twist $ russia matting $ or thread of worsted $ whichever be most convenient $ then cover the bandage with well wrought clay $ or grafting wax $ which be make as follow $ two ounce beeswax $ one ounce tallow $ four ounce common pitch $ twelve ounce burgundy pitch $ all melt together $ and use when warm $ with a brush $	Let the graft be carefully held in it &; due position , and secure it with cotton twist , Russia matting , or threads of worsted , whichever is most convenient ; then cover the bandage with well wrought clay , or grafting wax , which is made as follows : Two ounces beeswax , one ounce tallow , four ounces common pitch , twelve ounces Burgundy pitch , all melted together , and used when warm , with a brush .	56	ounce
an half of an ounce of pure silver $ worth as much as a coin contain an ounce $	an half of an ounce of pure silver , worth as much as a coin containing an ounce .	4	ounce
throw not an ounce of lead away $ god and <nul> dennis be our stay $ $	Throw not an ounce of lead away -- God and St. Dennis be our stay ! "	3	ounce
add to it about 40 ounce of common water $ heat to 60 or 70 degree $ $ by little and little $ move $ the bottle to warm it $ for fear of break $	Add to it about 40 ounces of common water ( heated to 60 or 70 degrees ) , by little and little , moving , the bottle to warm it , for fear of breaking .	5	ounce
take two ounce of shell bitter almond or peach-kernels $	Take two ounces of shelled bitter almonds or peach-kernels .	2	ounce
