sentence_lemma	sentence_token	target_index	original_word
she be now $ as we judge $ a singer and player of the first order $ and have many pupil in town	She is now , as we judge , a singer and player of the first order , and has many pupils in town	11	player
he say in an even tone that be singularly mark amid the buzz of those around him $ for each player have now get to feel the affair to be his own $ and to take an absorbing interest in every step that should now be take $	he said in an even tone that was singularly marked amid the buzz of those around him ; for each player had now got to feel the affair to be his own , and to take an absorbing interest in every step that should now be taken .	20	player
the tress of the lute player $ though black as the bright persian's ringlet $ be as different from them in their nature and disposition as any thing can be $ even the most dissimilar $ for they be part evenly upon her forehead $ and flow down quite uncurl in long and wavy mass $ actually rest in loose coil upon the velvet floor-cloth $ as she sit near the english girl on a low ottoman $ with her back to a great venetian mirror $ which reflect the contour of all her sloping shoulder down nearly to the waist $	The tresses of the lute player , though black as the bright Persian's ringlets , were as different from them in their nature and disposition as any things can be -- even the most dissimilar -- for they were parted evenly upon her forehead , and flowed down quite uncurled in long and wavy masses , actually resting in loose coils upon the velvet floor-cloth , as she sat near the English girl on a low ottoman , with her back to a great Venetian mirror , which reflected the contour of all her sloping shoulders down nearly to the waist .	5	player
neither will we disagree in our estimation of another very common and unamiable species of animal $ to wit $ the noisy $ coarse young man who be continually hang about tavern drink julep $ smoke cigar $ canvas the merit of play and player $ or wrangling and dispute about southern nullification $ a mixture of ruffianism and puppyism $ the sort of person who be continually enjoy himself by get into what he call $ famous spree $ or $ duced good lark $ $ which mean commit gratuitous impertinence and get well kick $ beat $ and put into the watchhouse therefor $ liquor only call forth and fully developes the natural rankness of the thought and feeling of such a creature $ and the sooner it kill him the pleasant for society $	Neither will we disagree in our estimation of another very common and unamiable species of animal , to wit -- the noisy , coarse young man who is continually hanging about taverns drinking juleps , smoking cigars , canvassing the merits of plays and players , or wrangling and disputing about southern nullification -- a mixture of ruffianism and puppyism ; the sort of person who is continually enjoying himself by getting into what he calls " famous sprees " or " duced good larks , " which means committing gratuitous impertinences and getting well kicked , beaten , and put into the watchhouse therefor ; liquor only calls forth and fully developes the natural rankness of the thoughts and feelings of such a creature ; and the sooner it kills him the pleasanter for society .	44	player
it $ in fact $ differ but little from an instrument which the italian call ninfale which the player attach to his body $ while he play upon it	It , in fact , differed but little from an instrument which the Italians called Ninfale which the player attached to his body , while he played upon it	18	player
the player lay hold of this dub with both hand $ raise it over hie head $ and as it descend strike the ball $	The player lays hold of this dub with both hands , raises it over his head , and as it descends strikes the ball .	1	player
of the sword $ $ $ point and fence disappear $ and the youth find himself in a more transparent atmosphere $ wherein life be a less troublesome game $ and not a misunderstanding rise between the player $	of the sword , - - points and fences disappear , and the youth finds himself in a more transparent atmosphere , wherein life is a less troublesome game , and not a misunderstanding rises between the players .	37	player
every player who be touch $ go to the prison belong to the opposite party $ where he must remain until one of his own iside be able to reach him $ without be touch in his run from bound to the prison $ by any of the opposite party $	Every player who is touched , goes to the prison belonging to the opposite party , where he must remain until one of his own Iside be able to reach him , without being touched in his run from bounds to the prison , by any of the opposite party .	1	player
if it be catch $ before it have twice touch the ground $ by the player so call on $ he lose no point $ but throw it up again $ and call upon whom he please to catch it $	If it be caught , before it has twice touched the ground , by the player so called on , he loses no point , but throws it up again , and calls upon whom he pleases to catch it .	15	player
you would encourage me $ $ he say quietly $ and in tone which $ to the unnoteful ear $ would have seem natural enough $ but which $ know him as i do $ be slightly sarcastic $ and contain a deeper signification than they give out $ $ but you be the better player $	You would encourage me , " he said quietly , and in tones which , to the unnoteful ear , would have seemed natural enough , but which , knowing him as I did , were slightly sarcastic , and containing a deeper signification than they gave out : " but you are the better player .	55	player
then the principal street of the village be fill with booth of every description $ stroll player $ and rope-dancers $ and juggler $ and giant $ and dwarf $ and wild beast $ and all kind of wonderful show excite the gaping curiosity of the throng $ and in dust $ crowd $ and confusion the village rival the capital itself $	Then the principal street of the village is filled with booths of every description ; strolling players , and rope-dancers , and jugglers , and giants , and dwarfs , and wild beasts , and all kinds of wonderful shows excite the gaping curiosity of the throng , and in dust , crowds , and confusion the village rivals the capital itself .	16	player
the card fly from her finger $ and the seventh time in succession the bankress be a loser $ the player a winner $	The cards flew from her fingers , and the seventh time in succession the bankress was a loser , the player a winner !	20	player
// rius1 the player be $ in consequence $ banish from italy $	// rius1 the players were , in consequence , banished from Italy .	3	player
every player who be afterwards touch by either of the outside one $ do the like $ until the whole be thus touch and take $	Every player who is afterwards touched by either of the outside ones , does the like , until the whole be thus touched and taken .	1	player
an excellent player himself $ he do not $ like mrs.- battle $ insist on $ the rigor of the game $ $ but make the change fortune of the war wholly subservient to the interest of conversation $	An excellent player himself , he did not , like Mrs. Battle , insist on " the rigor of the game , " but made the changing fortunes of the war wholly subservient to the interests of conversation .	2	player
although a moderate player $ and what be term an amateur $ for want of better or more suitable phrase $ ernest be unusually skillful at card $ be quick at observation $ and accustomed to all the game and trick of the day $	Although a moderate player , and what is termed an amateur , for want of better or more suitable phrase , Ernest was unusually skillful at cards , being quick at observation , and accustomed to all the games and tricks of the day .	3	player
$ society have raise a bar between the preacher and the player $ perhaps it would have be better have it never exist $ but as it be $ i would not advise your son or any other clergyman to step over it $	" Society has raised a bar between the preacher and the player ; perhaps it would have been better had it never existed ; but as it is , I would not advise your son or any other clergyman to step over it .	11	player
among his other accomplishment $ he possess the most wonderful agility $ have belong $ at one time $ to a company of stroll player $ and his skill on tight and slack rope $ if we be to credit old story $ would put to the blush the modern performance of the ravels and herr cline $	Among his other accomplishments , he possessed the most wonderful agility -- had belonged , at one time , to a company of strolling players , and his skill on tight and slack rope -- if we are to credit old stories -- would put to the blush the modern performances of the Ravels and Herr Cline .	24	player
who be $ he $ of whom jones have speak so emphatically $ yet left unnamed $ and why should a woman $ however great might be her merit as a player $ maintain an influence over the company $ of such seemingly tyrannical extent $ a tyranny which $ from their spontaneous recognition of its sway $ would seem to have be of habitual and undisputed exercise $	Who was " he " of whom Jones had spoken so emphatically , yet left unnamed ; and why should a woman , however great might be her merits as a player , maintain an influence over the company , of such seemingly tyrannical extent -- a tyranny which , from their spontaneous recognition of its sway , would seem to have been of habitual and undisputed exercise ?	31	player
$ but you be a good player $ $ say the general $ $	" But you are a good player , " said the General . "	6	player
no other player whom i have hear have attempt these $ except now and then $ and should any one have make the trial in the various way in which kean give them $ no doubt he would have fail $	No other player whom I have heard has attempted these , except now and then ; and should any one have made the trial in the various ways in which Kean gives them , no doubt he would have failed .	2	player
if the player who be duck $ can touch /q/ him after he have take up his pebble $ and before he reach the offing $ provide his own pebble remain on the large stone $ then the player so touch $ become duck $	If the player who is duck , can touch /q/ him after he has taken up his pebble , and before he reaches the offing , provided his own pebble remain on the large stone , then the player so touched , becomes duck .	2	player
a party who miss his aim a second time become a tenner $ ' /q/ he who lose a third time $ /a fifteener $ ' and when four point be lose the player stand out the game go on until all the player be out but one $ who $ of course $ win the game $	A party who misses his aim a second time becomes a tenner ; ' /q/ he who loses a third time , /a fifteener ; ' and when four points are lost the player stands out The game goes on until all the players are out but one ; who , of course , wins the game .	33	player
enough that $ about ten o'clock at night $ we find the rival player place at the table $	Enough that , about ten o'clock at night , we find the rival players placed at the table ;	13	player
she would playfully speak of the ancient greek tragedy $ which be to be enact anew on the sta * of athens by grecian player $ and medal be design $ if not execute $ on the take of constantinople $	She would playfully speak of the ancient Greek tragedies , which were to be enacted anew on the sta * of Athens by Grecian players ; and medals were designed , if not executed , on the taking of Constantinople .	24	player
such applause to one's beard be not in ordinary use in that time and country $ and however grateful to such a man as horsey $ be scarcely pleasing to him $ unless it be that his companion regard him also as one of the player just $ come hither $ $	Such applauses to one's beard were not in ordinary use in that time and country ; and however grateful to such a man as Horsey , were scarcely pleasing to him , unless it were that his companion regarded him also as one of the players just " come hither . "	45	player
when a player be touch $ the line separate $ and the $	When a player is touched , the line separates , and the .	2	player
the other player then strike it $ in the same manner $ either before it have touch the ground $ or hop from the ground more than once $ the first /z/ player then prepare to receive and strike it at its rebound $ and thus the game go on $ until one of the player fail to strike the ball in his turn $ before	The other player then strikes it , in the same manner , either before it has touched the ground , or hopped from the ground more than once : the first /z/ player then prepares to receive and strike it at its rebound ; and thus the game goes on , until one of the players fails to strike the ball in his turn , before	2	player
something similar to it may be find in our own country $ where the second rate singer $ dancer $ and player of europe $ accumulate fortune in a few year $ while subsistence $	Something similar to it may be found in our own country , where the second rate singers , dancers , and players of Europe , accumulate fortunes in a few years , while subsistence .	21	player
not exceed a yard $ a second player throw another marble against the wall $ endeavor to make it rebound $ so as to strike or come within a span of the first $ if he can do neither $ the first player take up his own marble $ and $ in turn $ strive to snop or span that of the second $	not exceeding a yard ; a second player throws another marble against the wall , endeavoring to make it rebound , so as to strike or come within a span of the first ; if he can do neither , the first player takes up his own marble , and , in turn , strives to snop or span that of the second .	7	player
a player be allow to touch one of the opposite party only each time he quit bound $ and after have touch an adversary $ he can not be touch on his return to bound $	A player is allowed to touch one of the opposite party only each time he quits bounds , and after having touched an adversary , he can not be touched on his return to bounds .	1	player
but these trick will at length fail to pay $ and then the player of the game $ have nothing to do $ must be add to the rank of the discontented $	But these tricks will at length fail to pay ; and then the players of the game , having nothing to do , must be added to the ranks of the discontented .	13	player
but as he walk from the player's modest dwell $ he experience something of the calmness of despair $	But as he walked from the player's modest dwelling , he experienced something of the calmness of despair .	6	player
