sentence_lemma	sentence_token	target_index	original_word
no empire hail me its brightest hope $ its future prop $ no love hold to my lip its cup of nectar $ and that which be hold $ be to piece dash have $ ere i have taste its content $	No empire Hails me its brightest hope , its future prop ; No love holds to my lips its cup of nectar ; And that which was held , is to pieces dash'd , Ere I had tasted its contents .	10	prop
no * 1 $ prop 9 foot apart $ the deflection be 27 part $	No * 1 , props 9 feet apart , the deflection was 27 parts .	4	prop
which be fifteen foot above the deck $ and then blow over to leeward $ fill up on that side likewise $ while we $ unable to face the storm without $ could only prevent the housing from be break in $ by place prop of plank and spar to support the superincumbent weight $	which was fifteen feet above the deck , and then blew over to leeward , filling up on that side likewise ; whilst we , unable to face the storm without , could only prevent the housing from being broken in , by placing props of planks and spars to support the superincumbent weight .	44	prop
give me my son such as he be .... the prop $ the hope $ the joy $ and solace of my day $ the object of my care $ increase daily yet bring with each hour some new delight $	Gives me my son such as he was ... the prop , The hope , the joy , and solace of my days , The object of my cares , increasing daily Yet bringing with each hour some new delight .	10	prop
the prop be 3 foot asunder $ the same weight be use in each case $ and the deflection be carefully measure by a scale of 55 part to an inch $	The props were 3 feet asunder , the same weights were used in each case , and the deflections were carefully measured by a scale of 55 parts to an inch .	1	prop
on each side the field swell upwards to the hill $ beyond $ above the hill $ in the blue distance $ rise the mighty column with which earth prop heaven $	On each side The fields swell upwards to the hills ; beyond , Above the hills , in the blue distance , rise The mighty columns with which earth props heaven .	29	prop
art thou then a stranger in this land $ and knowest not that she who be our lov have and prize one $ /z/ the key-stone of our friendship's firm-knit arch $ $ $ the clasp by which band numberless be hold $ $ $ the spring by which all kindly stream be feed $ $ $ the prop on which fond heart too fondly lean $ be go $ and have not leave her like behind $	Art thou then A stranger in this land , and knowest not That she who was our lov'd and prized one , /z/ The key-stone of our friendship's firm-knit arch , - - The clasp by which bands numberless were held , - - The spring by which all kindly streams were fed , - - The prop on which fond hearts too fondly leaned , Is gone , and hath not left her like behind !	57	prop
and prop of the undertaking $ but few tribute to pay $	and props of the undertaking -- but few tributes to pay .	1	prop
be not like elizabeth $ for though she hear the remark $ she do not even change color $ but go up to the boy $ and put both arm about his neck with a smile $ and give him a hearty kiss ..... and bid him be a good boy $ and a prop for his widowed mother $	was not like Elizabeth ; for though she heard the remark , she did not even change color , but went up to the boy , and put both arms about his neck with a smile , and gave him a hearty kiss .... and bid him be a good boy , and a prop for his widowed mother .	54	prop
perhaps an only son be take from old $ decrepit parent $ the only earthly prop of their declining year $ and with cold poverty and sorrow their gray hair be bring down to the dust $	Perhaps an only son is taken from old , decrepit parents , the only earthly prop of their declining years ; and with cold poverty and sorrow their gray hairs are brought down to the dust .	15	prop
what most of all surprise me in this man be $ that the decree have scarcely be make public $ when he audaciously offer me his hand $ threaten $ should i reject it $ to give me up to justice alarm by his threat $ and disgusted by his importunity $ i flee from the asylum whither he have beguile me $ and bend my course towards lausanne $ have no prop but my conscience $ $ no	What most of all surprised me in this man was , that the decree had scarcely been made public , when he audaciously offered me his hand , threatening , should I reject it , to give me up to justice Alarmed by his threats , and disgusted by his importunity , I fled from the asylum whither he had beguiled me , and bent my course towards Lausanne , having no prop but my conscience , -- no	72	prop
his limb tremble in every joint and rivet $ and his tooth $ which be not metallic $ shake like a set of prop $	His limbs trembled in every joint and rivet , and his teeth , which were not metallic , shook like a set of props .	23	prop
rest on the two prop of fidelity and zeal $ an association might exist for age in the heart	Resting on the two props of fidelity and zeal , an association might exist for ages in the heart	4	prop
