sentence_lemma	sentence_token	target_index	original_word
in the center of the room $ two chair be place $ some three foot apart $ over which a quilt be carefully spread $ so as seemingly to form a divan $ and when a lady be seat on each chair $ the gentleman withdraw to the low apartment $ to be separately suffer to enter again when all should be in order $	In the centre of the room , two chairs were placed , some three feet apart , over which a quilt was carefully spread , so as seemingly to form a divan , and when a lady was seated on each chair , the gentlemen withdrew to the lower apartments , to be separately suffered to enter again when all should be in order .	20	quilt
$ there $ s the south room $ $ say aunt hitty $ muse $ $ that bed have the two old aunt ward blanket on it $ and the great blue quilt $ and two comforter $	" There ' s the south room , " said Aunt Hitty , musing ; " that bed has the two old Aunt Ward blankets on it , and the great blue quilt , and two comforters .	32	quilt
room $ you catch a glimpse of a pleasant bedroom $ with its carpet of the same cheerful pattern $ and norah's little straw hat and blue ribbon lie on the white marseilles quilt $ which half cover the low but richly-carved rose-wood bedstead $	room , you caught a glimpse of a pleasant bedroom , with its carpet of the same cheerful pattern , and Norah's little straw hat and blue ribbons lying on the white Marseilles quilt , which half covered the low but richly-carved rose-wood bedstead .	33	quilt
fashion be chatter about $ the coalscuttle bonnet of some offensive neighbor $ who be not invite to the quilt $ be criticize $ and the suspicion start that she lace too tight $ and an old man who happen to have the best farm in the county be overhaul for the size of his knee-buckles $ and the exorbitant ruffle on his shirt $ and the costly silk lace to his hat $	Fashions were chattered about , the coalscuttle bonnet of some offensive neighbor ( who was not invited to the quilting ) was criticised , and the suspicion started that she laced too tight ; and an old man who happened to have the best farm in the county was overhauled for the size of his knee-buckles , and the exorbitant ruffles on his shirt , and the costly silk lace to his hat .	19	quilt
$ they give notice $ and prepare their tea $ $ sweat meat $ and mincepies $ and $ in one afternoon $ frequently $ get a fine quilt entirely complete $ after which $ the man be admit $ and then follow a little dancing and romp then $ there be what they call a husk $ which be confine to the new england state $ $ the legitimate yankee population $ $ for $ at the south $ the black do the business after the corn $ not what the english call corn $ but	-- They give notice , and prepare their tea , " sweat meats " and mincepies ; and , in one afternoon , frequently , get a fine quilt entirely completed ; after which , the men are admitted ; and then follow a little dancing and romping Then , there is what they call a Husking , which is confined to the New England states , ( the legitimate Yankee population , ) for , at the South , the blacks do the business After the corn , not what the English call corn -- but	28	quilt
$ have be arrange by mrs.- purfle $ and the sky-blue pillow fringe with gold $ and the purple quilt which belong to the character $ make altogether a very magnificent affair $ though mr.- ashdod cockle have not think it prudent to suspend more than a single candle within the chintz curtain and the gauze blind $	, had been arranged by Mrs. Purfle ; and the sky-blue pillow fringed with gold , and the purple quilt which belonged to the character , made altogether a very magnificent affair , though Mr. Ashdod Cockles had not thought it prudent to suspend more than a single candle within the chintz curtains and the gauze blind .	19	quilt
when every body be in his feather $ the quilt $ which be suspend from the ceiling $ be let - down by pulley $	When every body is in his feathers , the quilt , which is suspended from the ceiling , is let - down by pulleys .	9	quilt
betsey have count all the square $ and three-cornered piece $ and circle $ in the patch-work quilt upon her bed $ she know there be six more red than green one $ and that one of the circle be piece seven time $	Betsey had counted all the squares , and three-cornered pieces , and circles , in the patch-work quilt upon her bed ; she knew there were six more red than green ones , and that one of the circles was pieced seven times .	17	quilt
the gossip concerning the quilt begin to lose interest $ what matter whether it be compose of star or stripe $ $ rise sun $ or $ crescent $ $ mrs.- wetherbe know her own business of course $ and those who have at first hope they would not be invite because they be sure they would not go if they be $ waver visibly in their stout resolve $	The gossip concerning the quilt began to lose interest ; what matter whether it were composed of stars or stripes , " rising suns " or " crescents , " Mrs. Wetherbe knew her own business of course , and those who had at first hoped they would not be invited because they were sure they would not go if they were , wavered visibly in their stout resolves .	4	quilt
why $ the boy have be go away this hour $ and $ you see $ there ain't no winder up here $ but i will take down this here quilt $ and then i guess you will be able to see some $ $	why , the boys has been gone away this hour , and , you see , there ain't no winder up here , but I'll take down this here quilt , and then I guess you'll be able to see some . "	29	quilt
the room in which i lay be divide into several small compartment $ by temporary partition $ make of quilt suspend from the joist above $	The room in which I lay was divided into several small compartments , by temporary partitions , made of quilts suspended from the joists above .	19	quilt
the custom which prevail $ even a dozen year ago $ in clovernook and other rural neighborhood of the west $ be now obsolete $ but i do not in any degree overdraw the manner of the period in which this quilt occur at mrs.- wetherbe's $	The customs which prevailed , even a dozen years ago , in Clovernook and other rural neighborhoods of the west , are now obsolete ; but I do not in any degree overdraw the manners of the period in which this quilting occurred at Mrs. Wetherbe's .	41	quilt
but she could not be spare for a week $ and it be agree that helph should be send to bring her on the day of the quilt $ and so $ between smile and tear $ we leave her $	But she could not be spared for a week , and it was agreed that Helph should be sent to bring her on the day of the quilting ; and so , between smiles and tears , we left her .	27	quilt
not only do we select calico for the border of the quilt $ together with cotton bat and spool-thread $ but we also procure sundry nicety in the edible way $ among which i remember a jug of orleans molasses $ half a pound of ground ginger	Not only did we select calico for the border of the quilt , together with cotton batting and spool-thread , but we also procured sundry niceties in the edible way , among which I remember a jug of Orleans molasses , half a pound of ground ginger	11	quilt
the small fair hand that lay on the quilt be load with gem $	The small fair hand that lay on the quilt was loaded with gems .	8	quilt
bed curtain $ and two marseilles quilt $ and now they will have to make him up the loss of his chicken $	bed curtains , and two marseilles quilts ; and now they will have to make him up the loss of his chickens .	6	quilt
then mother's and my room $ two pair $ four comforter $ two quilt $ the best chamber have get $ $ $ o $	Then mother's and my room , two pair -- four comforters -- two quilts -- the best chamber has got -- " " O !	13	quilt
the chamber be large $ cover an area occupy by three room on the ground floor $ and be next to the roof $ the quilt could be conveniently attach to the rafter by rope $ and thus draw up out of the way in case it be not finish before nightfall $	The chamber was large , covering an area occupied by three rooms on the ground floor ; and being next to the roof , the quilt could be conveniently attached to the rafters by ropes , and thus drawn up out of the way in case it were not finished before nightfall .	25	quilt
there be a great deal of surmise and debate likewise as to the quilt itself $ and some hope it be a little nice than any patchwork they have see of mrs.- wetherbe's make $	There was a great deal of surmising and debating likewise as to the quilt itself ; and some hoped it was a little nicer than any patchwork they had seen of Mrs. Wetherbe's making .	13	quilt
there be $ quilt bee $ $ where the thick quilt $ so necessary in canada $ be fabricate $ $ apple bee $ $ where this fruit be slice and string for the winter $ $ shell bee $ $ where pea in bushel be shell and barrel $ and $ log bee $ $ where the decayed stump in the clearing be root up by ox $	There are " quilting bees , " where the thick quilts , so necessary in Canada , are fabricated ; " apple bees , " where this fruit is sliced and strung for the winter ; " shelling bees , " where peas in bushels are shelled and barrelled ; and " logging bees , " where the decayed stumps in the clearings are rooted up by oxen .	10	quilt
moon look down upon the hill sleep beneath their robe white than marseilles quilt $ with a calm $ gush eye $ like a mother upon her little child in bed $ and the cloud $ soft as summer $ look lovingly upon the moon $	moon looked down upon the hills sleeping beneath their robes whiter than Marseilles quilts , with a calm , gushing eye , like a mother upon her little children in bed ; and the clouds , soft as summer , looked lovingly upon the moon .	13	quilt
it follow $ of consequence $ that $ have unburden her mind freely both to deacon enos and to susan $ she begin to feel very much more comfortable and good-natured $ and consequent upon that come diver reflection upon the many gossip opportunity and comfort of a quilt $ and then the intrusive little reflection $ $ what if she should go $ after all $ what harm would be do $ $	It followed , of consequence , that , having unburdened her mind freely both to Deacon Enos and to Susan , she began to feel very much more comfortable and good-natured ; and consequent upon that came divers reflections upon the many gossiping opportunities and comforts of a quilting ; and then the intrusive little reflection , " What if she should go -- after all , what harm would be done ? "	48	quilt
