sentence_lemma	sentence_token	index_lemma	index_token	lemma
by the will of my father $ which be on record $ he leave all of his property to my brother $	By the will of my father , which is on record , he left all of his property to my brother .	10	10	record
this $ as a practical art $ be generally supposed to be coeval with the human race $ and its existence be recognize in the early record of man $ authentic or fabulous $	This , as a practical art , is generally supposed to be coeval with the human race , and its existence is recognised in the earliest records of man , authentic or fabulous .	26	26	record
i propose to join a village and make myself an inmate of one of their lodge $ and henceforward this narrative $ so far as i be concerned $ will be chiefly a record of the progress of this design apparently so easy of accomplishment $ and the unexpected impediment that oppose it $	I proposed to join a village and make myself an inmate of one of their lodges ; and henceforward this narrative , so far as I am concerned , will be chiefly a record of the progress of this design apparently so easy of accomplishment , and the unexpected impediments that opposed it .	33	33	record
there be but few trace on record of their dealing $ in which $ of course $ the horroxving be all on one side and the lending on the other $ but that addison lend freely appear from a remark in one of steele's letter to his wife $ in which he say $ that $ he have pay mr.- addison the whole thousand pound $ $	There are but few traces on record of their dealings , in which , of course , the horroxving was all on one side and the lending on the other ; but that Addison lent freely appears from a remark in one of Steele's letters to his wife , in which he says , that " he has paid Mr. Addison the whole thousand pounds . "	6	6	record
this $ nurture and admonition of the lord $ under the parental roof $ and the memory and record of his pious ancestry $ have a strong influence upon him $	This " nurture and admonition of the Lord " under the parental roof , and the memories and records of his pious ancestry , had a strong influence upon him .	18	18	record
no marriage certificate $ nor any record of the fact $ as to the exact time and place $ be know to be in existence $ and without them $ or evidence of a very conclusive character $ the title of mrs.- montgomery could not be clearly establish $	No marriage certificate , nor any record of the fact , as to the exact time and place , were known to be in existence ; and without them , or evidence of a very conclusive character , the title of Mrs. Montgomery could not be clearly established .	6	6	record
9 $ in relation to the record and copy of the record $	9 , in relation to the records and copies of the records .	6	6	record
but history have also her brighter chapter $ and her immortal record of such teacher as socrates and plato $ and of race too $ that seem	But history has also her brighter chapters , and her immortal record of such teachers as Socrates and Plato ; and of races too , that seem	11	11	record
have live long enough-he have do enough $ and do so successfully $ so honorably as to connect himself $ for all time $ with the record of his country $ $	has lived long enough-he has done enough , and done so successfully , so honorably as to connect himself , for all time , with the records of his country . "	26	26	record
this be clearly show by the record of his whole life $	This is clearly shown by the record of his whole life .	6	6	record
