sentence_lemma	sentence_token	index_lemma	index_token	lemma
then it be my lesser risk to anticipate their intention $ by try to break through their ring and escape to the wood $ $ promptly say crocker $	Then it were my lesser risk to anticipate their intention , by trying to break through their ring and escape to the woods , " promptly said Crocker .	5	5	risk
which $ the government run the fearful risk of war $ and the still more fearful one of alienating from itself the attachment of a large portion of its citizen $	which , the government runs the fearful risk of war , and the still more fearful one of alienating from itself the attachment of a large portion of its citizens ?	7	7	risk
besides $ if we keep the look-out tomorrow $ as we shall $ we can settle the business without any such risk $ $	Besides , if we keep the look-out to-morrow , as we shall , we can settle the business without any such risk . "	21	21	risk
if his purpose have be to save $ his effort should have be sooner make $ and then it might have be effect without the more serious risk which now threaten himself $ in the probable diminution of his authority $	If his purpose had been to save , his effort should have been sooner made , and then it might have been effected without the more serious risk which now threatened himself , in the probable diminution of his authority .	27	27	risk
i shall endure the risk whatever it be ..... shall i proceed $	I shall endure the risk whatever it be .... shall I proceed ?	4	4	risk
there be little risk of overestimate the value of a life devote to master that	There is little risk of overestimating the value of a life devoted to mastering that	3	3	risk
knowledge be power $ not only $ but powder $ put the south in the risk of be blow up $	Knowledge is power , not only , but powder , putting the South in the risk of being blown up ,	15	15	risk
then i can not buy it $ and run the dreadful risk of its be miss liston $ the grocer's daughter $ and not miss liston of the fifth avenue $	Then I can not buy it , and run the dreadful risk of its being Miss Liston , the grocer's daughter , and not Miss Liston of the Fifth Avenue .	11	11	risk
the process here describe may be very slow in some country $ but in those which $ like the united state $ have once be familiar with a convertible paper currency $ and by that familiarity have be teach to know all its convenience $ and to disregard its risk $ the paper of private banker would obtain circulation immediately $ if our banking corporation be abolish $	The process here described may be very slow in some countries ; but in those which , like the United States , have once been familiar with a convertible paper currency , and by that familiarity have been taught to know all its convenience , and to disregard its risks , the paper of private bankers would obtain circulation immediately , if our banking corporations were abolished .	49	49	risk
the cavalier reply that there be no achievement without risk $ and that there would have be no great action record in history have there not be dare spirit ready to peril life to gain renown $	The cavaliers replied that there was no achievement without risk , and that there would have been no great actions recorded in history had there not been daring spirits ready to peril life to gain renown .	9	9	risk
i have obtain it for thee at the risk of life and limb $ value neither $ so that i might do thee a service $ and save what i know thou wilt be proud to preserve in remembrance of this day $ $	I have obtained it for thee at the risk of life and limb , valuing neither , so that I might do thee a service , and save what I know thou wilt be proud to preserve in remembrance of this day . "	8	8	risk
i be willing to encounter some risk in order to accomplish my object $ and count much upon my	I was willing to encounter some risks in order to accomplish my object , and counted much upon my	6	6	risk
no risk be run in make this advance $ $ for it be know that the product of the labor $ which ach individual will perform by attraction or pleasure $ will exceed in amount the advance make to him $ and that the association $ on balance its account at the yearly settlement $ will be debtor to the member to whom it make the advance of a minimum $	No risk is run in making this advance , " for it is known that the product of the labor , which ach individual will perform by ATTRACTION or PLEASURE , will exceed in amount the advances made to him ; and that the Association , on balancing its accounts at the yearly settlement , will be debtor to the members to whom it made the advance of a MINIMUM .	1	1	risk
not exalt the human mind by recall the name of lord bacon and of robert hall $ but at the risk of hear bribery lay at the door of the one $ and opiumeating at that of the other $	not exalt the human mind by recalling the names of Lord Bacon and of Robert Hall , but at the risk of hearing bribery laid at the door of the one , and opiumeating at that of the other .	20	20	risk
can no way be devise by which the professor of this faith shall be banish $ for instance $ the realm $ and no new teacher of it permit to enter it afterward but at the risk of life $ or some other appoint penalty $	Can no way be devised by which the professors of this faith shall be banished , for instance , the realm , and no new teachers of it permitted to enter it afterward but at the risk of life , or some other appointed penalty ?	36	36	risk
$ i know there be $ and the risk increase with every moment of delay $ $	" I know there is ; and the risk increases with every moment of delay . "	8	8	risk
their order be $ at all and every risk $ to gain permission to consign the corpse of their late king and founder to the earth $ previously deny to him $	Their orders were , at all and every risk , to gain permission to consign the corpse of their late king and founder to the earth , previously denied to him .	8	8	risk
you would stifle the think $ immediately $ at the risk of suffocation $ for in her sober sense $ any rational woman would do this $ as a matter of religious duty $	You would stifle the thought , immediately , at the risk of suffocation ; for in her sober senses , any rational woman would do this , as a matter of religious duty .	10	10	risk
hester prynne $ nevertheless $ the lonely mother of this one child $ run little risk of er on the side of undue severity $	Hester Prynne , nevertheless , the lonely mother of this one child , ran little risk of erring on the side of undue severity .	15	15	risk
they say that their property be plunder $ their woman insult $ and themselves at constant risk in life and limb $ $	They say that their property is plundered , their women insulted , and themselves at constant risk in life and limb . "	16	16	risk
the risk $ while those to whom he be indebted $ may feel the same doubt of him $ have the same difficulty of transfer $ and be also in their turn expose to the same trouble in their transaction with other $	the risk , while those to whom he is indebted , may feel the same doubts of him , have the same difficulty of transfer , and be also in their turn exposed to the same troubles in their transactions with others .	1	1	risk
sir $ ye have prudence $ and can well deem how rash these light $ ill judge saying $ come from the mouth of mariner $ man whose live be of the sea $ whose very breath be at the risk of storm and steel $ and ye know we can not have more caution than be want $ for who mark what ear listen $	Sirs , ye have prudence , and can well deem how rash these light , ill judged sayings , come from the mouths of mariners -- men whose lives are of the sea -- whose very breath is at the risk of storm and steel -- and ye know we can not have more caution than is wanted -- for who marks what ear listens ?	40	40	risk
those who have debt due to them can $ on the faith of these debt $ obtain credit $ and some $ /q/ who have neither money $ good $ nor debt $ occasionally obtain it $ if they have any reasonable expectation of acquire the mean of payment in a short time $ some additional profit to the creditor $ in such case $ compensate his risk of loss $	Those who have debts due to them can , on the faith of these debts , obtain credit ; and some , /q/ who have neither money , goods , nor debts , occasionally obtain it , if they have any reasonable expectation of acquiring the means of payment in a short time ; some additional profit to the creditor , in such cases , compensating his risk of loss .	67	67	risk
when that record shall be make up $ the mine mania of the nineteenth century will be the appropriate successor of the south sea and mississippi delusion $ and we may draw from all // one inference $ that nation $ like individual $ will $ when tempt $ prefer lottery risk to wholesome industry $ and that ruin and disgrace be mark on the ticket which fall from the pernicious wheel of chance $	When that record shall be made up , the mining mania of the nineteenth century will be the appropriate successor of the South Sea and Mississippi delusions ; and we may draw from all // one inference , that nations , like individuals , will , when tempted , prefer lottery risks to wholesome industry , and that ruin and disgrace are marked on the tickets which fall from the pernicious wheels of chance .	51	51	risk
c you have better make sure of half a dollar than run the risk of lose every thing on such a poor ticket as that $ $	C You'd better make sure of half a dollar than run the risk of losing every thing on such a poor ticket as that . "	13	12	risk
