sentence_lemma	sentence_token	target_index	original_word
how stab with perfidy that noble heart which give thee all its wealth of love and trust $	How stab with perfidy that noble heart Which gave thee all its wealth of love and trust ?	1	stab
those civil war $ by which the spanish- american republic have be so much distract $ another severe stab $ not merely at the theory of the equal right of man $ but at the idea of the capacity of mankind for self-government $ have be almost entirely occasion by the great inequality of wealth	Those civil wars , by which the Spanish- American republics have been so much distracted , another severe stab , not merely at the theory of the equal rights of man , but at the idea of the capacity of mankind for self-government , have been almost entirely occasioned by the great inequalities of wealth	18	stab
be the imprudent reply of the maiden $ her anxiety for the justification of her lover $ make her forgetful of the mortal stab which such a suggestion must give to the old gentleman	was the imprudent reply of the maiden -- her anxiety for the justification of her lover , making her forgetful of the mortal stab which such a suggestion must give to the old gentleman	23	stab
with deadly passion $ they rush together arm with long knife and load gun point with dagger $ and after fire at each other's heart $ cut $ hack and stab $ until half of their number lie gasp in the agony of death -- to call this $ a splendid affair $ $ $ a brilliant action $ $ $ a glorious engagement $ $ -- to say $ as one of our general $ commanding in mexico $ say in his despatch $ after give an account of the storm of chapultepec $ in which a thousand man be lay in their blood on the slope of that fortress $ $ no sight could be more animate or glorious $ $ seem to us $ not only an abuse of language $ but in this age of the world $ unpardonable inhumanity $	with deadly passion , they rush together armed with long knives and loaded guns pointed with daggers , and after firing at each other's hearts , cut , hack and stab , until half of their number lie gasping in the agonies of death -- to call this " a splendid affair , " " a brilliant action , " " a glorious engagement , " -- to say , as one of our generals , commanding in Mexico , said in his despatches , after giving an account of the storming of Chapultepec , in which a thousand men were laid in their blood on the slopes of that fortress , " no sight could be more animating or glorious , - seems to us , not only an abuse of language , but in this age of the world , unpardonable inhumanity .	30	stab
say villafana $ with some such look as that which have appall juan $ when he walk with him over the meadow beyond the city $ $ for $ if thou dost $ know then $ that i make my promise to the infernal fiend $ to broil with him seven time seven thousand year $ if i do not $ with a stab for every lash $ make up my reckoning with the man who degrade me $	said Villafana , with some such look as that which had appalled Juan , when he walked with him over the meadows beyond the city : " For , if thou dost , know then , that I make my promise to the infernal fiend , to broil with him seven times seven thousand years , if I do not , with a stab for every lash , make up my reckoning with the man who degraded me !	63	stab
brave as he be - and few of mankind be brave - he will vent his passion by a secret stab rather than an open blow	Brave as he is - and few of mankind are braver - he will vent his passion by a secret stab rather than an open blow	20	stab
mr.- webster have now recover his composure $ and fix his keen eye on the chief justice $ say $ in that deep tone with which he sometimes thrill the heart of an audience $ sir $ i know not how other may feel $ ' $ glance at the opponent of the college before him $ $ but $ for myself $ when i see my alma mater surround $ like c * esar in the senate house $ by those who be reiterate stab upon stab $ i would not $ for this right hand $ have her turn to me $ and say $ et tu quo que mi flu $	Mr. Webster had now recovered his composure , and fixing his keen eye on the Chief Justice , said , in that deep tone with which he sometimes thrilled the heart of an audience " Sir , I know not how others may feel , ' ( glancing at the opponents of the College before him , ) but , for myself , when I see my alma mater surrounded , like C * esar in the senate house , by those who are reiterating stab upon stab , I would not , for this right hand , have her turn to me , and say , Et tu quo que mi flu !	85	stab
a small process $ which $ whether by the name of stab or shot $ be productive only of a momentary spasm $ for $ though as fully persuade of the soul's immortality as the best of us $ the unhappy girl $ like all young free-thinker $ have persuade herself that $ in die by her own hand $ she be simply exercise a discretionary power under the conviction that her act in do so $ be render by circumstance a judicious one $	a small process , which , whether by the name of stab or shot , was productive only of a momentary spasm , for , though as fully persuaded of the soul's immortality as the best of us , the unhappy girl , like all young free-thinkers , had persuaded herself that , in dying by her own hands , she was simply exercising a discretionary power under the conviction that her act in doing so , was rendered by circumstances a judicious one .	11	stab
a stab with a bowie knife $ however $ at length bring it to the ground $ and we drag it into the ravine $ congratulate ourselves that $ at all event $ we have thus obtain a supply of food enough to last us for a week $	A stab with a Bowie knife , however , at length brought it to the ground , and we dragged it into the ravine , congratulating ourselves that , at all events , we had thus obtained a supply of food enough to last us for a week .	1	stab
yet judge not harshly of mankind for this $ it in the end give justly $ but fame's crown can ill requite a life of cankering care $ can ill requite the assassin's bloody stab $ or a long	Yet judge not harshly of mankind for this , It in the end gives justly ; but Fame's crown Can ill requite a life of cankering care ; Can ill requite the assassin's bloody stab ; Or a long	34	stab
