sentence_lemma	sentence_token	target_index	original_word
but now there be twelve stroke to be sound by the bell of the clock $ and thus it happen $ perhaps $ that more of think creep $ with more of time $ into the meditation of the thoughtful among those who revel $	But now there were twelve strokes to be sounded by the bell of the clock ; and thus it happened , perhaps , that more of thought crept , with more of time , into the meditations of the thoughtful among those who revelled .	5	stroke
shall silence him myself $ without speech or stroke from you be necessary $	shall silence him myself , without speech or stroke from you being necessary .	8	stroke
stroke after stroke the heavy bell ring midnight $ and it seem $ to each of those excite mind $ as though an age elapse between each	Stroke after stroke the heavy bells rang midnight , and it seemed , to each of those excited minds , as though an age elapsed between each	0	stroke
when his doom the captive heareth $ how thy summons $ stroke on stroke $ tell the fatal moment neareth $ sound like the heavy stroke distant hear ere fall the oak $	When his doom the Captive heareth , How thy summons , stroke on stroke , Tells the fatal moment neareth , Sounding like the heavy stroke Distant heard ere falls the oak !	11	stroke
but soon after $ death enter his household $ and in succeeding year stroke after stroke of affliction come upon him $	But soon after , death entered his household , and in succeeding years stroke after stroke of affliction came upon him .	13	stroke
it be force upon austria by the formidable proportion of the anti-russian alliance $ which threaten to sever from her at one stroke her italian province if she take part with the enemy $ but it will be observe $ that while lean to the side of the alliance $ she have steadily endeavor to present a minimum of opposition to russia $	It was forced upon Austria by the formidable proportions of the anti-Russian alliance , which threatened to sever from her at one stroke her Italian provinces if she took part with the enemy ; but it will be observed , that while leaning to the side of the Alliance , she has steadily endeavored to present a minimum of opposition to Russia .	22	stroke
the first thing that attract their attention be the sound of a bell $ which strike four stroke very distinctly $ and in a very peculiar manner $ near where the helmsman stand in steer the ship $	The first thing that attracted their attention was the sound of a bell , which struck four strokes very distinctly , and in a very peculiar manner , near where the helmsman stood in steering the ship .	17	stroke
whose branch gray $ hang over the pass traveler's way $ until the woodman be echo stroke the silence of the forest break $ and fell to earth the giant oak $	whose branches gray , Hung o'er the passing traveler's way , Until the woodman's echoing stroke The silence of the forest broke , And felled to earth the giant oak .	15	stroke
with the first peep forth of the bud $ child's face peep out too from the half-open doorway $ soon young and old laugh to see with what giant stroke nature be put on her color $ and daisy $ clover $ and scarlet anemone laugh back from every sunny slope $	With the first peeping forth of the buds , children's faces peeped out too from the half-open doorways ; soon young and old laughed to see with what giant strokes Nature was putting on her colors ; and daisies , clover , and scarlet anemones laughed back from every sunny slope .	29	stroke
for this lightning stroke that have scathed him $ for the blight and blacken of all earthly hope $ what we call language have no tint nor pencil $ $	For this lightning stroke that hath scathed him , for the blight and blackening of all earthly hope , what we call language hath no tint nor pencil . "	3	stroke
but stern disease his footstep staid $ and down the woodman's axe he lay $ the fever-flame be high $ no more the forest fear have his stroke $ he fall $ as fall the smite oak $ the emigrant must die $	But stern disease his footstep staid , And down the woodman's axe he laid -- The fever-flame was high ; No more the forest fear'd his stroke , He fell , as falls the smitten oak , The emigrant must die .	26	stroke
them $ and to take from their fair hand the dainties they would bring $ and they would stroke his sable fur $ and feel his velvet paw $ and then he lick his paw $ and paw so touch $ he could have lick $ and live long on such lick $	them , and to take From their fair hands the dainties they would bring ; And they would stroke his sable fur , and feel His velvet paws ; and then he licked his paws , And paws so touched , he could have licked , and lived Long on such licking .	18	stroke
she moan in very sympathy $ and stroke gently back the straight raven hair $ now clot with blood $	She moaned in very sympathy , and stroked gently back the straight raven hair , now clotted with blood .	7	stroke
t be not well do $ thou shouldst have stroke him $ and not have gall him $	T was not well done ; thou shouldst have stroked him , And not have galled him .	9	stroke
twice $ baron $ have the tedious night be redden by our watch-fires bright $ twice have the morning sunbeam find our force afoot on hostile ground $ and nothing in the shape of foe have brandish axe $ or bended bow $ $ murmur de nonville $ in disdain $ stroke his courser's flow mane $ $	Twice , Baron , has the tedious night Been reddened by our watch-fires bright ; Twice has the morning sunbeam found Our force afoot on hostile ground , And nothing in the shape of foe Has brandished axe , or bended bow " -- Murmured De Nonville , in disdain , Stroking his courser's flowing mane . "	51	stroke
florence seat herself $ and as she do so $ lean her head on mary's shoulder $ while the latter wind her arm fondly about her $ and gently stroke back the	Florence seated herself , and as she did so , leaned her head on Mary's shoulder , while the latter wound her arm fondly about her , and gently stroked back the	29	stroke
she laugh a little $ and go on stroke his face $ $	She laughed a little , and went on stroking his face . "	8	stroke
