sentence_lemma	sentence_token	target_index	original_word
arrah $ now $ master $ be asy $ and just tip a little bit of a prayer $ and a blessing with it $ for me every night $	Arrah , now , master , be asy -- and just tip a little bit of a prayer , and a blessing with it , for me every night .	11	tip
he be of a middling stature $ incline to corpulency $ with a sanguine complexion $ a low forehead deeply shade with bushy black hair $ that absolutely refuse to conform to the sleekness of his order $ a keen gray eye $ which have a peculiarly cunning expression from a trick he have early acquire $ and of which he could never rid himself $ of tip a know wink $ a short thick nose turn upward $ a wide mouth $ with the corner sanctimoniously draw down $ and a prominent fat chin follow the direction of his nose $	He was of a middling stature , inclining to corpulency ; with a sanguine complexion , a low forehead deeply shaded with bushy black hair , that absolutely refused to conform to the sleekness of his order ; a keen gray eye , which had a peculiarly cunning expression from a trick he had early acquired , and of which he could never rid himself , of tipping a knowing wink ; a short thick nose turning upward ; a wide mouth , with the corners sanctimoniously drawn down , and a prominent fat chin following the direction of his nose .	67	tip
splinter $ yet as the person speak of be a tall man $ and warped in the shoulder $ he make out to look down on such petty malice $ so have conquer all thing and opposer at home $ mynheer $ who be not one to lay and rust like a nail $ bethought him of an astonishing idea $ no less than of make a visit to the vaderland $ for the sake of improvement $ and be polish like a gentleman $ so have petition the honorable and awful council of antony colve for permission $ which be grant $ to depart $ with the addition of that excellent warrior be give mynheer a military travel title $ $ though by the by $ he have never handle any weapon except a see or a hammer $ $ he set out $ and after a time return so much edify and smooth by his journey $ that the whole colony be throw in amazement $ without denial $ he be surprisingly alter $ and it be astonishing to hear him tip his daden $ ' that be $	splinters -- yet as the person spoken of was a tall man , and warped in the shoulders , he made out to look down on such petty malice : so having conquered all things and opposers at home , Mynheer , who was not one to lay and rust like a nail , bethought him of an astonishing idea -- no less than of making a visit to the Vaderland , for the sake of improvement , and being polished like a gentleman : so having petitioned the honourable and awful council of Antony Colve for permission , which was granted , to depart , with the addition of that excellent warrior's giving Mynheer a military travelling title : ( though by the by , he had never handled any weapon except a saw or a hammer : ) he set out , and after a time returned so much edified and smoothed by his journey , that the whole colony was thrown in amazement : without denial , he was surprisingly altered -- and it was astonishing to hear him tip his daden , ' that is ,	182	tip
why $ .... hesitate .... why $ a $ a $ tip him a fee middleton $ say gage in a whisper $	Why , ... hesitating ... why -- a -- a -- Tip him a fee Middleton , said Gage in a whisper .	11	tip
the word of peace which they have just hear seem to have avail them but little $ for every brow be blacken $ and every tongue tip with oath and execration $	The words of peace which they had just heard seemed to have availed them but little , for every brow was blackened , and every tongue tipped with oaths and execrations .	26	tip
it be then $ when the $ grim-visaged $ ocean have $ smooth his wrinkled front $ $ $ when the wind of heaven be hush to gentle air $ and the cloudless moon look down upon the scene $ tip the crest of the lazy wave with silver $ $ that the memory and imagination of the wanderer be busy $ it be then that the scene of childhood and of manhood $ the form of friend $ more love because sunder from them by thousands of mile of water and land $ all rise before him in original freshness and beauty $	It is then , when the " grim-visaged " ocean has " smoothed his wrinkled front , " -- when the winds of heaven are hushed to gentle airs , and the cloudless moon looks down upon the scene , tipping the crests of the lazy waves with silver , -- that the memory and imagination of the wanderer are busy ; it is then that the scenes of childhood and of manhood -- the forms of friends , more loved because sundered from them by thousands of miles of water and land -- all rise before him in original freshness and beauty .	40	tip
$ the moon be in its western field $ white and clear as silver $ with which it tip the burst wave $	-- The moon was in its western field , white and clear as silver , with which it tipped the bursting waves .	18	tip
this be of the same height as the preceding $ flower at the same time $ flower much large $ one variety white $ tip with red $ another yellow $ tip in the same way $ all be easily cultivate in a rich $ loamy soil $	This is of the same height as the preceding , flowering at the same time ; flowers much larger ; one variety white , tipped with red ; another yellow , tipped in the same way ; all are easily cultivated in a rich , loamy soil .	24	tip
the mourner form a lane from the altar to the door $ each hold a long $ unlighted $ wax taper $ tip at the large end with red $ and ornament with fanciful paper cutting $	The mourners formed a lane from the altar to the door , each holding a long , unlighted , wax taper , tipped at the larger end with red , and ornamented with fanciful paper cuttings .	22	tip
this say $ cook $ the attorney of the commonwealth $ who sit close to the person of the prisoner $ rise to address the court $ but the king $ have in his hand a staff of ebony $ tip with a little head of silver $ lay it upon his shoulder $ and $ in the deep tone of authority $ command him to $ hold $ $	This said , Cook , the attorney of the commonwealth , who sat close to the person of the prisoner , rose to address the court ; but the king , having in his hand a staff of ebony , tipped with a little head of silver , laid it upon his shoulder , and , in the deep tones of authority , commanded him to " Hold ! "	40	tip
