sentence_lemma	sentence_token	index_lemma	index_token	lemma
this $ it be maintain $ be an intuitive truth $ believe by all man $ as prove by their word and action $	This , it is maintained , is an intuitive truth , believed by all men , as proved by their words and actions .	20	20	word
they must have be $ and be $ in the note $ as well as in the word of his wild fantasia $ $ for he not unfrequently accompany himself with rhymed verbal improvisation $ $ the result of that intense mental collectedness and concentration to which i have previously allude as observable only in particular moment of the high artificial excitement $	They must have been , and were , in the notes , as well as in the words of his wild fantasias , ( for he not unfrequently accompanied himself with rhymed verbal improvisations , ) the result of that intense mental collectedness and concentration to which I have previously alluded as observable only in particular moments of the highest artificial excitement .	17	17	word
but the monarch have grow moody and thoughtful $ as we have see $ when he realize that his slave love another $ and every word she now utter in his behalf be bitterness to his very soul $	But the monarch had grown moody and thoughtful , as we have seen , when he realized that his slave loved another ; and every word she now uttered in his behalf was bitterness to his very soul .	25	25	word
pardon my hasty word $ vexation at my great loss $ a serious one $ i assure you $ $ for a moment overcome my temper $	Pardon my hasty words ; vexation at my great loss ( a serious one , I assure you , ) for a moment overcame my temper .	3	3	word
there be hour when nature may be say to hold intercourse with man $ modify his thought and feeling $ when man react $ and in his turn bend her to his will $ whether by word or color $ he become a poet $	There are hours when Nature may be said to hold intercourse with man , modifying his thoughts and feelings ; when man reacts , and in his turn bends her to his will , whether by words or colors , he becomes a poet .	36	36	word
here be the word of the platform $ $ resolve $ that we recognize the right of the people of all the territory $ including kansas and nebraska $ act through the fairly-expressed	Here are the words of the platform : " Resolved , That we recognize the right of the people of all the territories , including Kansas and Nebraska , acting through the fairly-expressed	3	3	word
be so much abuse in this country by the rude agitation of what be commonly call politics $ that he do not think the word now use with us comport with the dignity of the theme $ and the second part of his title be adopt from a conviction that the economical principle of state be to be deduce from their separate experience and adapt to their individual condition $	been so much abused in this country by the rude agitation of what are commonly called politics , that he does not think the word now used with us comports with the dignity of the theme ; and the second part of his title is adopted from a conviction that the economical principles of states are to be deduced from their separate experience and adapted to their individual condition .	24	24	word
oppress with the grandeur of the music $ and willing to evade the tacit reproach convey in the word $ aspasia touch her lyre $ and $ with mournful tenderness $ sing dan's hymn to her sleep infant $	Oppressed with the grandeur of the music , and willing to evade the tacit reproach conveyed in the words , Aspasia touched her lyre , and , with mournful tenderness , sung Dan's Hymn to her Sleeping Infant .	18	18	word
he be stand without the door $ so near that he hear the word $ and in a moment he be at her side $	He was standing without the door , so near that he heard the words , and in a moment he was at her side .	13	13	word
this $ convince me her word be not idly say $ $	this , convinced me her words were not idly said . "	5	5	word
that man should do to you $ do ye even so unto them $ ' man listen with the high admiration $ so long as their attention be call to the word $ as embody a mere intellectual proposition $	that men should do to you , do ye even so unto them , ' men listen with the highest admiration , so long as their attention is called to the words , as embodying a mere intellectual proposition .	31	31	word
have i not speak word $ whose power be as an adamantine chain $ $ link me from this fatal hour to falsehood $ sorrow $ guilt $ and pain $	Have I not spoken words , whose power Is as an adamantine chain , -- Linking me from this fatal hour To falsehood , sorrow , guilt , and pain ?	4	4	word
yes $ to my brother now struggle in the field $ to the unborn millions who from this land in future shall send up their orisons of praise for liberty and independence $ to all who $ free themselves $ shall think of those who make them so $ and bless me too $ perhaps $ among them $ as a martyr-patriot $ to them all $ now when death look me in the face $ in shape the most appalling $ yet unappalled myself $ and true as be the heaven in which i trust $ these part word i leave for legacy $ would that i have another life to give thee $ o my country $	Yes , to my brethren now struggling in the field , to the unborn millions who from this land in future shall send up their orisons of praise for liberty and independence ; to all who , free themselves , shall think of those who made them so , and bless me too , perhaps , among them , as a martyr-patriot ; to them all -- now when death looks me in the face , in shape the most appalling , yet unappalled myself , and true as is the heaven in which I trust -- these parting words I leave for legacy : Would that I had another life to give thee , O my country !	99	99	word
i detest a woman like a walled city $ that can never be approach without your be remind that it be inaccessible $ a woman whose measure premeditated word sound always like the sentinel-cry $ all be well $ '	I detest a woman like a walled city , that can never be approached without your being reminded that it is inaccessible -- a woman whose measured premeditated words sound always like the sentinel-cry , all is well ! '	28	28	word
misrepresentation $ proceed $ in his conclude paragraph $ in these word $ $ in addition to the above $ a number of other error $ consequential upon those indicate $ might be state $ $	misrepresentations , proceeds , in his concluding paragraph , in these words : " In addition to the above , a number of other errors , consequential upon those indicated , might be stated . "	11	11	word
whether they incline in the right direction $ be a point of more doubt $ upon which a word shall be say before close our article $	Whether they incline in the right direction , is a point of more doubt , upon which a word shall be said before closing our article .	18	18	word
in a word $ the tide turn like a flood in favor of grant liberal supply $	In a word , the tide turned like a flood in favor of granting liberal supplies .	2	2	word
one other peculiarity of richardson's dictionary $ to which we have already incidentally advert $ consist in his manner of illustrate word by selection from english author $	One other peculiarity of Richardson's Dictionary , to which we have already incidentally adverted , consists in his manner of illustrating words by selections from English authors .	21	21	word
he must have set to his work with some such feel towards the world $ as he would probably think well express by the word $ $ there $	He must have set to his work with some such feeling towards the world , as he would probably think well expressed by the words , " There !	24	13	word
the word of the last command have fall from the lip of the ascend saviour $ and the apostle assemble to deliberate how they shall carry them into execution $	The words of the last command have fallen from the lips of the ascended Saviour , and the apostles assemble to deliberate how they shall carry them into execution .	1	1	word
she reply $ and $ move by the sweet word $ she stoop down and kiss priscilla $ but not lovingly $ for a	she replied ; and , moved by the sweet word , she stooped down and kissed Priscilla ; but not lovingly , for a	9	9	word
/q/ $ few and short be the prayer we say $ $ and we speak not a word of sorrow $ $ but we stedfastly gaze on the face of the dead $ $ and we bitterly think of the moitow $ $	/q/ " Few and short were the prayers we said , " And we spoke not a word of sorrow ; " But we stedfastly gazed on the face of the dead , " And we bitterly thought of the moiTow . "	17	17	word
my lord $ your word be strange to me $ and full of terror $	my lord , your words are strange to me , and full of terror .	4	4	word
his slumber be long $ but broken $ and at length he awake in terror $ for he hear a voice pronounce in his ear distinctly these word $ $ they have bring the dead body $ $	His slumber was long , but broken ; and at length he awoke in terror ; for he heard a voice pronounce in his ear distinctly these words ; " They have brought the dead body . "	27	27	word
the line be uneven $ the word be interrupt $	The line is uneven -- the words are interrupted .	6	6	word
the noble word in the catalogue of social virtue be $ loyalty $ $ and the sweet which	The noblest word in the catalogue of social virtue is " Loyalty , " and the sweetest which	2	2	word
one word more $ and the affair of the journey be finish $	One word more , and the affair of the journey is finished .	1	1	word
