sentence_lemma	sentence_token	target_index	original_word
climb out $ she pull a heavy-duty trash bag from the glove compartment and work air into it $	Climbing out , she pulled a heavy-duty trash bag from the glove compartment and worked air into it .	8	bag
she sit down and tear off the sunday-comics wrap on the big package $ which turn out to be a bag of leather scrap in several color $ $	She sat down and tore off the Sunday-comics wrapping on the bigger package , which turned out to be a bag of leather scraps in several colors . "	20	bag
i will show you the closet where we find the bag $	I'll show you the closet where we found the bag .	9	bag
$ open the bag $ fumble through its content $ here $	( Opens the bag , fumbling through its contents ) Here !	3	bag
on finish my lunch $ i wad up the paper bag and thrust it into my backpack $	ON FINISHING my lunch , I wadded up the paper bag and thrust it into my backpack .	10	bag
berlin train station man's room -- night 251 bag sling -- limp out -- bourne have change clothes $	BERLIN TRAIN STATION MEN 'S ROOM -- NIGHT 251 Bag slung -- limping out -- BOURNE has changed clothes .	9	bag
tor put his bag of laundry in the corner next to the door $ $	Tor put his bag of laundry in the corner next to the door . "	3	bag
he then withdraw a brown bag from his coat and set it down atop the magazine $ $	He then withdrew a brown bag from his coat and set it down atop the magazines . "	5	bag
$ i have be work so hard for 25 years-why cann't i have another pair of manolo blahnik shoe or that bag that i love $ $	, I have been working so hard for 25 years-why can't I have another pair of Manolo Blahnik shoes or that bag that I love ? "	21	bag
as she wrap the tube in a laboratory requisition form and tuck the little package into a plastic bag $ judy resolve to come back and give beatrice's hair a full one hundred stroke of brush $	As she wrapped the tubes in a laboratory requisition form and tucked the little package into a plastic bag , Judy resolved to come back and give Beatrice's hair a full one hundred strokes of brushing .	18	bag
slim be smoke $ lie stoically on his side on his sleeping bag $ gut it out $	Slim is smoking , lying stoically on his side on his sleeping bag , gutting it out .	12	bag
husband philip $ advertising promotion man for the lima $ ohio $ citizen $ be take a nap when barbara feel the bag of water break $	Husband Philip , advertising promotion man for the Lima ( Ohio ) Citizen , was taking a nap when Barbara felt the bag of waters break .	22	bag
all these woman in their fur coat and $7,000 gucci bag and the guy with the dia -- mond pinky ring would be stand in line to get in on the deal $	All these women in their fur coats and $7,000 Gucci bags and the guys with the dia -- mond pinky rings would be standing in line to get in on the deal .	10	bag
i look down at the seat $ at my bag $ $	I looked down at the seat , at my bag . "	9	bag
$ anyway $ i be behind the desk $ lose in mindless think try not to think about nick and $ of course $ think about nothing else $ and the elevator door open $ and this guy walk into the room with the golf club in one hand $ and he be get a shoulder bag on the other side $ sort of a navajo tapestry thing with ratty fringe $ overflow with paper and leaflet and god know what $	, anyway , I 'm behind the desk , lost in mindless thought trying not to think about Nick and , of course , thinking about nothing else , and the elevator door opens , and this guy walks into the room with the golf clubs in one hand , and he's got a shoulder bag on the other side , sort of a Navajo tapestry thing with ratty fringe , overflowing with papers and leaflets and God knows what .	55	bag
follow the direction of my gaze $ donald say $ $ murdock have always be afraid someone will steal that bag of bone $	Following the direction of my gaze , Donald said , " Murdock has always been afraid someone will steal that bag of bones .	20	bag
the truck stop in every little village between $ and passenger climb off and unload box and bag $ and passenger climb on and load bag and box $ and the driver be a lady ' man who speak to every woman he encounter in the small $ thatched adobe village where chicken peck the barren earth before the squalid hut of adobe and thatch that line the road $	The truck stopped in every little village between , and passengers climbed off and unloaded boxes and bags , and passengers climbed on and loaded bags and boxes , and the driver was a ladies ' man who spoke to every woman he encountered in the small , thatched adobe villages where chickens pecked the barren earth before the squalid huts of adobe and thatch that lined the road .	17	bag
night and turn away $ walk down the roll runway $ slide into a low bunk at the side of the bus where he have store his bag $	night and turns away , walks down the rolling runway , slides into a lower bunk at the side of the bus where he has stored his bags .	27	bag
a few time $ she have to stop $ to rebalance her shop bag $	A few times , she had to stop , to rebalance her shopping bags .	13	bag
frank's brother be dead $ stretch out under a bag of money $	Frank's brother was dead , stretched out under a bag of money .	9	bag
shoot from above the maid help to put a bag into the car $	SHOT FROM ABOVE The maid helps to put a bag into the car .	9	bag
maeve nod down at the small straw bag with the bone plaque on its lid $ scratch with a picture of a whale $	Maeve nodded down at the small straw bag with the bone plaque on its lid , scratched with a picture of a whale .	7	bag
the cat be out of the bag $ so i hear $ $	The Cat's out of the bag , so I hear . "	5	bag
he come to this war with a bag full of medical supply $	He came to this war with a bag full of medical supplies .	7	bag
why don't you throw your own bag out $ you bitch $	Why didn't you throw your own bag out , you bitch !	6	bag
on the porch step $ she pull on her high-button shoe $ then grab the heavy leather bag from behind the porch latticework $ where she have place it the night before $	On the porch steps , she pulled on her high-button shoes , then grabbed the heavy leather bag from behind the porch latticework , where she'd placed it the night before .	17	bag
inside his carry-on bag $ koch have conceal a 9-mm handgun that weigh only 23 <nul>	Inside his carry-on bag , Koch had concealed a 9-mm handgun that weighs only 23 oz.	3	bag
vend machine line one wall $ a cracked mirror run the length of another $ table with linoleum chip from their top be haphazardly push together or apart as the woman arrange themselves $ spread out their lunch bag $ their soda can and ashtray $ unwrap sandwich from wax paper $	Vending machines lined one wall , a cracked mirror ran the length of another ; tables with linoleum chipping from their tops were haphazardly pushed together or apart as the women arranged themselves , spreading out their lunch bags , their soda cans and ashtrays , unwrapping sandwiches from wax paper .	38	bag
while it be go on $ indigo get bored and go back to his gold hunt $ bash a lump of coal so hard that piece fly everywhere $ and the baby get a chunk to suck $ and the hamster jump in fright into the health visitor's bag $ and the health visitor say $ $ thank goodness my twin .... $	While it was going on , Indigo got bored and went back to his gold hunting , bashing a lump of coal so hard that pieces flew everywhere , and the baby got a chunk to suck , and the hamster jumped in fright into the health visitor's bag , and the health visitor said , " Thank goodness my twins ... !	48	bag
these silver dollar be large $ thin fish $ nearly identical in shape and shine to the coin after which they have be name $ and once out of their plastic bag from sal's $ they swim up on either side of my one lazy $ boggle-eyed iridescent shark $	These silver dollars were large , thin fish , nearly identical in shape and shine to the coins after which they had been named , and once out of their plastic bag from Sal's , they swam up on either side of my one lazy , boggle-eyed iridescent shark .	31	bag
locket to begin stuff the paper into his bag $	Locket to begin stuffing the papers into his bag .	8	bag
