sentence_lemma	sentence_token	target_index	original_word
they attend polo match $ reception $ ball $ and give a number of their own $ and the only time she slow down at all be in 1924 $ when she again find out she be pregnant $	They attended polo matches , receptions , balls , and gave a number of their own , and the only time she slowed down at all was in 1924 , when she again found out she was pregnant .	7	ball
later $ carter will go to the white house to review the inaugural parade $ then enter the white house as its occupant for the first time before head for the seven inaugural ball	Later , Carter will go to the White House to review the inaugural parade , then enter the White House as its occupant for the first time before heading for the seven inaugural balls	33	ball
by the way $ gail why don't you ask if we can have the hunt ball here in the charnel $	By the way , Gail why don't you ask if we can have the hunt ball here in the Charnel .	15	ball
who teach child aged four to eight $ suggest $ shrink $ some element of the game to help reduce frustration $ try use only half the court $ string up a rope $ net $ to about the height of your child's waist $ and reduce tennis ball bounce by deflate the ball slightly $ or check sport shop for ball design with kid in mind $ $	who teaches children aged four to eight , suggests " shrinking " some elements of the game to help reduce frustration : Try using only half the court ; string up a rope " net " to about the height of your child's waist ; and reduce tennis ball bounce by deflating the ball slightly ( or check sports shops for balls designed with kids in mind ) .	48	ball
ball and cue be find and a pool tournament be organize $ in which the major $ horne $ bailey $ john $ and nicky be participant $	Balls and cues were found and a pool tournament was organized , in which the Major , Horne , Bailey , John , and Nicky were participants .	0	ball
halftime last game $ coach be pissed i run it on a pass play $ out on the field he say to me ' you get ta think about the team and you get ta ' you know and ' if you run that ball again you be out ' $ and i say to him you get ta let me play $	Halftime last game , coach is pissed I ran it on a pass play , out on the field he says to me ' you got ta think about the team and you got ta ' you know and ' if you run that ball again you're out ' , and I said to him you got ta let me play !	44	ball
dissolve to $ $ 4 $ 4 interior $ armstead's bar $ time lapse two ball lay side by side on the table $	Dissolve to : -- 4 -- 4 Interior : Armstead's Bar , Time Lapse Two balls lay side by side on the table .	15	ball
the game be invent by albion crewman after they find $ not surprisingly $ that ordinary golf ball keep roll off the flight deck $	The game was invented by Albion crewmen after they found , not surprisingly , that ordinary golf balls kept rolling off the flight deck .	17	ball
eddie himself ben't very religious $ he play ball with us at the parade ground on saturdays $ but he be determine not to hurt his mother $ and i guess i could understand why at the time $	Eddie himself wasn't very religious -- he played ball with us at the Parade Grounds on Saturdays -- but he was determined not to hurt his mother , and I guess I could understand why at the time .	8	ball
dowis $ who hail from ty cobb's hometown of royston $ <nul> $ be quick-footed and quick-witted $ able to flip the ball to a trail halfback at the last split second $	Dowis , who hails from Ty Cobb's hometown of Royston , Ga. , is quick-footed and quick-witted , able to flip the ball to a trailing halfback at the last split second .	22	ball
then he step aside $ and the center-fielder take the ball from the pocket	Then he stepped aside , and the center-fielder took the ball from the pocket	10	ball
and i think with sudden insight of myself $ then $ sit alone in an empty house $ hold in my possession a unique life that no one else would ever know $ the hour i spend as a child keep elaborate score and record for game of my own invention-some with a tennis ball and racquet $ target the rectangular opening in the green glider on the front porch of	And I thought with sudden insight of myself , then , sitting alone in an empty house , holding in my possession a unique life that no one else would ever know : the hours I spent as a child keeping elaborate scores and records for games of my own invention-some with a tennis ball and racquet , targeting the rectangular openings in the green glider on the front porch of	54	ball
it be a vertical curve $ however $ due to the ball spin in an up-and-down motion instead of side-to-side $ $	It is a vertical curve , however , due to the ball spinning in an up-and-down motion instead of side-to-side . "	11	ball
have shine green or blue reflector ball set on pedestal $ object hughes have not see since his childhood $	had shining green or blue reflector balls set on pedestals , objects Hughes had not seen since his childhood .	6	ball
i feel like an idiot do it $ but i pull out the one-iron and hit the ball down the right side away from all the trouble on the leave $	I felt like an idiot doing it , but I pulled out the one-iron and hit the ball down the right side away from all the trouble on the left .	17	ball
up the burn $ stand on a bosu ball as you chop $	UP THE BURN : stand on a Bosu ball as you chop .	8	ball
we have get to control the ball and not let them have it they don't make a mistake last year $	We've got to control the ball and not let them have it They didn't make a mistake last year .	5	ball
stickin ' the ball in his back pocket like that $	Stickin ' the ball in his back pocket like that .	3	ball
of agriculture plan to release hundreds of thousands of fly to decapitate fire ant woman claim fried chicken head be in her mcdonald's order testicular cancer and song marlin ' mike lowell say radiation treatment for testicular cancer make him a strong player boy george injure by a fall disco ball phil collins ' you will be in my heart beat blame canada at the oscar after recover from testicular cancer $ green bay's josh bidwell return to punt ' xx_n sync perform at bat mitzvah of aol executive's daughter mtv's tom green sing a song about his testicular cancer lance armstrong win his second consecutive tour de france the rock sing on wyclef jean's song	of Agriculture plans to release hundreds of thousands of flies to decapitate fire ants Woman claims fried chicken head was in her McDonald's order TESTICULAR CANCER AND SONG Marlins ' Mike Lowell says radiation treatments for testicular cancer made him a stronger player Boy George injured by a falling disco ball Phil Collins ' You'll Be in My Heart beats Blame Canada at the Oscars After recovering from testicular cancer , Green Bay's Josh Bidwell returns to punting ' N Sync performs at bat mitzvah of AOL executive's daughter MTV's Tom Green sings a song about his testicular cancer Lance Armstrong wins his second consecutive Tour de France The Rock sings on Wyclef Jean's song	50	ball
oops $ sorry $ operator of the local sewage treatment plant $ of spark $ nevada $ be force to warn local not to pour grease down the drain $ after a monster grease ball disrupted operation $	oops , sorry -- operators of the local sewage treatment plant , of Sparks , Nevada , were forced to warn locals not to pour grease down the drain , after a Monster Grease Ball disrupted operations .	34	ball
and two metal ball suspend on delicate wire will attract one another in the proper way $	And two metal balls suspended on delicate wires will attract one another in the proper way .	3	ball
it be all part of the same ball of wax $	It's all part of the same ball of wax .	6	ball
$ small by basketball standard $ washington leap so high that he have tune to dunk two ball on the same jump $ $	( Small by basketball standards , Washington leaps so high that he has tune to dunk two balls on the same jump . )	17	ball
can jump $ you don't fret as much when the ball be in the air because he be get a chance to get it $ $	can jump , you don't fret as much when the ball's in the air because he's got a chance to get it . "	10	ball
you want me to hit the ball with this $ $	You want me to hit the ball with this ? "	6	ball
because he couldn't think of anything else $ he spend night dive into country club water hazard and collect golf ball to have something to sell at the flea market $ $	Because he couldn't think of anything else , he spent nights diving into country club water hazards and collecting golf balls to have something to sell at the flea markets . "	20	ball
follow the bounce ball // ms.- birnbaum $ a lawyer and the club ' s operation partner $ say $ $ we feel the time be right for the audience to be part of the <nul> $	Follow the Bouncing Ball // Ms. Birnbaum , a lawyer and the club ' s operations partner , said , " We felt the time was right for the audience to be part of the entertainment. "	3	ball
jackie grab a cue from a pine hutch and rub blue chalk on the tip while sharkey start rack up the ball $	Jackie grabs a cue from a pine hutch and rubs blue chalk on the tip while Sharkey starts racking up the balls .	21	ball
there be now about 20 ball $ many of them shockingly bright and pristine $ with not a mark on them except perhaps $ as i imagine suddenly $ a small pc for paul christman stamp on the cover $	There were now about 20 balls , many of them shockingly bright and pristine , with not a mark on them except perhaps , as I imagined suddenly , a small PC for Paul Christman stamped on the cover .	5	ball
the nightman's eye move to the ball in frank sullivan's hand and his body constrict in sickening anticipation $ $	The Nightman's eyes moved to the ball in Frank Sullivan's hand and his body constricted in sickening anticipation . "	6	ball
if dough be soft and sticky $ press scrap into a ball and repeat step 3 $	If dough is soft and sticky , press scraps into a ball and repeat step 3 .	11	ball
in the eighth $ i get a texas league single $ and make second on a pass ball $	In the eighth , I got a Texas league single , and made second on a passed ball .	17	ball
next day's ball game $ which be against bear paw and be sure to be tough $ that team by report have recruit three or four city <nul>	next day's ball game , which was against Bear Paw and was sure to be tough , that team by report having recruited three or four city ringers.	2	ball
the big man throw the first two ball very hard and fast $	The big man threw the first two balls very hard and fast .	7	ball
but since marks and caesar's fundamental safety rule $ like $ let the ball roll $ no matter where it may go $ $ still apply $ it be good to know that the songbook $ with its simple $ catchy music and lyric $ be available once again $ hardcover $ <nul>	But since Marks and Caesar's fundamental safety rules , like " Let the ball roll , no matter where it may go , " still apply , it's good to know that the songbook , with its simple , catchy music and lyrics , is available once again ( Hardcover : Abrams.	13	ball
the play in golf be hit the ball $ which i can do $ while the play in football be run to catch the pass $ $	The play in golf is hitting the ball , which I can do , while the play in football is running to catch the pass . "	7	ball
haven't hit it $ that ball be just a chunk of cowhide $	hadn't hit it , that ball's just a chunk of cowhide .	5	ball
how do montanathrow the ball $ a trio of large and hungry cowboy bear down on him as if he be the last ham sandwich leave in the free world $	How did Montanathrow the ball , a trio of large and hungry Cowboys bearing down on him as if he were the last ham sandwich left in the free world ?	4	ball
from the first second the ball sail over the head of the fielder $ it be clear to everyone that this shot be head way $ way beyond the red plymouth $ which mean it would sail over into the grassy lots alongside the train track $	From the first second the ball sailed over the heads of the fielders , it was clear to everyone that this shot was headed way , way beyond the red Plymouth , which meant it would sail over into the grassy lots alongside the train tracks .	5	ball
that happen when you don't get on top of the ball or throw it without the proper arm action $ $ willis say $	That happens when you don't get on top of the ball or throw it without the proper arm action , " Willis says .	10	ball
when the ash cool $ the widow gertrude leemer $ still recover from a double mastectomy $ heft her husband's skull like a bowling ball and muse $ $ the final scar make	When the ashes cool , the widow Gertrude Leemer , still recovering from a double mastectomy , hefts her husband's skull like a bowling ball and muses , " The final scar makes	24	ball
cover with metallic ball for discharge electrical energy $ the monstrous contraption seem fit for a horror	Covered with metallic balls for discharging electrical energy , the monstrous contraption seemed fit for a horror	3	ball
i keep my other guard behind the ball as a trailer for a safety pass $ and if he get the ball his move be to the other side $	I keep my other guard behind the ball as a trailer for a safety pass , and if he gets the ball his move is to the other side .	7	ball
the ball just go flup and don't bounce back up to him $	The ball just goes flup and doesn't bounce back up to him .	1	ball
