sentence_lemma	sentence_token	index_lemma	index_token	lemma
aj haven't tell jake precisely why mason $ and now ms.- murphy $ have be target $ but he have drop one tantalize bit	AJ hadn't told Jake precisely why Mason , and now Ms. Murphy , had been targeted , but he'd dropped one tantalizing bit	23	22	bit
in an attempt to bring reality to the issue $ i perform a study a few year ago to estimate traffic for various service by quantify each service in terms of total number of bit per year $	In an attempt to bring reality to the issue , I performed a study a few years ago to estimate traffic for various services by quantifying each service in terms of total number of bits per year .	34	34	bit
the only child he really like be susie $ the eichelburger girl across the hedge and alleyway and white barn $ who be high-strung and secretive $ and every bit as friendless as he be $	The only child he really likes is Susie , the Eichelburger girl across the hedge and alleyway and white barn , who's high-strung and secretive , and every bit as friendless as he is .	29	28	bit
it don't suit her one bit $ he decide $ the hard rim of the bedpan dig into his coccyx $	It doesn't suit her one bit , he decides , the hard rim of the bedpan digging into his coccyx .	5	5	bit
well $ basically $ natural history -- with perhaps a bit of modern politics $	Well , basically , natural history -- with perhaps a bit of modern politics .	10	10	bit
follow for now's name $ in fact $ come from a pe lyric $ and the band's own wordplay be every bit as pointedly smart and confrontational as that of the rapper $	Follow for Now's name , in fact , comes from a PE lyric , and the band's own wordplay is every bit as pointedly smart and confrontational as that of the rappers .	21	21	bit
we all get carry away a little bit with the importance of game $ $ judge thomas say $ $	We all get carried away a little bit with the importance of games , " Judge Thomas said . "	7	7	bit
our contractor call the company several time to get more information $ which bring me to the next bit of advice $ if you use a kit $ make sure the business have a toll free number and someone knowledgeable to advise you over the phone $	Our contractor called the company several times to get more information , which brings me to the next bit of advice : If you use a kit , make sure the business has a toll free number and someone knowledgeable to advise you over the phone .	18	18	bit
we be so close to the equator that the dish be point only slightly north $ but it be point a fair bit east $ probably at one of california's big commercial machine $	We were so close to the equator that the dish was pointed only slightly north , but it was pointing a fair bit east , probably at one of California's big commercial machines .	22	22	bit
the vertical band which be cover with plastic have wear and granulate under the demand of our press run $ and we have spend a weekend wipe and wash off the silk screen and pick bit of plastic out of the ink and curse and waste paper and try to get out enough readable copy of the paper to satisfy our subscriber $	The vertical bands which were covered with plastic had worn and granulated under the demands of our press run , and we had spent a weekend wiping and washing off the silk screen and picking bits of plastic out of the ink and cursing and wasting paper and trying to get out enough readable copies of the paper to satisfy our subscribers .	35	35	bit
die willow top $ each be pick bit of unstranded rope for oakum $	dying willow tops ; each is picking bits of unstranded rope for oakum .	7	7	bit
one morning a month later $ father ryan walk into jennifer's office and say $ $ i hate to bother you $ my dear $ but i have a friend who have a bit of a problem $	One morning a month later , Father Ryan walked into Jennifer's office and said , " I hate to bother you , my dear , but I have a friend who has a bit of a problem .	33	33	bit
i have quite a bit of influence in personnel $	I have quite a bit of influence in Personnel .	4	4	bit
add remaining broth $ wine $ and pepper to pan $ stir to scrape brown bit free cover pan $ simmer gently until gizzard be tender when pierce $ about 1 1/2 hour $	Add remaining broth , wine , and pepper to pan ; stir to scrape browned bits free Cover pan ; simmer gently until gizzard is tender when pierced , about 1 1/2 hours .	15	15	bit
sit in a bit of a deadlock we decide there be nothing for it but to make onion play $	Sitting in a bit of a deadlock we decide there's nothing for it but to make Onion play .	3	3	bit
she could not see the freshness of the house in farnham $ the new bit of furniture here and there $ the autumn leave in her own bedroom $ her worktable full of the record of john's sorrowful summer $ jack handsome and tall $ and soft $ also $ in his welcome mood $ ellen rosy and excite $	She could not see the freshness of the house in Farnham , the new bits of furniture here and there ; the autumn leaves in her own bedroom ; her worktable full of the records of John's sorrowful summer ; Jack handsomer and taller , and softer , also , in his welcoming mood ; Ellen rosy and excited .	14	14	bit
then there be the bit of sunny beach $ where stephen moor his boat $	Then there was the bit of sunny beach , where Stephen moored his boat .	4	4	bit
i want to cover her $ cover her sex if nothing else $ give her a little bit of dignity $ but i have do that on another homicide investigation and the detective chew my ass off for alter the crime scene $	I wanted to cover her , cover her sex if nothing else , give her a little bit of dignity , but I'd done that on another homicide investigation and the detectives chewed my ass off for altering the crime scene .	17	17	bit
yucking it up provide a bit of comic relief within the stress of serve tray of appetizer with drink $ then lunch or dinner with wine $ follow by cake with champagne or asti spumante-and do it all quickly-to a hundred guest $	Yucking it up provides a bit of comic relief within the stress of serving trays of appetizers with drinks , then lunch or dinner with wine , followed by cake with champagne or Asti Spumante-and doing it all quickly-to a hundred guests .	5	5	bit
