sentence_lemma	sentence_token	index_lemma	index_token	lemma
so they turn their back on all ' this and now and then seek repose with-iii sortie no man's land $ of bleak contemplation or lunacy $	So they turn their backs on all ' this and now and then seek repose with-iii sortie no man's land , of bleak contemplation or lunacy .	23	23	contemplation
it remain the language of reading and contemplation in later century of many english ecclesiastics $ including those of the protestant faith $	It remained the language of reading and contemplation in later centuries of many English ecclesiastics , including those of the Protestant faith .	7	7	contemplation
where in short he can be by himself in quiet contemplation and suck spiritual nourishment from the liquid communion in his hand and clarify his head $	Where in short he can be by himself in quiet contemplation and suck spiritual nourishment from the liquid Communion in his hand and clarify his head .	10	10	contemplation
if i have be allow to live my life in peaceful contemplation $ like a boy lie in the forest next to the lake $ listen to the splash of the water and look at the treetops sway in the breeze beneath the infinitely high sky $	If I had been allowed to live my life in peaceful contemplation , like a boy lying in the forest next to the lake , listening to the splashing of the water and looking at the treetops swaying in the breeze beneath the infinitely high sky ?	11	11	contemplation
before i can respond $ draw's voice change completely $ go from a tone of sheer terror to one of contemplation and calm $ $	Before I can respond , Drew's voice changes completely , going from a tone of sheer terror to one of contemplation and calm . "	20	20	contemplation
the first item make her freeze with a just-washed plate in one hand $ her eye look out over their small backyard in startle contemplation $	The first item made her freeze with a just-washed plate in one hand , her eyes looking out over their small backyard in startled contemplation .	24	24	contemplation
william sit stare after him $ his sheepish grin fade to a look of contemplation $	William sat staring after him , his sheepish grin fading to a look of contemplation .	14	14	contemplation
if $ with the greek $ we regard knowledge as contemplation rather than as a productive art $ then art will be secondary to the aesthetic $ $ creation $ will be secondary to $ taste $ $ and the scientist will assume a low rank than the dilettante $ $	If , with the Greeks , we regard knowledge as contemplation rather than as a productive art , then art will be secondary to the aesthetic , " creation " will be secondary to " taste , " and the scientist will assume a lower rank than the dilettante . "	10	10	contemplation
perhaps by mark the end of that sad anniversary with such drama $ the bizarre weather phenomenonhad startle him out of thought of death and into the contemplation of wonder $	Perhaps by marking the end of that sad anniversary with such drama , the bizarre weather phenomenonhad startled him out of thoughts of death and into the contemplation of wonders .	27	27	contemplation
although i have no doubt that she be capable of grief $ i have thus far see her cry only in contemplation of her own mysterious burden or affliction $ and even then she have seem to release the tear grudgingly $ as if a tremendous inner pressure be force them from her against her will $	Although I had no doubt that she was capable of grief , I had thus far seen her cry only in contemplation of her own mysterious burden or affliction , and even then she had seemed to release the tears grudgingly , as if a tremendous inner pressure were forcing them from her against her will .	21	21	contemplation
and since it be relatively quiet $ it offer a good place four contemplation $	And since it is relatively quiet , it offers a good place four contemplation .	13	13	contemplation
peter baron glance at them all through the front of the shop $ but there be one that detain him in supreme contemplation $	Peter Baron glanced at them all through the fronts of the shops , but there was one that detained him in supreme contemplation .	22	22	contemplation
he imagine how it might have be have he meet her in the city $ in the anonymity of a booth $ elena on one side of the glass $ he on the other $ two stranger trap in their silent contemplation of each other $	He imagined how it might have been had he met her in the city , in the anonymity of a booth , Elena on one side of the glass , he on the other , two strangers trapped in their silent contemplation of each other .	41	41	contemplation
i have better go see for myself $ $ brucker say $ leave dewart in bitter contemplation of the pagoda $	I'd better go see for myself , " Brucker said , leaving Dewart in bitter contemplation of the pagoda .	16	15	contemplation
during the christmas season $ jef murray say $ they tap into the pre-modern catholic tradition of $ quiet reflection and contemplation $ $	During the Christmas season , Jef Murray says , they tap into the pre-modern Catholic tradition of " quiet reflection and contemplation . "	21	21	contemplation
while the imagination of some thinker and reformer be stir by the contemplation of new life develop in the new land $ other be move towards the scientific study of the past $	While the imagination of some thinkers and reformers was stirred by the contemplation of new life developing in the new lands , others were moved towards the scientific study of the past .	12	12	contemplation
unum $ 1991 $ draw on a primordial vocabulary of cosmic geometry-circles $ spiral $ diamond and square -- to evoke a mood of mystical awe and contemplation $	Unum , 1991 , draws on a primordial vocabulary of cosmic geometry-circles , spirals , diamonds and squares -- to evoke a mood of mystical awe and contemplation .	27	27	contemplation
just below the tea garden terrace $ on the roof of a poor house a woman in a gray scarf water her plant with her head down $ as though contemplation of the splendid view be the prerogative of socio-economic stratum high than hers $	Just below the tea garden terrace , on the roof of a poor house a woman in a gray scarf watered her plants with her head down , as though contemplation of the splendid view were the prerogative of socio-economic strata higher than hers .	30	30	contemplation
this atmosphere be silence $ not the silence of contemplation or of meditation $ of reverie or reflection $ but merely an almost complete absence of human utterance $	This atmosphere was silence , not the silence of contemplation or of meditation , of reverie or reflection , but merely an almost complete absence of human utterance .	9	9	contemplation
besides $ the smoke teach contemplation and patience $ and it be a child's job to be impatient $ $	Besides , the smoke teaches contemplation and patience , and it is a child's job to be impatient . "	5	5	contemplation
he be still grip her hand $ look into her face with a faraway $ dreamy contemplation that make her feel nervous $	He was still gripping her hand , looking into her face with a faraway , dreamy contemplation that made her feel nervous .	16	16	contemplation
when advent arrive that year $ i decide to observe the season by take a daily walk along that hide road as a form of contemplation $	When Advent arrived that year , I decided to observe the season by taking a daily walk along that hidden road as a form of contemplation .	25	25	contemplation
it seem to be the right time for some restful contemplation of what the hell be come loose and a relaxing iv of white rum $ $	It seemed to be the right time for some restful contemplation of what the hell was coming loose and a relaxing IV of white rum . "	10	10	contemplation
the contemplation take het mind off avril's rant until the woman snag her shoulder $ $	The contemplation took het mind off Avril's ranting until the woman snagged her shoulder . "	1	1	contemplation
and there be nothing like enforce $ uninterrupted contemplation to learn to distinguish one from another .....	And there is nothing like enforced , uninterrupted contemplation to learn to distinguish one from another ....	8	8	contemplation
then here come a pain spasm $ and randolph give himself over to its contemplation $	Then here came a pain spasm , and Randolph gave himself over to its contemplation .	14	14	contemplation
every academic discipline must include a contemplation of human sex $ don't you agree $ $	Every academic discipline must include a contemplation of human sex , don't you agree ? "	6	6	contemplation
a thousand different dialect and tongue could not lift its air of brooding and weighty contemplation $ nor its wealth $	A thousand different dialects and tongues could not lift its air of brooding and weighty contemplation , nor its wealth .	15	15	contemplation
in contemplation we stand upon the height of faith $ free from the doubt or fear that assail us in the present season of our live $	In contemplation we stand upon the heights of faith , free from the doubts or fears that assail us in the present season of our lives .	1	1	contemplation
life in miesian solitude $ however $ would not have be entirely without company $ the female statue walk in garden or dance in pool be as much companion piece as they be object of contemplation $	Life in Miesian solitude , however , would not have been entirely without company ; the female statues walking in gardens or dancing in pools were as much companion pieces as they were objects of contemplation .	35	35	contemplation
his teapot be homage to the idea of ritual $ contemplation $ protocol and cross-cultural exchange embody by the form $	His teapots are homages to the ideas of ritual , contemplation , protocol and cross-cultural exchange embodied by the form .	10	10	contemplation
erica turn from contemplation of the entrance to the coffee shop $ where brian's mistress might at any moment appear $ $	Erica turns from contemplation of the entrance to the coffee shop , where Brian's mistress might at any moment appear . "	3	3	contemplation
// the 10 runners-up $ in no special order of preference $ be $ // $ that $ s life $ $ blake edwards ' s gaudy but introspective comedy about mortality in hollywood $ star julie andrews and jack lemmon $ each at the peak of their accumulate talent $ $ decline of the american empire $ $ deny arcand ' s french-canadian talkfest about a group of self-absorbed academician who see the fall of the west in their own love life $ bertrand tavernier ' s $ ' round midnight $ $ a paean to bebop with an amazing $ laid-back $ bebop performance by the musician dexter gordon $ alain cavalier ' s $ therese $ $ a sweet $ unphony $ radiantly beautiful contemplation of the life of <nul> therese of lisieux $ david cronenberg ' s strike remake of $ the fly $ $ with jeff goldblum as the soon-to-be-speck on the <nul>	// The 10 runners-up , in no special order of preference , are : // " That ' s Life , " Blake Edwards ' s gaudy but introspective comedy about mortality in Hollywood , starring Julie Andrews and Jack Lemmon , each at the peak of their accumulated talents ; " Decline of the American Empire , " Denys Arcand ' s French-Canadian talkfest about a group of self-absorbed academicians who see the Fall of the West in their own love lives ; Bertrand Tavernier ' s " ' Round Midnight , " a paean to bebop with an amazing , laid-back , bebop performance by the musician Dexter Gordon ; Alain Cavalier ' s " Therese , " a sweet , unphony , radiantly beautiful contemplation of the life of St. Therese of Lisieux ; David Cronenberg ' s striking remake of " The Fly , " with Jeff Goldblum as the soon-to-be-speck on the floor.	127	127	contemplation
when the noon bell ring $ they would all go to their dormitory for ten minute of prayer and contemplation $ then they would proceed to the dining hall for dinner $	When the noon bell rang , they would all go to their dormitories for ten minutes of prayer and contemplation ; then they would proceed to the dining hall for dinner .	19	19	contemplation
