sentence_lemma	sentence_token	index_lemma	index_token	lemma
you hit him and he work like a donkey $ like a soldier who can not break his oath of allegiance to king and country $	You hit him and he works like a donkey , like a soldier who can not break his oath of allegiance to king and country .	8	8	donkey
somewhere down the slope a tether donkey begin to bray $	Somewhere down the slope a tethered donkey began to bray .	6	6	donkey
in a few instance the donkey carry his tail about for period of up to an hour before acknowledge or discover his new identity $	In a few instances the donkey carried his tail about for periods of up to an hour before acknowledging or discovering his new identity .	5	5	donkey
in north america $ as elsewhere $ to celebrate christmas $ tree be force through living room door and load down with an anthropologist's dream of symbolic ornaments-birds $ donkey $ candy $ star $ and sleighs with fat $ bearded gentleman in strange red suit $	In North America , as elsewhere , to celebrate Christmas , trees are forced through living room doors and loaded down with an anthropologist's dream of symbolic ornaments-birds , donkeys , candies , stars , and sleighs with fat , bearded gentlemen in strange red suits .	29	29	donkey
be sit beside the road $ in her misery roast a piece of a dead donkey $	was sitting beside the road , in her misery roasting a piece of a dead donkey .	15	15	donkey
plow $ harvest $ weed $ thresh $ little girl and boy water buffalo $ shepherd large flock of goose and duck or herd of pig $ fisherman cast their net $ gang of worker lay railroad track $ cart pull by donkey $ buffalo $ or man $ transport stone $ brick $ <nul>	plowing , harvesting , weeding , threshing ; little girls and boys watering buffalo , shepherding large flocks of geese and ducks or herds of pigs ; fishermen casting their nets ; gangs of workers laying railroad tracks ; carts pulled by donkeys , buffalo , or men , transporting stone , brick , sorghum.	42	42	donkey
to some it sound like a mob of crow $ to other a donkey's bray $	To some it sounds like a mob of crows , to others a donkey's bray .	13	13	donkey
why don't you wear a cap $ you donkey $	Why don't you wear a cap , you donkey ?	8	8	donkey
each day $ in his modestly size office decorate with donkey illustration and photo $ he think about how to make their live better $	Each day , in his modestly sized office decorated with donkey illustrations and photos , he thinks about how to make their lives better .	10	10	donkey
earlall right $ i be about as subtle as a donkey's ass $	EARLAll right , I 'm about as subtle as a donkey's ass .	10	10	donkey
the goal of a balance budget $ which have be enshrine in the gramm -- rudman law $ be now replace by a process analogous to a donkey chase a carrot tie to the end of a stick $	The goal of a balanced budget , which had been enshrined in the Gramm -- Rudman law , is now replaced by a process analogous to a donkey chasing a carrot tied to the end of a stick .	27	27	donkey
pastoralist breed and manage camel $ donkey $ sheep and goat as well as cattle $	Pastoralists breed and manage camels , donkeys , sheep and goats as well as cattle .	6	6	donkey
