sentence_lemma	sentence_token	index_lemma	index_token	lemma
sal ianello's face be obscure $ but his back be ramrod straight $	Sal Ianello's face was obscured , but his back was ramrod straight .	2	2	face
her face be contort in an expression of rugged $	Her face was contorted in an expression of rugged ,	1	1	face
she be thirty-nine $ and it be the first time she have see her face $ not as someone who	She was thirty-nine , and it was the first time she had seen her face , not as someone who	14	14	face
she catch hold of germaine again $ and again frame her face $ this time hold it rather roughly between her hand $ $	She caught hold of Germaine again , and again framed her face , this time holding it rather roughly between her hands . "	11	11	face
that be when he have be married $ have a house $ aim to study his way off deck and onto the bridge $ a foolishness he have undertake for mary and her sad $ plead face $ though it have be a good thing in the end $	That was when he'd been married , had a house , aimed to study his way off deck and onto the bridge , a foolishness he'd undertaken for Mary and her sad , pleading face , though it had been a good thing in the end .	36	34	face
i lay and stare up at him for a while $ feel the strange unbreathing warmth of his face against my hand $ he only draw in breath when he want to talk $ and i start to notice something else about him $ that air be mix with his edge somehow $ but before i could concentrate on that $ i sit up $ look around $ feel alarmed $ $	I lay and stared up at him for a while , feeling the strange unbreathing warmth of his face against my hand -- he only drew in breath when he wanted to talk -- and I started to notice something else about him , that air was mixing with his edges somehow , but before I could concentrate on that , I sat up , looking around , feeling alarmed . "	18	18	face
elizabeth wave $ laugh $ wave again $ make a face at the stiltwalker $	Elizabeth waves , laughs , waves again , making a face at the stiltwalker .	10	10	face
his face be at variance with his clothes $ which be disreputable $ neatly patch pant $ a sweat-stained dirty undershirt $ and sandal repair with string $ his face $ however $ shine with intelligence $ and his eye be bright and eager $ $	His face was at variance with his clothes , which were disreputable : neatly patched pants , a sweat-stained dirty undershirt , and sandals repaired with string ; his face , however , shone with intelligence , and his eyes were bright and eager . "	1	1	face
i be convince i think about it more than he do $ look at my soften face in the mirror as i sit in the beauty salon $ sit in the car wash tempt to open the window and let in that nasty soapy water inside the white range rover he have insist on buy $ stroll down the aisle of grant be mindlessly put butter $ egg $ cereal $ and ground turkey in the cart $	I 'm convinced I thought about it more than he did -- looking at my softening face in the mirror as I sat in the beauty salon ; sitting in the car wash tempted to open the window and let in that nasty soapy water inside the white Range Rover he'd insisted on buying ; strolling down the aisle of Grant's mindlessly putting butter , eggs , cereal , and ground turkey in the cart .	16	16	face
put on a moisturizer after you have clean your face $	Put on a moisturizer after you've cleaned your face .	9	8	face
he have take off father's face $ bran think $ and don the face of lord stark of winterfell $	He had taken off Father's face , Bran thought , and donned the face of Lord Stark of Winterfell .	5	5	face
and hide her face behind michael's back to hide her shock and surprise $	And hides her face behind Michael's back to hide her shock and surprise .	3	3	face
he land on his face $ his lip stinging in the snow $	He landed on his face , his lips stinging in the snow .	4	4	face
wilma benthoff $ the governor's campaign manager-and presently his harried rally organizer-pushed her wildly curled blonde hair away from her face so she could see her clipboard $ $	Wilma Benthoff , the governor's campaign manager-and presently his harried rally organizer-pushed her wildly curled blonde hair away from her face so she could see her clipboard . "	20	20	face
she keep her head tip down so that her long dark blond hair fall over her face to hide the fact that part of her low jaw be miss $	She kept her head tipped down so that her long dark blond hair fell over her face to hide the fact that part of her lower jaw was missing .	16	16	face
the dimple appear and a smile flash across his face $ but it wasp131mirthless $ evasive $ and i wonder if i haven't touch on some pain of his $	The dimple appeared and a smile flashed across his face , but it wasp131mirthless , evasive , and I wondered if I hadn't touched on some pain of his .	9	9	face
i have a feel we could drop the decertification move as a bargaining chip $ as a sort of face saver $ $ say one white house official $ $	I have a feeling we could drop the decertification move as a bargaining chip , as a sort of face saver , " said one White House official . "	19	19	face
i watch christopher's face as the song end $ watch his big white tooth in his big black face and watch him clap his big black hand $	I watched Christopher's face as the song ended , watched his big white teeth in his big black face and watched him clap his big black hands .	3	3	face
ground and nelson be astride my back $ push my face in the dirt $ $	ground and Nelson was astride my back , pushing my face in the dirt . "	10	10	face
even though his hair be thin to the point where more scalp show than hair $ he be still an attractive man $ with a robust laugh and a bright smile $ display row of even white tooth in his tan and masculine p59 face $	Even though his hair was thinning to the point where more scalp showed than hair , he was still an attractive man , with a robust laugh and a bright smile , displaying rows of even white teeth in his tan and masculine | face .	44	44	face
ora $ unwieldy with the child she be carry $ go on to where her husband sit $ drop to her knee and look up into his face $ $	Ora , unwieldy with the child she was carrying , went on to where her husband sat , dropped to her knees and looked up into his face . "	27	27	face
he open the door and turn to look back $ a tall man frame in light from the hall $ his face lose in shadow $ $	He opened the door and turned to look back , a tall man framed in light from the hall , his face lost in shadow . "	21	21	face
first she paint the darke part of her face $ around the mouth and nostril $ stop her hand just before she blend the paint into the dead face with her finger $	First she paints the darkest part of her face , around the mouth and nostrils , stopping her hand just before she blends the paint into the dead face with her finger .	8	8	face
the little girl's face be distort by the screen $ an old-fashioned affair that be rust in place $	The little girl's face was distorted by the screen , an old-fashioned affair that was rusting in places .	3	3	face
