sentence_lemma	sentence_token	index_lemma	index_token	lemma
they wear lace and brocade $ leather and rag $ graft $ jewel $ chain and battery $ plastic $ hair $ skin and bone $	They wore lace and brocade , leather and rags , grafts , jewels , chains and batteries , plastic , hair , skins and bones .	10	10	graft
the dismissal last month of the commandant and two other general of the provincial police $ reportedly for graft $	the dismissal last month of the commandant and two other generals of the provincial police , reportedly for graft .	18	18	graft
paul we try to live with lie and corruption and fraud and graft and violence and exploitation and $	PAUL We try to live with lies and corruption and fraud and graft and violence and exploitation and .	12	12	graft
as for captain o'hurley $ i read in the newspaper sometime later that he have be demote $ and transfer to a post where the opportunity to receive graft and bribe from $ client $ be slim indeed $	As for Captain O'Hurley , I read in the newspapers sometime later that he had been demoted , and transferred to a post where the opportunity to receive graft and bribes from " clients " were slim indeed .	28	28	graft
they present me with evidence of graft in washington or <nul> louis $ they offer proof of price-fixing in the oil or aircraft industry $ they bring word of illegal campaign contribution $ of pay-off $ bribe $ and stock-market swindle $	They present me with evidence of graft in Washington or St. Louis ; they offer proofs of price-fixing in the oil or aircraft industries ; they bring word of illegal campaign contributions , of pay-offs , bribes , and stock-market swindles .	6	6	graft
proceeding -- in which not only be there wholesale graft payment to the new orleans police to purchase immunity for racket operation $ but some police official actually be in the racket themselves $ own and operate gambling establishment $ lottery and house of prostitution $	proceedings -- in which not only were there wholesale graft payments to the New Orleans police to purchase immunity for racket operations , but some police officials actually were in the rackets themselves , owning and operating gambling establishments , lotteries and houses of prostitution .	9	9	graft
employee be describe by the investigation department as rare evidence in black and white of petty graft in municipal government $	employes were described by the Investigation Department as rare evidence in black and white of petty graft in municipal government .	16	16	graft
that the deep-seated problem of the soviet economy probably be insoluble under a system whose lack of competition foster more laziness and graft than innovation $	that the deep-seated problems of the Soviet economy probably are insoluble under a system whose lack of competition fosters more laziness and graft than innovation .	22	22	graft
but he say $ there should be prosecution for perjury $ in the case of william rosenthal $ $ a contractor who tell the sey mour unit last month that lie have pay graft to four employee of the city's real estate department $	But he said " there should be prosecution for perjury " in the case of William Rosenthal , , a contractor who told the Sey mour unit last month that lie had paid graft to four employes Of the city's Real Estate Department .	33	33	graft
for 30 year $ as editor-publisher of a rural north carolina weekly $ he unremittingly fight graft $ corruption $ red-neck segregationist $ pharisee of all kinds-and some 60 libel suit $	For 30 years , as editor-publisher of a rural North Carolina weekly , he unremittingly fought graft , corruption , red-neck segregationists , pharisees of all kinds-and some 60 libel suits .	16	16	graft
the name of policeman who discuss corruption with the time be be withhold to // in addition to instance of outright graft $ the police department be trouble by a corrosive atmosphere and official inaction that $ according to source within the	The names of policemen who discussed corruption with The Times are being withheld to // In addition to instances of outright graft , the Police Department is troubled by a corrosive atmosphere and official inaction that , according to sources within the	21	21	graft
experience tell us that lawmaker and lobbyist almost never say directly what they mean when it come to what an average person would consider to be graft $	Experience tells us that lawmakers and lobbyists almost never say directly what they mean when it comes to what an average person would consider to be graft .	26	26	graft
this insulation of the giver from the taker $ the diffusion of responsibility for the bribery $ typify most aspect of the building industry $ and it give the system of graft an add resilience $	This insulation of the givers from the takers , the diffusion of responsibility for the bribery , typifies most aspects of the building industry , and it gives the system of graft an added resilience .	31	31	graft
the mayor's assertion come in response to a statement on thursday by whitman knapp $ the head of the commission to investigate alleged police corruption $ that as chief executive the mayor $ can not escape responsibility $ for the widespread graft find among new york's policeman by the panel $	The Mayor's assertion came in response to a statement on Thursday by Whitman Knapp , the head of the Commission to Investigate Alleged Police Corruption , that as chief executive the Mayor " can not escape responsibility " for the widespread graft found among New York's policemen by the panel .	41	41	graft
