sentence_lemma	sentence_token	index_lemma	index_token	lemma
so confident she suspect there be something in the lass $	So confident she suspected there was something in the lassi .	9	9	lass
she take a swig of the lass $ find it cool and tingly $ feel instantly better $	She took a swig of the lassi , finding it cool and tingly , feeling instantly better .	6	6	lass
the five choice $ all $8 $ include one infuse with lychee $ another mix with mango lass and still another serve up with a lemon wedge $	The five choices ( all $8 ) include one infused with lychee , another mixed with mango lassi and still another served up with a lemon wedge .	17	17	lass
all bell say be $ $ we will start with sliver-leaf salad $ carrot and cashew soup $ and a pitcher of apricot lass $ $	All Bell said was , " We'll start with sliver-leaf salad , carrot and cashew soup , and a pitcher of apricot lassi . "	23	22	lass
the waiter pop back up with their pitcher of apricot lass $	The waiter popped back up with their pitcher of apricot lassi .	10	10	lass
<nul> rod garcia introduce us to the fantasy world of markovy back in the august 2000 issue $ and in the past year he have spin out half a dozen tale of brave knights $ invisible lass $ death-dealing goddesses $ and unusual romance $	@@12424 Rod Garcia introduced us to the fantasy world of Markovy back in the August 2000 issue , and in the past years he has spun out half a dozen tales of brave knights , invisible lasses , death-dealing goddesses , and unusual romances .	36	36	lass
s h o must seek election in november under califoi nia lass $ a justice's name appear on the ballot with the question as to whether or not he shall be retain in office he have no opponent $ but if the vote be negative $ the gosernor appoint a successor $	s h o must seek election in November Under Califoi nia lass , a justice's name appears on the ballot with the question as to whether or not he shalt be retained in office He has no opponent , but if the vote is negative , the gosernor appoints a successor .	11	11	lass
but $ lass $ a touch of essence here or there will make a strong $ grand man from a shy $ bashful sort $ $	But , lass , a touch of essence here or there will make a strong , grand man from a shy , bashful sort . "	2	2	lass
she look more like a beardless lad in a kirtle than a lass overripe for marriage $	She looked more like a beardless lad in a kirtle than a lass overripe for marriage .	12	12	lass
shame on ye $ lass $ $ rue mutter $ but when her gaze meet megan's $ there be	Shame on ye , lass , " Rue muttered , but when her gaze met Megan's , there was	4	4	lass
$ i be a lass $ $ say young stewart $ $	" I am a lass , " said young Stewart . "	4	4	lass
just before the conroys leave $ one guest sing a song call $ the lass of aughrim $	Just before the Conroys leave , one guest sings a song called " The Lass of Aughrim .	14	14	lass
how do you $ $ $ i be no fool $ lass $	How did you -- " " I 'm no fool , lass .	11	11	lass
but that be the very thing we have go for us $ lass $	But that's the very thing we have going for us , lass .	12	11	lass
in three year she play about 40 part $ everything from the salvation army lass in the brecht-weill musical $ happy end $ to a young lover in $ a midsummer night's dream $ to a decayed ancient in $ the idiot karamazov $ $ a madcap burlesque by two bright and brash young playwright $ albert innaurato and christopher durang $	In three years she played about 40 parts , everything from the Salvation Army lass in the Brecht-Weill musical " Happy End " to a young lover in " A Midsummer Night's Dream " to a decayed ancient in " The Idiots Karamazov , " a madcap burlesque by two bright and brash young playwrights , Albert Innaurato and Christopher Durang .	14	14	lass
lass start out as a jockey in darlington $ south carolina in 1915 $ get $ five for ridin ' $ five for winnin ' $ $	Lasses started out as a jockey in Darlington , South Carolina in 1915 , getting " five for ridin ' , five for winnin ' . "	0	0	lass
house $ a bag of tea $ and one precious quadroon lass $	house , a bag of tea , and one precious quadroon lass .	11	11	lass
it be a song kin and child of many song $ a mother's voice rejoice over a bless cradle $ a husbandman's rough cheer over a day's work do and well do $ a virgin lass weaving dream of love into the melody that spring unbidden to her lip	It was a song kin and child of many songs : A mother's voice rejoicing over a blessed cradle ; a husbandman's rough cheer over a day's work done and well done ; a virgin lass weaving dreams of love into the melody that springs unbidden to her lips	35	35	lass
we could make our fortunep120with one of these $ lass $ if we could get it out of here $	We could make our fortunep120with one of these , lass -- if we could get it out of here .	9	9	lass
he consider himself one of the poor $ but even the boy know that this young man's parent have pay his education at the law $ whereas the rest $ lad and lass alike $ be in the mill or at the work or on the dock at twelve or fourteen $	He considered himself one of the poor , but even the boy knew that this young man's parents had paid his education at the law -- whereas the rest , lad and lass alike , were in the mill or at the works or on the docks at twelve or fourteen .	32	32	lass
he recall more than one occasion when the two of them have take one lusty lass into the bed fur betwixt them $	He recalled more than one occasion when the two of them had taken one lusty lass into the bed furs betwixt them .	15	15	lass
when he note the day's sunshine $ his stricture have end $ but no sooner do he clap eye on sorcha and sidony than he sigh and say $ $ i hope ye mean to be a good wife to ardelve $ lass $ $	When he noted the day's sunshine , his strictures had ended , but no sooner did he clap eyes on Sorcha and Sidony than he sighed and said , " I hope ye mean to be a good wife to Ardelve , lass . "	42	42	lass
even as a lass she have never let folk get the better of her $	Even as a lass she'd never let folk get the better of her .	3	3	lass
always a chance $ my lad $ in the darkness $ while firework and color fountain play for the queen's pleasure $ to slip away with some fine country lass and teach her the old of court dance $ to clothe her in green clover and show her a wondrous rocket of my own $ $	Always a chance , my lad , in the darkness , while fireworks and colored fountains play for the Queen's pleasure , to slip away with some fine country lass and teach her the oldest of Court dances , to clothe her in green clover and show her a wondrous rocket of my own . "	29	29	lass
be a disaster at nancy $ and the rich prince in the west be a corpse $ with an unmarried lass as his heiress $	was a disaster at Nancy , and the richest prince in the West is a corpse , with an unmarried lass as his heiress .	20	20	lass
not now $ $ say she $ $ the lass have be thro ' enough hardshipthese past day $ $	Not now , " said she , " the Lass hath been thro ' enough Hardshipthese past Days . "	9	9	lass
$ you be free with oath $ lass $ $	" You are free with oaths , lass . "	7	7	lass
$ you be a bold lass $ $ gideon comment $ $	" You were a bold lass , " Gideon commented . "	5	5	lass
$ now you have it $ lass $ $ he agree gruffly $ $	" Now you have it , lass , " he agreed gruffly . "	6	6	lass
he have win every archery competition $ each trial of strength $ and turn the head of all the lass with his easy charm and fine $ quick wit $	He'd won every archery competition , each trial of strength , and turned the heads of all the lasses with his easy charm and fine , quick wit .	19	18	lass
ah $ lass $ you should have get me up sooner $	Ah , lass , you should have gotten me up sooner .	2	2	lass
after a moment's silence he say $ $ lass $ he can not be bury in consecrated ground $	After a moment's silence he said , " Lass , he can not be buried in consecrated ground .	8	8	lass
and then hurry out to the stable to see angus $ who still call me $ lass $ $ and then to the kitchen to greet p195 jenny $ who now call me $ milady $ $	and then hurrying out to the stables to see Angus , who still called me " lass , " and then to the kitchen to greet | Jenny , who now called me " milady . "	16	16	lass
fit as a pippin she be $ an ' that be all to the good $ fer what await the lass $ $	Fit as a pippin she be , an ' that's all to the good , fer what awaits the lass . "	20	19	lass
