sentence_lemma	sentence_token	index_lemma	index_token	lemma
lack of subtlety be one of earl's most appealing trait $ and rick have to use every ounce of restraint and concentration to keep his mind on the road $	Lack of subtlety was one of Earl's most appealing traits , and Rick had to use every ounce of restraint and concentration to keep his mind on the road .	17	17	ounce
he could entertain an outsider with story and send him home smile $ without ever reveal an ounce of himself $	He could entertain an outsider with stories and send him home smiling , without ever revealing an ounce of himself .	17	17	ounce
and even with all her loneliness $ all her solitude $ that be the last thing i expect $ her cry in a way that make something inside me give way $ and there be not another man with an ounce of heart in him who wouldn't have do what i do then $ walk across the lawn and take her hand	and even with all her loneliness , all her solitude , that was the last thing I expected , her crying in a way that made something inside me give way , and there's not another man with an ounce of heart in him who wouldn't have done what I did then : walk across the lawn and take her hand	40	39	ounce
when he kiss her goodnight it take every ounce of willpower to push him away $	When he kissed her goodnight it took every ounce of willpower to push him away .	8	8	ounce
cucumber sandwich #8 thin slice white bread 1/2 cup mayonnaise $ approximately #1 cucumber $ about 6 ounce salt to taste if desire freshly ground pepper to <nul>	Cucumber Sandwiches #8 thin slices white bread 1/2 cup mayonnaise , approximately #1 cucumber , about 6 ounces Salt to taste if desired Freshly ground pepper to taste.	17	17	ounce
consume every last ounce of energy in her be $	consuming every last ounce of energy in her being .	3	3	ounce
because of redistricting $ the tenth district now have more register democrat than republican $ and peggy heckler will need every ounce of her vigor to hold the constituency for the republican party $	Because of redistricting , the Tenth District now has more registered Democrats than Republicans , and Peggy Heckler will need every ounce of her vigor to hold the constituency for the Republican Party .	21	21	ounce
this creature would have kill him without an ounce of remorse $ but he couldn't even take one of its eye in cold blood $ not even if it would solve the mystery of cassiodorus $	This creature would have killed him without an ounce of remorse , but he couldn't even take one of its eyes in cold blood , not even if it would solve the mystery of Cassiodorus .	8	8	ounce
to keep the stomach in your household healthy and happy $ practise an ounce of prevention to keep food poison out from under your roof $	To keep the stomachs in your household healthy and happy , practise an ounce of prevention to keep food poisoning out from under your roof .	13	13	ounce
but pilgrim don't need an ounce of self-promotion when he have harold baxter $ one of those classic salesman who $ in the word of a philadelphia money manager $ $ could sell refrigerator to eskimo $ $	But Pilgrim didn't need an ounce of self-promotion when he had Harold Baxter , one of those classic salesmen who , in the words of a Philadelphia money manager , " could sell refrigerators to Eskimos . "	5	5	ounce
yet population radically decline in the course of only three year in the 1970s-one woman at a time $ without an ounce of government involvement $	Yet population radically declined in the course of only three years in the 1970s-one woman at a time , without an ounce of government involvement .	21	21	ounce
with the announcement crichton iv intend to make today $ he know he have need every ounce of shield $	With the announcement Crichton IV intended to make today , he knew he'd need every ounce of shielding .	16	15	ounce
cohn $ desperate $ not one ounce of cooperation from anyone around here $	COHN ( Desperate ) Not one ounce of cooperation from anyone around here .	6	6	ounce
in an instant $ every ounce of cool air be suck out and replace with this blast of summer air - a hot $ wet slap in the face $	In an instant , every ounce of cool air was sucked out and replaced with this blast of summer air - a hot , wet slap in the face .	5	5	ounce
every ounce of strength in his muscular six-foot-one body be need to keep a steady hand on the trim tab and the throt-tle lever and a firm left foot on the engine pedal control the pressure in the mighty twin turbo that send the boat thunder over the water $	Every ounce of strength in his muscular six-foot-one body was needed to keep a steady hand on the trim tabs and the throt-tle levers and a firm left foot on the engine pedal controlling the pressure in the mighty twin turbos that sent the boat thundering over the water .	1	1	ounce
i have four ounce every morning $ four ounce of vitamin $ mineral $ and certain trace element not yet understand by science $	I have four ounces every morning , four ounces of vitamins , minerals , and certain trace elements not yet understood by science .	3	3	ounce
the bad news -- when it come to prostate cancer $ an ounce of prevention may lead to too much cure $	THE BAD NEWS -- When it comes to prostate cancer , an ounce of prevention may lead to too much cure .	12	12	ounce
hysterical idiot $ he think to himself $ without an ounce of compassion $	Hysterical idiot , he thought to himself , without an ounce of compassion .	10	10	ounce
tessa turn away $ use every ounce of determination to keep from laugh $	Tessa turned away , using every ounce of determination to keep from laughing .	6	6	ounce
if she have an ounce of strength they would not be put in the rank of the despise and forget $	If she had an ounce of strength they would not be put in the ranks of the despised and forgotten .	4	4	ounce
three ounce of roasted venison contain 134 calory and 2.7 fat gram $ 1.1 gram saturated $ $	Three ounces of roasted venison contain 134 calories and 2.7 fat grams ( 1.1 grams saturated ) .	1	1	ounce
