sentence_lemma	sentence_token	index_lemma	index_token	lemma
harry do the first of the slime creature in griffith park when she read for him in bra and panty $ he say to give him an idea of her figure $ and she get the part $	Harry doing the first of the Slime Creatures in Griffith Park when she read for him in bra and panties , he said to give him an idea of her figure , and she got the part .	36	36	part
the american do not think that man and woman have either the duty or the right to per -- form the same office $ but they show an equal regard for both their respective part $ and $	The Americans do not think that man and woman have either the duty or the right to per -- form the same offices , but they show an equal regard for both their respective parts ; and .	34	34	part
wayne $ $ never before have a vice president play such an important part in foreign policy $ $	Wayne : " Never before has a Vice President played such an important part in foreign policy . "	13	13	part
which may explain why paramount pay more than $1 million for the right to winston groom's new book $ gump &; <nul> $ despite the fact that tom hanks and robert zemeckis have express but wan interest in take part in a gump sequel $	Which may explain why Paramount paid more than $1 million for the rights to WINSTON GROOM 'S new book , Gump &; Co. , despite the fact that Tom Hanks and Robert Zemeckis have expressed but wan interest in taking part in a Gump sequel .	39	40	part
to a young generation of educator $ that will be the time for the state to do its part by reward those who stand at the door of the schoolhouse statewide welcome each and every child each day $	to a younger generation of educators , that will be the time for the state to do its part by rewarding those who stood at the door of the schoolhouses statewide welcoming each and every child each day .	18	18	part
he deal with the part of the uns verse and the whole of the universe $ and he theorize that thing that look like separate part of the universe emerge out of a pool $ which he call the common pool of information $	He deals with the parts of the uni verse and the whole of the universe , and he theorizes that things that look like separate parts of the universe emerge out of a pool , which he calls the common pool of information .	4	4	part
he use to be part of a very high commune there $ before it get squeeze out by the local establishment $	He used to be part of a very high commune there , before it got squeezed out by the local Establishment .	4	4	part
we get us a say in these part $ it be all good until the cow-pat hit the mechanical device for the rotary circulation of air $	We got us a saying in these parts : It's all good until the cow-pats hit the mechanical device for the rotary circulation of air .	7	7	part
the bacterium not only detoxify the fish waste but convert the ammonia in them to nitrite and nitrate $ which be use to fertilize alga in another part of the pond $	The bacteria not only detoxify the fish wastes but convert the ammonia in them to nitrites and nitrates , which are used to fertilize algae in another part of the pond .	27	27	part
in several other part of the world people be be deny their life $ or steal from their life to be sell $	In several other parts of the world people are being denied their life , or stolen from their life to be sold .	3	3	part
the latter be apparently not keep $ as danish volunteer be say to have form part of harold's army $	The latter was apparently not kept , as Danish volunteers are said to have formed part of Harold's army .	15	15	part
