sentence_lemma	sentence_token	index_lemma	index_token	lemma
she can smell the white carnation that be pin to his lapel $ a scent that remind her of the easter sunday corsage her father use to buy for her $	She can smell the white carnation that's pinned to his lapel , a scent that reminds her of the Easter Sunday corsages her father used to buy for her .	8	7	pin
pin up two of the other x ray $ the previous one $ take of this area of the iliac bone after her cure $	Pin up two of the other X rays , the previous ones , taken of this area of the iliac bone after her cure .	0	0	pin
cousin james $ carry a baseball bat $ pin jay to the floor but relax when he recognize the man he have drive around the west side month before $ $	Cousin James , carrying a baseball bat , pinned Jay to the floor but relaxed when he recognized the man he'd driven around the West Side months before . "	8	8	pin
when ronald reagan bestow the presidential medal of freedom on sidney hook $ he pin it on a marxist $	When Ronald Reagan bestowed the Presidential Medal of Freedom on Sidney Hook , he pinned it on a Marxist .	14	14	pin
the team could count itself lucky if the crowd exceed 5,000 $ even on the day the hate yankee come to town $ lead by the yankee clipper -- the name arch mcdonald pin on joe <nul>	The team could count itself lucky if the crowd exceeded 5,000 , even on the days the hated Yankees came to town , led by the Yankee Clipper -- the name Arch McDonald pinned on Joe DiMaggio.	33	33	pin
on the couch $ in the kitchen reckless by an open window $ pin in the front seat of the car on the way back from a concert	On the couch , in the kitchen reckless by an open window , pinned in the front seat of the car on the way back from a concert	13	4	pin
she see the enormous iceboat pin at its dock $ and a line of people stretch from the loading pier to a big hamilton-classcutter $ stack smoke lightly $ which rest on the ice $ freeze in $	She saw the enormous iceboat pinned at its dock , and a line of people stretched from the loading pier to a big Hamilton-classcutter , stacks smoking lightly , which rested on the ice , frozen in .	5	36	pin
the well-dressed and decorously glamorous woman with her twin roll of blonde hair pin high atop her head appear first in my field of vision $	The well-dressed and decorously glamorous woman with her twin rolls of blonde hair pinned high atop her head appeared first in my field of vision .	13	20	pin
the document $ which the old man realize be to be pin on his body $ conclude $ $ the case be close $ $	The document , which the old man realizes was to be pinned on his body , concludes , " The case is closed . "	11	11	pin
there be a bowl of potpourrion the sideboard and a palm cross pin to the mir $	There was a bowl of potpourrion the sideboard and a palm cross pinned to the mir ?	12	12	pin
