sentence_lemma	sentence_token	target_index	original_word
perhaps this risk would be worth take if there be gain to be make against inflation by suffer a long period of high unemployment $	Perhaps this risk would be worth taking if there were gains to be made against inflation by suffering a longer period of high unemployment .	2	risk
and up the mississippi river be where you have the greatest tornado risk and the new madrid fault $	And up the Mississippi River is where you have the greatest tornado risk and the New Madrid Fault .	12	risk
for example $ at age 29 when $ in the forester series $ the probability of fall sick be low $ curve f $ $ the average duration of this small proportion of episode have already increase to the point at which the risk of be sick be noticeably high than at its floor $	For example , at age 29 when , in the Foresters series , the probability of falling sick was lowest ( curve F ) , the average duration of this smallest proportion of episodes had already increased to the point at which the risk of being sick was noticeably higher than at its floor .	43	risk
observation study have find that breast cancer patient and people at high risk of breast cancer excrete less mammalian lignans than people with a low risk of breast cancer.12 a study in finland find that woman with high enterolactone level in their blood have a low risk of breast cancer.15 these study suggest that breast cancer may be more common in people who	Observation studies have found that breast cancer patients and people at high risk of breast cancer excrete less mammalian lignans than people with a lower risk of breast cancer.12 A study in Finland found that women with high enterolactone levels in their blood had a lower risk of breast cancer.15 These studies suggest that breast cancer may be more common in people who	12	risk
chronic mild exposure be still the big risk $ $ coldiron say $	Chronic mild exposure is still the biggest risk , " Coldiron says .	7	risk
every time someone take an hiv test $ it give us a chance to educate them about the disease $ engage them in a discussion of their individual risk and discuss hiv prevention $	Every time someone takes an HIV test , it gives us a chance to educate them about the disease , engage them in a discussion of their individual risks and discuss HIV prevention .	28	risk
where opportunity in any be deny $ the risk o f individual and social pathology increase $	Where opportunity in any is denied , the risk o f individual and social pathology increases .	8	risk
the great risk may be that the heavy-handed tactic could backfire $	The greater risk may be that the heavy-handed tactics could backfire .	2	risk
even if you don't have a single risk factor $ however $ expert stress every woman be at risk $	Even if you don't have a single risk factor , however , experts stress every woman is at risk .	7	risk
strong evidence that colonoscopy be cost-effective coomes from eli l $ illy and $ company $ the indianapolis-based pharmutical corporation $ which be conduct the large community-based study ever of the test on people at average risk $	Strong evidence that colonoscopy is cost-effective coomes from Eli l , illy and ( Company , the Indianapolis-based pharmutical corporation , which is conducting the largest community-based study ever of the test on people at average risk .	36	risk
a 49-year-old woman who be still menstruate have a high risk than another 49-year-old who start menstruate at the same age but go through menopause $	A 49-year-old woman who is still menstruating has a higher risk than another 49-year-old who started menstruating at the same age but went through menopause .	10	risk
among preschool and school-age child $ the risk of get polio from type iii virus in its natural state be much great $ and the risk of get it from the vaccine be almost nonexistent $	Among preschool and school-age children , the risk of getting polio from Type III virus in its natural state is much greater , and the risk of getting it from the vaccine is almost nonexistent .	7	risk
otherwise $ there be a risk of tip unintentionally $	Otherwise , there is a risk of tipping unintentionally .	5	risk
wary company another agent say company have be wai y of new negro risk since demonstration lead to xiolence here last may $ but that the situation have worsen since the <nul> 15 blast $ two of my company have already tell me this week not to commit them on renew any neelo policy they already have $ $	Wary Companies Another agent says companies have been wai y of new Negro risks since demonstrations led to xiolence here last May , but that the situation has worsened since the Sept. 15 blast " Two of my companies have already told me this week not to commit them on renewing any Neelo policies they already have ? "	13	risk
the gap have prompt some company to take risk with executive who have not previously be chief executive $	The gap has prompted some companies to take risks with executives who've not previously been chief executives .	8	risk
beyond tackle gazprom's monopolistic power $ a realistic energy policy for europe would also seek to share the risk of any possible energy blockade equally among all european $ rather than allow separate deal that leave other vulnerable to energy blackmail $	Beyond tackling Gazprom's monopolistic power , a realistic energy policy for Europe would also seek to share the risks of any possible energy blockade equally among all Europeans , rather than allowing separate deals that leave others vulnerable to energy blackmail .	18	risk
the fear-inducing publicity give to osteoporosis in woman's magazine and calcium ad have create a demand for bone-density scan $ when it be only necessary or appropriate to screen woman with multiple risk factor $	The fear-inducing publicity given to osteoporosis in women's magazines and calcium ads has created a demand for bone-density scans , when it is only necessary or appropriate to screen women with multiple risk factors .	32	risk
investigator be surprise last year when preliminary evidence from the whi reveal that take estrogen with or without progestin slightly increase the risk of blood clot $ heart attack and stroke over a two-year period $	Investigators were surprised last year when preliminary evidence from the WHI revealed that taking estrogen with or without progestin slightly increased the risk of blood clots , heart attacks and strokes over a two-year period .	22	risk
because so many people now recognize these risk $ annual sales of handgun in california have plummet by 71 percent $ from 433,822 in 1993 to 126,233 in 2003 $	Because so many people now recognize these risks , annual sales of handguns in California have plummeted by 71 percent , from 433,822 in 1993 to 126,233 in 2003 .	7	risk
the writer have see as many as 2000 pig in one unit in sweden $ but this be not recommend as the disease risk would appear to be high in this country $	The writer has seen as many as 2000 pigs in one unit in Sweden , but this is not recommended as the disease risk would appear to be higher in this country .	23	risk
for the risk intolerant $ the stress of not know what may happen drain the potential delight from any forthcoming event $	For the risk intolerant , the stress of not knowing what may happen drains the potential delight from any forthcoming event .	2	risk
35 or more point $ high risk your prostate be a cancer magnet $	35 OR MORE POINTS : HIGH RISK Your prostate is a cancer magnet .	6	risk
she certainly suffer from dementia praecox and seem to be arrest in that state between maidenhood and womanhood $ when girl be most at risk of fall prey to their latent impulse $	She certainly suffered from dementia praecox and seemed to be arrested in that state between maidenhood and womanhood , when girls are most at risk of falling prey to their latent impulses .	24	risk
if the rich be free to engage in dangerous sport for pleasure .... it be difficult to see why the poor $ who take the lesser risk of kidney sell ....	If the rich are free to engage in dangerous sports for pleasure ... it is difficult to see why the poor , who take the lesser risk of kidney selling ...	26	risk
do you know i could bring suit against the board of education and against you personally $ be you aware of the risk you be take in this ignorant haphazard -- ignorant -- asinine -- this incompetent manner you be administrate -- administer your duty $	do you know I could bring suit against the Board of Education and against you personally , are you aware of the risks you are taking in this ignorant haphazard -- ignorant -- asinine -- this incompetent manner you are administrating -- administering your duties ?	22	risk
better to expend all one's reserve here than risk pass below the station $	Better to expend all one's reserves here than risk passing below the station .	8	risk
by create a second brand $ they can do both with very little risk $	By creating a second brand , they can do both with very little risk .	13	risk
participant must be at least 35 year old $ be post-menopausal $ or have have a hysterectomy $ $ and have an increased risk of breast cancer $	Participants must be at least 35 years old , be post-menopausal ( or have had a hysterectomy ) , and have an increased risk of breast cancer .	23	risk
he see himself on $ donahue $ $ talk about the danger he have face $ the risk he have take $	He saw himself on " Donahue , " talking about the dangers he had faced , the risks he had taken .	17	risk
at the risk of egregious overgeneralization $ the farmstead of western europe might be divide into three broad category as far as the placement of their barn be concerned $	At the risk of egregious overgeneralization , the farmsteads of Western Europe might be divided into three broad categories as far as the placement of their barns is concerned .	2	risk
