sentence_lemma	sentence_token	index_lemma	index_token	lemma
when he do $ his comment be concise and his tone savage $ $	When he did , his comment was concise and his tone savage . "	11	11	savage
for as the caucasus forcep597came to a halt in the wild mountain pass despite all hitler's savage urge $ as rommel stall at el alamein $ fail in two assault $ and at last underwentthe grinding assault of the british $ as the raf increase its barbaricfire raid on our city $ slaughter thousands of innocent woman and child and pulverize important factory $ as our u-boat loss suddenlyand alarmingly shoot up $ as the american land in north africa with world-shaking political effect $ as all these chicken come home to roost $ and adolf hitler's great summer flush of triumph wane $ and the first crack in his gigantic imperium appear $ the embattled fuhrer feel a more and more desperate need for a prestige victory to turn all this around $	For as the Caucasus Forcep597came to a halt in the wild mountain passes despite all Hitler's savage urging ; as Rommel stalled at El Alamein , failed in two assaults , and at last underwentthe grinding assault of the British ; as the RAF increased its barbaricfire raids on our cities , slaughtering thousands of innocent women and children and pulverizing important factories ; as our U-boat losses suddenlyand alarmingly shot up ; as the Americans landed in North Africa with world-shaking political effect ; as all these chickens came home to roost , and Adolf Hitler's great summer flush of triumph waned , and the first cracks in his gigantic imperium appeared , the embattled Fuhrer felt a more and more desperate need for a prestige victory to turn all this around .	16	16	savage
we don't know that $ $ he repeat $ but i have grow accustom to their savage fight $ they no long frighten me $	We don't know that , " he repeated ; but I had grown accustomed to their savage fights -- they no longer frightened me .	16	16	savage
a young woman to whom god have be unkind $ colman $ how savage she can be $	A young woman to whom God has been unkind , Colman , how savage she can be !	13	13	savage
$ it shake your foundation $ he say $ $ to consider a broad range of work such as these $ when what you be comfortable with be the idea of the ' noble savage ' or ' our little neighbor to the south $ '	" It shakes your foundation , he says , " to consider a broad range of works such as these , when what you're comfortable with is the idea of the ' noble savage ' or ' our little neighbor to the south . '	34	33	savage
be the savage i have run into who see his totem in dream or vision $	's the savage I've run into who sees his totem in dreams or visions .	2	2	savage
gentle $ savage $ vulnerable $ yet willing to offer a moment's trust $	Gentle , savage , vulnerable , yet willing to offer a moment's trust .	2	2	savage
palfrey how could he know that morton have strengthen the savage with gun $	PALFREY How could he know that Morton had strengthened the savages with guns ?	10	10	savage
defend themselves against savage who have be molest them for a hundred and fifty year $	defending themselves against savages who have been molesting them for a hundred and fifty years .	3	3	savage
but ben't it offensive to have the leading church figure in an area as big as this with a wife who be a short time ago a savage $	But isn't it offensive to have the leading church figure in an area as big as this with a wife who was a short time ago a savage ?	27	27	savage
