sentence_lemma	sentence_token	index_lemma	index_token	lemma
so i tip all the man off the board $	So I tipped all the men off the board .	2	2	tip
i would have like to tip back my head $ but i dare not take my eye off barnes $	I would've liked to tip back my head , but I dared not take my eyes off Barnes .	5	4	tip
include be all the standard $ speed $ average speed $ maximum speed $ tip distance $ odometer $ auto stop/start timer $ average speed indicator and clock $ $	Included are all the standards ( speed , average speed , maximum speed , tip distance , odometer , auto stop/start timer , average speed indicator and clock ) .	14	14	tip
you tip him and put the luggage in a taxi and drive a few block to your hotel $	You tip him and put the luggage in a taxi and drive a few blocks to your hotel .	1	1	tip
team be supposed to lay prostrate before the los angeles laker $ tip their hat to karl malone and gary payton for surrender millions of dollar for a chance at a title $ and to coach phil jackson for win a record 10th championship $	teams were supposed to lay prostrate before the Los Angeles Lakers , tipping their hats to Karl Malone and Gary Payton for surrendering millions of dollars for a chance at a title , and to Coach Phil Jackson for winning a record 10th championship .	12	12	tip
let them eat co2 the nature of tip point be that they happen dizzyingly fast $	LET THEM EAT CO2 THE NATURE OF TIPPING POINTS is that they happen dizzyingly fast .	7	7	tip
insert cut $ young bruce on thomas's shoulders-- thomas tip back $ threaten to drop young bruce who laugh and laugh $	INSERT CUT : Young bruce on Thomas's shoulders- thomas TIPS back , threatening to drop Young bruce who LAUGHS and LAUGHS .	9	9	tip
the b'hoys have a $ roll gait $ and $ surly manner $ $ write one historian $ add that they usually wear a $ shiny stovepipe hat tip over the forehead $ soap-locks plaster flat $	The b'hoys had a " rolling gait " and " surly manner , " wrote one historian , adding that they usually wore a " shiny stovepipe hat tipped over the forehead , soap-locks plastered flat .	28	28	tip
look at me would certainly tip the tumble to ' arry $ $	look at me would certainly tip the tumble to ' Arry . "	5	5	tip
it be an arrow of the old day $ feather with red hawk tail and tip with chip quartz $	It was an arrow of the old days , feathered with red hawk tail and tipped with chipped quartz .	15	15	tip
once i come home from drive the hack and enid be tip a bottle of liquor straight up $ $	Once I came home from driving the hack and Enid was tipping a bottle of liquor straight up . "	11	11	tip
the metal floor tip back to topple the figure into the tub $ while the drain reverse to become gargle tributary $	The metal floor tipped back to topple the figure into the tub , while the drains reversed to become gargling tributaries .	3	3	tip
scene 64 - mc past a woman $ tip in <nul>	SCENE 64 - MCS PAST A WOMAN , TIPPED IN L.FG.	8	8	tip
how i use to tip back my head and stare $	How I used to tip back my head and stare .	4	4	tip
ravens the size of large cat tip the branch of a nearby oak $	Ravens the size of large cats tipped the branches of a nearby oak .	6	6	tip
she can describe $ it be where she be be $ so far away and without him $ in the char attic $ the tip basement $ where red column try to shore up a house that will stand for as long as it want to and fall when it want to fall $	she can describe , it's where she's been , so far away and without him -- in the charred attic , the tipped basement , where red columns try to shore up a house that will stand for as long as it wants to and fall when it wants to fall .	24	22	tip
they push and push and push together until the bus tip over and there be huge dust cloud $	They push and push and push together until the bus tips over and there is huge dust cloud .	10	10	tip
no $ if you take a man in a loose parka and tip him sideways with a shovel in his hand $ the shape that remain be strange but familiar $ a human form $ hooded and cloak $ and in his merciless grip the tool that spare no one $ the <nul>	No , if you take a man in a loose parka and tip him sideways with a shovel in his hand , the shape that remains is strange but familiar : a human form , hooded and cloaked , and in his merciless grip the tool that spares no one , the scythe.	12	12	tip
history tell us that two thing happen to a man who doc not tip his cap $ a $ he be boo $ b $ he become manager of the texas ranger $	History tells us that two things happen to a man who docs not tip his cap : a ) he is booed ; b ) he becomes manager of the Texas Rangers .	13	13	tip
i recall be set out to play on a vast buffalo hide $ then $ make drowsy by the sun $ tip over and slide into sleep $	I recalled being set out to play on a vast buffalo hide , then , made drowsy by the sun , tipping over and sliding into sleep .	21	21	tip
he tip her head back $ force the potion down $ $	He tipped her head back , forcing the potion down . "	1	1	tip
