sentence_lemma	sentence_token	index_lemma	index_token	lemma
elijah i will build a tree for my crow $	ELIJAH I will build a tree for my crow .	5	5	tree
the brittle twig of a large $ bare tree scratch at the sky $	The brittle twigs of a large , bare tree scratched at the sky .	8	8	tree
koshchei enter carry a small tree with golden fruit $	KOSHCHEI enters carrying a small tree with golden fruit .	5	5	tree
three day later $ when the back of his leg be aflame with the rash and massive blister $ he realize that once upon a time $ poison ivy vine have thrive on the tree's bark $ leave behind-you guess it-lots of urushiol $	Three days later , when the backs of his legs were aflame with the rash and massive blisters , he realized that once upon a time , poison ivy vines had thrived on the tree's bark , leaving behind-you guessed it-lots of urushiol .	0	0	tree
so $ on one bank of the river grow the brier rose $ a fragile thing $ sway on a slender stalk and look at its pretty reflection in the water $ and on the other a sturdy pine tree $ well root against wind and storm $	So , on one bank of the river grew the brier rose , a fragile thing , swaying on a slender stalk and looking at its pretty reflection in the water ; and on the other a sturdy pine tree , well rooted against wind and storm .	39	39	tree
live room $ caroline's house - $ same time $ the light of a silver christmas tree - michael be sound asleep in front of the tv $ thumb in his mouth $ on the couch in his pajamas $ ski hat and coat $	LIVING ROOM , CAROLINE 'S HOUSE - ( SAME TIME ) The light of a silver Christmas tree - Michael is sound asleep in front of the TV , thumb in his mouth , on the couch in his pajamas , ski hat and coat .	16	17	tree
from the silhouette of the tree line the lake-like expanse of the river $ jason could gauge their speed $	From the silhouettes of the trees lining the lake-like expanse of the river , Jason could gauge their speed .	5	5	tree
some of the sequoia clinton preserve in the 328,000-acre monument be only the third generation since the last ice age $ part of a family of tree that have endure fire $ earthquake $ storm and every change of political leadership since human history begin $ $	Some of the sequoias Clinton preserved in the 328,000-acre monument are only the third generation since the last Ice Age , part of a family of trees that has endured fires , earthquakes , storms and every change of political leadership since human history began . "	26	26	tree
the funnel-shaped fruit-bodies be a pale to golden yellow color and always come up from the ground $ never from tree stump or root $	The funnel-shaped fruit-bodies are a pale to golden yellow color and always come up from the ground , never from tree stumps or roots .	20	20	tree
treehouse - same time we watch over kenny's shoulder as leonard fall from the treehouse $ smack his head on the tree trunk and come to a crash upon some rock $	TREEHOUSE - SAME TIME We watch over Kenny's shoulder as Leonard falls from the treehouse , smacks his head on the tree trunk and comes to a crash upon some rocks .	21	21	tree
but there be no charge for rent or utility $ and if the location be less than ideal -- beneath an overpass at the edge of a san francisco parking lot -- at least the two snug $ waterproof plywood structure be nestle among fragrant eucalyptus tree $	But there is no charge for rent or utilities , and if the location is less than ideal -- beneath an overpass at the edge of a San Francisco parking lot -- at least the two snug , waterproof plywood structures are nestled among fragrant eucalyptus trees .	46	46	tree
the man eat quietly $ then return to the whiskey under the shade tree $	The men ate quietly , then returned to the whiskey under the shade tree .	13	13	tree
on the way $ the tree do not burn $	On the way , the trees did not burn .	5	5	tree
i look up at the bandung's palm $ a tree i no long associate with fun $ so as to avoid look at the top of the stockade wall enclose the garden $ on top of the wall glass shard be plant to discourage intruder and the sight of these bristle never fail to make my pecker ache $	I looked up at the Bandung's palms , a tree I no longer associate with fun , so as to avoid looking at the top of the stockade wall enclosing the garden ; on top of the wall glass shards were planted to discourage intruders and the sight of these bristling never failed to make my pecker ache .	9	9	tree
if they be make by a rope hold a boat $ there ought to be another tree with similar marks at the other end of the cove $	If they were made by a rope holding a boat , there ought to be another tree with similar marks at the other end of the cove .	16	16	tree
at first the sound seem generalized $ permeate the air $ but i determine that it come from the creek $ more specifically from that portion of the creek that disappear into a thicket of squat shrub and crooked tree brandish new $ pale $ green leaf $	At first the sound seemed generalized , permeating the air , but I determined that it came from the creek , more specifically from that portion of the creek that disappeared into a thicket of squat shrubs and crooked trees brandishing new , pale -- green leaves .	39	39	tree
i don't care if you shoot the damn thing upside down $ sideways or hang from a tree -- it be up to you to do it $	I don't care if you shoot the damn thing upside down , sideways or hanging from a tree -- it's up to you to do it !	17	17	tree
at almost the same time mackintosh be design wroughtiron version of the glasgow coat of arm for the nearly complete glasgow school of art $ where the same motif of a bird in a tree predominate $	At almost the same time Mackintosh was designing wroughtiron versions of the Glasgow coat of arms for the nearly completed Glasgow School of Art , where the same motif of a bird in a tree predominated .	34	34	tree
to put some of the comfort back into apple consumption $ two young california entrepreneur be provide a rent-a-tree service that allow city dweller to raise all the fruit they can possibly eat and also enjoy the pristine pleasure of watch tree grow $ blossom and yield $	To put some of the comfort back into apple consumption , two young California entrepreneurs are providing a rent-a-tree service that allows city dwellers to raise all the fruit they can possibly eat and also enjoy the pristine pleasures of watching trees grow , blossom and yield .	41	41	tree
focus on the small thing use a camera to search for and capture sign of springa tiny bud on a tree branch or the hint of a purple crocus $	FOCUS ON THE SMALL THINGS Use a camera to search for and capture signs of springa tiny bud on a tree branch or the hint of a purple crocus .	20	20	tree
cmh client undergo an extensive safety orientation $ including the use of avalanche transceiver $ to help pinpoint rescue should someone become bury $ $ helicopter protocol $ actual trial avalanche search $ and avoid naturally occur hazard like crevasse $ cornice $ and tree well $ deep pit that form at the base of tree when the snow accumulate on their branch $ $	CMH clients undergo an extensive safety orientation , including the use of avalanche transceivers ( to help pinpoint rescues should someone become buried ) , helicopter protocol , actual trial avalanche searches , and avoiding naturally occurring hazards like crevasses , cornices , and tree wells ( deep pits that form at the base of trees when the snow accumulates on their branches ) .	44	44	tree
once a carefree tomboy climbing tree and ride horseback on her father's farm $ now that she be famous she be imprison by a paralyzing self-consciousness which make a public appearance $ or even a shop trip $ something of an ordeal $	Once a carefree tomboy climbing trees and riding horseback on her father's farm , now that she's famous she's imprisoned by a paralyzing self-consciousness which makes a public appearance , or even a shopping trip , something of an ordeal .	5	5	tree
that first day $ marcie move them far and far apart as the sun angle down through the tree $ and i wouldn't back down $ even when the wrinkled skin between my toe bleed $	That first day , Marcie moved them farther and farther apart as the sun angled down through the trees , and I wouldn't back down , even when the wrinkled skin between my toes bled .	18	18	tree
the concrete palm tree out front $ a favorite drink be root-beer schnapps $	the concrete palm trees out front , a favorite drink is root-beer schnapps .	3	3	tree
morning find them in a rich country with row of stately 1 tree along the bank $	Morning found them in a rich country with rows of stately 1 trees along the banks .	12	12	tree
my assurance have falter halfway through the year $ and by the time the tree in the tiny park be in dusty leaf i be certain it ben't go to work $	My assurance had faltered halfway through the year , and by the time the trees in the tiny park were in dusty leaf I was certain it wasn't going to work .	14	14	tree
church go up in flame $ man be set on fire in their castle $ tiny fire squad claim victim after victim $ a man be break on a wheel $ 21 corpse hang from a single tree $	Churches go up in flames , men are set on fire in their castles , tiny firing squads claim victim after victim , a man is broken on a wheel , 21 corpses hang from a single tree .	37	37	tree
i xx_n the wood near the road he and mark lay face down in the shadow of tree and look through branch and brown needle of a large fall branch of pine $ mark have drag it from deeper in the wood $ where their bicycle be chain to a tree $	I N THE WOODS near the road he and Mark lay face down in the shadow of trees and looked through branches and brown needles of a larger fallen branch of pine ; Mark had dragged it from deeper in the woods , where their bicycles were chained to a tree .	17	50	tree
it be noontime of a spring day $ this you can tell from the light $ and from the blooming flowerboxes and tree on the penthouse roof of the building behind $ and by the cool spring dress celia be wear $	It is noontime of a spring day ; this you can tell from the light , and from the blooming flowerboxes and trees on the penthouse roofs of the buildings behind , and by the cool spring dress Celia is wearing .	22	22	tree
at some point in its travel from its birthplace in the malay archipelago $ perhaps many time $ the breadfruit be clone from the rootstock of specially desirable seedless tree $	At some point in its travels from its birthplace in the Malay Archipelago , perhaps many times , the breadfruit was cloned from the rootstock of specially desirable seedless trees .	29	29	tree
the expert map reader $ like the expert score reader $ may be able to tell fairly exactly what sort of country he may expect to find $ but he can not possibly experience the beauty of the tree $ the intense emotion of a wonderful	The expert map reader , like the expert score reader , may be able to tell fairly exactly what sort of country he may expect to find , but he can not possibly experience the beauty of the trees , the intense emotion of a wonderful	38	38	tree
his black jaguar crouch off the road a bit down the hill $ and he sit between it and half-a-dozen plum tree $	His black Jaguar crouched off the road a bit down the hill , and he sat between it and half-a-dozen plum trees .	21	21	tree
since our ammunition box be still full $ we have target to strafe -- long wooden building surround by palm tree $	Since our ammunition boxes are still full , we have targets to strafe -- long wooden buildings surrounded by palm trees .	20	20	tree
some of the cobble there seem to be cover with moss of different color $ which bird be carry strand by strand up into the tree $	Some of the cobbles there seemed to be covered with moss of different colors , which birds were carrying strand by strand up into the trees .	25	25	tree
a growing number of business now manufacture furniture make from plantation woods-even rare tropical variety like teak and mahogany-that ben't from forest but from well-managed farm with the sole purpose of raise tree for lumber $	A growing number of businesses now manufacture furniture made from plantation woods-even rare tropical varieties like teak and mahogany-that aren't from forests but from well-managed farms with the sole purpose of raising trees for lumber .	32	32	tree
the sloping bajadas be stud with forest of towering saguaro cactus $ and the wash be line with palo verde and mesquite tree $	The sloping bajadas are studded with forests of towering saguaro cacti , and the washes are lined with palo verde and mesquite trees .	22	22	tree
