sentence_lemma	sentence_token	target_index	original_word
in d Ökonomie und bei praktisch Versuch über d Fuhrwesen kommen häufig d Frage vor $ wie groß d Kraft sein $ welche d Pferd bei d Gebrauch eine neu Ackergerät $ Wagen etc. anwenden müssen $	In der Oekonomie und bei praktischen Versuchen über das Fuhrwesen kommt häufig die Frage vor , wie gross die Kraft sey , welche die Pferde bei dem Gebrauche eines neuen Ackergeräthes , Wagens etc. anwenden müssen .	30	Ackergert
er sein einige Monat bei Fellenberg in Hofwyl sein $ haben manche Ackergerät dort gebrauchen lernen $ und anschaffen $ und führen es behutsam $ ohne Eile und besonders ohne Geräusch $ in d Fall $ wo es nutzen können $ in seine Feldwirtschaft ein $	Er ist einige Monate bei Fellenberg in Hofwyl gewesen , hat manches Ackergeräthe dort gebrauchen lernen , und angeschafft , und führt es behutsam , ohne Eile und besonders ohne Geräusch , in den Fällen , wo es nutzen kann , in seiner Feldwirthschaft ein .	12	Ackergert
4 $ d Drillmaschine $ d. h. verschiedenartig konstruiert Ackergerät zur Ziehung d Furche $ regelmäßig Einlage d Saat $ und zum hinreichend Bedecken Derselben9 $ $	4 ) Die Drillmaschinen , d. h. verschiedenartig construirte Ackergeräthe zur Ziehung der Furche , regelmäßigen Einlage der Saat , und zum hinreichenden Bedecken derselben9 ) .	9	Ackergert
d norwegisch Bauer sein nicht bloß $ wie d westfälisch Hofschulze in Immermann $ Münchhausen $ $ sein eigen Schmied und Schreiner $ er bauen auch sein Holzhaus selbst $ fertigen seine Ackergerät $ Wagen und Schlitten $ gerben d Leder $ schnitzen mancherlei hölzern und schmieden selbst metallen Hausgerät $	Der norwegische Bauer ist nicht bloß , wie der westfälische Hofschulze in Immermanns „ Münchhausen , “ sein eigener Schmied und Schreiner ; er baut auch sein Holzhaus selbst , fertigt seine Ackergeräte , Wagen und Schlitten , gerbt das Leder , schnitzt mancherlei hölzernes und schmiedet selbst metallenes Hausgerät .	32	Ackergert
d wichtig Ackergerät sein von Eisen $ wie d Hacke $ d Sense $ d Beil u. s. W. d Werkzeug d Handwerker sein meistens aus Eisen und Stahl fertigen $ wie oben ausführen werden $	Die wichtigsten Ackergeräte waren von Eisen , wie die Hacke , die Sense , das Beil u. s. w. Die Werkzeuge der Handwerker waren meistens aus Eisen und Stahl gefertigt , wie oben ausgeführt wurde .	2	Ackergert
Mais $ Kleidungsstück $ Ackergerät $ und $ wie man versichern $ zuweilen auch Geld werden unter sie verteilen $	Mais , Kleidungsstücke , Ackergeräte , und , wie man versichert , zuweilen auch Geld werden unter ihnen verteilt .	4	Ackergert
wenn sie da sein $ werden man hoffentlich auch daran denken $ d Indianer zu kleiden $ sie einiges Ackergerät anschaffen und für ihr Kind eine Schule einrichten $	Wenn sie da ist , wird man hoffentlich auch daran denken , die Indianer zu kleiden , ihnen einiges Ackergeräte anzuschaffen und für ihre Kinder eine Schule einzurichten .	19	Ackergert
d übrig Stamm d $ blau Berg $ geben sie durch Vertrag Abgabe an Cerealien $ wofür d Kohata ihr Ackergerät im Stand halten $	Die übrigen Stämme der „ blauen Berge “ geben ihnen durch Vertrag Abgaben an Cerealien , wofür die Kohata ihre Ackergeräte im Stande halten .	20	Ackergert
jetzt erkennen man d klein Stein auch allgemein als eine Hindernis an $ weil sie d Boden lose machen $ austrocknen $ d Pflanzenwachstum verhindern $ d Bodenbearbeitung erschwern und d Ackergerät verderben $	Jetzt erkennt man die kleinen Steine auch allgemein als ein Hinderniß an , weil sie den Boden lose machen , austrocknen , das Pflanzenwachsthum verhindern , die Bodenbearbeitung erschweren und die Ackergeräthe verderben .	31	Ackergert
aber es müssen in Betracht ziehen werden $ dass d Preis irgend welches Ackergerät $ z. B. eine Arbeitspferd $ selbst wieder aus obig drei Teil sich zusammensetzen $ d Rente d Boden auf die es züchten $ d Arbeit d Züchtung und d Profit d Pächter $ die beide $ die Rente diese Boden und d Lohn diese Arbeit $ vorschießen $	Aber es muss in Betracht gezogen werden , dass der Preis irgend welches Ackergeräths , z. B. eines Arbeitspferds , selbst wieder aus obigen drei Theilen sich zusammensetzt : der Rente des Bodens auf dem es gezüchtet , der Arbeit der Züchtung und dem Profit des Pächters , der beides , die Rente dieses Bodens und den Lohn dieser Arbeit , vorschiesst .	13	Ackergert
