sentence_lemma	sentence_token	index_lemma	index_token	lemma
nieder sein $ haben mit laut Urkunde vom 7. Septbr. 1698 erteilt Genehmigung d Herzog Rudolph August und Anton Ulrich von Braunschweig-Lüneburg $ zu Jerrheim eine Armenhaus $ zur Ehre Gott $ gründen $ und sein zugleich d etc. Gue $ die Erbe und Nachkomme laut jen Urkunde d Patronatrecht über diese Armenhaus einräumen $	Meder war , hat mit laut Urkunde vom 7. Septbr. 1698 ertheilter Genehmigung der Herzöge Rudolph August und Anton Ulrich von Braunschweig-Lüneburg , zu Jerrheim ein Armenhaus “ zur Ehre Gottes ” gegründet , und ist zugleich dem rc. Gue , dessen Erben und Nachkommen laut jener Urkunde das Patronatrecht über dieses Armenhaus eingeräumt .	26	26	Armenhaus
unter d Arme $ d selbig Nacht im Armenhaus liegen $ sein drei klein Kind und darunter eine Säugling $ von welchen d Satan bekannten $	Unter den Armen , die selbige Nacht im Armenhause lagen , waren drey kleine Kinder und darunter ein Säugling , von welchen der Satan bekannte :	8	8	Armenhaus
und wenn sie dann keine Arbeit haben für d Augenblick $ so betteln $ und wenn sie keine mehr finden $ so gehen in d Armenhaus $	Und wenn ihr dann keine Arbeit habet für den Augenblick , so bettelt – und wenn ihr keine mehr findet , so gehet in das Armenhaus .	25	25	Armenhaus
überdem zeigen sich in d modern Staat d Neigung $ d besondere Interesse d Kreis in demselben eigenartig zu pflegen $ d Interessengemeinschaft d Bevölkerung zu organisieren $ und je nach Bedürfnis gemeinnützlich Kreisanstalten $ Straße $ Magazin $ Krankenhaus $ Schule $ Armenhaus $ Korrektionshaus $ zu gründen $	Ueberdem zeigt sich in den modernen Staten die Neigung , die besonderen Interessen des Kreises in demselben eigenartig zu pflegen , die Interessengemeinschaft der Bevölkerung zu organisiren , und je nach Bedürfnisz gemeinnützliche Kreisanstalten ( Straszen , Magazine , Krankenhäuser , Schulen , Armenhäuser , Correctionshäuser ) zu gründen .	43	43	Armenhaus
Irrenheilanstalt $ Schwester 1. Hospital $ Schwester 1. Armenhaus $ Schwester 1 $	Irrenheilanstalt : Schwestern 1. Hospital : Schwestern 1. Armenhaus : Schwestern 1 .	8	8	Armenhaus
eine bedeutend Teil d westlich Wahldistrikt liegen wüst $ d Pächter haben ihr Land verlassen und sein auswandern $ viel sein d Hunger erliegen und eine groß Zahl andere im Armenhaus $ $	Ein bedeutender Theil des westlichen Wahldistrikts liegt wüst , die Pächter haben ihr Land verlassen und sind ausgewandert ; viele sind dem Hunger erlegen und eine große Zahl anderer im Armenhause . “	30	30	Armenhaus
d anmutig $ Siecle $ proponieren sogar $ Modellhaus $ $ zu deutsch Armenhaus $ worin d Miete nicht über zwei Prozent steigen dürfen $ in jede groß Straße d reich Stadtteil anlegen $ für 60 Familie jede und unter Spezialaufsicht eine Mildtätigkeitsbeamte $	Das anmuthige „ Siecle “ proponirt sogar „ Modellhäuser “ , zu deutsch Armenhäuser , worin die Miethe nicht über zwei Prozent steigen dürfe , in jeder großen Straße der reichern Stadttheile anzulegen , für 60 Familien jedes und unter Spezialaufsicht eines Mildthätigkeitsbeamten .	13	13	Armenhaus
man übertünchen zwar d Mosaikgemälde und Bibelvers an d Wand d Kirche $ um darauf zu schreiben $ daß es nur eine Gott und seine Prophet Mohammed geben $ im Übrige aber sein Orkan großmütig gegen d Besiegte $ überaus wohltätig gegen d Arme und gründen eben hier außer eine Studiumanstalt auch eine Armenhaus $ worin er zur Eröffnung selber d Lampe anzünden und d Speise verteilt $ nach Jouannin $ $ Turquie $ $ bei Braun $ a. a. o. 373 $ $	Man übertünchte zwar die Mosaikgemälde und Bibelverse an den Wänden der Kirchen , um darauf zu schreiben , daß es nur einen Gott und seinen Propheten Mohammed gebe , im Uebrigen aber war Orchan großmüthig gegen die Besiegten , überaus wohlthätig gegen die Armen und gründete eben hier außer einer Studienanstalt auch ein Armenhaus , worin er zur Eröffnung selber die Lampen anzündete und die Speisen vertheilte ( Nach Jouannin , „ Turquie “ , bei Braun , a. a. O. 373 ) .	53	53	Armenhaus
es gelten d groß Anstrengung $ denn wenn Harrassowitz sein Wort wahrmachen $ dann bleiben sie nichts $ als d Armenhaus $	Es galt die größten Anstrengungen , denn wenn Harrassowitz sein Wort wahrmachte , dann blieb ihnen nichts , als das Armenhaus .	20	20	Armenhaus
$ und als sie nun an eine Sonntag zur Messe gehen $ legen Aurelianus ärmlich Kleid an und setzen sich vor d Armenhaus bei d Kirche mitten unter d Bettler nieder $	„ Und als sie nun an einem Sonntag zur Messe ging , legte Aurelianus ärmliche Kleider an und setzte sich vor dem Armenhaus bei der Kirche mitten unter den Bettlern nieder .	22	22	Armenhaus
