sentence_lemma	sentence_token	index_lemma	index_token	lemma
gegen d Gemeinde bedürfen es auch d kurz Verjährungsfrist nicht $ da dieselbe im Aufsichtsweg zur rechtzeitig Einreichung ihr Liquidation bei d Intendantur anhalten werden können $	Gegen die Gemeinden bedarf es auch der kurzen Verjährungsfrist nicht , da dieselben im Aufsichtswege zur rechtzeitigen Einreichung ihrer Liquidationen bei den Intendanturen angehalten werden können .	17	17	Einreichung
d Gültigkeit d Entscheidung d Gericht gehen dagegen unbedingt auf d Tag d Einreichung zurück $	Die Gültigkeit der Entscheidungen des Gerichts gehen dagegen unbedingt auf den Tag der Einreichung zurück .	13	13	Einreichung
am Tag d Einreichung d Ausschußbericht über diese Sache sein eine Deputation bei v. Gagern sein $ die eine neu bevorstehend Aufruhr in Polen denunzieren haben $	Am Tage der Einreichung des Ausschußberichtes über diese Sache sei eine Deputation bei v. Gagern gewesen , die einen neuen bevorstehenden Aufruhr in Polen denuncirt hätte .	3	3	Einreichung
diese Vorgehen d Kongreß wirken so einschüchternd auf d Territorium $ dass $ als es im November 1889 zum Rang eine Staat erheben werden $ es nicht wagen $ bei Einreichung seine Verfassung an d Kongreß darin d Frauenstimmrecht aufstellen $	Dieses Vorgehen des Congresses wirkte so einschüchternd auf das Territorium , dass , als es im November 1889 zum Rang eines Staates erhoben wurde , es nicht wagte , bei Einreichung seiner Verfassung an den Congress darin das Frauenstimmrecht aufzustellen .	30	30	Einreichung
so schwer und so zahlreich sein ihr Verbrechen $ $ wer so anheben $ richten sich gegen viel $ nicht gegen eine $ und die er angreifen sein nicht zur stellen $ sonst werden d Pronomen Οὗτος stehen $ nicht Αὐτοῖς $ d Paragraph 21 zählen in eine durch d Endereim d Glied Gorgianisch geschmückt Periode d Schandtat d Dreißig auf $ und darauf gehen es weiter Καὶ Eis τοσοῦτόν εἰσι τόλμης ἀφιγ- μένοι ὥσϑ̕ ἥκουσιν ἀπολογησόμενοι καὶ λέγουσιν ὡς οὐδὲν κακὸν οὐδ̕ αἰσχϱὸν εἰϱγασμένοι εἰσίν $ da stimmen d Mehrzahl $ aber sie scheinen zur stellen zu sein $ dass d anklagen sich gegen d Dreißig richten $ sein allerorten klar $ $ bürgern und fremd sein zusammenkommen $ um zu erfahren τίνα γνώμην πεϱὶ τούτων ἕξετε 35 $ und in d Epiloge diese Teil $ 37--40 $ οὐκ οἶδ̕ ὅ τι δεῖ πολλὰ κατηγοϱεῖν τοιούτων ἀνδϱῶν $ und schließlich werden es ganz ausdrücklich aussprechen $ jetzt sein d Gelegenheit παϱὰ ἐϱατοσϑένους καὶ Ton τουτουὶ συναϱχόν- Ton δίκην λαβεῖν $ 79 $ $ und κατηγόϱηται ἐϱατοσϑένους καὶ Ton τούτου φίλων $ 81 $ $ also d Bezeichnung Κατὰ Ton Τϱιάκοντα sein richtig $ d ander Κατ̕ Ἐϱατοσϑένους sein aber auch richtig $ denn d Διήγησις $ 4--34 $ $ in die eine lebendig direkt Verhör mit d angeklagt stehen $ 25 $ $ die auch wiederholt anreden werden $ gehen d eine Mann schuld $ eine ganz bestimmt tun $ an $ und d Beweis $ die allein durch Zeugenaussage führen werden $ 41--61 $ $ gehen lediglich d Eratosthenes und sein verhalten an $ d vita ante acta und d unter d Dreißig $ aber wenn diese zwei Teil sein $ von die d eine d einzeln tun $ d Tötung d Polemarchos $ die Eratosthenes geständig sein $ die andere sein politisch verhalten angehen $ so sein damit genügend sichern $ dass es sich um beide handeln müssen $ wenn wir da hören τὸ δὲ τελευταῖον Eis τὴν ἀϱχὴν καταστάς $ 48 $ $ so lassen d reden im ganz zwar keine Zweifeln $ dass es sich um d Platzen unter d Dreißig handeln $ aber d bestimmt Artikel weisen genügsam darauf hin $ dass es sich eben um diese Amt auch vor Gericht jetzt handeln $ nehmen man dazu d Ἥκουσιν Ἀπο- Λογησόμενοι 22 und Ἥκει Ἀπολογησόμενος 84 $ so sein jede Zweifeln ausschließen $ dass sich Eratosthenes d Gericht freiwillig stellen haben $ mit ander Wort $ dass er von d Klausel d Versöhnungsurkunde Gebrauch machen haben $ die d dreissig Amnestie verheißen $ wenn sie sich d Rechenschaftsablage unterziehen $ so urteilen denn auch d Verteidiger dieselbe $ man sollen er freilassen $ weil er am wenigste übel von d Dreißig tun haben $ 89 $ $ was Lysias von seine Standpunkt nennen διὰ τὸ ὑμέτεϱον πλῆϑος ἀδεῶς τοὺς τϱιάκοντα σῴζειν $ 87 $ $ es sein also in d tun eine Rechenschaftsprozeß eine d Dreißig $ in er stehen d Isotele Lysias auf und führen d klagen $ wie jede es können $ es sein nicht ersichtlich $ in welcher Form d Verhandlung einleiten werden $ ob durch d Konstituierung eine Logischistenprozeß oder durch d Einreichung d privat anklagen vor d Ratseuthynen $ da eine Rat sofort konstituieren werden $ sein die letztere wahrscheinlich $ d Vorsitz sein dann d Thesmotheten zufallen $ die auch gleich mit d Archon Eukleides einsetzen sein müssen $	so schwer und so zahlreich sind ihre verbrechen ” . wer so anhebt , richtet sich gegen viele , nicht gegen einen , und die er angreift sind nicht zur stelle , sonst würde das pronomen οὗτος stehn , nicht αὐτοῖς . der paragraph 21 zählt in einer durch die endreime der glieder gorgianisch geschmückten periode die schandtaten der Dreissig auf , und darauf geht es weiter καὶ εἰς τοσοῦτόν εἰσι τόλμης ἀφιγ- μένοι ὥσϑ̕ ἥκουσιν ἀπολογησόμενοι καὶ λέγουσιν ὡς οὐδὲν κακὸν οὐδ̕ αἰσχϱὸν εἰϱγασμένοι εἰσίν . da stimmt die mehrzahl , aber sie scheinen zur stelle zu sein . dass die anklage sich gegen die Dreissig richtet , ist allerorten klar . “ bürger und fremde sind zusammengekommen , um zu erfahren τίνα γνώμην πεϱὶ τούτων ἕξετε 35 , und in dem epiloge dieses teiles ( 37—40 ) οὐκ οἶδ̕ ὅ τι δεῖ πολλὰ κατηγοϱεῖν τοιούτων ἀνδϱῶν . und schliesslich wird es ganz ausdrücklich ausgesprochen , jetzt wäre die gelegenheit παϱὰ Ἐϱατοσϑένους καὶ τῶν τουτουὶ συναϱχόν- των δίκην λαβεῖν ( 79 ) , und κατηγόϱηται Ἐϱατοσϑένους καὶ τῶν τούτου φίλων ( 81 ) . also die bezeichnung κατὰ τῶν τϱιάκοντα ist richtig . die andere κατ̕ Ἐϱατοσϑένους ist aber auch richtig . denn die διήγησις ( 4—34 ) , in der ein lebendiges directes verhör mit dem angeklagten steht ( 25 ) , der auch wiederholt angeredet wird , geht des einen mannes schuld , eine ganz bestimmte tat , an . und der beweis , der allein durch zeugenaussagen geführt wird ( 41—61 ) , geht lediglich den Eratosthenes und sein verhalten an , die vita ante acta und die unter den Dreissig . aber wenn dies zwei teile sind , von denen der eine die einzelne tat , die tötung des Polemarchos , deren Eratosthenes geständig ist , der andere sein politisches verhalten angeht , so ist damit genügend gesichert , dass es sich um beides handeln muss . wenn wir da hören τὸ δὲ τελευταῖον εἰς τὴν ἀϱχὴν καταστάς ( 48 ) , so lässt die rede im ganzen zwar keinen zweifel , dass es sich um den platz unter den Dreissig handelt : aber der bestimmte artikel weist genugsam darauf hin , dass es sich eben um dieses amt auch vor gericht jetzt handelt . nimmt man dazu das ἥκουσιν ἀπο- λογησόμενοι 22 und ἥκει ἀπολογησόμενος 84 , so ist jeder zweifel ausgeschlossen , dass sich Eratosthenes dem gerichte freiwillig gestellt hat , mit andern worten , dass er von der clausel der versöhnungsurkunde gebrauch gemacht hat , die den Dreissig amnestie verhiess , wenn sie sich der rechenschaftsablage unterzogen . so urteilten denn auch die verteidiger desselben , man sollte ihn freilassen , weil er am wenigsten übles von den Dreissig getan hätte ( 89 ) , was Lysias von seinem standpunkte nennt διὰ τὸ ὑμέτεϱον πλῆϑος ἀδεῶς τοὺς τϱιάκοντα σῴζειν ( 87 ) . es ist also in der tat ein rechenschaftsprocess eines der Dreissig . in ihm steht der isotele Lysias auf und führt die klage , wie jeder es konnte . es ist nicht ersichtlich , in welcher form die verhandlung eingeleitet ward . ob durch die constituirung eines logistenprocesses oder durch die einreichung der privaten anklagen vor den ratseuthynen . da ein rat sofort constituirt ward , ist das letztere wahrscheinlich ; der vorsitz ist dann den thesmotheten zugefallen , die auch gleich mit dem archon Eukleides eingesetzt sein müssen .	532	532	Einreichung
in Sache $ in die d zu verhängend Geldstrafe d Betrag von 150 Mark übersteigen $ sein d Angeschuldigte auf Verlangen eine Frist von 8 Tag bis 4 Woche zur Einreichung eine schriftlich Verteidigung zu gestatten $	In Sachen , in denen die zu verhängende Geldstrafe den Betrag von 150 Mark übersteigt , ist dem Angeschuldigten auf Verlangen eine Frist von 8 Tagen bis 4 Wochen zur Einreichung einer schriftlichen Vertheidigung zu gestatten .	30	30	Einreichung
als nun d Krone $ wie einst vor d Veröffentlichung d allgemein Landrecht $ alle Sachverständige zur Einreichung von Gutachten auffordern lassen $ da sprechen sich d groß Mehrheit für d Erhaltung d Code aus $	Als nun die Krone , wie einst vor der Veröffentlichung des Allgemeinen Landrechts , alle Sachverständigen zur Einreichung von Gutachten auffordern ließ , da sprach sich die große Mehrheit für die Erhaltung der Codes aus .	17	17	Einreichung
Sintenis Erläuterung S. 148 $ diese wollen sogar auf d Zeit d Einreichung d Klage zurückgehen $	Sintenis Erläuterungen S. 148 ; dieser will sogar auf die Zeit der Einreichung der Klage zurückgehen .	12	12	Einreichung
diejenige $ welche eine ausländisch Gymnasium besuchen haben $ oder aus Privat-Unterricht $ und nicht unmittelbar von eine Gymnasium zur Universität übergehen $ haben d Prüfung ihr Kenntnisreife unter Einreichung d Zeugnis ihr bisherig Lehrer über ihr Studie und ihr sittlich Führung bei d Prüfungs-Kommission eine inländisch Gymnasium $ die Wahl d Eltern oder Vormund überlassen bleiben $ schriftlich auf d in $ 6. bestimmt Art nachsuchen $ und sich d Anordnung diese Reglement zu unterwerfen $	Diejenigen , welche ein ausländisches Gymnasium besucht haben , oder aus Privat-Unterricht , und nicht unmittelbar von einem Gymnasium zur Universität übergehen , haben die Prüfung ihrer Kenntnißreife unter Einreichung der Zeugnisse ihrer bisherigen Lehrer über ihre Studien und ihre sittliche Führung bei der Prüfungs-Commission eines inländischen Gymnasiums , dessen Wahl den Eltern oder Vormündern überlassen bleibt , schriftlich auf die in §. 6. bestimmte Art nachzusuchen , und sich den Anordnungen dieses Reglements zu unterwerfen .	29	29	Einreichung
wenn eine einmonatlich Frist zur Einreichung eine Prozeßschrift am 5. September geben sein $ so werden d erkennend Richter nur darauf sehen $ ob d Schrift spätestens am 5. Oktober einreichen werden sein $ und er werden diese für genügend halten $ ohne zu prüfen $ ob diese vielleicht in eine spät Tagesstunde geschehen $ als an welche d Frist geben werden sein $ gerade die aber sein d Sinn und Erfolg d hier für d Prozeßfrist $ übereinstimmend mit d Klagverjährung $ aufgestellt Regel $	Wenn eine einmonatliche Frist zur Einreichung einer Prozeßschrift am 5. September gegeben ist , so wird der erkennende Richter nur darauf sehen , ob die Schrift spätestens am 5. Oktober eingereicht worden ist , und er wird Dieses für genügend halten , ohne zu prüfen , ob dieses vielleicht in einer späteren Tagesstunde geschah , als an welcher die Frist gegeben worden war ; gerade Das aber ist der Sinn und Erfolg der hier für die Prozeßfristen ( übereinstimmend mit den Klagverjährungen ) aufgestellten Regel .	5	5	Einreichung
