sentence_lemma	sentence_token	index_lemma	index_token	lemma
stoßen d Bewältigung diese eine pathogen Erinnerung auf Schwierigkeit $ wie z. B. wenn d Kranke mit d Widerstand gegen sie nicht nachlassen $ wenn er sie verdrängen oder verstümmeln wollen $ so sein d Engpaß gleichsam verlegen $ d Arbeit stocken $ es können nichts andere kommen $ und d eine im Durchbruch befindlich Erinnerung bleiben vor d Kranke stehen $ bis er sie in d Weite d ich es aufnehmen haben $	Stösst die Bewältigung dieser einen pathogenen Erinnerung auf Schwierigkeiten , wie z. B. wenn der Kranke mit dem Widerstande gegen sie nicht nachlässt , wenn er sie verdrängen oder verstümmeln will , so ist der Engpass gleichsam verlegt ; die Arbeit stockt , es kann nichts anderes kommen , und die eine im Durchbruch befindliche Erinnerung bleibt vor dem Kranken stehen , bis er sie in die Weite des Ich ’s aufgenommen hat .	35	35	Engpa
wenn in Europa keine historisch Entwicklung gewiß Frage möglich sein können $ ohne daß dieselbe entweder eine alt darüber festgestellt Autorität bereits umstoßen haben oder noch umstoßen werden $ wenn d Revolution für Europa eine Engpaß sein $ durch welchen einige Tatsache $ einige Volk bereits durchgehen $ und wo andere noch an d Pforte sein $ so haben Amerika auch diese Notwendigkeit schon überstehen $	Wenn in Europa keine historische Entwicklung gewisser Fragen möglich seyn kann , ohne daß dieselbe entweder eine alte darüber festgestellte Autorität bereits umgestoßen hat oder noch umstoßen wird , wenn die Revolution für Europa ein Engpaß ist , durch welchen einige Thatsachen , einige Völker bereits durchgegangen , und wo andere noch an der Pforte sind , so hat Amerika auch diese Nothwendigkeit schon überstanden .	35	35	Engpa
d Zeitdauer $ während welche eine Erinnerung im Engpaß vor d Bewußtsein d Patient verweilen $ stehen $ wie schon anführen $ in direkt Beziehung zu die Bedeutung $	Die Zeitdauer , während welcher eine Erinnerung im Engpass vor dem Bewusstsein des Patienten verweilt , steht , wie schon angeführt , in directer Beziehung zu deren Bedeutung .	8	8	Engpa
wenn Vandamme auf seine kurz Weg früh als d Verbündete im Teplitzer Tale anlangen $ so können er d vereinzelt Korps $ die sich aus d Engpaß d Gebirge mühsam herauswinden $ leicht mit Übermacht schlagen $	Wenn Vandamme auf seinem kürzeren Wege früher als die Verbündeten im Teplitzer Thale anlangte , so konnte er die vereinzelten Corps , die sich aus den Engpässen des Gebirges mühsam herauswanden , leicht mit Uebermacht schlagen .	26	26	Engpa
jede Strahl können dabei vorangehen und d Tier sein im Stand $ nicht nur Unebenheit zu überwinden und senkrecht auf- und abwärts zu steigen $ sondern sie drücken sich auch durch Engpaß $ indem sie zwei Strahl nach vorn und drei nach hinten aneinander legen $	Jeder Strahl kann dabei vorangehen und die Thiere sind im Stande , nicht nur Unebenheiten zu überwinden und senkrecht auf- und abwärts zu steigen , sondern sie drücken sich auch durch Engpässe , indem sie zwei Strahlen nach vorn und drei nach hinten aneinander legen .	31	31	Engpa
so oft in sehr heiß und naß Jahr bösartig Fieber in Angostura herrschen $ streiten man darüber $ ob d Regierung wohl tun $ d Stadt von Vieja Guyana an d Engpaß zwischen d Insel Maruanta und d Einfluß d Rio Orocopiche zu verlegen $	So oft in sehr heißen und nassen Jahren bösartige Fieber in Angostura herrschen , streitet man darüber , ob die Regierung wohl gethan , die Stadt von Vieja Guyana an den Engpaß zwischen der Insel Maruanta und dem Einfluß des Rio Orocopiche zu verlegen .	31	31	Engpa
diese Standhalten $ diese erst Gelingen sein unschätzbar für d Befestigung d Gemüt $ und wirken auch dann noch fort $ als Dumouriez $ mehr kühn als vorsichtig $ durch d Vernachlässigung d Engpaß Croixaux-Bois auf einmal alle Vorteil seine Stellung einbüßen $	Dieses Standhalten , dieses erste Gelingen war unschätzbar für die Befestigung der Gemüther , und wirkte auch dann noch fort , als Dumouriez , mehr kühn als vorsichtig , durch die Vernachlässigung des Engpasses Croixaux-bois auf einmal alle Vortheile seiner Stellung einbüßte .	33	33	Engpa
Alexander senden Kraterus mit eine Teil d Heer auf d Höhe hinter d von d Uxiern besetzt Paßweg $ während er selbst gegen d Paß mit groß Eile vorrücken $ so daß d Barbar $ umgehen $ durch d Schnelligkeit d Feind erschrecken $ alle Vorteil $ die d Engpaß gewähren können $ berauben $ sich sofort $ als Alexander in geschließen Reihe anrücken $ fliehen zurückziehen $ viel stürzen in d Abgrund $ viel werden von d verfolgend Makedonier $ noch mehr von kraterus Truppe auf d Höhe $ nach die sie sich retten wollen $ erschlagen $	Alexander sandte Kraterus mit einem Theile des Heeres auf die Höhen hinter dem von den Uxiern besetzten Paßwege , während er selbst gegen den Paß mit größter Eile vorrückte , so daß die Barbaren , umgangen , durch die Schnelligkeit des Feindes erschreckt , aller Vortheile , die der Engpaß gewähren konnte , beraubt , sich sofort , als Alexander in geschlossenen Reihen anrückte , fliehend zurückzogen ; viele stürzten in die Abgründe , viele wurden von den verfolgenden Macedoniern , noch mehr von Kraterus Truppen auf der Höhe , nach der sie sich retten wollten , erschlagen .	49	49	Engpa
diese grün Tal mit d Gebüsch und d aromatisch Kraut seine Abhang münden in eine eng $ von überhangend Kalksteinmasse beschattet Schlucht $ wie eine Engpaß $ die aus d sonnig Welt draußen in d unzugänglich Burg d Entsagung führen $ von die eine Ausgang nur ins Jenseits offen stehen $	Diess grüne Thal mit dem Gebüsch und den aromatischen Kräutern seiner Abhänge mündet in eine enge , von überhangenden Kalksteinmassen beschattete Schlucht , wie ein Engpass , der aus der sonnigen Welt draussen in die unzugängliche Burg der Entsagung führt , von der ein Ausgang nur ins Jenseits offen steht .	25	25	Engpa
nicht bloß können eine Handvoll entschlossen Leute er d Weg verlegen $ wo dann an keine Rückzug zu denken sein $ sondern noch nach d Übergang $ wie er stehen mit d makedonisch Hauptmacht vor sich $ hinter sich d stark befestigt Bergfestung Tempe und Lapathus $ einkeilen in eine schmal Strandebene und ohne Zufuhr wie ohne d Möglichkeit zu furagieren $ sein seine Lage nicht minder verzweifelt $ als da er in seine erst Konsulat in d ligurisch Engpaß $ die seitdem seine Name behalten $ sich gleichfalls haben umzingeln lassen und militärisch verlieren sein $	Nicht bloss konnte eine Handvoll entschlossener Leute ihm den Weg verlegen , wo dann an keinen Rückzug zu denken war , sondern noch nach dem Uebergang , wie er stand mit der makedonischen Hauptmacht vor sich , hinter sich die stark befestigten Bergfestungen Tempe und Lapathus , eingekeilt in eine schmale Strandebene und ohne Zufuhr wie ohne die Möglichkeit zu fouragiren , war seine Lage nicht minder verzweifelt , als da er in seinem ersten Consulat in den ligurischen Engpässen , die seitdem seinen Namen behielten , sich gleichfalls hatte umzingeln lassen und militärisch verloren war .	79	23	Engpa
d Korps zur Linken unter d General Granier verteidigen d Engpaß d Tal d Fella $	Das Corps zur Linken unter dem General Grenier vertheidigte die Engpässe des Thals der Fella .	10	10	Engpa
nachdem 411 beide Konsul in Campanien einrücken sein $ erfechten zuerst d Konsul Marcus Valerius Corvus am Berg Gaurus über d Samniten eine schwer und blutig Sieg $ alsdann auch d Kollege Aulus Cornelius Cossus $ nachdem er d Vernichtung in eine Engpaß durch d Hingebung eine von d Kriegstribun Publius Decius geführt Abteilung entgehen sein $	Nachdem 411 beide Consuln in Campanien eingerückt waren , erfocht zuerst der Consul Marcus Valerius Corvus am Berge Gaurus über die Samniten einen schweren und blutigen Sieg ; alsdann auch der College Aulus Cornelius Cossus , nachdem er der Vernichtung in einem Engpass durch die Hingebung einer von dem Kriegstribun Publius Decius geführten Abtheilung entgangen war .	42	42	Engpa
nach eine sehr angestrengt Marsch erreichen wir eine befreundet turkmanisch Aschiret oder Lager auf eine köstlich grün Ebene mitten unter rauh Felsgebirge $ am folgend Tag gehen es wegen Ermüdung d Pferd nur bis geben $ und d dritt Tag reiten ich mit Hauptmann L. bis Gögsyn voraus über d schwierig und verrufen Engpaß von Mariamtschil-Kalessi $	Nach einem sehr angestrengten Marsche erreichten wir ein befreundetes turkmanisches Aschiret oder Lager auf einer köstlich grünen Ebene mitten unter rauhen Felsgebirgen ; am folgenden Tage ging es wegen Ermüdung der Pferde nur bis Gebenn , und den dritten Tag ritt ich mit Hauptmann L. bis Gögsyn voraus über die schwierigen und verrufenen Engpässe von Mariamtschil-Kalessi .	53	53	Engpa
Sulla sehen sich nötigen $ mit Zurücklaßung eine Korps gegen Carbo $ selbst nach Latium zurückkehren $ wo er in d Engpaß vorwärts Praeneste eine wohlgewählt Stellung nehmen und d Entsatzheer d Weg sperren $	Sulla sah sich genöthigt , mit Zurücklassung eines Corps gegen Carbo , selbst nach Latium zurückzukehren , wo er in den Engpässen vorwärts Praeneste eine wohlgewählte Stellung nahm und dem Entsatzheer den Weg sperrte .	21	13	Engpa
diese Beweis erscheinen aber durchaus nicht als stichhaltig $ wenn man bedenken $ daß d Stärke d sich fortpflanzend Schwankung im Niveau von viel örtlich Umstand abhängig sein $ von d Form $ d Krümmung und d Zahl d ineinander mündend Kanal $ vom Widerstand d Grund $ auf die d Flutwelle heraufkommen $ vom Abprall d Wasser an d gegenüberliegend Ufer und von d Einschnürung d Strom in eine Engpaß $	Dieser Beweis erscheint aber durchaus nicht als stichhaltig , wenn man bedenkt , daß die Stärke der sich fortpflanzenden Schwankungen im Niveau von vielen örtlichen Umständen abhängig ist , von der Form , den Krümmungen und der Zahl der ineinander mündenden Kanäle , vom Widerstande des Grundes , auf dem die Flutwelle heraufkommt , vom Abprallen des Wassers an den gegenüberliegenden Ufern und von der Einschnürung des Stromes in einen Engpaß .	70	70	Engpa
bei diese Linearberechnung vergessen er nur $ daß d Zufall noch schnell sein $ als unsere Strategie $ und in solch Engpaß im nun neu Wanderer hineinschieben pflegen $	Bei dieser Linearberechnung vergaß er nur , daß der Zufall noch schneller ist , als unsere Strategie , und in solche Engpässe im Nu neue Wanderer hineinzuschieben pflegt .	21	21	Engpa
dahin gehören d Angostura De Carare im Magdalenenfluß $ eine Engpaß $ die d Verkehr zwischen Santa Fe De Bogota und d Küste von Cartagena Eintrag tun $ dahin gehören d Pongo von Manseriche im ober Amazonenstrom $ d La Condamine für weit gefährlich halten haben $ als er in Wahrheit sein $ und d d Pfarrer von San Borja hinauf müssen $ so oft er im Dorf San Jago eine Amtsverrichtung haben $	Dahin gehört die Angostura de Carare im Magdalenenfluß , ein Engpaß , der dem Verkehr zwischen Santa Fé de Bogota und der Küste von Cartagena Eintrag thut ; dahin gehört der Pongo von Manseriche im oberen Amazonenstrome , den La Condamine für weit gefährlicher gehalten hat , als er in Wahrheit ist , und den der Pfarrer von San Borja hinauf muß , so oft er im Dorfe San Jago eine Amtsverrichtung hat .	10	10	Engpa
wir fahren in zwei Tag d Orinoco von Carichana zur Mission Uruana hinab $ nachdem wir wieder durch d vielberufen Engpaß beim Baraguan gehen $	Wir fuhren in zwei Tagen den Orinoko von Carichana zur Mission Uruana hinab , nachdem wir wieder durch den vielberufenen Engpaß beim Baraguan gegangen .	20	20	Engpa
wir wollen bis zum Ende d Regenzeit in Caracas bleiben $ von dort über d groß Ebene oder Llanos in d Mission am Orinoco reisen $ diese ungeheuer Strom südlich von d Katarakt bis zum Rio Negro und zur Grenze von Brasilien hinauffahren und über d Hauptstadt d spanisch Guyana $ gemeiniglich wegen ihr Lage Angostura $ d. h. Engpaß heißen $ nach Cumana zurückkehren $	wir wollten bis zum Ende der Regenzeit in Caracas bleiben , von dort über die großen Ebenen oder Llanos in die Missionen am Orinoko reisen , diesen ungeheuren Strom südlich von den Katarakten bis zum Rio Negro und zur Grenze von Brasilien hinauffahren und über die Hauptstadt des spanischen Guyana , gemeiniglich wegen ihrer Lage Angostura , d. h. Engpaß geheißen , nach Cumana zurückkehren .	59	59	Engpa
