sentence_lemma	sentence_token	index_lemma	index_token	lemma
$ laut meine Kundmachung vom 29. Mai L. J. haben d provisorisch Regierungsrat $ von die Bildung ich seine Majestät sogleich d alleruntertänigst Anzeige erstatten haben $ bis zur allerhoch Entscheidung nur d Bestimmung $ über solch d Wirkungskreis d Landesstelle überschreitend inner Landesangelegenheit zu entscheiden $ welche durch d außerordentlich Verhältnis in Folge d Ereignis in Wien Unverschieblich werden dürfen $	„ Laut meiner Kundmachung vom 29. Mai l. J. hat der provisorische Regierungsrath , von dessen Bildung ich Seiner Majestät sogleich die allerunterthänigste Anzeige erstattet habe , bis zur allerhöchsten Entscheidung nur die Bestimmung , über solche den Wirkungskreis der Landesstelle überschreitende innere Landesangelegenheiten zu entscheiden , welche durch die außerordentlichen Verhältnisse in Folge der Ereignisse in Wien unverschieblich werden dürften .	30	30	Entscheidung
seine Ankunft $ die über seine Politik keine Zweifel übrig lassen $ tragen zur Entscheidung d Angelegenheit überhaupt bei $	Seine Ankunft , die über seine Politik keinen Zweifel übrig ließ , trug zur Entscheidung der Angelegenheit überhaupt bei .	14	14	Entscheidung
in d heutig Staat dagegen werden in d verschieden $ einander übergeordnet oder auch nebengeordnet Behörde d einheitlich Staatsgewalt tätig $ d Behörde sein durchweg auf eine Zusammenwirken anweisen und es sein daher eine Vollziehung d staatlich Geschäft gar nicht denkbar $ wenn nicht jede Beamte Entscheidung $ Verfügung und Requisition befolgen $ ohne d materiell Richtigkeit und Rechtmäßigkeit seinerseits nochmals zu prüfen und ohne von d Ausfall diese Prüfung es abhängig zu machen $ ob er seine Mitwirkung leisten oder versagen wollen $	In dem heutigen Staate dagegen wird in den verschiedenen , einander übergeordneten oder auch nebengeordneten Behörden die einheitliche Staatsgewalt thätig ; die Behörden sind durchweg auf ein Zusammenwirken angewiesen und es ist daher eine Vollziehung der staatlichen Geschäfte gar nicht denkbar , wenn nicht jeder Beamte Entscheidungen , Verfügungen und Requisitionen befolgt , ohne die materielle Richtigkeit und Rechtmäßigkeit seinerseits nochmals zu prüfen und ohne von dem Ausfall dieser Prüfung es abhängig zu machen , ob er seine Mitwirkung leisten oder versagen will .	46	46	Entscheidung
d Entscheidung auf d Rekurs erfolgen endgültig durch d Reichs-Rayonkommission $	Die Entscheidung auf den Rekurs erfolgt endgültig durch die Reichs-Rayonkommission “	1	1	Entscheidung
um in diese Alternative zu eine Entscheidung zu gelangen $ müssen wir jen Vorherrwissen für sich nehmen $ und sehen $ ob es absehen von d Kassaamt d Judas wahrscheinlich sein oder nicht $	Um in dieser Alternative zu einer Entscheidung zu gelangen , müssen wir jenes Vorherwissen für sich nehmen , und sehen , ob es abgesehen von dem Cassenamt des Judas wahrscheinlich ist oder nicht ?	6	6	Entscheidung
es sein nur seltsam $ daß d Streit $ trotz d Entscheidung $ immer wieder von Neue aufwerfen werden können $	Es war nur seltsam , daß der Streit , trotz der Entscheidung , immer wieder von Neuem aufgeworfen werden konnte .	11	11	Entscheidung
für d Entscheidung über d Raubzug d Selektaner sein diese Fall Fliczek ungemein günstig $	Für die Entscheidung über den Raubzug der Selektaner war dieser Fall Fliczek ungemein günstig .	2	2	Entscheidung
eine Partei $ welche für d Fall d sie ungünstig Ausgang d Rechtsstreit eine Anspruch auf Gewährleistung oder Schadloshaltung gegen eine dritt erheben zu können glauben oder d Anspruch eine dritt besorgt $ können bis zur rechtskräftig Entscheidung d Rechtsstreit d dritt gerichtlich d Streit verkünden $	Eine Partei , welche für den Fall des ihr ungünstigen Ausganges des Rechtsstreits einen Anspruch auf Gewährleistung oder Schadloshaltung gegen einen Dritten erheben zu können glaubt oder den Anspruch eines Dritten besorgt , kann bis zur rechtskräftigen Entscheidung des Rechtsstreits dem Dritten gerichtlich den Streit verkünden .	37	37	Entscheidung
eine scharf Entscheidung sein für solch zweifelhaft Fall nur nötig $ wenn d Geber d Schenkung bereuen $ und auf d Grund d versäumen Insinuation anfechten wollen $	Eine scharfe Entscheidung ist für solche zweifelhafte Fälle nur nöthig , wenn der Geber die Schenkung bereut , und auf den Grund der versäumten Insinuation anfechten will .	2	2	Entscheidung
eben in d Tag d Entscheidung in Mailand kommen man mit d Papst zum Abschluß $	Eben in den Tagen der Entscheidung in Mailand kam man mit dem Papst zum Abschluß .	5	5	Entscheidung
