sentence_lemma	sentence_token	target_index	original_word
allein auf jen Feld können sich d naiv Dichtung neben d entwickelt Kunstpoesie nicht Fortbehaupten $ im ernst Gebiet kennen d Volk keine ander Idealität $ als d mythisch $ und bringen es nie vom halb Epische zum echt Dramatische $ d Hoffnung $ die man an d Festspiel im bayerisch Gebirge knüpfen $ sein irrig $	Allein auf jenem Felde konnte sich die naive Dichtung neben der entwickelten Kunstpoesie nicht fortbehaupten ; im ernsten Gebiete kennt das Volk keine andere Idealität , als die mythische , und bringt es nie vom halb Epischen zum ächt Dramatischen ; die Hoffnungen , die man an die Festspiele im bairischen Gebirge knüpfte , waren irrig .	48	Festspiel
benutzen $ d lebend Bild bei d Festspiel Lalla-Raukh $ nach d Natur zeichnen von W. Hänsel $ Berlin 1823 bei L. W. Wittich $ $	Benutzt : Die lebenden Bilder bei dem Festspiele Lalla-Rûkh , nach der Natur gezeichnet von W. Hensel ( Berlin 1823 bei L. W. Wittich ) .	7	Festspiel
zu eine solch Festspiel sein d Dichter selbst ziehen und haben eine Siegespreis durch sein Lied erringen $	Zu einem solchen Festspiele war der Dichter selbst gezogen und hatte einen Siegespreis durch sein Lied errungen .	3	Festspiel
neu Gottesdienst und Opferbrauch werden einführen $ Tempel weihen $ Fest und Festspiel stiften $ Sühnung ganz Gemeinde $ Stadt und Land vornehmen $ um eine neu $ rein Anfang zu gewinnen $	Neue Gottesdienste und Opferbräuche wurden eingeführt , Tempel geweiht , Feste und Festspiele gestiftet , Sühnungen ganzer Gemeinden , Städte und Länder vorgenommen , um einen neuen , reinen Anfang zu gewinnen .	12	Festspiel
sie kommen $ wie sich denken lassen $ nicht mit leer Hand und als wir Kind d unsere tun und unsere Festspiel beenden haben $ treten von Flemming im Name d alt Tafelrunde vor und überreichen $ unter feierlich Ansprache $ eine Pokal $	Sie kamen , wie sich denken läßt , nicht mit leeren Händen und als wir Kinder das Unsere gethan und unser Festspiel beendet hatten , trat von Flemming im Namen der alten Tafelrunde vor und überreichte , unter feierlicher Ansprache , einen Pokal .	21	Festspiel
Frl. Weiner werden nämlich von Frau Cosima Wagner zur Mitwirkung bei d nächstjährig Festspiel engagieren und werden d Ortrud und Kundry darstellen $	Frl. Weiner wurde nämlich von Frau Cosima Wagner zur Mitwirkung bei den nächstjährigen Festspielen engagirt und wird die Ortrud und Kundry darstellen .	13	Festspiel
nach Böckh scharfsinnig Bemerkung haben d alt Mythos d nemäischen Mondlöwe eine astronomisch Ursprung und hängen symbolisch in d Chronologie mit d Schaltzyklus d Mondjahr $ d Mondkultus zu Nemea und d dortig Festspiel zusammen $	Nach Böckh's scharfsinniger Bemerkung hat der alte Mythus des Nemäischen Mondlöwen einen astronomischen Ursprung und hängt symbolisch in der Chronologie mit den Schaltcyklen des Mondjahres , dem Mondcultus zu Nemea und den dortigen Festspielen zusammen .	33	Festspiel
in d Festspiel d dresdener Gesellschaft zum blau Stern $ die sich während d preußisch-russisch Fremdherrschaft zur Nährung d dynastisch Treue zusammenfinden haben $ erklingen nach eine feierlich Pause $ d hoch Geisterwort $ $	In dem Festspiele der Dresdener Gesellschaft zum Blauen Stern , die sich während der preußisch-russischen Fremdherrschaft zur Nährung der dynastischen Treue zusammengefunden hatte , erklang nach einer feierlichen Pause „ das hohe Geisterwort “ :	2	Festspiel
im Ganze haben d dorisch Stamm offenbar wenige Geschick und Neigung als d Attische $ aus frei Regung poetisch Gefühl $ wie sie Festspiel veranlassen $ Literaturgattung zu bilden $	Im Ganzen hatte der Dorische Stamm offenbar weniger Geschick und Neigung als der Attische , aus freien Regungen poëtischen Gefühls , wie sie Festspiele veranlaßten , Litteraturgattungen zu bilden .	23	Festspiel
$ gegenwärtig weilen d Künstlerin in Bayreuth $ um sich dort für d nächstjährig Festspiel vorbereiten $	— Gegenwärtig weilt die Künstlerin in Bayreuth , um sich dort für die nächstjährigen Festspiele vorzubereiten .	14	Festspiel
