sentence_lemma	sentence_token	index_lemma	index_token	lemma
sondern eine gewiß Klarheit $ ich wissen sonst d gerade Gegenteil $ ja beinahe $ d Unmöglichkeit d Narrheit $ nicht zu benennen $ $ die aber überhaupt zu wenig kräftig und positiv nähren sein $ als daß man sie nicht mit Nüchternheit verwechseln können $ weil nicht alle unsere Landsleute auch d Zusatz in sich $ und ihr Gesichtsausdruck tragen $ die von d Liebhaberei an Spaß $ nicht Scherz $ Ironie $ und eine wenig zum Narre haben zeugen $	Sondern eine gewisse Klarheit — ich weiß sonst das grade Gegentheil , ja beinah , die Unmöglichkeit der Narrheit , nicht zu benennen — , die aber überhaupt zu wenig kräftig und positiv genährt ist , als daß man sie nicht mit Nüchternheit verwechslen könnte ; weil nicht alle unsere Landsleute auch den Zusatz in sich , und ihren Gesichtsausdruck tragen , der von der Liebhaberei an Spaß — nicht Scherz — Ironie , und ein wenig zum Narren haben zeugt .	59	59	Gesichtsausdruck
zur äußer Unterscheidung beide Zustand dienen $ außer d schon erwähnt Rücksicht auf d Gesichtsausdruck und namentlich d Blick d Kranke $ teils eine in manche Fall primitiv und sehr rasch Entstehung $ teils d nicht selten vorkommend Verweigern d Nahrung und d zuweilen gemacht Selbstmordversuch $ welche beide bei Blödsinnige nicht leicht vorkommen $	Zur äusseren Unterscheidung beider Zustände dient , ausser der schon erwähnten Rücksicht auf den Gesichtsausdruck und namentlich den Blick der Kranken , theils eine in manchen Fällen primitive und sehr rasche Entstehung , theils das nicht selten vorkommende Verweigern der Nahrung und die zuweilen gemachten Selbstmordversuche , welche beide bei Blödsinnigen nicht leicht vorkommen .	14	14	Gesichtsausdruck
alle diese Volk $ die Kultur in eine so hoch Altertum hinaufreichen und die Sprache d gemeinsam haben $ daß sie aus einsilbig Wort zusammensetzen sein $ gehören zu d Langkopf mit vorspringend Kiefer und schief gestellt Zahn $ eine Schädelbau $ wodurch sie sich wesentlich von d verwandt Volk mit gleich Gesichtsausdruck unterscheiden $	Alle diese Völker , deren Cultur in ein so hohes Alterthum hinaufreicht und deren Sprachen das Gemeinsame haben , daß sie aus einsylbigen Wörtern zusammengesetzt sind , gehören zu den Langköpfen mit vorspringenden Kiefern und schief gestellten Zähnen , ein Schädelbau , wodurch sie sich wesentlich von den verwandten Völkern mit gleichem Gesichtsausdrucke unterscheiden .	52	52	Gesichtsausdruck
es kommen vor $ daß meine Mutter diese eigenartig Unterrichtsstunde beiwohnen $ nur d mit Latour D' Auvergne wagen wir nicht in ihr Gegenwart $ und bei d Gelegenheit durch ihr Mienenspiel zu verstehen geben $ daß sie diese ganz Form d Unterricht $ die mein Vater mit eine unnachahmlich Gesichtsausdruck seine $ sokratisch Methode $ nennen $ höchst zweifelhaft finden $	Es kam vor , daß meine Mutter diesen eigenartigen Unterrichtsstunden beiwohnte – nur das mit Latour d’ Auvergne wagten wir nicht in ihrer Gegenwart – und bei der Gelegenheit durch ihr Mienenspiel zu verstehen gab , daß sie diese ganze Form des Unterrichts , die mein Vater mit einem unnachahmlichen Gesichtsausdruck seine „ sokratische Methode “ nannte , höchst zweifelhaft finde .	50	50	Gesichtsausdruck
d breit Nase krümmen sich mit d Spitze nach unten $ wodurch d Gesichtsausdruck eine jüdisch Anstrich erhalten $ die keine Beobachter bisher entgehen sein $	Die breite Nase krümmt sich mit der Spitze nach unten , wodurch der Gesichtsausdruck einen jüdischen Anstrich erhält , der keinem Beobachter bisher entgangen ist .	13	13	Gesichtsausdruck
er können sich nicht klar werden $ in d Erinnerung haben er eine klein $ zartgefärbt $ blond Wesen $ reizen in jede Bewegung $ aber auf ihr gewöhnlich Gesichtsausdruck besinnen er sich nicht $	Er konnte sich nicht klar werden , in der Erinnerung hatte er ein kleines , zartgefärbtes , blondes Wesen , reizend in jeder Bewegung , aber auf ihren gewöhnlichen Gesichtsausdruck besann er sich nicht .	29	29	Gesichtsausdruck
sie sein gänzlich verstummen $ vollkommen untätig $ ohne stark äußer Anlaß fast unbeweglich $ ihr Aussehen sein stupid $ ihr Gesichtsausdruck d eine allgemein tief psychisch Oppression $ eine wahr Vernichtung $ nur d Blick solch Kranke zeigen nicht d d Blödsinn angehörig Nullität $ sondern d Ausdruck eine schmerzlich Affekt $ d Traurigkeit $ Angst $ oder eine insichgekehrtes Staunen $	Sie sind gänzlich verstummt , vollkommen unthätig , ohne stärkere äussere Anlässe fast unbeweglich , ihr Aussehen ist stupid , ihr Gesichtsausdruck der einer allgemeinen tiefen psychischen Oppression , einer wahren Vernichtung ; nur der Blick solcher Kranken zeigt nicht die dem Blödsinn angehörige Nullität , sondern den Ausdruck eines schmerzlichen Affects , der Traurigkeit , Angst , oder ein insichgekehrtes Staunen .	21	21	Gesichtsausdruck
übrigens haben d Modell seine Bedeutung nur für Form in d Ruhe $ Farbe $ für d Bewegung $ sofern sie nicht zu stark sein $ um sie willkürlich Bärvorbringen und eine Moment dieselbe festhalten zu können $ für d Gesichtsausdruck d Leidenschaft sein es durchaus nicht zu gebrauchen und was von Peinigung d Modell zu diese Zweck erzählen werden $ Seneca berichten schon von d athen. Maler Parrhasios $ er haben eine Kriegsgefangene kaufen und peinigen $ um nach er eine Prometheus darstellen $ $ gehören zu d Verzerrung d Kunst $	Uebrigens hat das Modell seine Bedeutung nur für Form in der Ruhe , Farbe , für die Bewegung , sofern sie nicht zu stark ist , um sie willkührlich bervorbringen und einen Moment derselben festhalten zu können ; für den Gesichtsausdruck der Leidenschaft ist es durchaus nicht zu gebrauchen und was von Peinigung der Modelle zu diesem Zweck erzählt wird ( Seneca berichtet schon von dem athen. Maler Parrhasius , er habe einen Kriegsgefangenen gekauft und gepeinigt , um nach ihm einen Prometheus darzustellen ) , gehört zu den Verzerrungen der Kunst .	40	40	Gesichtsausdruck
sein Bildnis fehlen zwar an d breit Mauerpfeiler $ an die es früh hangen $ und Großmutter und Enkel $ d Lächeln d eine und d herb Gesichtsausdruck d ander $ begegnen sich nicht lang mehr an diese Stelle $ d Totalbild d $ Poet $ aber $ seine Charakter wie seine Erscheinung $ haben wir eine zeitgenössisch Feder aufbewahren und mit Hilfe diese Aufzeichnung erneuern wir auf Moment d Bild und führen es an d Leser Auge vorüber $	Sein Bildniß fehlt zwar an dem breiten Mauerpfeiler , an dem es früher hing , und Großmutter und Enkel , das Lächeln des einen und der herbe Gesichtsausdruck der andern , begegnen sich nicht länger mehr an dieser Stelle ; das Totalbild des „ Poeten “ aber , seinen Charakter wie seine Erscheinung , hat uns eine zeitgenössische Feder aufbewahrt und mit Hülfe dieser Aufzeichnungen erneuern wir auf Momente das Bild und führen es an des Lesers Auge vorüber .	27	27	Gesichtsausdruck
ihr glatt $ dicht $ auf d Stirn wie bei d Chorknabe verschneiden Haar $ ihr schwarz gefärbt Augenbraue $ ihr finster und doch lebhaft Blick geben ihr Gesichtsausdruck etwas ungemein Harte $	Ihre glatten , dichten , auf der Stirne wie bei den Chorknaben verschnittenen Haare , ihre schwarz gefärbten Augenbrauen , ihr finsterer und doch lebhafter Blick gaben ihrem Gesichtsausdruck etwas ungemein Hartes .	28	28	Gesichtsausdruck
