sentence_lemma	sentence_token	target_index	original_word
da man d elektrisch Bahn nicht viel Haltestelle geben werden $ so werden diese d natürlich ausgangs- und Knotenpunkt für pferdebahn- und Omnibuslinie bilden $ diese aber d unrentabel lang Tour abnehmen $	Da man der elektrischen Bahn nicht viele Haltestellen geben wird , so werden diese die natürlichen Ausgangs- und Knotenpunkte für Pferdebahn- und Omnibuslinien bilden , diesen aber die unrentabeln langen Touren abnehmen .	18	Knotenpunkt
da d Mehrwert eine jährlich Produkt d Kapital sein $ da er d Originalkapital jährlich eine Inkrement zusetzen $ da diese Inkrement selbst jährlich wachsen mit d jährlich zunehmend Umfang d bereits in Funktion begreifen Kapital $ und da endlich $ unter besondere Sporn d Bereicherungstrieb $ wie z. B. Öffnung neu Markt $ neu Sphäre d Kapitalanlage in Folge neu entwickelt gesellschaftlich Bedürfnis u. s. W. $ d Stufenleiter d Akkumulation plötzlich ausdehnbar sein durch bloß verändert Teilung d Mehrwert oder Mehrprodukt in Kapital und Revenue $ so treten hier Knotenpunkt ein $ wo d Wachstum d Arbeitskraft oder d Arbeiteranzahl überflügeln werden von d Akkumulationsbedürfnis d Kapital $ und daher d Preis d Arbeit steigen $	Da der Mehrwerth ein jährliches Produkt des Kapitals ist , da er dem Originalkapital jährlich ein Increment zusetzt , da diess Increment selbst jährlich wächst mit dem jährlich zunehmenden Umfang des bereits in Funktion begriffenen Kapitals , und da endlich , unter besonderem Sporn des Bereicherungstriebs , wie z. B. Oeffnung neuer Märkte , neuer Sphären der Kapitalanlage in Folge neu entwickelter gesellschaftlicher Bedürfnisse u. s. w. , die Stufenleiter der Accumulation plötzlich ausdehnbar ist durch bloss veränderte Theilung des Mehrwerths oder Mehrprodukts in Kapital und Revenue , so treten hier Knotenpunkte ein , wo das Wachsthum der Arbeitskraft oder der Arbeiteranzahl überflügelt wird von den Accumulationsbedürfnissen des Kapitals , und daher der Preis der Arbeit steigt .	91	Knotenpunkt
eben so erhalten wir 68 $ 32 $ 47 ",43 wenn wir d Mittel aus d Knotenpunkt d zu beide Seite d Erde $ d Entfernung nach $ gelegen Planet $ Venus und Mars suchen $ und d Knotenpunkt d Venus sein fast eben so weit abwärts von d d zunächst vorhergehend Glied Merkur entfernen $ als d d Mars von jen d nächstfolgend Vesta $ jen 74 $ 6 $ diese 73 $ 48 $ $ $	Eben so erhalten wir 68 ° 32 ′ 47 ″,43 wenn wir das Mittel aus den Knotenpunkten der zu beyden Seiten der Erde ( der Entfernung nach ) gelegnen Planeten , Venus und Mars suchen , und der Knotenpunkt der Venus ist fast eben so weit abwärts von dem des zunächst vorhergehenden Gliedes Mercur entfernt , als der des Mars von jenem des nächstfolgenden Vesta ( jener 74 ° 6 ′ dieser 73 ° 48 ′ ) .	38	Knotenpunkt
d 2500 Meter hoch Tokachi-Dake an d Quelle d Tokachi $ 43 $ 48' N. und 143 $ 10' O. Gr. $ sein d Knotenpunkt $ von die aus nach alle Himmelsrichtung d groß Fluß d Land $ zum Teil $ wie d Ishikari $ in auffallend gewunden Lauf $ d Meer zueilen $	Der 2500 Meter hohe Tokachi-dake an den Quellen des Tokachi ( 43 ° 48' N. und 143 ° 10' O. Gr. ) ist der Knotenpunkt , von dem aus nach allen Himmelsrichtungen die grossen Flüsse des Landes , zum Theil , wie der Ishikari , in auffallend gewundenem Laufe , dem Meere zueilen .	24	Knotenpunkt
allein auf d Nachricht von d Schlacht am Sacerhafen sein Carbo $ um seine Kommunikation besorgen $ zurückgehen bis auf d flaminische Chaussee $ in die Knotenpunkt Ariminum er sein Hauptquartier zu nehmen und von dort teils d Paß d Apennin $ teils d Pothal zu behaupten gedenken $ bei welchem rückgängig Marsch verschieden Abteilung d Feind in d Hand geraten $ Sena Gallica von Pompeius erstürmen und von demselben Carbo Nachhut in eine glänzend Reitergefecht zersprengen werden $	Allein auf die Nachricht von der Schlacht am Sacerhafen war Carbo , um seine Communicationen besorgt , zurückgegangen bis auf die flaminische Chaussee , in deren Knotenpunct Ariminum er sein Hauptquartier zu nehmen und von dort theils die Pässe des Apennin , theils das Pothal zu behaupten gedachte ; bei welchem rückgängigen Marsch verschiedene Abtheilungen dem Feinde in die Hände geriethen , Sena gallica von Pompeius erstürmt und von demselben Carbos Nachhut in einem glänzenden Reitergefecht zersprengt ward .	26	Knotenpunkt
von d groß Knotenpunkt d Handel in Europa sein d staatlich Freiheit ausgehen $ in sie d Selbstverwaltung erhalten $ und durch sie d Vereinswesen erzeugen werden $	Von den großen Knotenpunkten des Handels in Europa ist die staatliche Freiheit ausgegangen , in ihnen die Selbstverwaltung erhalten , und durch sie das Vereinswesen erzeugt worden .	3	Knotenpunkt
$ Σ s δ s leisten $ sodann setzen wir voraus $ dass an jede Knotenpunkt Gleichgewicht bestehen und keine Kraft unendlich groß werden $	— Σ S Δ s leisten ; sodann setzen wir voraus , dass an jedem Knotenpunkte Gleichgewicht besteht und keine Kraft unendlich gross wird .	15	Knotenpunkt
ihr Land liegen in d Knotenpunkt von drei Weltteil und von drei verschieden Kulturentwickelung $	Ihr Land lag in dem Knotenpunkte von drei Weltteilen und von drei verschiedenen Kulturentwickelungen .	5	Knotenpunkt
mit völlig elementar Gewalt und viel rasch $ wie in d alt Welt $ vollziehen sich jenseits d Ozean d Anwachsen d Knotenpunkt d groß Verkehr zu jen gewaltig Emporien $ die eine markant Erscheinung d Gegenwart bilden $	Mit völlig elementarer Gewalt und viel rascher , wie in der alten Welt , vollzieht sich jenseits des Oceans das Anwachsen der Knotenpunkte des grossen Verkehres zu jenen gewaltigen Emporien , die eine markante Erscheinung der Gegenwart bilden .	22	Knotenpunkt
um d Größe d Bild durch Konstruktion zu finden $ müssen man d Knotenpunkt d System kennen $	Um die Grösse des Bildes durch Construction zu finden , muss man die Knotenpunkte des Systems kennen .	13	Knotenpunkt
d bewaldet Rücken treten jedoch geschließen und hoch auf $ je mehr man sich d Knotenpunkt nähern $	Die bewaldeten Rücken treten jedoch geschlossener und höher auf , je mehr man sich dem Knotenpunkte nähert .	15	Knotenpunkt
es finden sich da wie in Knotenpunkt d Weltverkehr d Diplomat d verschieden Staat zusammen und fangen an $ als sogenannt diplomatisch Körper sich als völkerrechtlich Genossenschaft zu fühlen $	Es fanden sich da wie in Knotenpunkten des Weltverkehrs die Diplomaten der verschiedenen Staten zusammen und fingen an , als sogenannte diplomatische Körper sich als völkerrechtliche Genossenschaften zu fühlen .	6	Knotenpunkt
man wissen noch nicht und können nur durch d Erfahrung lernen $ was eine Knotenpunkt im Bahnverkehr bedeuten $	Man wußte noch nicht und konnte nur durch die Erfahrung lernen , was ein Knotenpunkt im Bahnverkehr bedeutet .	14	Knotenpunkt
wenden man d unter 2 $ und 3 $ mitgeteilt Verfahren auf d Berechnung d Formänderung von Bogenbrücke an $ so genügen es in d Regel $ d Punkt $ in die d senkrecht $ zwischen d Fahrbahn und d Bogen eingeschaltet Stab d Bogenachse schneiden $ als Knotenpunkt in d vorhin erklärt Sinn annehmen $	Wendet man die unter 2 ) und 3 ) mitgetheilten Verfahren auf die Berechnung der Formänderungen von Bogenbrücken an , so genügt es in der Regel , die Punkte , in denen die senkrechten , zwischen die Fahrbahn und den Bogen eingeschalteten Stäbe die Bogenachse schneiden , als Knotenpunkte in dem vorhin erklärten Sinne anzunehmen .	48	Knotenpunkt
seit zwei Jahrzehnt berühmt als Knotenpunkt d sibirisch Überlandtelegraph und d Kabel d Great eastern telegraph Cy. $ Kopenhagen $ $ sein es d Hauptschiffstation Rußland am still Ozean $ und ausrüsten mit eine Schwimmdock $ d Schiff von 3000 T aufnehmen können $ bald werden auch eine gegraben Dock erbauen werden $	Seit zwei Jahrzehnten berühmt als Knotenpunkt des sibirischen Ueberlandtelegraphen und der Kabel der Great Eastern Telegraph Cy. ( Kopenhagen ) , ist es die Hauptschiffstation Russlands am stillen Ocean , und ausgerüstet mit einem Schwimmdock , das Schiffe von 3000 T aufnehmen kann ; bald wird auch ein gegrabenes Dock erbaut werden .	5	Knotenpunkt
[formel] wenn man mit U diejenige Spannung d Konstruktionsteil C D bezeichnen $ welche durch eine im Knotenpunkt E angebracht Belastung von d Größe Eins hervorrufen werden $	[Formel] wenn man mit u diejenige Spannung des Konstruktionstheils C D bezeichnet , welche durch eine im Knotenpunkt E angebrachte Belastung von der Grösse Eins hervorgerufen wird .	17	Knotenpunkt
d Stabachse sein durch Punkt $ welche Knotenpunkt heißen sollen $ in Stück zerlegen $ die waagerecht Projektion Λ1 $ Λ2 $ Λ3 $ λm $ sein $	Die Stabachse sei durch Punkte , welche Knotenpunkte heissen sollen , in Stücke zerlegt , deren wagerechte Projektionen λ1 , λ2 , λ3 … λm ..... sind .	7	Knotenpunkt
als Beispiel d Anwendung d Gleichung 2 $ sein in d letzte Vertikalreihe d Tabelle d Durchbiegung [formel] d Knotenpunkt C $ welche d Länge d unter Gurtung halbieren $ für die hier in Rede stehend Belastungsfall berechnen werden $	Als Beispiel der Anwendung der Gleichung 2 ) ist in der letzten Vertikalreihe der Tabelle die Durchbiegung [Formel] des Knotenpunktes C , welcher die Länge der unteren Gurtung halbirt , für den hier in Rede stehenden Belastungsfall berechnet worden .	19	Knotenpunkt
