sentence_lemma	sentence_token	target_index	original_word
nachdem diese geschehen sein $ öffnen man d Form und zerschneiden d ganz $ oft eine Kubikmeter und mehr haltend starr Seifenblock mittels gespannt dünn Eisendraht in Stück von d gewünscht Größe $	Nachdem dies geschehen ist , öffnet man die Form und zerschneidet den ganzen , oft ein Kubikmeter und mehr haltenden starren Seifenblock mittels gespannter dünner Eisendrähte in Stücke von der gewünschten Größe .	16	Kubikmeter
in jede Stunde werden 45 Kubikmeter auf d Höhe von 3,3 Meter fördern $ $	In jeder Stunde wurden 45 Kubikmeter auf die Höhe von 3,3 Meter gefördert . “	5	Kubikmeter
d Unterbringung von 100 Kilogr. Wiesenheu oder Grumt erfordern 2--2 .5 Kubikmeter $ eine Fuhre Wiesenheu zu 800 Kilogr. 10--20 Kubikmeter $ 100 Kilogr. Kleeheu 0.7--0 .8 Kubikmeter Dachraum $	Die Unterbringung von 100 Kilogr. Wiesenheu oder Grummet erfordert 2—2 .5 Cubikmeter , einer Fuhre Wiesenheu zu 800 Kilogr. 10—20 Cubikmeter , 100 Kilogr. Kleeheu 0.7—0 .8 Cubikmeter Dachraum .	11	Kubikmeter
diese beide Wert sein für 1 Kilogrm. aus d Kessel tretend Dampf als Bruchteil eine Kubikmeter ausdrücken $ 0,3637 und 0,3690 $	Diese beiden Werthe sind für 1 Kilogrm. aus dem Kessel tretenden Dampfes als Bruchtheil eines Cubikmeter ausgedrückt : 0,3637 und 0,3690 .	15	Kubikmeter
d Leistung eine Person bei d Düngerarbeit betragen per Tag $ Dünger laden 9--12 zweispanneig Fuhre à 0.6--0 .7 Kubikmeter oder 500--750 Kilogr. $ Dünger breit 0.17--0.25 Hektar $ Dünger einstreif 0.40--0.46 Hektar $	Die Leistung einer Person bei der Düngerarbeit beträgt per Tag : Dünger laden 9—12 zweispännige Fuhren à 0.6—0 .7 Cubikmeter oder 500—750 Kilogr. , Dünger breiten 0.17—0.25 Hectar , Dünger einstreifen 0.40—0.46 Hectar .	19	Kubikmeter
d Menge d Gesamtausleerung können zu 0.524 Kubikmeter à 930 Kilogr. veranschlagen werden $	Die Menge der Gesammtausleerungen kann zu 0.524 Cubikmeter à 930 Kilogr. veranschlagt werden .	7	Kubikmeter
75 Million Kubikmeter Erde müssen in Bewegung bringen werden $ um d über 160 Km lang $ durchaus über 8 M tief $ an d Sohle nirgends wenige als 22 M breit Kanal zu graben und er gegen Flugsand durch Damm zu schützen $ eine halb Million Kubikmeter Erde und Schlamm müssen jährlich nachbaggern werden $ um d Wasserstraße in klagelos fahrbar Zustand zu erhalten $	75 Millionen Cubikmeter Erde mussten in Bewegung gebracht werden , um den über 160 km langen , durchaus über 8 m tiefen , an der Sohle nirgends weniger als 22 m breiten Canal zu graben und ihn gegen Flugsand durch Dämme zu schützen ; eine halbe Million Cubikmeter Erde und Schlamm muss jährlich nachgebaggert werden , um die Wasserstrasse in klaglos fahrbarem Zustande zu erhalten .	2	Kubikmeter
d Harzgas sein etwa von d Güte d Steinkohlengas $ aus 100 Kg Harz erhalten man im Mittel 60 Kubikmeter Gas $	Das Harzgas ist etwa von der Güte des Steinkohlengases ; aus 100 kg Harz erhält man im Mittel 60 Kubikmeter Gas .	19	Kubikmeter
Lesseps schätzen d zu bewegend und auszuhebend Erdemasse auf 73 Million Kubikmeter $	Lesseps schätzte die zu bewegenden und auszuhebenden Erdmassen auf 73 Millionen Cubikmeter .	11	Kubikmeter
haben wir z. B. in eine Zimmer eine Temperatur von 8 $ C. $ so betragen d Sättigungsmenge $ d. h. d in 1 Kubikmeter diese Luft im gut Falle enthalten Wassermenge nach genau Bestimmung 8,3 G. sein diese Zimmerluft nun wirklich so feucht $ und erwärmen man sie durch Heizen auf 20 $ C. $ so dehnen sich 1 Kubikmeter auf 1,043 Kubikmeter aus $ enthalten nun also im Kubikmeter nur 7,96 G Wasser $	Haben wir z. B. in einem Zimmer eine Temperatur von 8 ° C. , so beträgt die Sättigungsmenge , d. h. die in 1 Kubikmeter dieser Luft im besten Falle enthaltene Wassermenge nach genauen Bestimmungen 8,3 g. Ist diese Zimmerluft nun wirklich so feucht , und erwärmt man sie durch Heizen auf 20 ° C. , so dehnt sich 1 Kubikmeter auf 1,043 Kubikmeter aus , enthält nun also im Kubikmeter nur 7,96 g Wasser .	24	Kubikmeter
