sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
wenn im hoch Sommer d Sonne über d Vogesen untergehen $ und d Badener Tal bis ans Hochgebirge im Hintergrund beleuchten $ so sein die eine Anblick $ die zu d groß Naturschönheit gehören $ er müssen sehen werden $ beschreiben können man er nicht $	32	0	Naturschnheit	Wenn im hohen Sommer die Sonne uͤber die Vogeſen untergeht , und das Badner Thal bis ans Hochgebirge im Hintergrund beleuchtet , ſo iſt das ein Anblick , der zu den groͤßten Naturſchoͤnheiten gehoͤrt ; er muß geſehen werden , beſchreiben kann man ihn nicht .	jung_lebensgeschichte_1835-7798-32
denn d Naturschönheit müssen dann hoch sein als d Kunstschönheit $ da doch jede Prüfung dieselbe zeigen $ daß sie auf alle Punkt darum mangelhaft sein $ weil sie nicht als solch wollen sein $ weil sie von keine Bewußtsein d Schöne herrühren $	2	0	Naturschnheit	Denn die Naturſchönheit müßte dann höher ſein als die Kunſtſchönheit , da doch jede Prüfung derſelben zeigt , daß ſie auf allen Punkten darum mangelhaft iſt , weil ſie nicht als ſolche gewollt iſt , weil ſie von keinem Bewußtſein des Schönen herrührt .	vischer_aesthetik0201_1847-147-2
für diese wichtig Aufgabe halten ich nämlich nicht Besichtigung von Naturschönheit $ Sehenswürdigkeit $ Seltenheit $ Kuriosität $ sondern $ Mensch $ andere sowohl als sich selbst $ gut beurteilen und behandeln zu lernen $ zu lernen $ neu Blick in d eigen Innere und in d ganz Menschenwesen zu tun $ in seine ich Mangel und ebenso Fähigkeit zu entdecken $ von die wir bisher nichts wissen $ im Mensch überhaupt d allgemein $ allerwärts wiederkehrend $ wesenhaft Grundzug von d Zufälligkeit d Individuum unterscheiden $	10	0	Naturschnheit	Für dieſe wichtigſten Aufgaben halte ich nämlich nicht Beſichtigung von Naturſchönheiten , Sehenswürdigkeiten , Seltenheiten , Curioſitäten , ſondern : Menſchen , andere ſowohl als ſich ſelbſt , beſſer beurtheilen und behandeln zu lernen , zu lernen , neue Blicke in das eigene Innere und in das ganze Menſchenweſen zu thun , in ſeinem Ich Mängel und ebenſo Fähigkeiten zu entdecken , von denen wir bisher nichts wußten , im Menſchen überhaupt die allgemeinen , allerwärts wiederkehrenden , weſenhaften Grundzüge von den Zufälligkeiten des Individuums unterſcheiden :	michelis_reiseschule_1869-2463-10
daß d Naturschönheit und d Schönheit d inner Phantasiebild nur unvollkommen Form d Verwirklichung d Schöne sein $ welche d hoch in d Kunst als ihr Voraussetzung vorangehen $ diese sollen erst im System entwickeln $ nicht in d Definition vorwegnehmen werden $	2	0	Naturschnheit	Daß die Naturſchönheit und die Schönheit des innern Phantaſiebildes nur unvollkommene Formen der Verwirklichung des Schönen ſind , welche der höheren in der Kunſt als ihre Vorausſetzungen vorangehen : dies ſoll erſt im Syſteme entwickelt , nicht in der Definition vorweggenommen werden .	vischer_aesthetik01_1846-144-2
wie weit auch d unorganisch Natur im Reiche d wirklich Idee als Inhalt d Schöne berechtigen sein $ werden sich in d Lehre von d Naturschönheit zeigen $	25	0	Naturschnheit	Wie weit auch die unorganiſche Natur im Reiche der wirklichen Idee als Inhalt des Schönen berechtigt ſey , wird ſich in der Lehre von der Naturſchönheit zeigen .	vischer_aesthetik01_1846-806-25
wir gehen eine ander Weg und diese bringen es mit sich $ daß d $ bereits auf d weit System hinausweisen $ darauf nämlich $ daß d Naturschönheit bestimmen sein $ sich in d Phantasie und Kunst aufheben $	27	0	Naturschnheit	Wir gehen einen andern Weg und dieſer bringt es mit ſich , daß der §. bereits auf das weitere Syſtem hinausweist , darauf nämlich , daß die Naturſchönheit beſtimmt iſt , ſich in die Phantaſie und Kunſt aufzuheben .	vischer_aesthetik0201_1847-171-27
daß nun d Naturschönheit als eine schlechthin $ so scheinen es wenigstens vorerst $ vorgefinden $ unmittelbar und in d doppelt Sinn d $ $ objektiv Form d real Existenz d Schöne zuerst zu setzen sein $ sollen selbst von diejenige zugeben sein $ welche d Welt aus d Theismus konstruieren $ denn d Wendung stehen sie immer noch frei $ daß d göttlich Verstand und Wille beschließen haben $ d geistig Schöpfung d natürlich zur Voraussetzung zu geben $ und ebenso $ in d Sphäre d Schönheit $ d menschlich Künstlergeist d Naturschönheit als seine Vorlage voranschicken $	3	0	Naturschnheit	Daß nun die Naturſchönheit als eine ſchlechthin ( ſo ſcheint es wenigſtens vorerſt ) vorgefundene , unmittelbare und in dem doppelten Sinn des § . objective Form der realen Exiſtenz des Schönen zuerſt zu ſetzen ſei , ſollte ſelbſt von denjenigen zugegeben ſein , welche die Welt aus dem Theismus conſtruiren ; denn die Wendung ſteht ihnen immer noch frei , daß der göttliche Verſtand und Wille beſchloßen habe , der geiſtigen Schöpfung die natürliche zur Vorausſetzung zu geben , und ebenſo , in der Sphäre der Schönheit , dem menſchlichen Künſtlergeiſte die Naturſchönheit als ſeine Vorlage voranzuſchicken .	vischer_aesthetik0201_1847-155-3
d Naturschönheit diese Berg nehmen uns völlig in Anspruch $ und so werden wir erst am Ende gewahr $ daß wir d gut gastfreundlich Mönch zur Last fallen $	1	0	Naturschnheit	Die Naturſchönheiten dieſer Berge nahmen uns völlig in Anſpruch , und ſo wurden wir erſt am Ende gewahr , daß wir den guten gaſtfreundlichen Mönchen zur Laſt fielen .	humboldt_aequinoktial01_1859-3812-1
5. Provinz Setsu $ d volkreich und jetzt wichtig im Kinai $ steigen vom flach Strand zwischen Hiogo und Osaka zu 6--700 Meter hoch bewaldet Berg gen Westen empor und sein in diese Teil gleich Yamato und Yamashiro reich an Naturschönheit $	40	0	Naturschnheit	5. Provinz Setsu , die volkreichste und jetzt wichtigste im Kinai , steigt vom flachen Strande zwischen Hiogo und Ôsaka zu 6—700 Meter hohen bewaldeten Bergen gen Westen empor und ist in diesem Theile gleich Yamato und Yamashiro reich an Naturschönheiten .	rein_japan01_1881-7873-40
d bloß Innerlichkeit sein noch eine Mangel $ und während man meinen sollen $ diese Mangel werden eben durch d hoch Objektivität d Kunst tilgen $ so sein vielmehr d letzte und hoch Station d in d Welt schimmernd absolut Geist d Naturschönheit $	42	0	Naturschnheit	Die bloße Innerlichkeit iſt noch ein Mangel , und während man meinen ſollte , dieſer Mangel werde eben durch die höhere Objectivität der Kunſt getilgt , ſo iſt vielmehr die letzte und höchſte Station des in die Welt ſchimmernden abſoluten Geiſtes die Naturſchönheit .	vischer_aesthetik0201_1847-166-42
