sentence_lemma	sentence_token	target_index	original_word
er bemerken eine Abend Kerf in eine Richtung über seine Kopf wegfliegen $ singen einige und erkennen sie als klein Ohrwurm $	Er bemerkte eines Abends Kerfe in einer Richtung über seinen Kopf wegfliegen , sing einige und erkannte sie als kleine Ohrwürmer .	20	Ohrwurm
noch eine dritt Art $ d klein Ohrwurm $ forficula minor $ kommen ebenfalls in ganz Europa $ aber selten vor $ und werden seine gering Länge von 3 Linie wegen häufig übersehen $	Noch eine dritte Art , der kleine Ohrwurm ( Forficula minor ) kommt ebenfalls in ganz Europa , aber seltener vor , und wird seiner geringen Länge von 3 Linien wegen häufig übersehen .	7	Ohrwurm
daß d Ohrwurm ausschließlich Pflanzenfresser sein $ glauben ich nicht $ allerlei Anzeige bringen mich auf d Vermutung $ daß sie Fleischnahrung nicht verschmähen und auch in diese Beziehung d Grille und ander hüpfend Schrecken nahe stehen $	Daß die Ohrwürmer ausschließlich Pflanzenfresser seien , glaube ich nicht , allerlei Anzeigen bringen mich auf die Vermuthung , daß sie Fleischnahrung nicht verschmähen und auch in dieser Beziehung den Grillen und andern hüpfenden Schrecken nahe stehen .	2	Ohrwurm
dabei sein d Reichskörper wie d erst Prinzip d Moral oder wie Jungfernerde sehr unauflöslich $ ja setzen $ eine von wir nehmen eine Kurschwert und schneiden er damit wie eine Ohrwurm entzwei $ so werden sich d gezähnt Hälfte eben wie d gespalten Ohrwurm umkehren und d hinter rein aufspeisen $ und dann sein ja d gesamt verknüpfen Ohrwurm wieder da und satt dazu $	Dabei ist der Reichskörper wie das erste Princip der Moral oder wie Jungfernerde sehr unauflöslich ; ja gesetzt , einer von uns nähme ein Churschwerdt und schnitte ihn damit wie einen Ohrwurm entzwei , so würde sich die gezähnte Hälfte eben wie der gespaltene Ohrwurm umkehren und den Hinterrest rein aufspeisen — und dann wäre ja der gesammte verknüpfte Ohrwurm wieder da und satt dazu .	31	Ohrwurm
A von d Ohrwurm $ forficula $ $ b von eine Heuschrecke $ locusta $ $ c vom Hirschkäfer $ Lucanus $ $ d von eine Baumwanze $ pentatoma $ $ a hirnknoten. b fühlernerven. c augennerven. d brustknoten. e hinterleibsknoten $	A Von dem Ohrwurme ( Forficula ) ; B von einer Heuschrecke ( Locusta ) ; C vom Hirschkäfer ( Lucanus ) ; D von einer Baumwanze ( Pentatoma ) . a Hirnknoten. b Fühlernerven. c Augennerven. d Brustknoten. e Hinterleibsknoten .	3	Ohrwurm
wenn diese klein Ohrwurm keine abweichend Gewohnheit haben $ so bedeuten sonach d abendlich Flug d groß Art nicht d Anfang ihr Lebendigkeit $ sondern d Ende dieselbe und man dürfen sie nicht d nächtlich Tier beizählen $ obschon sie bei Tag d Licht scheuen $	Wenn dieser kleine Ohrwurm keine abweichenden Gewohnheiten hat , so bedeuten sonach die abendlichen Flüge der größeren Arten nicht den Anfang ihrer Lebendigkeit , sondern das Ende derselben und man dürfte sie nicht den nächtlichen Thieren beizählen , obschon sie bei Tage das Licht scheuen .	3	Ohrwurm
dabei sein d Reichskörper wie d erst Prinzip d Moral oder wie Jungfernerde sehr unauflöslich $ ja setzen $ eine von wir nehmen eine Kurschwert und schneiden er damit wie eine Ohrwurm entzwei $ so werden sich d gezähnt Hälfte eben wie d gespalten Ohrwurm umkehren und d hinter rein aufspeisen $ und dann sein ja d gesamt verknüpfen Ohrwurm wieder da und satt dazu $	Dabei ist der Reichskörper wie das erste Princip der Moral oder wie Jungfernerde sehr unauflöslich ; ja gesetzt , einer von uns nähme ein Churschwerdt und schnitte ihn damit wie einen Ohrwurm entzwei , so würde sich die gezähnte Hälfte eben wie der gespaltene Ohrwurm umkehren und den Hinterrest rein aufspeisen — und dann wäre ja der gesammte verknüpfte Ohrwurm wieder da und satt dazu .	31	Ohrwurm
d Kind werden d Genuß d Beere verleiden $ wenn eine Ohrwurm nach d ander aus d Dunkel d dicht gedrängt Weintraube herausspazieren $ d Kochin werfen entrüstet d Blumenkohl von sich $ wenn beim Abputz und Zergliedern d Kopf d braun Ungetüm mit seine drobenden Zange an d Tageslicht kommen $	Dem Kinde wird der Genuß der Beeren verleidet , wenn ein Ohrwurm nach dem andern aus dem Dunkel der dicht gedrängten Weintrauben herausspaziert ; die Köchin wirft entrüstet den Blumenkohl von sich , wenn beim Abputzen und Zergliedern des Kopfes das braune Ungethüm mit seinen drobenden Zangen an das Tageslicht kommt .	11	Ohrwurm
im Ohrwurm sein d ober Magenmund inwendig mit einige Zahn in zwei Reihe besetzen $	Im Ohrwurm ist der obere Magenmund inwendig mit einigen Zähnen in zwey Reihen besetzt .	1	Ohrwurm
1. $ Auricularia $ d Ohrwurm $ ohrlich $ Ohrhöhler $	1. †. Auricularia . der Ohrwurm , Oehrling , Ohrhöhler .	5	Ohrwurm
