sentence_lemma	sentence_token	index_lemma	index_token	lemma
daß man dabei d üblich Pachtzins zu Grund legen $ verstehen sich um so mehr von selbst $ als diese Steuer nur in Land $ wo Pachtung häufig sein $ in Anwendung kommen $ $ 492. $ $ 2 $	Daß man dabei den üblichen Pachtzins zu Grunde legt , versteht sich um so mehr von selbst , als diese Steuer nur in Ländern , wo Pachtungen häufig sind , in Anwendung kommt ( §. 492. ) . 2 )	5	5	Pachtzins
fast d meiste d in er besprechen Petition erstreben eine Abhilfe d partikulär Not $ Geldunterstützung $ erlassen von Pachtzins $ Erdledigung lästig Prozeß u. Dgl. M $	Fast die meisten der in ihm besprochenen Petitionen erstreben eine Abhülfe der partikulärsten Noth , Geldunterstützungen , Erlaß von Pachtzinsen , Erdledigung lästiger Prozesse u. dgl. m .	19	19	Pachtzins
3. d Graf dürfen d Waldschmied $ solange diese seine Verpflichtung nachkommen $ in d Pachtzins nicht steigern $	3. der Graf darf den Waldschmied , solange dieser seinen Verpflichtungen nachkommt , in dem Pachtzins nicht steigern ;	15	15	Pachtzins
solch auffallend Widerspruch haben man sich nicht scheuen eine Ricardo unterschieben $ obschon ganz deutlich aus seine Rentenlehre hervorgehen $ daß er von d entrichtet Rente sprechen $ welche vom Pachtzins ganz verschieden sein $ da diese auch Kapitalzins enthalten können für d mit d Boden verpachtet Kapital $	Solche auffallende Widersprüche hat man sich nicht gescheut einem Ricardo unterzuschieben , obschon ganz deutlich aus seiner Rentenlehre hervorgeht , daß er von der entrichteten Rente spricht , welche vom Pachtzinse ganz verschieden ist , da dieser auch Capitalzins enthalten kann für das mit dem Boden verpachtete Capital .	30	30	Pachtzins
aber c $ d ausbedingen Grundrente oder d Pachtzins $ er werden ganz oder zum Teil in Geld und zum Teil in Naturalien entrichten $ sein nichts als eine Preis für d gestaltet Bodenbenutzung und richten sich also nach d Preisregulator $ nämlich nach d Wert d Nutzung $ nach d zum Bezug d Ertrag zu machend Kostenauslage $ nach d Zahlfähigkeit d Pachter $ nach d üblich Pachtzins $ nach d Konkurrenzverhältnis $ und nach d Geldwerthe6 $ $	Aber c ) die ausbedungene Grundrente oder der Pachtzins , er werde ganz oder zum Theile in Geld und zum Theile in Naturalien entrichtet , ist nichts als ein Preis für die gestaltete Bodenbenutzung und richtet sich also nach den Preisregulatoren , nämlich nach dem Werthe der Nutzung , nach den zum Bezuge des Ertrages zu machenden Kostenauslagen , nach der Zahlfähigkeit des Pachters , nach dem üblichen Pachtzinse , nach den Concurrenzverhältnissen , und nach dem Geldwerthe6 ) .	8	8	Pachtzins
d Lumpen mögen indessen gar zu gern etwas zu naschen bekommen durch d Pachtzins $ was sie freilich mit d Verkaufssumme auch tun können $ allein wir werden wir hüten $ dasselbe zu hoch hinauf zu treiben und wir wissen dann doch was wir haben und wer d Land gehören $ $	Die Lumpen möchten indessen gar zu gern etwas zu naschen bekommen durch den Pachtzins , was sie freilich mit der Verkaufssumme auch thun könnten ; allein wir würden uns hüten , dasselbe zu hoch hinauf zu treiben und wir wüßten dann doch was wir hätten und wem das Land gehört ! «	13	13	Pachtzins
für diese sprechen d Vorteil groß Landgut $ $ 432. $ $ d groß Fähigkeit groß Gutspächter zur Ertragung von Unglücksfall ohne Staatsremission und d besondere Vereinfachung d Staatsdomänenverwaltung $ dagegen aber werden geltend machen d gering Konkurrenz d Pächter für so groß Gut $ daher d Verlust d aus groß Konkurrenz erfolgend Steigerung d Pachtzins $ d Schwierigkeit d Trennung und Aufhebung d bäuerlich Last $ die d Pachter gegeben Spielraum zur Ausübung seine Gewalt und Laune auf d Untertan $ d Unausführbarkeit eine gleich Sorgfalt für alle $ besonders d entfernt $ Gutsteile und d Ungegründetheit d Hoffnung auf d leicht Ertragung von Unglücksfall durch Generalpächter $	Für diese sprechen die Vortheile großer Landgüter ( §. 432. ) , die größere Fähigkeit großer Gutspächter zur Ertragung von Unglücksfällen ohne Staatsremissionen und die besondere Vereinfachung der Staatsdomänenverwaltung ; dagegen aber wird geltend gemacht die geringere Concurrenz der Pächter für so große Güter , daher der Verlust der aus großer Concurrenz erfolgenden Steigerung des Pachtzinses , die Schwierigkeit der Trennung und Aufhebung der bäuerlichen Lasten , der dem Pachter gegebene Spielraum zur Ausübung seiner Gewalt und Laune auf die Unterthanen , die Unausführbarkeit einer gleichen Sorgfalt für alle , besonders die entfernteren , Gutstheile und die Ungegründetheit der Hoffnung auf die leichtere Ertragung von Unglücksfällen durch Generalpächter .	55	55	Pachtzins
93. Uebers. von v. Th. Vi. 73. allein man sein d Meinung $ es sein wenige Mensch so vermögend und einflußreich $ daß man sie d Post anvertrauen können $ und eine Privatunternehmer werden jede ansehnlich Monopolgewinn in Anspruch nehmen $ während d Staat eine klein Pachtzins erhalten werden und d Benutzer d Post hoch Porto bezahlen müssen $ auch können Privatunternehmer fremd Einfluß zugänglich sein und d Staatskorrespondenz belauern $ Rau Iii. $ 210. $ $	93. Uebers. von v. Th. VI. 73. Allein man ist der Meinung , es seien wenige Menschen so vermögend und einflußreich , daß man ihnen die Post anvertrauen könne , und ein Privatunternehmer würde jeden ansehnlichen Monopolgewinn in Anspruch nehmen , während der Staat einen kleinen Pachtzins erhalten würde und die Benutzer der Post hohes Porto bezahlen müßten ; auch könnten Privatunternehmer fremdem Einflusse zugänglich sein und die Staatscorrespondenz belauern ( Rau III. §. 210. ) .	46	46	Pachtzins
sein keine Kapital im und auf d Boden mit verpachten $ so sein jen Rest d hoch Satz d Pachtzins $	Ist kein Capital im und auf dem Boden mit verpachtet , so ist jener Rest der höchste Satz des Pachtzinses .	19	19	Pachtzins
benutzen d Eigentümer diese Naturkraft selbst $ dann werden d genennt Einkommen Grundrente im eigentlich Sinn $ natürlich Grundrente $ nennen $ überlassen er sie aber eine ander zur Benutzung und empfangen er hierfür eine Vergütung $ so heißen dieselbe Pachtzins $ ausbedingen Grundrente $ $	Benutzt der Eigenthümer diese Naturkräfte selbst , dann wird das genannte Einkommen Grundrente im eigentlichen Sinne ( natürliche Grundrente ) genannt ; überläßt er sie aber einem Andern zur Benutzung und empfängt er hierfür eine Vergütung , so heißt dieselbe Pachtzins ( ausbedungene Grundrente ) .	40	40	Pachtzins
d Verpachtung sein jedoch nur möglich $ wenn zu eine Handlung eine hinreichend Kapital an Gewerbeseinrichtung vorhanden sein $ es können sich aber hier d Beweis vorfinden $ daß Privilegium und eine Kundschaft als wahr Kapital zu betrachten sein $ indem d Pachtzins $ wenn diese garantieren sein $ um eine Bedeutende steigen $	Die Verpachtung ist jedoch nur möglich , wenn zu einer Handlung ein hinreichendes Capital an Gewerbseinrichtungen vorhanden ist ; es kann sich aber hier der Beweis vorfinden , daß Privilegien und eine Kundschaft als wahre Capitalien zu betrachten sind , indem der Pachtzins , wenn diese garantirt sind , um ein Bedeutendes steigt .	42	42	Pachtzins
d staats- und Kirchengut müssen parzellenweise zu eine mäßigen Pachtzins an d Arme in Zeitpacht austuen werden $	Die Staats- und Kirchengüter müssen parzellenweise zu einem mäßigen Pachtzins an die Armen in Zeitpacht ausgethan werden .	9	9	Pachtzins
mit diese Vertrag machen d Pächter schlecht Geschäft $ und müssen d Hütte am 7. September 1713 anderweit verpachten und d Pachtzins heruntersetzen werden $	Mit diesem Vertrage machte der Pächter schlechte Geschäfte , und musste die Hütte am 7. September 1713 anderweit verpachtet und der Pachtzins heruntergesetzt werden .	21	21	Pachtzins
sein nicht heute noch d Herz jede Edeldenkende auf Seite Solon $ wenn er d Schuldverhältnis d unter Klasse Athens ordnen $ ihr Schuld reduzieren $ sein wir nicht heute noch alle auf Seite d landfordernd Plebejer in Rom $ auf Seite jen spät kaiserlich Gesetz $ welche verbieten $ d Kolone d Pachtzins weiter zu erhöhen $	Ist nicht heute noch das Herz jedes Edeldenkenden auf Seite Solon’s , wenn er die Schuldverhältnisse der untern Klassen Athens ordnet , ihre Schulden reduzirt ; sind wir nicht heute noch alle auf Seite der landfordernden Plebejer in Rom , auf Seite jener späteren kaiserlichen Gesetze , welche verboten , dem Kolonen den Pachtzins weiter zu erhöhen ?	53	53	Pachtzins
v. Malchus I. $ 22. sein d Ansicht $ man sollen d Pachtzins in Geld fordern und sich er so $ selbst wenn er in Rohprodukt fixieren sein $ bezahlen lassen $	v. Malchus I. §. 22. ist der Ansicht , man solle den Pachtzins in Geld fordern und sich ihn so , selbst wenn er in Rohproducten fixirt sei , bezahlen lassen .	12	12	Pachtzins
d Rente aus d Verpachtung von Grundstück heißen Pachtzins $	Die Rente aus der Verpachtung von Grundstücken heißt Pachtzins .	8	8	Pachtzins
aber c $ d ausbedingen Grundrente oder d Pachtzins $ er werden ganz oder zum Teil in Geld und zum Teil in Naturalien entrichten $ sein nichts als eine Preis für d gestaltet Bodenbenutzung und richten sich also nach d Preisregulator $ nämlich nach d Wert d Nutzung $ nach d zum Bezug d Ertrag zu machend Kostenauslage $ nach d Zahlfähigkeit d Pachter $ nach d üblich Pachtzins $ nach d Konkurrenzverhältnis $ und nach d Geldwerthe6 $ $	Aber c ) die ausbedungene Grundrente oder der Pachtzins , er werde ganz oder zum Theile in Geld und zum Theile in Naturalien entrichtet , ist nichts als ein Preis für die gestaltete Bodenbenutzung und richtet sich also nach den Preisregulatoren , nämlich nach dem Werthe der Nutzung , nach den zum Bezuge des Ertrages zu machenden Kostenauslagen , nach der Zahlfähigkeit des Pachters , nach dem üblichen Pachtzinse , nach den Concurrenzverhältnissen , und nach dem Geldwerthe6 ) .	8	8	Pachtzins
nach Sinclair $ Grundgesetz d Ackerbau Seite 558 $ tragen eine Acre Gartenland in d Nähe von London an Pachtzins 10 Pf. Sterling an Armentaxe $ zehnt und ander Abgabe 8 Pf. zusammen also 18 Pf. Sterling $ diese machen für 100 □ R. ungefähr 58 Taler $	Nach Sinclair ( Grundgesetze des Ackerbaues Seite 558 ) trägt ein Acre Gartenland in der Nähe von London an Pachtzins 10 Pf. Sterling an Armentaxen , Zehnten und andern Abgaben 8 Pf. zusammen also 18 Pf. Sterling ; dies macht für 100 □ R. ungefähr 58 Thaler .	19	19	Pachtzins
d Erbezinsverleihung $ d. h. Überlaßung d vollständig erblich Eigentum d Nutzung am Gut unter Vorbehalt d Obereigentum $ zu die bloß Anerkennung eine sich nicht nach d Gutsertrag oder üblich Pachtzins richtend Abgabe $ Erbenzins $ jährlich bezahlen werden müssen $	Die Erbzinsverleihung , d. h. Ueberlassung des vollständigen erblichen Eigenthums der Nutzung am Gute unter Vorbehalt des Obereigenthums , zu dessen bloßer Anerkennung eine sich nicht nach dem Gutsertrage oder üblichen Pachtzinse richtende Abgabe ( Erbenzins ) jährlich bezahlt werden muß .	31	31	Pachtzins
spät werden d Pachtzins wahrscheinlich ausschließlich in Geld leisten $ weshalb wir von eine Kasse sprechen hören $ die sich auf d Schulzenhof in Kienbaum befinden und daselbst verwalten werden $	Später wurde der Pachtzins wahrscheinlich ausschließlich in Geld geleistet , weshalb wir von einer Kasse sprechen hören , die sich auf dem Schulzenhof in Kienbaum befand und daselbst verwaltet wurde .	3	3	Pachtzins
d loyal Pächter müssen ja seine Pachtzins bezahlen und auch noch etwas verdienen $	Der loyale Pächter muß ja seinen Pachtzins bezahlen und auch noch etwas verdienen .	6	6	Pachtzins
d weitläufig Grund sein Eigentum d Regierung $ werden aber von diese gegen eine Pachtzins von eine Shilling per Jahr d Gemeinde überlassen $	Der weitläufige Grund ist Eigenthum der Regierung , wird aber von dieser gegen einen Pachtzins von einem Shilling per Jahr der Gemeinde überlassen .	14	14	Pachtzins
nun sein d Pachtzins zwar noch keine rein Landrente $ sondern von d Pacht müssen d Zins d in d Glasfenster $ d Bewehrung u. s. W. steckend Kapital abziehen werden $ um d wirklich Landrente zu finden $ aber diese Zins können sehr beträchtlich sein $ und d rein Nutzung d Boden überwiegen doch noch d $ welche wir für d isoliert Staat finden haben $	Nun ist der Pachtzins zwar noch keine reine Landrente , sondern von der Pacht müssen die Zinsen des in den Glasfenstern , den Bewehrungen u. s. w. steckenden Kapitals abgezogen werden , um die wirkliche Landrente zu finden ; aber diese Zinsen können sehr beträchtlich seyn , und die reine Nutzung des Bodens überwiegt doch noch die , welche wir für den isolirten Staat gefunden haben .	3	3	Pachtzins
wichtig Punkt dabei sein $ d Länge d Pachtzeit $ d Größe d Pachtzins $ d Termin seine Zahlung $ d Gewährleistung d Pachter $ d Veränderung d Pachtstück $ d Behandlung d Untergebene $ d Zession d Pacht $ d Art d Übernahme und d Unterhaltung d kapital $ d Art und Höhe d Kaution $ d Remission $ total und partial $ $ und d Aufstellung eine sorgfältig Inventarium über alle zum Gut gehörig und übernehmen Realität $	Wichtige Punkte dabei sind : die Länge der Pachtzeit , die Größe des Pachtzinses , die Termine seiner Zahlung , die Gewährleistung des Pachters , die Veränderungen der Pachtstücke , die Behandlung der Untergebenen , die Cession der Pacht , die Art der Uebernahme und die Unterhaltung des Kapitales , die Art und Höhe der Caution , die Remissionen ( totale und partiale ) , und die Aufstellung eines sorgfältigen Inventariums über alle zum Gute gehörige und übernommene Realitäten .	13	13	Pachtzins
d fromm Staat haben er an eine loyal Untertan verpachten $ die seine Pachtzins an er herausschlagen suchen und er für schwer Geld schlecht Essen und noch schlecht Bier liefern $	Der fromme Staat hat ihn an einen loyalen Unterthanen verpachtet , der seinen Pachtzins an ihm herauszuschlagen sucht und ihm für schweres Geld schlechtes Essen und noch schlechteres Bier liefert .	13	13	Pachtzins
