sentence_lemma	sentence_token	target_index	original_word
damit aber auch auf d bereits angestellt Schullehrer $ welche entweder überall d Nachhülfe bedürfen $ oder in ihr Bildung und Amtsgeschicklichkeit nicht fortschreiten $ vielleicht gar zurückgehen $ d wohltätig Einfluß d Seminar sich verbreiten $ sollen dergleichen Lehrer auf lang oder kurz Zeit $ je nachdem es sie Not tun $ in d Hauptseminar zurückrufen werden $ um entweder eine ganz methodologisch Kursus durchmachen $ oder sich in einzeln Lehrfach nachüben $ oder auch in eine gewiß Disziplinarverhältnis nehmen zu werden $ indem sie bei d Übungsschule d Seminar beschäftigen sein $	Damit aber auch auf die bereits angestellten Schullehrer , welche entweder überall der Nachhülfe bedürfen , oder in ihrer Bildung und Amtsgeschicklichkeit nicht fortschreiten , vielleicht gar zurückgehen , der wohlthätige Einfluß des Seminars sich verbreite , sollen dergleichen Lehrer auf längere oder kürzere Zeit , je nachdem es ihnen Noth thut , in das Hauptseminar zurückgerufen werden , um entweder einen ganzen methodologischen Cursus durchzumachen , oder sich in einzelnen Lehrfächern nachzuüben , oder auch in ein gewisses Disciplinarverhältniß genommen zu werden , indem sie bei der Uebungsschule des Seminars beschäftigt sind .	33	Seminar
6. eine solch Abgangszeugnis sollen d Entlaßene zwar d Anstellungsfähigkeit $ allein für es erst nur auf 3 Jahr erteilen $ nach die Ablauf d Inhaber sich zu eine abermalig Prüfung im Seminar zu stellen haben $	6. Ein solches Abgangszeugniß soll dem Entlassenen zwar die Anstellungsfähigkeit , allein für ’s Erste nur auf 3 Jahre ertheilen , nach deren Ablauf der Inhaber sich zu einer abermaligen Prüfung im Seminar zu stellen hat .	32	Seminar
doch sein d autodidaktisch Bildung noch zulassen $ und d Seminar dauern nur zwei Jahr $	Doch ist die autodidaktische Bildung noch zugelassen , und das Seminar dauert nur zwei Jahre .	10	Seminar
zwar werden diese Orden nicht eigentlich eine Seminar von Priester $ dazu sein er niemals zahlreich genug $ allein er bilden sich zu eine Seminar von Bischof aus $	Zwar wurde dieser Orden nicht eigentlich ein Seminar von Priestern : dazu war er niemals zahlreich genug : allein er bildete sich zu einem Seminar von Bischöfen aus .	7	Seminar
Diesterweg denken zu klug $ zu ruhig um in d Religionsunterricht seine Seminar d hergebringt Form geradezu zu verlassen $ doch eine lebendig Freude an d christlich Offenbarung können er seine Zögling nicht erwecken $	Diesterweg dachte zu klug , zu ruhig um in dem Religionsunterrichte seines Seminars die hergebrachten Formen gradezu zu verlassen ; doch eine lebendige Freude an der christlichen Offenbarung konnte er seinen Zöglingen nicht erwecken .	12	Seminar
12. Teil um d oben angegeben Zweck Willen $ teils um überhaupt mit d Beschaffenheit und d Bedürfnis d Schulwesen ihr Bezirk genau bekennen zu werden $ sollen d Seminardirektor alljährlich während d Ferien eine Teil d Regierungsbezirk oder d Provinz $ wofür in ihr Anstalten Lehrer bilden werden $ kommissarisch zur Untersuchung d Landschule bereisen $ und von ihr Beobachtung und Erfahrung d betr. Regierung eine Bericht $ die auch abschriftlich d Provinzial-Schul-Collegio einreichen sein $ erstatten $ damit danach d Nötige veranlassen $ und namentlich diejenige Lehrer $ auf welche d Bestimmung im vorig Abschnitt 11. sich beziehen $ in d Seminar einberufen werden können $	12. Theils um des oben angegebenen Zweckes willen , theils um überhaupt mit der Beschaffenheit und den Bedürfnissen des Schulwesens ihres Bezirkes genau bekannt zu werden , sollen die Seminardirectoren alljährlich während der Ferien einen Theil des Regierungsbezirkes oder der Provinz , wofür in ihren Anstalten Lehrer gebildet werden , commissarisch zur Untersuchung der Landschulen bereisen , und von ihren Beobachtungen und Erfahrungen der betr. Regierung einen Bericht , der auch abschriftlich dem Provinzial-Schul-Collegio einzureichen ist , erstatten , damit danach das Nöthige veranlaßt , und namentlich diejenigen Lehrer , auf welche die Bestimmung im vorigen Abschnitt 11. sich bezieht , in die Seminare einberufen werden können .	103	Seminar
d jung Crispi nehmen $ da zu seine Verwandtschaft eine paar Priester zählen $ zunächst eine geistlich Seminar auf und d spät Freidenker versuchen sein poetisch Talent zunächst in religiös Stimmungsdichtung $ eine Werdegang $ mit die er nicht allein auf d Welt stehen $	Den jungen Crispi nahm , da zu seiner Verwandtschaft ein paar Priester zählten , zunächst ein geistliches Seminar auf und der spätere Freidenker versuchte sein poetisches Talent zunächst in religiösen Stimmungsdichtungen : ein Werdegang , mit dem er nicht allein auf der Welt steht .	17	Seminar
d scharf bureaukratischen Kirchenpolitik d König treten d Klerus mit offenbar Unbotmäßigkeit entgegen $ wieder wie in Kaiser Josephs Tag klagen er über Glaubensdruck weil d Staatsgewalt eine geistlich Seminar in Löwe errichten haben $	Der scharf bureaukratischen Kirchenpolitik des Königs trat der Clerus mit offenbarer Unbotmäßigkeit entgegen ; wieder wie in Kaiser Joseph’s Tagen klagte er über Glaubensdruck weil die Staatsgewalt ein geistliches Seminar in Löwen errichtet hatte .	29	Seminar
da diese Bestimmung nicht überall pünktlich zur Ausführung kommen sein $ so sehen d Ministerium sich veranlassen $ d genau Befolgung dieselbe um so mehr in Erinnerung zu bringen $ als es im wesentlich Interesse d Königl. Regierung selbst liegen $ daß d Seminar-Direktor fortwähren von d wirklich Zustand d Elementarschulwesen in Kenntnis erhalten werden und Gelegenheit finden $ sich von d Resultat d Wirksamkeit d Seminar selbst zu überzeugen $ damit in diese $ neben d theoretisch Ausbildung d Zögling $ auch d praktisch Fähigkeit dieselbe stets d erforderlich Berücksichtigung finden $	Da diese Bestimmung nicht überall pünktlich zur Ausführung gekommen ist , so sieht das Ministerium sich veranlaßt , die genaue Befolgung derselben um so mehr in Erinnerung zu bringen , als es im wesentlichen Interesse der Königl. Regierungen selbst liegt , daß die Seminar-Directoren fortwährend von dem wirklichen Zustande des Elementarschulwesens in Kenntniß erhalten werden und Gelegenheit finden , sich von den Resultaten der Wirksamkeit der Seminare selbst zu überzeugen , damit in diesen , neben der theoretischen Ausbildung der Zöglinge , auch die praktische Fähigkeit derselben stets die erforderliche Berücksichtigung finde .	66	Seminar
Lobeck kämpfen in seine philologisch Seminar mit Erfolg gegen alle romantisch Einfall $ die seine Wissenschaft zu nahe treten $ er gelten als Republikaner $ da er ohnehin mehr in Rom und Athen $ als in Königsberg leben $	Lobeck kämpfte in seinem philologischen Seminar mit Erfolg gegen alle romantischen Einfälle , die seiner Wissenschaft zu nahe traten ; er galt als Republikaner , da er ohnehin mehr in Rom und Athen , als in Königsberg lebte .	5	Seminar
diese Einrichtung gewähren d Vorteil $ daß man jedesmal solch Subjekt zusammen einberufen können $ die ungefähr auf gleich Stufe stehen $ daß d Gegenstand selbst gründlich und vollständig durchnehmen werden $ daß d Einzelne gut beobachten und ihr be- sondern Bedürfnis gemäß behandeln werden können $ und daß nicht alle Seminarlehrer zugleich $ zum Nachteil d eigentlich Zögling d Anstalt $ sondern immer nur vorzugsweise diejenige $ welche d zu behandelnd Gegenstand auch im Seminar zuteilen sein $ in Anspruch nehmen werden $	Diese Einrichtung gewährt den Vortheil , daß man jedesmal solche Subjecte zusammen einberufen kann , die ungefähr auf gleicher Stufe stehen ; daß der Gegenstand selbst gründlicher und vollständiger durchgenommen wird ; daß die Einzelnen besser beobachtet und ihren be- sondern Bedürfnissen gemäß behandelt werden können ; und daß nicht alle Seminarlehrer zugleich , zum Nachtheil der eigentlichen Zöglinge der Anstalt , sondern immer nur vorzugsweise derjenige , welchem der zu behandelnde Gegenstand auch im Seminar zugetheilt ist , in Anspruch genommen wird .	75	Seminar
7. es werden künftighin keine Lehrer mehr anstellen an Gymnasium $ hoch bürger- und Stadtschule $ Seminar und Kriegsschule und an d Elementarschule $ die nicht einigermaßen d Turnunterricht zu leiten verstehen $	7. Es wird künftighin kein Lehrer mehr angestellt an Gymnasien , höheren Bürger- und Stadtschulen , Seminaren und Kriegsschulen und an den Elementarschulen , der nicht einigermaßen den Turnunterricht zu leiten versteht .	16	Seminar
wir sein Jugendfreund $ welche sonderbar scheinen können $ da er in Lumpenhausen d Gymnasium besuchen $ während ich auf d Seminar mich zum Schulmeisterlein einpuppen $	Wir sind Jugendfreunde , welches sonderbar scheinen kann , da er in Lumpenhausen das Gymnasium besuchte , während ich auf dem Seminar mich zum Schulmeisterlein einpuppte .	21	Seminar
außerdem $ daß er allgemein für eine wacker Gelehrte in d Theologie gelten $ so $ daß er mit Leichtigkeit und Tiefe d schwierig Materie abhandeln wissen $ und sich d Professor d Seminar oft bei er Rat und Belehrung holen $ sein er auch mehr $ als man es wohl eine Klostergeistliche zutrauen können $ für d Welt ausbilden $	Außerdem , daß er allgemein für einen wackern Gelehrten in der Theologie galt , so , daß er mit Leichtigkeit und Tiefe die schwierigsten Materien abzuhandeln wußte , und sich die Professoren des Seminars oft bei ihm Rath und Belehrung holten , war er auch mehr , als man es wohl einem Klostergeistlichen zutrauen kann , für die Welt ausgebildet .	33	Seminar
man nennen es d Seminar alle Nation $ gleich bei d erst Gründung lassen man $ um zu bezeichnen $ wie d Absicht d ganz Welt umfassen $ 25 Rede in verschieden Sprache halten $ und zwar eine jede sogleich mit lateinisch Verdolmetschung $	man nannte es das Seminar aller Nationen ; gleich bei der ersten Gründung ließ man , um zu bezeichnen , wie die Absicht die ganze Welt umfasse , 25 Reden in verschiedenen Sprachen halten , und zwar eine jede sogleich mit lateinischer Verdolmetschung .	4	Seminar
in d theologisch Schule unsere Mission geschehen d Unterricht in deutsch oder englisch Sprache und auch bei d Aufnahme von Zögling in d theologisch Seminar d Amerikaner sein d erst Bedingung d Kenntnis d Englische $ so zwar daß sie eine Vortrag zu folgen im Stande sein $	In der theologischen Schule unserer Mission geschieht der Unterricht in deutscher oder englischer Sprache und auch bei der Aufnahme von Zöglingen in die theologischen Seminare der Amerikaner ist die erste Bedingung die Kenntnis des Englischen , so zwar daß sie einem Vortrag zu folgen im stande sind .	24	Seminar
nach d Ausfall diese Prüfung und vorzüglich nach d von d Direktor und sämtliche Lehrer d Seminar über d Geprüfte noch besonders zu erteilend und zu berücksichtigend genau und gewissenhaft Auskunft $ sollen eine jede Entlaßene eine Abgangszeugnis von d Direktor und d Lehrer ausstellen $ und von d Königl. Kommissarius vollziehen werden $	Nach dem Ausfalle dieser Prüfungen und vorzüglich nach der von dem Director und sämmtlichen Lehrern des Seminars über die Geprüften noch besonders zu ertheilenden und zu berücksichtigenden genauen und gewissenhaften Auskunft , soll einem jeden Entlassenen ein Abgangszeugniß von dem Director und den Lehrern ausgestellt , und von den Königl. Commissarien vollzogen werden .	16	Seminar
21. Circ.-Rescr. v. 22. März 1844 $ $ M.-Bl. S. 103. $ $ Betr. d Ableistung d Militairpflicht seitens d in d Seminar zu Gnadenfeld ausgebildet Lehrer $	21. Circ.-Rescr. v. 22. März 1844 . ( M.-Bl. S. 103. ) , betr. die Ableistung der Militairpflicht Seitens der in dem Seminar zu Gnadenfeldt ausgebildeten Lehrer .	22	Seminar
d Seminar geben nun eine eng begrenzt $ abgeschließen Wissen und zwar zum groß Teil in fertig Resultat $ dazu eine schätzenswert Routine in d Handhabung und Weiterlieferung dieselbe und eine tüchtig methodisch Schulung $ die d seminaristisch gebildet Lehrer auf manche Gebiet d akademisch gebildet überlegen machen $ es setzen seine Schüler in d Stand $ Fertigkeit beibringen $ d begriffs- und Urteilsvermögen bis zu eine gewiß Grad zu bilden und diejenige positiv Tatsache zu überliefern $ die als Grundlage d allgemein Bildung dienen sollen $	Das Seminar giebt nun ein eng begrenztes , abgeschlossenes Wissen und zwar zum größten Teil in fertigen Resultaten , dazu eine schätzenswerte Routine in der Handhabung und Weiterlieferung desselben und eine tüchtige methodische Schulung , die den seminaristisch gebildeten Lehrer auf manchem Gebiet dem akademisch gebildeten überlegen macht ; es setzt seine Schüler in den Stand , Fertigkeiten beizubringen , das Begriffs- und Urteilsvermögen bis zu einem gewissen Grade zu bilden und diejenigen positiven Thatsachen zu überliefern , die als Grundlage der allgemeinen Bildung dienen sollen .	1	Seminar
Nr. 3. $ Betr. d Errichtung eine mit d Seminar zu Stettin zu verbindend Taubstummen-Schule $	Nr. 3. , betr. die Errichtung einer mit dem Seminar zu Stettin zu verbindenden Taubstummen-Schule .	9	Seminar
