sentence_lemma	sentence_token	target_index	original_word
Walten können auf keine Weise fassen $ wie bei so mündlich lebendig Darstellung d lebendig beinahe mündlich Natur als seine sein $ eine Schnepfe mit alle seine Album Graecum noch einige Sensation zu machen im Stand sein $	Walt konnte auf keine Weise fassen , wie bei so mündlicher lebendiger Darstellung der lebendigen beinahe mündlichen Natur als seine war , ein Schnepfe mit allem seinem Album graecum noch einige Sensazion zu machen im Stande sei .	31	Sensation
mit solch unschädlich Torheit vergeuden wir d schön Zeit $ wobei keine einfallen sein $ daß aus unsere Kreis zufällig etwas ausgehen werden $ welches allgemein Sensation erregen und uns nicht in d gut Leumund bringen sollen $	Mit solchen unschädlichen Thorheiten vergeudeten wir die schöne Zeit , wobey keinem eingefallen wäre , daß aus unserem Kreis zufällig etwas ausgehen würde , welches allgemeine Sensation erregen und uns nicht in den besten Leumund bringen sollte .	26	Sensation
d Gerücht werden vielfach glauben und erregen begreiflicherweise in alle Kreis d Bevölkerung groß Sensation $	Das Gerücht wurde vielfach geglaubt und erregte begreiflicherweise in allen Kreisen der Bevölkerung große Sensation .	14	Sensation
d Sensation $ welche d österreichisch Einfall in Ferrarum in d Constituante hervorrufen $ sein unbeschreiblich $	Die Sensation , welche der östreichische Einfall in Ferrara in der Constituante hervorruft , ist unbeschreiblich .	1	Sensation
groß Sensation in Europa $ groß Entrüstung in England $ Wellington schäumen $ selbst Aberdeen weisen in eine Depesche d Gefahr nach $ die hinter jede einzeln Friedensklausel lauern $ und versuchen eine allgemein Allianz hervorrufen $ wodurch alle Großmacht $ Rußland einschließen $ d Frieden im Orient garantieren werden $	Große Sensation in Europa , große Entrüstung in England ; Wellington schäumte ; selbst Aberdeen wies in einer Depesche die Gefahr nach , die hinter jeder einzelnen Friedensklausel lauerte , und versuchte eine allgemeine Allianz hervorzurufen , wodurch alle Großmächte ( Rußland eingeschlossen ) den Frieden im Orient garantiren würden .	1	Sensation
diese Resultat werden mit Bravo und immens Sensation begrüßen $	Dies Resultat wurde mit Bravo's und immenser Sensation begrüßt .	7	Sensation
so gehen d Ankündigung im 16. Jahrhundert auf Aktualität und dadurch auf Sensation $ $ neu Lied $ $ $ neu Zeitung $ $	So gehen die Ankündigungen im 16. Jahrhundert auf Actualität und dadurch auf Sensation : „ Neues Lied “ , „ Neue Zeitung “ .	12	Sensation
ja $ d Teufel $ die doch sicher eine berühmt Mann sein $ können durch sein Erscheinen nicht mehr Sensation machen $ als d berüchtigt Mitglied d provisorisch Gouvernement $	Ja , der Teufel , der doch sicher ein berühmter Mann ist , könnte durch sein Erscheinen nicht mehr Sensation machen , als das berüchtigte Mitglied des provisorischen Gouvernements .	19	Sensation
genug $ d alt Herzogin sterben und ihr Tod erregen groß Sensation $ da man d Herzogin allgemein für unsterblich halten $	Genug , die alte Herzogin starb und ihr Tod erregte große Sensation , da man die Herzogin allgemein für unsterblich hielt .	11	Sensation
$ nicht gering Sensation erregen in Havre eine Befehl d Pariser Gerichtshof $ eine Fremde zu verhaften $ die De Chambord heißen und im Hotel De France am Grand Ouai wohnen $	‒ Nicht geringe Sensation erregt in Havre ein Befehl des Pariser Gerichtshofes , einen Fremden zu verhaften , der De Chambord heiße und im Hotel de France am Grand Ouai wohne .	3	Sensation
aber doch wohl noch etwas andere erwarten sie davon $ d groß Sensation d Leben $ $ glauben sie nicht $ $ vor alle d Sensation $ $	Aber doch wohl noch etwas andres erwartet ihr davon : die große Sensation des Lebens , — glauben Sie nicht ? — vor allem die Sensation . “	12	Sensation
besonders bei d Dame machen es Sensation $ wie d Kaiser so zart $ so liebevoll d Kaiserin auf d baldig Tod ihr alt $ vertraut Kammerfrau vorbereiten haben $ und wie sie gleich eine Kind an seine Brust weinen und ruhig werden sein $	Besonders bei den Damen machte es Sensation , wie der Kaiser so zart , so liebevoll die Kaiserin auf den baldigen Tod ihrer ältesten , vertrautesten Kammerfrau vorbereitet hätte , und wie sie gleich einem Kind an seiner Brust geweint und ruhiger geworden sei .	6	Sensation
7. haben d König Otto von Griechenland auf d Schiff mit englisch Offizier eine Quadrille tanzen und sowohl in Neapel als in Korfu $ nicht gering Sensation bei d schön Geschlecht erregen $ und haben d König von Bayern auf untertänig Bitte d Grenzepatriot erlauben $ daß an d Stelle $ wo König Otto d bairisch-tirolisch Grenze überschreiten $ und wohin er d folgend Tag zurückkehren sein $ um Abschied von seine lieb Vaterland zu nehmen $ welche er d vorig Tag zu tun vergessen $ weil er vor Rührung einschlafen sein $ haben erlauben $ daß zum ewig Andenken diese Rührung $ diese Schlaf und diese Abschied $ an d dreimal gesegnet Stelle durch freiwillig Beitrag d jung Wittelsbacher eine Kapelle erbauen werden $ jetzt schon d zweit $ so daß sehr zu vermuten sein $ d neu Baierthum werden bald d alt Christentum verdrängen $ zwar	7. Hat der König Otto von Griechenland auf dem Schiffe mit englischen Offizieren eine Quadrille getanzt und sowohl in Neapel als in Corfu : nicht geringe Sensation bei dem schönen Geschlechte erregt — und hat der König von Baiern auf unterthänigste Bitte der Grenzpatrioten erlaubt , daß an der Stelle , wo König Otto die baierisch-tyrolische Grenze überschritten , und wohin er den folgenden Tag zurückgekehrt war , um Abschied von seinem lieben Vaterlande zu nehmen , welches er den vorigen Tag zu thun vergessen , weil er vor Rührung eingeschlafen war — hat erlaubt , daß zum ewigen Andenken dieser Rührung , dieses Schlafes und dieses Abschieds , an der dreimal gesegneten Stelle durch freiwillige Beiträge dem jungen Wittelsbacher eine Kapelle erbaut werde — jetzt schon die zweite — so daß sehr zu vermuthen ist , das neue Baierthum werde bald das alte Christenthum verdrängen . Zwar	26	Sensation
wie haben d Literatur eine Treiben fremd bleiben sollen $ die in d wirklich Welt so viel Sensation machen $ wie haben besonders d poetisch Literatur eine so ergiebig Thema nicht behandeln sollen $ da d Wundersucht eine so poetisch Anstrich haben $	Wie hätte die Literatur einem Treiben fremd bleiben sollen , das in der wirklichen Welt so viel Sensation machte ? wie hätte besonders die poetische Literatur ein so ergiebiges Thema nicht behandeln sollen , da die Wundersucht einen so poetischen Anstrich hatte ?	17	Sensation
über d Grund diese d allgemein Sensation erregend Maßregel vernehmen ich nur so viel $ daß dieselbe nicht etwa Folge d Untersuchung sein $ welche beim k. Kammergericht in Berlin gegen sämtliche Abgeordnete $ die am Steuerverweigerungsbeschluß Teil nehmen $ beantragen Resp. einleiten werden $ sondern Folge eine gegen Temme eingeleitet besondere Untersuchung $	Ueber den Grund dieser die allgemeinste Sensation erregenden Maßregel vernehme ich nur so viel , daß dieselbe nicht etwa Folge der Untersuchung ist , welche beim k. Kammergericht in Berlin gegen sämmtliche Abgeordnete , die am Steuerverweigerungsbeschlusse Theil genommen , beantragt resp. eingeleitet worden , sondern Folge einer gegen Temme eingeleiteten besondern Untersuchung .	6	Sensation
aber da d Repräsentant 25 Frs $ zum täglich Satteßen bekommen $ erregen d Einwendung gar keine Sensation $	Aber da die Repräsentanten 25 Frs . zum täglichen Sattessen bekommen , erregte die Einwendung gar keine Sensation .	17	Sensation
aber welches Schmuck bedürfen Schönheit und Anmut $ und Melitta Erscheinung sein so schön und anmutig $ daß ihr Eintreten eine noch groß Sensation erregen $ als Oldenburg $	Aber welches Schmuckes bedarf Schönheit und Anmuth — und Melitta's Erscheinung war so schön und anmuthig , daß ihr Eintreten eine noch größere Sensation erregte , als Oldenburg's .	23	Sensation
er stellen Beamte an $ welche diese Regierungsform achtzehn Jahr lang bekämpft und verflucht $ $ Sensation $ $	Er stellt Beamte an , welche diese Regierungsform achtzehn Jahre lang bekämpften und verfluchten . ( Sensation ) .	16	Sensation
Falloux $ Unterrichtsminister $ besteigen d Bühne und sagen $ er haben d Ehre $ eine Dekret d Präsident d Republik zu überreichen $ welche d carnotsch Gesetzentwurf rücksichtlich d primär- und Sekundärunterricht zurückziehen $ $ Sensation $ $	Falloux , Unterrichtsminister , besteigt die Bühne und sagt , er habe die Ehre , ein Dekret des Präsidenten der Republik zu überreichen , welches die Carnotschen Gesetzentwurfe rücksichtlich des Primär- und Sekundärunterrichts zurückziehe . ( Sensation ) .	36	Sensation
