sentence_lemma	sentence_token	target_index	original_word
d öffentlich Meinung sein $ wie so oft $ eine Spielball $ die sich Sonderinteresse und Unkenntnis d Ding lustig zuwerfen $	Die öffentliche Meinung war — wie so oft — ein Spielball , den sich Sonderinteresse und Unkenntniss der Dinge lustig zuwarfen .	10	Spielball
d Deutsche sein seit eine Paar Jahrhundert von d europäisch Geschichte als ihr Spielball umherwerfen werden $ wenn sie selbst wieder einmal d Geschichte machen werden $ werden sie sie auch schreiben können $	Die Deutschen sind seit ein Paar Jahrhunderten von der europäischen Geschichte als ihr Spielball umhergeworfen worden ; wenn sie selbst wieder einmal die Geschichte machen werden , werden sie sie auch schreiben können .	13	Spielball
sie sollen_es einmal wissen $ daß ich es nicht mehr ertragen wollen $ wie eine Knabe behandeln zu sein $ daß ich frei sein wollen $ daß ich allein stehen können $ daß sie ich sollen achten müssen $ daß ich weder ihr noch irgend eine Mensch Spielball sein wollen $	Sie sollen’s einmal wissen , daß ich ’s nicht mehr ertragen will , wie ein Knabe behandelt zu sein , daß ich frei sein will , daß ich allein stehen kann , daß Sie mich sollen achten müssen , daß ich weder Ihr noch irgend eines Menschen Spielball sein will .	47	Spielball
du sein sie nichts als eine Spielball ihr hochadlig Laune $ und er haben seine allerlieb freiherrlich Scherz mit du treiben $	Du warst ihr nichts als ein Spielball ihrer hochadligen Laune , und er hat seinen allerliebsten freiherrlichen Scherz mit Dir getrieben ?	6	Spielball
und werden keine Beifall laut $ tragen man d Sprecher nicht im Triumph nach Haus $ schwören nicht eine jede $ vom feist Höcker bis zum Bettelbube $ für seine Glauben einstehen $ d Tor $ als sein ihr Glauben in Gefahr $ so aber sein diese Volk $ sein Denken all und fühlen $ sein heilig $ eine Spielball sein es in Hand fanatisch Priester $ oder schlimm noch $ ehrgeizig Gaukler d ihr Fach verstehen $	Und ward kein Beifall laut ? trug man den Sprecher Nicht im Triumph nach Haus ? schwur nicht ein Jeder , Vom feisten Höker bis zum Bettelbuben , Für seinen Glauben einzustehn ? die Thoren , Als sei ihr Glauben in Gefahr ! so aber Ist dieses Volk : sein Denken all und Fühlen , Sein Heiligstes , ein Spielball ist ’s in Händen Fanat’scher Priester , oder schlimmer noch , Ehrgeiz’ger Gaukler die ihr Fach verstehn .	59	Spielball
d Art wie sie zu Stand kommen betrachtet er als charakteristisch für seine Nation $ die $ eine Spielball ihr Lebhaftigkeit $ d vernünftig Ding auf d toll Art vollbringen $	Die Art wie sie zu Stande kamen betrachtete er als charakteristisch für seine Nation , die , ein Spielball ihrer Lebhaftigkeit , die vernünftigsten Dinge auf die tollste Art vollbringe .	18	Spielball
noch traurig offenbaren sich Artaxerxes Unfähigkeit zu herrschen im Bereich seine königlich Hof $ d Kabale seine wild Mutter Parysatis sein d scheußlich $ was jemals eine asiatisch Harem sehen haben $ d König $ eben so schwach wie gutmütig $ eben so voll Mißtrauen wie ohne Charakter $ sein eine Spielball in d Hand seine Sklavin und Eunuch $	Noch trauriger offenbarte sich Artaxerxes Unfähigkeit zu herrschen im Bereich seines königlichen Hofes ; die Kabalen seiner wilden Mutter Parysatis sind das Scheußlichste , was jemals ein Asiatischer Harem gesehen hat ; der König , eben so schwach wie gutmüthig , eben so voll Mistrauen wie ohne Character , war ein Spielball in den Händen seiner Sklavinnen und Eunuchen .	51	Spielball
d Sonne und alle Stern sein wie Spielball d Kind in seine Hand $ d Erde sein seine Fuß Schemel $ d Sturmwind sein Atem und d Meer sein vor seine Auge wie d Tropfen an diese Halm $ $	Die Sonne und alle Sterne sind wie Spielbälle der Kinder in seiner Hand , die Erde ist seiner Füße Schemel , der Sturmwind sein Athem und das Meer ist vor seinen Augen wie der Tropfen an diesem Halme . ‟	7	Spielball
indem also teils d Kriminalurteil letzte Instanz finden werden in denselben Form und von denselben Organ $ die für d Gesetzgebung bestehen $ und d Stempel seine Ursprung aus d Gnadenverfahren niemals verleugnen $ teils d aus d Standekampf hervorgegehen konkurrierend Jurisdiktion erst Instanz sämtlich hoch Magistrat in Kriminalprozeß $ S. 176 $ d Mangel eine fest Instruktionsbehörde nach sich ziehen $ werden d römisch Kriminalverfahren vollständig grundsatzlos und zerrüttet und auf gesetzlich Weg zum Spielball und Werkzeug d politisch Partei herabwürdigen $ was um so wenige entschuldigen werden können $ als diese Verfahren zwar vorzugsweise für eigentlich politisch Verbrechen einführen $ aber doch auch für ander $ zum Beispiel Mord und Wucher anwendbar sein $	Indem also theils das Criminalurtheil letzter Instanz gefunden ward in denselben Formen und von denselben Organen , die für die Gesetzgebung bestanden , und den Stempel seines Ursprungs aus dem Gnadenverfahren niemals verleugnete , theils die aus den Ständekämpfen hervorgegangene concurrirende Jurisdiction erster Instanz sämmtlicher höherer Magistrate in Criminalprozessen ( S. 176 ) den Mangel einer festen Instructionsbehörde nach sich zog , ward das römische Criminalverfahren vollständig grundsatzlos und zerrüttet und auf gesetzlichem Wege zum Spielball und Werkzeug der politischen Parteien herabgewürdigt ; was um so weniger entschuldigt werden kann , als dies Verfahren zwar vorzugsweise für eigentliche politische Verbrechen eingeführt , aber doch auch für andere , zum Beispiel Mord und Wucher anwendbar war .	75	Spielball
sehen wir denn nicht $ daß wir nur d Spielball auswärtig Macht sein $ welche mit d alt $ in London gespinnen Kunst d tückisch Staatsklugheit Metternich d Zustandekommen eine stark Macht im Herz Europa um alle verhindern wollen $	Sehen wir denn nicht , daß wir nur der Spielball auswärtiger Mächte sind , welche mit den alten , in London gesponnenen Künsten der tückischen Staatsklugheit Metternich’s das Zustandekommen einer starken Macht im Herzen Europa’s um alles verhindern wollen .	9	Spielball
auf diese nämlich Fleck stehen ich nun als Fremdling $ niemand hier $ die mein Wohl oder Weh noch zu Herz gehen $ ich selbst eine wunderlich Spielball d Schicksal und nach alle Himmelsgegend umherwerfen $	Auf diesem nemlichen Fleck stand ich nun als Fremdling ; Niemand hier , dem mein Wohl oder Weh noch zu Herzen gieng — Jch selbst ein wunderlicher Spielball des Schicksals und nach allen Himmelsgegenden umhergeworfen !	27	Spielball
endelos Verschwörung und blutig Zwist $ sowie d Kampf d Großmacht $ die Spielball Genua werden sein $ berauben d Stadt jede ruhig Entwicklung $	Endlose Verschwörungen und blutiger Zwist , sowie die Kämpfe der Grossmächte , deren Spielball Genua geworden war , beraubten die Stadt jeder ruhigen Entwicklung .	13	Spielball
ich $ frei $ weil ich nichts für er empfinden $ weil seine Glut er zum Spielball meine kalt Besinnenheit machen $	Jch , frei , weil ich nichts für ihn empfinde ; weil seine Gluth ihn zum Spielball meiner kalten Besonnenheit macht .	16	Spielball
die mögen wohl d Spielball sein $ die sich d böse Geist einander zuwerfen in d Walpurgisnacht $ wenn hier d Hexe auf Besenstielen und Mistgabel Einhergeritten kommen $ und d abenteuerlich verrucht Lust beginnen $ wie d glaubhaft Amme es erzählen $ und wie es zu schauen sein auf d hübsch Faustbild d Meister Retzsch $	Das mögen wohl die Spielbälle seyn , die sich die bösen Geister einander zuwerfen in der Walpurgis-Nacht , wenn hier die Hexen auf Besenstielen und Mistgabeln einhergeritten kommen , und die abentheuerlich verruchte Lust beginnt , wie die glaubhafte Amme es erzählt , und wie es zu schauen ist auf den hübschen Faustbildern des Meister Retzsch .	4	Spielball
seitdem Siutok seine Bruder zu entthronen suchen $ sein d Kaiserhaus immer in verschieden Faction zerspalten und wenden vergebens alle Mittel d Gewalt und Intrige auf $ um d Herrschaft wieder an sich zu reissen $ sie werden seitdem eine Spielball d Große $ welche sich ihr Ansehen nur zu Erreichung d eigen selbstsüchtig Zwecke bedienen $	Seitdem Siutok seinen Bruder zu entthronen suchte , war das Kaiserhaus immer in verschiedene Factionen zerspalten und wandte vergebens alle Mittel der Gewalt und Intrigue auf , um die Herrschaft wieder an sich zu reissen ; sie wurden seitdem ein Spielball der Grossen , welche sich ihres Ansehns nur zu Erreichung der eigenen selbstsüchtigen Zwecke bedienten .	40	Spielball
zwar sein Athen eine Fabrikstadt $ wenn diese Ausdruck keusch Ohr nicht verletzen $ $ und d Welt sein ebenso wenig eine Tal wie eine Plato schenken werden $ wenn d Hellene sich nicht als Ökonom und unternehmend $ schlau Handelsherr $ Reichtum und damit Muße erwerben haben $ es sein durch und durch praktisch Leute $ doch zeigen sie in d Politik $ ohne welche keine Zivilisation Dauer besitzen $ keine außerordentlich Begabung $ wie d Römer $ Recht und Staat sein bei sie eine Spielball in d Hand d Ehrgeizige $ auch sein d Symptom d direkt antizivilisatorisch Maßnahme d dauerhaft griechisch Staat $ Sparta $ nicht zu übersehen $	Zwar war Athen eine Fabrikstadt ( wenn dieser Ausdruck keusche Ohren nicht verletzt ) , und der Welt wäre ebenso wenig ein Thales wie ein Plato geschenkt worden , wenn die Hellenen sich nicht als Ökonomen und unternehmende , schlaue Handelsherren , Reichtum und damit Musse erworben hätten ; es sind durch und durch praktische Leute ; doch zeigten sie in der Politik — ohne welche keine Civilisation Dauer besitzt — keine ausserordentliche Begabung , wie die Römer ; Recht und Staat waren bei ihnen ein Spielball in den Händen der Ehrgeizigen ; auch ist das Symptom der direkt anticivilisatorischen Massnahmen des dauerhaftesten griechischen Staates , Sparta , nicht zu übersehen .	86	Spielball
d Kreisverwaltung aber $ die er nicht mehr haben neugestealt können $ bleiben noch während eine halb Jahrhundert d Spielball wechselnd gesetzgeberisch Versuch $ nichts stehen hier fest $ nicht einmal d leitend Grundsatz $	Die Kreisverwaltung aber , die er nicht mehr hatte neugestalten können , blieb noch während eines halben Jahrhunderts der Spielball wechselnder gesetzgeberischer Versuche ; nichts stand hier fest , nicht einmal die leitenden Grundsätze .	19	Spielball
man lesen nur immer wieder d Brief Cicero $ wenn man durch d naiv Geständnis eine in d Idee seine Zeit befangen $ nicht viel weiter als seine Nase hinausschauend Mann lernen wollen $ wie d groß Rom und seine Geschick d Spielball eitel Müßiggänger werden $ und mit wie groß Recht man behaupten können $ dass seine Politiker Rom nicht machen $ sondern vielmehr es zu Grund richten haben $	Man lese nur immer wieder die Briefe Cicero’s , wenn man durch die naiven Geständnisse eines in den Ideen seiner Zeit befangenen , nicht viel weiter als seine Nase hinausschauenden Mannes lernen will , wie das grosse Rom und seine Geschicke der Spielball eitler Müssiggänger wurden , und mit wie grossem Recht man behaupten kann , dass seine Politiker Rom nicht gemacht , sondern vielmehr es zu Grunde gerichtet haben .	42	Spielball
Odysseus sein eine wahr Spielball d Zufall $ die als Gotterlaune doch nicht ethisch motivieren sein $ und er betätigen sich als Heldenseele $ indem er sich hindurchringen $	Odysseus ist ein wahrer Spielball des Zufalls , der als Götterlaune doch nicht ethisch motivirt ist , und er bethätigt sich als Heldenseele , indem er sich hindurchringt .	4	Spielball
Allen Aristotelessen zum Hohn schaffen sich d Volk $ die aus d millionenfach allgemein Egoismus heraus absolut selig werden wollen $ eine Religion $ in die d Natur zum rein Spielball menschlich raffinierend Glückseligkeitssucht machen werden $	Allen Aristotelessen zum Hohn schuf sich das Volk , das aus dem millionenfachen allgemeinen Egoismus heraus absolut selig werden wollte , eine Religion , in der die Natur zum reinen Spielball menschlich raffinirender Glückseligkeitssucht gemacht wurde .	30	Spielball
können man eine groß Teil d naturrechtlich Schule vorwerfen $ daß ihr Staatsidee eine Spielball d individuell Willkür sein $ so sein auch d historisch Schule nicht von d Vorwurf freisprechen $ daß ihr Staatsbegriff noch festbinden sein an d herkömmlich Autorität und an d überliefert Vorurteil $	Konnte man einem groszen Theil der naturrechtlichen Schule vorwerfen , dasz ihre Statsidee ein Spielball der individuellen Willkür sei , so war auch die historische Schule nicht von dem Vorwurf freizusprechen , dasz ihr Statsbegriff noch festgebunden sei an die herkömmlichen Autoritäten und an die überlieferten Vorurtheile .	14	Spielball
es haben keine leben $ als Gott Vater auf d Einfall kommen $ diese Spielball Erde zu erschaffen $ und in d Uhrwerk Universum zu schleudern $ damit er zu Ehre d Hoch seine Parademarsch um d Sonne kreisen $ $	Es hat keiner gelebt , als Gott Vater auf den Einfall kam , diesen Spielball Erde zu erschaffen , und in das Uhrwerk Universum zu schleudern , damit er zu Ehre des Höchsten seinen Parademarsch um die Sonne kreist . “	14	Spielball
übrigens sein d Zeit vorüber $ wo d Volk eine Spielball d Kabinettsstaatskunst sein sein $ und sie werden hoffentlich niemals wiederkehren $	Uebrigens sei die Zeit vorüber , wo die Völker ein Spielball der Cabinetsstaatskunst gewesen seien , und sie werde hoffentlich niemals wiederkehren .	10	Spielball
d feig $ berauscht Sultan sein d Spielball d Intrige $ welchen sich immer drei Partei $ d Favoritin $ d Mutter und d Eunuch zuwerfen $	Die feigen , berauschten Sultane waren der Spielball der Intrigue , welchen sich immer drei Parteien , die Favoritinnen , die Mutter und die Eunuchen zuwarfen .	7	Spielball
freilich hören d Edelleute nach Einführung d stehend Heer auf $ d einzig Krieger ihr Land zu sein $ aber bleiben sie nicht fast überall d Anführer jen stehend Söldner $ und müssen d Volk es nicht aus diese Grund sehr oft auf d Schmerzhafteste empfinden $ daß ihr Fürst größtenteils elend Spielball d Adel $ d Geistlichkeit und häufig sogar d verächtlich Buhlerin sein $	Freilich hörten die Edelleute nach Einführung der stehenden Heere auf , die einzigen Krieger ihres Landes zu seyn ; aber blieben sie nicht fast überall die Anführer jener stehenden Söldner , und mußten die Völker es nicht aus diesem Grunde sehr oft auf das Schmerzhafteste empfinden , daß ihre Fürsten größtentheils elende Spielbälle des Adels , der Geistlichkeit und häufig sogar der verächtlichsten Buhlerinnen waren ?	52	Spielball
d Spielball zweier feindlich Nation haben d anstellig $ unermüdlich betriebsam Volk d Unsegen kleinfürstlich Willkür $ wiederholt Religionsverfolgung $ gräßlich Verwüstung mit erstaunlich Lebenskraft überstehen und erst unter d Präfekt d Kaiserreich wieder eine gesichert bürgerlich Ordnung erlangen $	Der Spielball zweier feindlicher Nationen hatte das anstellige , unermüdlich betriebsame Volk den Unsegen kleinfürstlicher Willkür , wiederholter Religionsverfolgungen , gräßlicher Verwüstungen mit erstaunlicher Lebenskraft überstanden und erst unter den Präfekten des Kaiserreichs wieder eine gesicherte bürgerliche Ordnung erlangt .	1	Spielball
noch viel untragisch $ auf d Boden d Tragödie sogar höchst widerwärtig $ sein Fernando $ die d wechselnd Paroxysmus zweier Liebesleidenschaft $ die bei er ganz an d Stelle d Willen treten sein $ ohne einander ausschließen $ bald auf d eine bald auf d ander Seite ziehen haben und vor unsere Auge fortfahren wie eine Spielball hin und her zu werfen $	Noch viel untragischer , auf dem Boden der Tragödie sogar höchst widerwärtig , ist Fernando , den die wechselnden Paroxysmen zweier Liebesleidenschaften , die bei ihm ganz an die Stelle des Willens getreten sind , ohne einander auszuschließen , bald auf die eine bald auf die andere Seite gezogen haben und vor unseren Augen fortfahren wie einen Spielball hin und her zu werfen .	57	Spielball
d schlimm Folge d Einverständnis d zwei groß Macht für d deutsch Freiheit liegen offen vor jedermann Auge $ d schlimm Folge für d Einheit $ für eine wirklich national Existenz und Geltung Deutschland treten nicht in einzeln $ greifbar Erscheinung hervor $ aber d ganz kläglich Zustand $ d ganz politisch Nullität d deutsch Bund $ $ die in d Tat nur eine Werkzeug und Spielball in d Hand d zwei Macht sein $ $ sein dadurch bedingt sein $	Die schlimmen Folgen des Einverständnisses der zwei großen Mächte für die deutsche Freiheit liegen offen vor Jedermanns Auge ; die schlimmen Folgen für die Einheit , für eine wirkliche nationale Existenz und Geltung Deutschlands treten nicht in einzelnen , gereifbaren Erscheinungen hervor , aber der ganze klägliche Zustand , die ganze politische Nullität des deutschen Bundes , — der in der That nur ein Werkzeug und Spielball in den Händen der zwei Mächte war , — ist dadurch bedingt gewesen .	66	Spielball
d Wasser und d Flamme erzeugt er im Kampf $ doch hin und her tragen $ eine Spielball jede Wind $ scheinen aus d Art schlagen d Elementenkind $	Das Wasser und die Flamme Erzeugten ihn im Kampf ; Doch hin und her getragen , Ein Spielball jedem Wind , Schien aus der Art geschlagen Das Elementenkind .	17	Spielball
dann werden auch d Tag d Freiheit und eine Aera menschenwürdig Dasein für jen unglücklich Völkerschaft d Osten anbrechen $ die seit anderthalb Jahrhundert d Spielball eine herz- und gewissenlos Diplomatie sein $	Dann wird auch der Tag der Freiheit und eine Aera menschenwürdigen Daseins für jene unglücklichen Völkerschaften des Ostens anbrechen , die seit anderthalb Jahrhunderten der Spielball einer herz- und gewissenlosen Diplomatie sind .	25	Spielball
bis jetzt sein wir d Spielball d Wiener Politiker $ die sie nach Gefallen bald hier- $ bald dorthin werfen $ wir sein d Mauschen $ mit die d alt Kater Murr tändeln $ weil er keine Zahn und Kralle haben $ jetzt haben wir uns eine wenig ändern $ denn aus die sich selbst unbewußt Spielball $ aus d verächtlich Maus sein wir selbstbewußt Hund werden $ welche d Hand d Herr lecken $ wenn er sie schlagen $	Bis jetzt waren wir der Spielball der Wiener Politiker , den sie nach Gefallen bald hier- , bald dorthin warfen ; wir waren das Mäuschen , mit dem der alte Kater Murr tändelte , weil er keine Zähne und Krallen hatte ; jetzt haben wir uns ein wenig geändert ; denn aus dem sich selbst unbewußten Spielball , aus der verächtlichen Maus sind wir selbstbewußte Hunde geworden , welche die Hand des Herrn lecken , wenn er sie schlägt .	5	Spielball
William sein d Opfer d Absolutismus $ Leopold werden d Spielball d Gesetzlosigkeit $ er sein im belgisch Heer Kompanie-Chirurg $ wie ich eben erfahren und spielen eine abgereißen kümmerlich Rolle $ und nur d ungeheuer $ titanenartig Kraft erhalten oben auf d Lebenswoge d zügellos Hippolyt $ nur sein riesenhaft Geist lassen er bestehen mit seine unbändig $ d Zivilisation überspringend Freiheit $	William ist das Opfer des Absolutismus , Leopold wird der Spielball der Gesetzlosigkeit — er ist im belgischen Heere Compagnie-Chirurgus , wie ich eben erfahren und spielt eine abgerissene kümmerliche Rolle , und nur die ungeheuren , titanenartigen Kräfte erhalten oben auf der Lebenswoge den zügellosen Hyppolit ; nur sein riesenhafter Geist läßt ihn bestehen mit seiner unbändigen , die Civilisation überspringenden Freiheit .	10	Spielball
bis jetzt sein wir d Spielball d Wiener Politiker $ die sie nach Gefallen bald hier- $ bald dorthin werfen $ wir sein d Mauschen $ mit die d alt Kater Murr tändeln $ weil er keine Zahn und Kralle haben $ jetzt haben wir uns eine wenig ändern $ denn aus die sich selbst unbewußt Spielball $ aus d verächtlich Maus sein wir selbstbewußt Hund werden $ welche d Hand d Herr lecken $ wenn er sie schlagen $	Bis jetzt waren wir der Spielball der Wiener Politiker , den sie nach Gefallen bald hier- , bald dorthin warfen ; wir waren das Mäuschen , mit dem der alte Kater Murr tändelte , weil er keine Zähne und Krallen hatte ; jetzt haben wir uns ein wenig geändert ; denn aus dem sich selbst unbewußten Spielball , aus der verächtlichen Maus sind wir selbstbewußte Hunde geworden , welche die Hand des Herrn lecken , wenn er sie schlägt .	5	Spielball
