sentence_lemma	sentence_token	index_lemma	index_token	lemma
jen Vogel brechen alle wieder aus $ was sie nicht verdauen können $ besonders d Feder und Haar d verschluckt Tier $	Jene Vögel brechen alles wieder aus , was sie nicht verdauen können , besonders die Federn und Haare der verschluckten Thiere .	20	4	Tier
alle diese Eigenschaft $ sowie die queren Ringelung d Körper $ welche durch d einzeln Deckplatte andeuten sein $ nähern d Tier in d Tat d Ringelwurm sehr $ und es bedürfen genau Forschung über d Entwickelungsgeschichte diese Tier $ welche zur Zeit noch ganz fehlen $ um zu entscheiden $ welchen von beide Kreis sie angehören $	Alle diese Eigenschaften , sowie die quere Ringelung des Körpers , welche durch die einzelnen Deckplatten angedeutet ist , nähern das Thier in der That den Ringelwürmern sehr , und es bedürfte genauer Forschungen über die Entwickelungsgeschichte dieser Thiere , welche zur Zeit noch ganz fehlen , um zu entscheiden , welchen von beiden Kreisen sie angehören .	21	21	Tier
heute sein d Arme viel elend als d Tier $ wer also d Republik nennen $ die lästern $	Heute ist der Arme viel elender als das Thier ; wer also das Republik nennt , der lästert .	8	8	Tier
laufen d Tier $ so hören man eine trocken Geräusch $ die von d Reibung seine Hautplatte gegen einander herrühren scheinen $	Läuft das Tier , so hört man ein trockenes Geräusch , das von der Reibung seiner Hautplatten gegen einander herzurühren scheint .	2	2	Tier
d Tier rühren sich nicht $ und nach etwa vier Minute ziehen ich d Pfeil aus d Brust und wollen dann d aus d Kopf ziehen $	Das Thier rührte sich nicht , und nach etwa vier Minuten zog ich den Pfeil aus der Brust und wollte dann den aus dem Kopfe ziehen .	1	9	Tier
beruhigen du $ mein Freund $ und sein zufrieden $ daß wir keine Tier mehr sein $	Beruhige dich , mein Freund , und sey zufrieden , daß wir keine Thiere mehr sind .	13	13	Tier
d einzig Exemplar $ die ich finden $ sein lebend $ d äußer Weichteil ebenfalls blaßbraun $ d Schale teilweise vom Mantel überdecken $ d Fuß hinten zusammengedrückt und steil endigen $ ich nehmen es daher sogleich für eine Helicarion $ da ich seine Ähnlichkeit mit d eine Monat früh beobachten H. Suturalis beim erst Anblick auffallen $ aber leider kommen ich nicht mehr dazu $ d lebend Tier genau zu beobachten $	Das einzige Exemplar , das ich fand , war lebend , die äusseren Weichtheile ebenfalls blassbraun , die Schale theilweise vom Mantel überdeckt , der Fuss hinten zusammengedrückt und steil endigend ; ich nahm es daher sogleich für einen Helicarion , da mir seine Aehnlichkeit mit dem einen Monat früher beobachteten H. suturalis beim ersten Anblick auffiel , aber leider kam ich nicht mehr dazu , das lebende Thier genauer zu beobachten .	68	68	Tier
$ unter d zahm Tier auf Kamtschatka $ $ sagen Steller $ $ gebühren d Hund wegen Altertum und Nutzen d Vorrecht $ und machen sie allein d ganz Klasse d Kamtschadalischen zahm Tier aus $	„ Unter den zahmen Thieren auf Kamtschatka , ‟ sagt Steller , „ gebührt den Hunden wegen Alterthums und Nutzens das Vorrecht , und machen sie allein die ganze Klasse der kamtschadalischen zahmen Thiere aus .	4	33	Tier
diese Erstarrung sein so stark $ daß d warmblütig Tier während diese Totenschlaf nur unmerklich Wärme übrig behalten $ s. oben S. 19. $ $ $ und daß d Puppe viel Insekt $ die zu gleich Zeit ihr Verwandelung bestehen $ im Winter oft so durchfrieren sein $ daß sie $ d Leben d darin schlafend Tier unbeschadet $ wie Eiszapfen oder Glas klingen $ wenn man sie auf d Erde fallen lassen $	Diese Erstarrung ist so stark , daß die warmblütigen Thiere während dieses Todtenschlafs nur unmerkliche Wärme übrig behalten (– s. oben S. 19. – ) , und daß die Puppen vieler Insecten , die zu gleicher Zeit ihre Verwandlung bestehen , im Winter oft so durchfroren sind , daß sie , dem Leben des darin schlafenden Thieres unbeschadet , wie Eiszapfen oder Glas klingen , wenn man sie auf die Erde fallen läßt .	9	9	Tier
nur bei d wenigste sogenannt weißblutig Tier finden sich eine wahr Herz und damit zusammenhängend Adersystem $ hier in diese Klasse wohl bloß bei einige Geschlecht d ungeflügelt Insekt $ wie d Krebs und Kiefenfüsse $	Nur bey den wenigsten sogenannten weissblütigen Thieren findet sich ein wahres Herz und damit zusammenhängendes Adersystem ; hier in dieser Classe wohl bloss bey einigen Geschlechtern der ungeflügelten Insecten , wie die Krebse und Kiefenfüsse .	6	17	Tier
