sentence_lemma	sentence_token	index_lemma	index_token	lemma
bei Anwendung gewölbt Decke auf eisern Träger können d Mauerstärke in sämtliche Stockwerk und zu eben Erde bei eine Zimmertiefe von 6m 48zm betragen $ bei groß Zimmertiefe 60zm $ voraussetzen $ daß d Tragfähigkeit d Mauerwerk nachweisen sein $	Bei Anwendung gewölbter Decken auf eisernen Trägern kann die Mauerstärke in sämmtlichen Stockwerken und zu ebener Erde bei einer Zimmertiefe von 6m 48zm betragen , bei größeren Zimmertiefen 60zm , vorausgesetzt , daß die Tragfähigkeit des Mauerwerkes nachgewiesen ist .	34	34	Tragfhigkeit
d Kran sein für eine Tragfähigkeit von 10 T berechnen $ d von d Pumpe ausgeübt Druck betragen 20 Kg per Qcm $	Der Krahn ist für eine Tragfähigkeit von 10 t berechnet ; der von den Pumpen ausgeübte Druck beträgt 20 kg per qcm .	5	5	Tragfhigkeit
d groß dieselbe haben eine Tragfähigkeit von 40 Tonne $ und eine fix Kran von riesig Dimension vermögen Last bis zu 140 Tonne zu heben $	Die grössten derselben haben eine Tragfähigkeit von 40 Tonnen , und ein fixer Krahn von riesigen Dimensionen vermag Lasten bis zu 140 Tonnen zu heben .	5	5	Tragfhigkeit
Thaer widmen sie d groß Aufmerksamkeit $ und d chemisch Zusammensetzung d verschieden Bodenart mit ihr speziell Tragfähigkeit oder Unfähigkeit vergleichen $ glücken es er $ seine speziell Erfahrung zu allgemein Gesetz zu erheben $	Thaer widmete ihr die größte Aufmerksamkeit , und die chemische Zusammensetzung der verschiedensten Bodenarten mit ihrer speciellen Tragfähigkeit oder Unfähigkeit vergleichend , glückte es ihm , seine speciellen Erfahrungen zu allgemeinen Gesetzen zu erheben .	17	17	Tragfhigkeit
d Größe eine Schiff kennzeichnen sich durch seine Tragfähigkeit $	Die Größe eines Schiffes kennzeichnet sich durch seine Tragfähigkeit .	8	8	Tragfhigkeit
d alt Oberbau bestehen aus stark $ rund $ tannen Balken $ die Tragfähigkeit noch durch eine leicht Sprengwerks-Construction vermehrt werden $ und eine eichen Bohlenbelag mit Klotzplaste $	Der alte Oberbau bestand aus starken , runden , tannenen Balken , deren Tragfähigkeit noch durch eine leichte Sprengwerks-Construction vermehrt wurde , und einem eichenen Bohlenbelage mit Klotzplaster .	13	13	Tragfhigkeit
da d soeben angenehmen Querschnitt nicht d groß Tragfähigkeit besitzen $ so können eine ander Frage lauten $ wie groß werden bei d angegeben Belastung d vorteilhaft Querschnitt sein $	Da der soeben angenommene Querschnitt nicht die größte Tragfähigkeit besitzt , so kann eine andere Frage lauten : wie groß würde bei der angegebenen Belastung der vortheilhafteste Querschnitt sein ?	8	8	Tragfhigkeit
an Küstenfahrer $ einschließlich d Dampfer d compagnie quanza $ sein im Ganze 882 vorhanden $ und zwar 71 von mehr als 50 T und 811 von wenige als 50 T Tragfähigkeit $ welche unter portugiesisch und holländisch Flagge d Dienst längs d Küste einerseits bis zum Kongo $ andererseits nach d übrig Platz d $ Königreich $ Angola versehen $	An Küstenfahrern , einschliesslich der Dampfer der Compagnie Quanza , waren im Ganzen 882 vorhanden , und zwar 71 von mehr als 50 T und 811 von weniger als 50 T Tragfähigkeit , welche unter portugiesischer und holländischer Flagge den Dienst längs der Küste einerseits bis zum Congo , andererseits nach den übrigen Plätzen des „ Königreiches “ Angola versehen .	31	31	Tragfhigkeit
d Stärke d Gewölbe ändern d Konstruktion durchaus nicht $ und können von ½ Ziegel anfangen so groß sein $ als für d Tragfähigkeit nötig erscheinen $	Die Stärke des Gewölbes ändert die Construktion durchaus nicht , und kann von ½ Ziegel anfangend so groß sein , als für die Tragfähigkeit nöthig erscheint .	23	23	Tragfhigkeit
an Stelle wo Ofen zu stehen kommen $ sein d Tragfähigkeit d Durchzug durch eine besondere Konstruktion zu verstärken $	An Stellen wo Oefen zu stehen kommen , ist die Tragfähigkeit der Durchzüge durch eine besondere Construction zu verstärken .	10	10	Tragfhigkeit
aber zwei Ding sein es $ die sich Buttenstedt klar $ überall zutreffend Darlegung entgegenstellen und sie d Anerkennung weit Kreis erschwern $ einmal d groß Einfachheit d Theorie $ und zweitens d mangelhaft Vorstellung d Mensch von d wirklich Tragfähigkeit d Luft $	Aber zwei Dinge sind es , die sich Buttenstedts klaren , überall zutreffenden Darlegungen entgegenstellen und ihr die Anerkennung weiterer Kreise erschweren : einmal die große Einfachheit der Theorie , und zweitens die mangelhafte Vorstellung der Menschen von der wirklichen Tragfähigkeit der Luft .	40	40	Tragfhigkeit
d Zahnstange L sein $ wie d vier zugehörig Abbildung erkennen lassen $ hier eine aus Stahl bestehend Leiter $ die Wange aus dreifach Stahlblech von etwa 5 Mm Dicke und 60 Mm Breite bestehen $ die derartig mit einander vernieten sein $ dass immer mindestens d voll Tragfähigkeit zweier Blech in jede d beide Wange zur Geltung kommen $	Die Zahnstange L ist , wie die vier zugehörigen Abbildungen erkennen lassen , hier eine aus Stahl bestehende Leiter , deren Wangen aus dreifachen Stahlblechen von etwa 5 mm Dicke und 60 mm Breite bestehen , die derartig mit einander vernietet sind , dass immer mindestens die volle Tragfähigkeit zweier Bleche in jeder der beiden Wangen zur Geltung kommt .	48	48	Tragfhigkeit
von d Magnet $ welche d Eisenring magnetisieren $ besitzen jede eine Tragfähigkeit von 5 Kilogramm $ solch Magnet befinden sich in d ober Zylinder 15 $ im unter 20 $	Von den Magneten , welche die Eisenringe magnetisiren , besitzt jeder eine Tragfähigkeit von 5 Kilogramm ; solcher Magnete befinden sich in dem oberen Cylinder 15 , im unteren 20 .	12	12	Tragfhigkeit
d Schwierigkeit $ die eine weit Beurteilung entgegentreten $ sein mannigfach $ sie liegen zum Teil darin $ dass wir d Gesetz nicht kennen $ nach welche mit d proportional Verkürzung d Fähigkeit d Muskel $ Gewicht zu heben $ abnehmen $ d. h. in welchem Verhältnis d Tragfähigkeit gleich groß Querschnitt verschieden stark zusammengeziehen Muskel stehen $	Die Schwierigkeiten , die einer weiteren Beurtheilung entgegentreten , sind mannigfach ; sie liegen zum Theil darin , dass wir das Gesetz nicht kennen , nach welchem mit der proportionalen Verkürzung die Fähigkeit des Muskels , Gewichte zu heben , abnimmt , d. h. in welchem Verhältniss der Tragfähigkeit gleich grosse Querschnitte verschieden stark zusammengezogener Muskeln stehen .	48	48	Tragfhigkeit
d Hafen sein mit stabil und laufend Kranen von 1 ·5 $ 3 und 6 T Tragfähigkeit reichlich versehen $	Der Hafen ist mit stabilen und laufenden Krahnen von 1 ·5 , 3 und 6 t Tragfähigkeit reichlich versehen .	16	16	Tragfhigkeit
bezeichnend sein d Anekdote $ dass d erst phönizisch Schiff $ die in Spanien landen sein $ so viel Silber für wertlos Ware eintauschen haben $ dass $ nachdem d Schiff bis zur Grenze seine Tragfähigkeit beladen sein $ sie ihr Anker und Kette zurücklassen und sich solch aus pur Silber neu anfertigen haben $	Bezeichnend ist die Anekdote , dass die ersten phönizischen Schiffe , die in Spanien gelandet seien , so viel Silber für wertlose Waren eingetauscht hätten , dass , nachdem das Schiff bis zur Grenze seiner Tragfähigkeit beladen war , sie ihre Anker und Ketten zurückgelassen und sich solche aus purem Silber neu angefertigt hätten .	35	35	Tragfhigkeit
je eng diese zusammenstehen $ um so groß werden d Tragfähigkeit desselben sein $	Je enger diese zusammenstehen , um so grösser wird die Tragfähigkeit desselben sein .	10	10	Tragfhigkeit
d Pfeiler d Brücke ruhen auf verankert Ponton $ welche d ungeheuer Inanspruchnahme mit Bezug auf ihr Tragfähigkeit und d mitunter reißend Strom bestens widerstehen und dabei d beträchtlich Niveauunterschied d Fluß $ bis zu 6 M $ folgen $	Die Pfeiler der Brücke ruhen auf verankerten Pontons , welche der ungeheueren Inanspruchnahme mit Bezug auf ihre Tragfähigkeit und den mitunter reissenden Strom bestens widerstehen und dabei den beträchtlichen Niveauunterschieden des Flusses ( bis zu 6 m ) folgen .	17	17	Tragfhigkeit
für sehr schwer Last bis zu 50 T dienen eine groß Kran $ im Bassin endlich stehen vier Mobile Dampfkran mit je 1 ·5 t Tragfähigkeit zur Verfügung d Schiff $	Für sehr schwere Lasten bis zu 50 t dient ein grosser Krahn , im Bassin endlich stehen vier mobile Dampfkrahne mit je 1 ·5 t Tragfähigkeit zur Verfügung der Schiffe .	25	25	Tragfhigkeit
jedenfalls müssen d ausführend Techniker von d Tragfähigkeit seine Konstruktion überzeugen sein $ zumal seitens d Behörde in zweifelhaft Fall eine Probebelastung gesetzlich verlangen werden können $ die Kosten d Bauherr zu tragen haben $	Jedenfalls muß der ausführende Techniker von der Tragfähigkeit seiner Construction überzeugt sein , zumal Seitens der Behörden in zweifelhaften Fällen eine Probebelastung gesetzlich verlangt werden kann , deren Kosten der Bauherr zu tragen hat .	7	7	Tragfhigkeit
man werden diese Hindernis gewiß beseitigen $ und d für d Augenblick von Hamburg abgelenkt Teil d Verkehr werden d günstig Hafen sofort wieder aufsuchen $ so wie Krupp aus Essen seine schwer Schiffsgeschütz nicht mehr über Antwerpen versenden $ seit Hamburg d bereits erwähnt Dampfkran von 150.000 Kg Tragfähigkeit besitzen $	Man wird diese Hindernisse gewiss beseitigen , und der für den Augenblick von Hamburg abgelenkte Theil des Verkehres wird den günstigen Hafen sofort wieder aufsuchen , so wie Krupp aus Essen seine schweren Schiffsgeschütze nicht mehr über Antwerpen versendet , seit Hamburg den bereits erwähnten Dampfkrahn von 150.000 kg Tragfähigkeit besitzt .	49	49	Tragfhigkeit
bei d Annahme gleich Tragfähigkeit d beide Holz werden bei gleich freiliegend Länge betragen $	Bei der Annahme gleicher Tragfähigkeit der beiden Hölzer wird bei gleicher freiliegender Länge betragen :	4	4	Tragfhigkeit
wollen man d Tragfähigkeit d Elektromagnet prüfen $ so hängen man an die Pole eine Stück weich Eisen $ eine s. g. Anker $ a fig. 240 $ $ die eine Waagschale mit Gewicht tragen können $	Will man die Tragfähigkeit des Elektromagneten prüfen , so hängt man an dessen Pole ein Stück weiches Eisen , einen s. g. Anker ( A Fig. 240 ) , der eine Wagschale mit Gewichten tragen kann .	3	3	Tragfhigkeit
da wir aber wenigstens im allgemein wissen $ dass d Tragfähigkeit abnehmen $ wenn d proportional Verkürzung im Zunehmen begreifen sein $ so schließen wir daraus $ dass eine um eine bestimmt absolut Wert verkürzt Muskel $ die aus Faser von ungleich Länge bestehen $ auf d verschieden Ort seine Querschnitt eine groß oder gering Kraft besitzen $ je nachdem durch d betreffend Ort kurz oder lang Faser hindurchtreten $	Da wir aber wenigstens im Allgemeinen wissen , dass die Tragfähigkeit abnimmt , wenn die proportionale Verkürzung im Zunehmen begriffen ist , so schliessen wir daraus , dass ein um einen bestimmten absoluten Werth verkürzter Muskel , der aus Fasern von ungleicher Länge besteht , auf den verschiedenen Orten seines Querschnitts eine grössere oder geringere Kraft besitzt , je nachdem durch den betreffenden Ort kürzere oder längere Fasern hindurchtreten .	10	10	Tragfhigkeit
zweitens $ besitzen sie keine groß Tragfähigkeit $ d Festigkeit d voll Ziegel verhalten sich zu d d Lochstein wie 17 $ 11 $	zweitens : besitzen sie keine große Tragfähigkeit , die Festigkeit des vollen Ziegels verhält sich zu der des Lochsteines wie 17 : 11 ;	6	6	Tragfhigkeit
$ d Tragfähigkeit d verdübelt Balken sein gleich d d verzahnt $ also gleich ¾ d Tragfähigkeit eine voll Balken unter sonst gleich Umstand $	— Die Tragfähigkeit des verdübelten Balkens ist gleich der des verzahnten , also gleich ¾ der Tragfähigkeit eines vollen Balkens unter sonst gleichen Umständen .	2	2	Tragfhigkeit
als Anlageplatz besitzen Monrovia zwei schlecht gehalten Holzdamm mit je eine Drehkran von 11/2 Tonne Tragfähigkeit $	Als Anlageplätze besitzt Monrovia zwei schlecht gehaltene Holzdämme mit je einem Drehkrahn von 1½ Tonnen Tragfähigkeit .	15	15	Tragfhigkeit
$ d Tragfähigkeit d verdübelt Balken sein gleich d d verzahnt $ also gleich ¾ d Tragfähigkeit eine voll Balken unter sonst gleich Umstand $	— Die Tragfähigkeit des verdübelten Balkens ist gleich der des verzahnten , also gleich ¾ der Tragfähigkeit eines vollen Balkens unter sonst gleichen Umständen .	2	2	Tragfhigkeit
werden nun d Schlauch aufblasen $ was schnell und ohne d Mund unmittelbar daran zu bringen geschehen $ $ so haben er eine groß Tragfähigkeit und können fast nicht zu Grund gehen $ vierzig bis sechzig werden dann unter eine leicht Gerüst von Baumzweig in vier oder fünf Reihe so zusammenbinden $ daß d Floß vorn etwa acht $ hinten achtzehn Schlauch breit sein $ darüber werden etwas Laub $ dann eine Matte und Teppich breiten $ und so fahren man ganz gemächlich d Fluß hinab $	Wird nun der Schlauch aufgeblasen ( was schnell und ohne den Mund unmittelbar daran zu bringen geschieht ) , so hat er eine große Tragfähigkeit und kann fast nicht zu Grunde gehen ; vierzig bis sechzig werden dann unter ein leichtes Gerüste von Baumzweigen in vier oder fünf Reihen so zusammengebunden , daß das Floß vorn etwa acht , hinten achtzehn Schläuche breit ist ; darüber wird etwas Laub , dann eine Matte und Teppiche gebreitet , und so fährt man ganz gemächlich den Fluß hinab .	24	24	Tragfhigkeit
falls d Boden d nötig Tragfähigkeit nicht besitzen $ ermitteln man zunächst mittels Probelastung d zulässig Belastung Pr. #m und wählen dann eine d im 3. Bande diese Werk $ Abschnitt $ $ Fundirunge $ beschreiben Fundierungsmethode $	Falls der Boden die nöthige Tragfähigkeit nicht besitzt , ermittelt man zunächst mittelst Probelastung die zulässige Belastung pr. □m und wählt dann eine der im 3. Bande dieses Werkes , Abschnitt : „ Fundirungen “ beschriebenen Fundirungsmethoden .	5	5	Tragfhigkeit
d Italiener benutzen vier flach Boot von je 70 bis 80 Tonne Tragfähigkeit $	Der Italiener benutzte vier flache Boote von je 70 bis 80 Tonnen Tragfähigkeit .	12	12	Tragfhigkeit
