sentence_lemma	sentence_token	index_lemma	index_token	lemma
eine sächsisch Offizier $ die droben auf d Kreuzturm d weit Schlachtfeld wie eine Teppich zu seine Fuß liegen sehen $ melden pünktlich d Anmarsch jede Truppenteil d Verbündete $	Ein sächsischer Offizier , der droben auf dem Kreuzthurme das weite Schlachtfeld wie einen Teppich zu seinen Füßen liegen sah , meldete pünktlich den Anmarsch jedes Truppentheiles der Verbündeten .	26	26	Truppenteil
trotzdem gehen nun allnächtlich ganz in d Stille immer neu Truppenteil von hier nach Ungarn ab $	Trotzdem gehen nun allnächtlich ganz in der Stille immer neue Truppentheile von hier nach Ungarn ab .	10	10	Truppenteil
durch d Generalkommando können d Kapitulation vor Ablauf d Kapitulationszeit aufheben werden $ wenn bei fortsetzen schlecht Führung d Kapitulant durch d lang Verbleiben dieselbe im Dienst d Interesse d Truppenteil schädigen werden $	Durch das Generalkommando kann die Kapitulation vor Ablauf der Kapitulationszeit aufgehoben werden , wenn bei fortgesetzt schlechter Führung des Kapitulanten durch das längere Verbleiben desselben im Dienst das Interesse des Truppentheils geschädigt wird .	30	30	Truppenteil
bei d Meldung sein d Berechtigungsschein und eine obrigkeitlich Attest über d sittlich Führung seit Erteilung d Berechtigung vorzeigen $ worauf d Kommandeur d Truppenteil d ärztlich Untersuchung d sich Meldende veranlassen $	Bei der Meldung ist der Berechtigungsschein und ein obrigkeitliches Attest über die sittliche Führung seit Ertheilung der Berechtigung vorzuzeigen , worauf der Kommandeur des Truppentheils die ärztliche Untersuchung des sich Meldenden veranlaßt .	24	24	Truppenteil
auch hinsichtlich d bürgerlich Prozeßverfahren $ ausnehmen d Zwangsvollstreckung $ bestehen für Militairpersonen keine abweichend Vorschrift $ mit d alleinig Ausnahme $ daß d Zustellung für eine Unteroffizier oder eine Gemeine d aktiv Heer oder d aktiv Marine an d Chef d zunächst vorgesetzt Kommandobehörde $ d Kompanie $ Schwadron $ Batterie u. s. W. $ erfolgen müssen $ und daß Zustellung an Person $ welche zu eine im Ausland befindlich oder zu eine mobil Truppenteil oder zur Besatzung eine in Dienst gestellt Kriegsfahrzeug gehören $ mittels Ersuchen d vorgesetzt Kommandobehörde erfolgen können $	Auch hinsichtlich des Bürgerlichen Prozeßverfahrens ( ausgenommen die Zwangsvollstreckung ) bestehen für Militairpersonen keine abweichenden Vorschriften , mit der alleinigen Ausnahme , daß die Zustellungen für einen Unteroffizier oder einen Gemeinen des aktiven Heeres oder der aktiven Marine an den Chef der zunächst vorgesetzten Kommandobehörde ( der Kompagnie , Schwadron , Batterie u. s. w. ) erfolgen müssen , und daß Zustellungen an Personen , welche zu einem im Auslande befindlichen oder zu einem mobilen Truppentheile oder zur Besatzung eines in Dienst gestellten Kriegsfahrzeuges gehören , mittelst Ersuchens der vorgesetzten Kommandobehörde erfolgen können .	75	75	Truppenteil
2. nur in groß Garnison erfolgen nach Anordnung d Generalkommando d Verteilung d Freiwillige auf d Truppenteil d gewählt Waffengattung durch d denselben vorgesetzt militairbehörde. w.o. i §. 94 Z. 3 Abs.	2. Nur in größeren Garnisonen erfolgt nach Anordnung des Generalkommando’s die Vertheilung der Freiwilligen auf die Truppentheile der gewählten Waffengattung durch die denselben vorgesetzte Militairbehörde. W.O. I §. 94 Z. 3 Abs.	16	16	Truppenteil
d Wehrpflichtige leisten bei ihr Einstellung in eine Truppenteil d Fahneneid $ in welche sie d genau Befolgung d sie erteilen Befehl angeloben $	Die Wehrpflichtigen leisten bei ihrer Einstellung in einen Truppentheil den Fahneneid , in welchem sie die genaue Befolgung der ihnen ertheilten Befehle angeloben .	8	8	Truppenteil
d Maultier sein diese Truppenteil vor eine Woche abhanden kommen $ und bis man sie wieder einfangen haben werden $ sollen hier lagern werden $	Die Maultiere waren diesem Truppenteil vor einer Woche abhanden gekommen , und bis man sie wieder eingefangen haben würde , sollte hier gelagert werden .	4	4	Truppenteil
d Bundesfeldherr dagegen haben d Oberbefehl über d gesamt Bundesarmee $ d Oberaufsicht über d Vollzähligkeit und Kriegstüchtigkeit alle Truppenteil $ d Recht zur Inspektion dieselbe $ d Bestimmung d Präsenzstand und d Gliederung d Contingente $ d Befugnis $ innerhalb d Bundesgebiet Festung anlegen und d Mitglied d Bundesrats-Ausschuß für d Landheer und d Festung und für d Seewesen zu ernennen $ ebenso stehen er als Bundesfeldherr d Recht zu $ jede Teil d Bundesgebiet in Kriegszustand zu erklären $ sowie d Vollstreckung eine etwa erforderlich Bundsexekution $	Der Bundesfeldherr dagegen hatte den Oberbefehl über die gesammte Bundesarmee , die Oberaufsicht über die Vollzähligkeit und Kriegstüchtigkeit aller Truppentheile , das Recht zur Inspection derselben , die Bestimmung des Präsenzstandes und der Gliederung der Contingente , die Befugniß , innerhalb des Bundesgebietes Festungen anzulegen und die Mitglieder der Bundesraths-Ausschüsse für das Landheer und die Festungen und für das Seewesen zu ernennen . Ebenso stand ihm als Bundesfeldherrn das Recht zu , jeden Theil des Bundesgebietes in Kriegszustand zu erklären , sowie die Vollstreckung einer etwa erforderlichen Bundesexecution .	19	19	Truppenteil
ermächtigen zum Abschluß d Kapitulation sein d Befehlshaber eine Truppenteil $ Regiment $ Selbsttest $	Ermächtigt zum Abschluß der Kapitulation ist der Befehlshaber eines Truppentheils ( Regiment , selbstst .	9	9	Truppenteil
