sentence_lemma	sentence_token	target_index	original_word
Rührung und Unentschlossenheit malen sich in seine Zug $ es sein $ als wollen sich in seine Brust eine Umschwung vorbereiten $	Rührung und Unentschlossenheit malten sich in seinen Zügen ; es war , als wollte sich in seiner Brust ein Umschwung vorbereiten .	2	Unentschlossenheit
die müssen man abwarten und ich hoffen $ sie finden er bald $ besonders $ wenn irgend eine äußer Anlaß ihr Unentschlossenheit zu Hilfe kommen und sie veranlassen $ sich offen darüber zu erklären $ wo eigentlich d Quelle ihr Leiden sein $ $	Das muß man abwarten und ich hoffe , sie findet ihn bald , besonders , wenn irgend ein äußerer Anlaß ihrer Unentschlossenheit zu Hülfe käme und sie veranlaßte , sich offen darüber zu erklären , wo eigentlich die Quelle ihres Leidens ist . “	21	Unentschlossenheit
von d militärisch wie von d politisch Standpunkt erscheinen d zögernd vorgehen widersinnig und gefährlich $ und daß d Grund nicht in d Unentschlossenheit unsere Heeresleitung zu suchen sein $ dürfen man aus d rasch und entschlossen Führung d Krieg bis vor Paris schließen $	Von dem militärischen wie von dem politischen Standpunkte erscheint das zögernde Vorgehn widersinnig und gefährlich , und daß die Gründe nicht in der Unentschlossenheit unsrer Heeresleitung zu suchen waren , darf man aus der raschen und entschlossenen Führung des Krieges bis vor Paris schließen .	23	Unentschlossenheit
weiblich Unentschlossenheit $ Börne zunehmend $ oft höchst bedenklich Kränklichkeit kommen hinzu und d Ausschlag geben vorläufig $ daß Mad. W. durch Rücksicht auf eine streng altgläubig Mutter verhindern werden $ sich taufen zu lassen $ was zur Verbindung mit d Christ Börne unerläßlich sein sein $	Weibliche Unentschlossenheit , Börne’s zunehmende , oft höchst bedenkliche Kränklichkeit kamen hinzu und den Ausschlag gab vorläufig , daß Mad. W. durch Rücksicht auf eine streng altgläubige Mutter verhindert wurde , sich taufen zu lassen , was zur Verbindung mit dem Christen Börne unerläßlich gewesen wäre .	1	Unentschlossenheit
so erklären sich d Zaudern $ d Unentschlossenheit diese Schlachtenfürst $	So erklärt sich das Zaudern , die Unentschlossenheit dieses Schlachtenfürsten .	7	Unentschlossenheit
wenigstens täuschen er sich über seine Unentschlossenheit mit diese scheinbar Pflichterfüllung $	Wenigstens täuschte er sich über seine Unentschlossenheit mit dieser scheinbaren Pflichterfüllung .	6	Unentschlossenheit
aber eben darum beleidigen wir d in d Kunst fortdauernd Unentschlossenheit d Medea so wenig $ dass wir vielmehr wünschen $ es sein in d Natur selbst dabei bleiben $ d Streit d Leidenschaft haben sich nie entscheiden $ oder haben wenigstens so lange anhalten $ bis Zeit und Überlegung d Wut entkräften und d mütterlich Empfindung d Sieg versichern können $ $ Ajax erscheinen nicht $ wie er unter d Herde wüten $ und Rind und Bock für Mensch fesseln und morden $	Aber eben darum beleidigt uns die in der Kunst fortdauernde Unentschlossenheit der Medea so wenig , dass wir vielmehr wünschen , es wäre in der Natur selbst dabei geblieben , der Streit der Leidenschaften hätte sich nie entschieden , oder hätte wenigstens so lange angehalten , bis Zeit und Ueberlegung die Wuth entkräften und den mütterlichen Empfindungen den Sieg versichern können . … Ajax erschien nicht , wie er unter den Heerden wüthet , und Rinder und Böcke für Menschen fesselt und mordet .	10	Unentschlossenheit
d Unentschlossenheit d angehend Schriftsteller werden noch durch d Gewissenhaftigkeit $ mit die er arbeiten $ vermehrt $ zum Teil auch wohl durch d Mangel an Routine $ die er bis an sein Ende nicht verlassen $	Die Unentschlossenheit des angehenden Schriftstellers wurde noch durch die Gewissenhaftigkeit , mit der er arbeitete , vermehrt , zum Theil auch wohl durch den Mangel an Routine , der ihn bis an sein Ende nicht verließ .	1	Unentschlossenheit
denn daran denken doch wohl Börne nicht $ Shakespeare d Unentschlossenheit Hamlet zurechnen $ im Gegenteil $ Shakespeare haben sich wohl eine Bewußtsein darüber erhalten $ wenn auch nicht mit d Nebenbegriff $ die Börne mit d Charakter d Hamlet verbinden $	Denn daran dachte doch wohl Börne nicht , Shakespearen die Unentschlossenheit Hamlets zuzurechnen ; im Gegentheil , Shakespeare hat sich wohl ein Bewußtsein darüber erhalten , wenn auch nicht mit den Nebenbegriffen , die Börne mit dem Charakter des Hamlet verband .	10	Unentschlossenheit
nun beginnen sie aber d kostbar Zeit zu verzetteln $ indem sie erst mit verstellt Unentschlossenheit eine Staatskleid aussuchen und mit niedlich Geplauder seine Rat verlangen $ dann d Oberkleid $ die sie tragen $ von er aufnesteln lassen $ tausend Kleinigkeit herbeiholen $ dazwischen mit Kosen und Schmeicheln sich zu schaffen machen $ bis d eisern Wanduhr in d Kammer d Viertel auf Mitternacht schlagen $	Nun begann sie aber die kostbare Zeit zu verzetteln , indem sie erst mit verstellter Unentschlossenheit ein Staatskleid aussuchte und mit niedlichem Geplauder seinen Rath verlangte , dann das Oberkleid , das sie trug , von ihm aufnesteln ließ , tausend Kleinigkeiten herbeiholte , dazwischen mit Kosen und Schmeicheln sich zu schaffen machte , bis die eiserne Wanduhr in der Kammer das Viertel auf Mitternacht schlug .	15	Unentschlossenheit
