sentence_lemma	sentence_token	target_index	original_word
sein d Bruch abbauen $ und entstehen für d Oberfläche keine Schaden $ dann stürzen man sie am gut zusammen $ nachdem man d Pfeiler vollends abbauen haben $	Ist der Bruch abgebaut , und entsteht für die Oberfläche kein Schaden , dann stürzt man sie am besten zusammen , nachdem man die Pfeiler vollends abgebaut hat .	3	abbauen
nebst diese beide sein noch ander künstlich Mechanismus angeben und versuchen $ aber alle wieder abbauen und d gewöhnlich zylindrisch Treibkorb abermals einführen werden $ weil diese Erfindung ihr Zwecke nur unvollkommen entsprechen haben $ mehrere Seilbruch und Reparatur vorfallen $ und dabei viel Göpelpferd zu Grund gehen sein $	Nebst diesen beiden sind noch andere künstlichere Mechanismen angegeben und versucht , aber alle wieder abgebaut und die gewöhnlichen cylindrischen Treibkörbe abermals eingeführt worden , weil diese Erfindungen ihrem Zwecke nur unvollkommen entsprochen haben , mehrere Seilbrüche und Reparaturen vorgefallen , und dabei viele Göpelpferde zu Grunde gegangen sind .	15	abbauen
sie werden auf Rechnung d $ madame d' hayange abbauen $ die sie auf ihr Hütte zu sainte-fontaine und creutzwald verschmelzen $	Sie wurden auf Rechnung der „ Madame d’ Hayange abgebaut , die sie auf ihren Hütten zu Sainte-Fontaine und Creutzwald verschmolz .	9	abbauen
Sydney $ d Haupthafenstadt von Cape Breton $ liegen im Herz d Steinkohlenflöz $ die so gut sein $ als d gut von Newcastle $ vieren davon von 4'--7 $ Mächtigkeit werden abbauen $	Sydney , die Haupthafenstadt von Cape Breton , liegt im Herzen der Steinkohlenflötze , die so gut sind , als die besten von Newcastle , viere davon von 4′—7 ′ Mächtigkeit werden abgebaut .	32	abbauen
d Turmhof Zug haben bereits für 4402427 Taler Erz liefern $ und können noch mehr Gezeugstrecke tief abbauen werden $ auf d hohebirkner Zug kommen d Meissner Stollen zwischen sechst und siebent Gezeugstrecke ein $ bis zur neunt haben dieselbe für 8469622 Taler Erz hergeben $ er sein dann bis zur äußerst Grenze seine Erzführung zu verfolgen $	Der Thurmhöfer Zug hat bereits für 4402427 Thaler Erze geliefert , und kann noch mehr Gezeugstrecken tiefer abgebaut werden ; auf dem Hohebirkner Zug kommt der Meissner Stolln zwischen sechste und siebente Gezeugstrecke ein , bis zur neunten hat derselbe für 8469622 Thaler Erze hergegeben ; er ist dann bis zur äussersten Grenze seiner Erzführung zu verfolgen .	17	abbauen
d Eisensteinbergwerk werden indes zu Anfang d 16. Jahrhundert meistens noch ausschließlich nur über d Talsohle mit Stollenbetrieb abbauen $ Tiefbau sein für d geringpreisigen Eisenstein damals noch zu kostspielig $	Die Eisensteinbergwerke wurden indes zu Anfang des 16. Jahrhunderts meistens noch ausschliesslich nur über der Thalsohle mit Stollenbetrieb abgebaut , Tiefbau war für den geringpreisigen Eisenstein damals noch zu kostspielig .	18	abbauen
obgleich Inschrift besagen $ dass d Fatmiden noch im Jahr 989 n. Chr. hier Bergbau betreiben haben $ so erklären sie d Ader für gänzlich abbauen $	Obgleich Inschriften besagen , dass die Fatmiden noch im Jahre 989 n. Chr. hier Bergbau betrieben haben , so erklären sie die Adern für gänzlich abgebaut .	16	abbauen
wie an wenige Platz Europa haben d Natur auf Elba d reich Schatz d gut Eisenerz aufhäufen $ und wir dürfen annehmen $ dass keine Eisenerzlager in Europa so früh durch unterirdisch Bergbau abbauen werden $	Wie an wenigen Plätzen Europas hatte die Natur auf Elba die reichsten Schätze des besten Eisenerzes aufgehäuft , und wir dürfen annehmen , dass kein Eisenerzlager in Europa so früh durch unterirdischen Bergbau abgebaut wurde .	33	abbauen
auch Lager hochhaltig Brauneisenerz werden an verschieden Punkt d Ural abbauen $ jekatharinenburg $ ir-kiskan u. a. a. o. $ $	Auch Lager hochhaltiger Brauneisenerze werden an verschiedenen Punkten des Ural abgebaut ( Jekatharinenburg , Ir-Kiskan u. a. a. O. ) .	10	abbauen
nach d Entdeckung diese und ander Erzlager beginnen d Engländer dieselbe abbauen und Eisenwerk zu errichten $ d ausgedehnt sein d d Graf von Cork in Munster $ die von Sir Charles Kot in d Grafschaft Roscommon und Leitrim in d Provinz Connaught und bei Mountrat in queens county in Leinster $ die d Graf von Londonderry zu Ballonakill in dieselbe Grafschaft $ die d Lordkanzler A. Loftus und d Viscount Ely zu Mountmelik in Kings County $ die d Sir John Dunbar in Fermanag in Ulster $ und eine andere in dieselbe Grafschaft am Ufer d Lough Erne von Sir Leonhard Blenerhasset $ die von einige londoner Kaufmann in d Grafschaft Thomond errichten $ außer noch einige an ander Platz $ die erst Erbauer unbekannt sein $	Nach der Entdeckung dieser und anderer Erzlager begannen die Engländer dieselben abzubauen und Eisenwerke zu errichten . Die ausgedehntesten waren die des Grafen von Cork in Munster , die von Sir Charles Coote in den Grafschaften Roscommon und Leitrim in der Provinz Connaught und bei Mountrath in Queens County in Leinster , die des Grafen von Londonderry zu Ballonakill in derselben Grafschaft , die des Lordkanzlers A. Loftus und des Viscount Ely zu Mountmellick in Kings County , die des Sir John Dunbar in Fermanag in Ulster , und ein anderes in derselben Grafschaft am Ufer des Lough Erne von Sir Leonhard Blenerhasset , die von einigen Londoner Kaufleuten in der Grafschaft Thomond errichteten , ausser noch einigen an anderen Plätzen , deren erste Erbauer unbekannt sind .	11	abbauen
3. weil d meiste Kohlenlager in diese Gegend $ wie auch in Lord Dudley Besitzung $ 10 $ 11 bis 12 Elle mächtig sein und zu Tag ausgehen $ wo sie durch Tagebau abbauen werden $	3. Weil die meisten Kohlenlager in diesen Gegenden , wie auch in Lord Dudleys Besitzungen , 10 , 11 bis 12 Ellen mächtig waren und zu Tage ausgingen , wo sie durch Tagebau abgebaut wurden .	33	abbauen
hierauf werden jede Zwischenfeld gerade so abbauen $ nur in d Reihenfolge $ daß man von d drei Querfeld $ die d eine geben $ die beide äußerst zuerst anlegen $ und wenn diese verstürzen sein $ d mittel ebenso abbauen und versetzen $	Hierauf wird jedes Zwischenfeld gerade so abgebaut , nur in der Reihenfolge , daß man von den drei Querfeldern , die das Eine gibt , die beiden äußersten zuerst anlegt , und wenn diese verstürzt sind , das mittlere ebenso abbaut und versetzt .	40	abbauen
an d Südenküste sein zu nennen Terranova $ von wo täglich Verkehr mit Malta stattfinden $ Liccata $ auch Endepunkt eine Eisenbahnlinie und wie d folgend Ort eine Zentrum d Handel mit Schwefel $ Porto Empedocle $ d Hafen von Girgenti $ in die Nähe bekanntlich d groß Schwefellager d Welt sein $ welche abbauen werden $	An der Südküste sind zu nennen Terranova , von wo täglich Verkehr mit Malta stattfindet , Liccata , auch Endpunkt einer Eisenbahnlinie und wie die folgenden Orte ein Centrum des Handels mit Schwefel , Porto Empedocle , der Hafen von Girgenti , in dessen Nähe bekanntlich die grössten Schwefellager der Welt sind , welche abgebaut werden .	54	abbauen
dann werden d zweit Stock wie d erst $ und nach er d dritt u. s. W. abbauen $	Dann wird der zweite Stock wie der erste , und nach ihm der dritte u. s. w. abgebaut .	17	abbauen
seine Oberfläche sein deshalb hier überall von Tagebau und unterirdisch Abbauen durchwühlen $ aber nur erst eine sehr klein Teil d vorhanden kolossal Erzmasse sein bis jetzt abbauen $	Seine Oberfläche ist deshalb hier überall von Tagebauen und unterirdischen Abbauen durchwühlt , aber nur erst ein sehr kleiner Teil der vorhandenen kolossalen Erzmasse ist bis jetzt abgebaut .	10	abbauen
dagegen werden an d entgegengesetzt Ende d Hochebene $ gegen Norden bei Zipaquira $ eine mächtig Steinsalz-Lager abbauen $	Dagegen wird an dem entgegengesetzten Ende der Hochebene , gegen Norden bei Zipaquira , ein mächtiges Steinsalz-Lager abgebaut .	17	abbauen
d Erz werden aber $ wie beim Forstenbau $ von unten nach oben abbauen $	Das Erz wird aber , wie beim Förstenbaue , von unten nach oben abgebaut .	13	abbauen
5. wenn d Kohlenbergleute Schacht abteufen müssen $ um d zehn Elle dick Kohle abbauen $ so sein eine Drittel d Kohle $ die sie gewinnen $ Gries $ welche hier zu Land wertlos sein und d Förderkosten nicht lohnen $ es sein denn $ dass man er zur Eisengewinnung benutzen $ um Gußwerk oder Schmiedeisen darstellen $	5. Wenn die Kohlenbergleute Schächte abteufen müssen , um die zehn Ellen dicke Kohle abzubauen , so ist ein Drittel der Kohle , die sie gewinnen , Gries , welcher hier zu Lande wertlos ist und die Förderkosten nicht lohnt , es sei denn , dass man ihn zur Eisengewinnung benutze , um Gusswerk oder Schmiedeisen darzustellen .	14	abbauen
gegenwärtig werden d Erzlager durch regelmässig sehr lebhaft Bergbau abbauen $ und mehrere Schacht und Stollen sein zu diese Zwecke auf dasselbe treiben $ es liefern nicht nur d Erz für d fürstlich Eisenwerk $ sondern auch zum groß Teil für d Eisenwerk d k. k. Kammeralherrschaft Zbirow $	Gegenwärtig wird das Erzlager durch regelmässigen sehr lebhaften Bergbau abgebaut , und mehrere Schächte und Stollen sind zu diesem Zwecke auf dasselbe getrieben ; es liefert nicht nur das Erz für die fürstlichen Eisenwerke , sondern auch zum grossen Theil für die Eisenwerke der k. k. Kammeralherrschaft Zbirow .	9	abbauen
wo mächtig Erzlager sein $ entstehen groß Tagebau $ wie schon in alt Zeit auf d Insel Elba $ am Erzberg bei Eisenerz $ zu Hüttenberg in Kärnten u. s. W. aber auch durch regelmässig Gangbergbau werden schon im Mittelalter d Eisenlager ausbeuten $ und in d zweit Hälfte d 15. Jahrhundert nehmen d Bergbau eine so allgemein Aufschwung $ dass auch viel groß Eisenerzlager durch regelrecht Stollen $ Schacht und Strecke erschließen und abbauen werden $	Wo mächtige Erzlager waren , enstanden grössere Tagebaue , wie schon in ältester Zeit auf der Insel Elba , am Erzberg bei Eisenärz , zu Hüttenberg in Kärnten u. s. w. Aber auch durch regelmässigen Gangbergbau wurden schon im Mittelalter die Eisenlager ausgebeutet , und in der zweiten Hälfte des 15. Jahrhunderts nahm der Bergbau einen so allgemeinen Aufschwung , dass auch viele grössere Eisenerzlager durch regelrechte Stollen , Schächte und Strecken erschlossen und abgebaut wurden .	7	abbauen
er streichen aus d Kam eine schmal Bergrücken in eine lang Felsenreihe zu Tag aus und werden an viel Stelle ohne einheitlich Plan $ höchst unregelmässig durch Tagebau abbauen $	Er streicht aus dem Kamme eines schmalen Bergrückens in einer langen Felsenreihe zu Tage aus und wurde an vielen Stellen ohne einheitlichen Plan , höchst unregelmässig durch Tagebau abgebaut .	28	abbauen
sie werden einfach mit Schachtchen abbauen $ bis es d Wasser nicht mehr gestatten $	Sie wurden einfach mit Schächtchen abgebaut , bis es das Wasser nicht mehr gestattete .	5	abbauen
auch sprechen man hier nur von Quadratstange Ei $ wie wenn man eine Bodenstück $ unter d Mineral liegen $ in Los teilen und ganz regelmäßig abbauen $	Auch spricht man hier nur von Quadratstangen Eiern , wie wenn man ein Bodenstück , unter dem Mineralien liegen , in Lose teilte und ganz regelmäßig abbaute .	26	abbauen
diese Bau werden von er wegen d Wasser und Wetter bald verlassen und d noch stehend Erz nicht mehr abbauen $	Dieser Bau wird von ihm wegen der Wasser und Wetter bald verlassen und das noch stehende Erz nicht mehr abgebaut .	19	abbauen
4. sie müssen d Grube abbauen bis auf d Grundwasser $ vive eau $ $	4. Sie müssen die Grube abbauen bis auf das Grundwasser ( vive eau ) .	5	abbauen
in Spanien gedenken schon Plinius d Vorkommen in Lusitania $ Portugal $ und Gallaecia $ Gallicien $ d nordwestlich Ecke d Halbinsel $ $ auch fangen man 1787 im Granit von Monte-Del-Ray dieselbe wieder abbauen an $ und d londoner Industrieausstellung 1851 haben Erzprobe aus d Provinz Orense $ Lugo und Zamora $	In Spanien gedenkt schon Plinius des Vorkommens in Lusitania ( Portugal ) und Gallaecia ( Gallicien , der nordwestlichen Ecke der Halbinsel ) , auch fing man 1787 im Granit von Monte-del-Ray dieselben wieder abzubauen an , und die Londoner Industrieausstellung 1851 hatte Erzproben aus den Provinzen Orense , Lugo und Zamora .	34	abbauen
