sentence_lemma	sentence_token	target_index	original_word
für d Einsetzen d Schlackenform werden im Mauerwerk d Gestelle zunächst eine entsprechend groß $ gewöhnlich 70 Cm hoch $ 50 Cm breit $ Öffnung aussparen und oben mit Eisenplatte C C abdecken $	Für das Einsetzen der Schlackenform wird im Mauerwerk des Gestelles zunächst eine entsprechend grosse ( gewöhnlich 70 cm hohe , 50 cm breite ) Oeffnung ausgespart und oben mit Eisenplatten C C abgedeckt .	32	abdecken
d Kellner rufen nun d Wartende herbei und beginnen dann d Speisetisch abdecken $	Der Kellner rief nun den Wartenden herbei und begann dann die Speisetische abzudecken .	12	abdecken
sollen sie aber mit Dachstein abdecken werden $ so betrachten man sie als besondere klein Dach $ und es sein dann alle dabei zu beobachten $ was wir bisher bei d Eindeckung groß Dachfläche sagen haben $	Sollen sie aber mit Dachsteinen abgedeckt werden , so betrachtet man sie als besondere kleine Dächer , und es ist dann alles dabei zu beobachten , was wir bisher bei der Eindeckung großer Dachflächen gesagt haben .	5	abdecken
d Oberfläche solch Mörtelgesims werden außerdem noch mit Zinkblech Nr. 12 abdecken $ damit d Feuchtigkeit nicht in d Mauerwerk dringen $	Die Oberflächen solcher Mörtelgesimse werden außerdem noch mit Zinkblech Nr. 12 abgedeckt , damit die Feuchtigkeit nicht in das Mauerwerk dringe .	11	abdecken
deshalb pflegen man dergleichen groß Dachfenster und Luke jetzt allgemein und gut mit Metall als mit Dachstein abdecken $	Deshalb pflegt man dergleichen große Dachfenster und Lucken jetzt allgemein und besser mit Metall als mit Dachsteinen abzudecken .	17	abdecken
d zwischen d vier Viertelkreis $ die bei d Rotation durch d Scheitelpunkt d Wandbogen erzeugen werden $ liegend offen Raum c d c d c werden gewöhnlich durch eine scheitrecht Gewölbe schließen $ man legen aber auch nicht selten in diese Ebene eine jen vier Viertelkreis tangierend Kreis $ die durch eine aus d Leibung hervortretend Rippe auszeichnen werden $ diese inner Raum lassen sich dann noch durch eine klein flach böhmisch Kappe abdecken $	Der zwischen den vier Viertelkreisen , die bei der Rotation durch die Scheitelpunkte der Wandbögen erzeugt werden , liegende offene Raum c d c d c wird gewöhnlich durch ein scheitrechtes Gewölbe geschlossen ; man legt aber auch nicht selten in diese Ebene einen jene vier Viertelkreise tangirenden Kreis , der durch eine aus der Leibung hervortretende Rippe ausgezeichnet wird ; dieser innere Raum läßt sich dann noch durch eine kleine flache böhmische Kappe abdecken .	74	abdecken
letztere sein oben durch Eisenplatte abdecken $ welche sich genau um d einzeln Heizrohr herum legen und auf angegießen Vorsprung an d Rohr aufruhen $ während d Krümmer sich oberhalb dieselbe befinden $	Letztere ist oben durch Eisenplatten abgedeckt , welche sich genau um die einzelnen Heizrohre herum legen und auf angegossenen Vorsprüngen an den Rohren aufruhen , während die Krümmer sich oberhalb derselben befinden .	5	abdecken
d Herdgrube werden vielmehr aus feucht Stübbe $ ähnlich wie eine Garherd $ schlagen und d Seitenwand nur zum Schutz gegen d Einwerfen d Beschickung oben mit eisern Platte abdecken $	Die Herdgrube wurde vielmehr aus feuchter Stübbe , ähnlich wie ein Garherd , geschlagen und die Seitenwände nur zum Schutz gegen das Einwerfen der Beschickung oben mit eisernen Platten abgedeckt .	29	abdecken
d schräg Oberfläche d Gesims werden aus Brett herstellen und mit Zinkblech abdecken $	Die schräge Oberfläche des Gesimses wird aus Brettern hergestellt und mit Zinkblech abgedeckt .	12	abdecken
Schutzdach ordnen man mindestens 60zm über d groß Breite d Gerüst $ sie dürfen niemals über d Rinnstein nach d Straßendamm hinüber treten $ müssen von alle frei Seite mit eine 60zm hoch geschließen Brüstung versehen und mit 3zm stark Brett derartig doppelt abdecken sein $ daß d ober Brett d Fuge d unter hoch bedecken $	Schutzdächer ordnet man mindestens 60zm über die größte Breite des Gerüstes , sie dürfen niemals über den Rinnstein nach dem Straßendamme hinüber treten , müssen von allen freien Seiten mit einer 60zm hohen geschlossenen Brüstung versehen und mit 3zm starken Brettern derartig doppelt abgedeckt sein , daß die obersten Bretter die Fugen der unteren höher bedecken .	55	abdecken
d Plattform d Gicht sein durch vier eisern Platte $ Toque $ abdecken $	Die Plattform der Gicht war durch vier eiserne Platten ( taques ) abgedeckt .	12	abdecken
auch hier sein d Uferzone $ welche bei tief Ebbe noch abdecken werden $ in jede Beziehung d reich und d Zahl d Art $ wie d Menge d Individuum nehmen in demselben Verhältnis ab $ als wir in d Tiefe dringen $ so daß bei tausend Fuß nur noch höchst selten Bewohner d Meeresboden finden werden $	Auch hier ist die Uferzone , welche bei tiefer Ebbe noch abgedeckt wird , in jeder Beziehung die reichste und die Zahl der Arten , wie die Menge der Individuen nimmt in demselben Verhältnisse ab , als wir in die Tiefe dringen , so daß bei tausend Fuß nur noch höchst seltene Bewohner des Meeresbodens gefunden werden .	11	abdecken
d Absatz über d Unterbaugesims werden entweder als Wasserschlag schräg ablaufen in Zement und Dachziegel oder mit eine Rolleschicht in Zementmörtel $ oder mit sandstein- resp. Schieferplatte abdecken $	Der Absatz über dem Unterbaugesims wird entweder als Wasserschlag schräg ablaufend in Cement und Dachziegeln oder mit einer Rollschicht in Cementmörtel , oder mit Sandstein- resp. Schieferplatten abgedeckt .	27	abdecken
über d Tiegel jede Abteilung befinden sich in d Decke d Ofen eine gemeinschaftlich Einsatzöffnung $ welche durch einzeln $ dicht neben einander liegend Deckel abdecken sein $	Ueber den Tiegeln jeder Abtheilung befindet sich in der Decke des Ofens eine gemeinschaftliche Einsatzöffnung , welche durch einzelne , dicht neben einander liegende Deckel abgedeckt ist .	9	abdecken
