sentence_lemma	sentence_token	index_lemma	index_token	lemma
sein früh Hauptwerk $ in d entlegen Kirche d Abbazia $ links vom Portal $ sein eine groß ehemalig Türlünette $ d $ mater misericordiae $ $ von jen reich deutsch Lieblichkeit d Antlitz $ die aus so manche venezianisch Marmorkopf d xiv. Jahrh. herausschauen $ stehen zwischen klein kniend Mönch $ die Gebärde und Bildniszug d tief Andacht ausdrücken $ Engel halten d Gewand d Jungfrau über sie ausspannen $ d übrig Raum sein ausfüllen durch Laubwerk mit d Halbfigur von Prophet $ d Kind sein als Relief in d kolossal Agraffe versetzen $ welche d Mantel d Maria zusammenhalten $ eine in diese architektonisch Stil und in diese Zeit vollkommen glücklich Kühnheit $ $ zu d Seite zwei Engelstatue $ dekorativ und fast roh wie d Lünette auch $ aber von demselben tief Ausdruck $	Sein frühstes Hauptwerk , in der entlegenen Kirche der Abbazia ( links vom Portal ) ist eine grosse ehemalige Thürlunette ; die „ Mater misericordiae “ , von jener reichen deutschen Lieblichkeit des Antlitzes , die aus so manchem venezianischen Marmorkopf des XIV. Jahrh. herausschaut , steht zwischen kleinern knieenden Mönchen , deren Geberden und Bildnisszüge die tiefste Andacht ausdrücken ; Engel halten das Gewand der Jungfrau über ihnen ausgespannt ; der übrige Raum ist ausgefüllt durch Laubwerk mit den Halbfiguren von Propheten ; das Kind ist als Relief in die colossale Agraffe versetzt , welche den Mantel der Maria zusammenhält — eine in diesem architektonischen Styl und in dieser Zeit vollkommen glückliche Kühnheit . — Zu den Seiten zwei Engelstatuen , decorativ und fast roh wie die Lunette auch , aber von demselben tiefen Ausdruck .	69	69	ausspannen
um letztere auch auf groß Entfernung zu sicher $ können man auch eine Rahmen $ in welchem parallel drehen ausspannen sein $ anstatt eine einzeln Drahtpaar in d Schußlinie bringen $	Um Letzteres auch auf grössere Entfernungen zu sichern , kann man auch einen Rahmen , in welchem parallele Drähte ausgespannt sind , anstatt eines einzelnen Drahtpaares in die Schusslinie bringen .	19	19	ausspannen
ich haben es schon ziemlich früh merken $ schon früh haben ich auf meine Pilgerfahrt im Traum immer d Regenschirm ausspannen und alle Pinzgauern $ die paarweise hinter ich drein wallen $ zurufen $ sie sollen auch ihr Parapluie auseinandertuen $ damit man trocken in d Orient kommen und nicht d Kleid zu wechseln brauchen $ wo wegen d herrschend Wassermangel d Wäsche so teuer sein $	Ich hatte es schon ziemlich früh gemerkt , schon früh hatte ich auf meiner Pilgerfahrt im Traume immer den Regenschirm ausgespannt und allen Pinzgauern , die paarweise hinter mir drein wallten , zugerufen , sie sollten auch ihre Parapluies auseinanderthun , damit man trocken in den Orient käme und nicht die Kleider zu wechseln brauche , wo wegen des herrschenden Wassermangels die Wäsche so theuer sey .	20	20	ausspannen
d Finger d Vorderfuß sein $ d Daumen ausnehmen $ lang als d ganz Körper diese Tier $ und zwischen dieselbe sein d zart Flatterhaut ausspannen $ $ 43. $ $	Die Finger der Vorderfüße sind , den Daumen ausgenommen , länger als der ganze Körper dieser Thiere ; und zwischen denselben ist die zarte Flatterhaut ausgespannt ( §. 43. ) .	25	25	ausspannen
zwischen sie sein auch eben so wie zwischen jene eine Ligamentum Interosseum ausspannen $ $ 393. 397. $ u. s. W $	Zwischen ihnen ist auch eben so wie zwischen jenen ein ligamentum interosseum ausgespannt ( §. 393. 397. ) u. s. w .	12	12	ausspannen
d Zapfen sitzen gleichsam auf eine etwas schmal Halse $ hinter welche d Querband im erst Wirbel $ $ 226. $ ausspannen sein $	Der Zapfen sitzt gleichsam auf einem etwas schmalern Halse , hinter welchem das Querband im ersten Wirbel ( §. 226. ) ausgespannt ist .	21	21	ausspannen
diese einfach Instrument bestehen aus eine einzig Saite $ welche über eine Resonanzboden ausspannen sein $ und unter welche sich eine verschiebbar Steg befinden $ mittels die man d Saite abteilen und so beliebig Bruchteil dieselbe durch Anschlagen in Schwingung versetzen können $	Dieses einfache Instrument besteht aus einer einzigen Saite , welche über einen Resonanzboden ausgespannt ist , und unter welcher sich ein verschiebbarer Steg befindet , mittelst dessen man die Saite abtheilen und so beliebige Bruchtheile derselben durch Anschlagen in Schwingungen versetzen kann .	13	13	ausspannen
bei d Fledermaus sein d an d Vorderfuß ungemein lang und dünne $ und zwischen sie sein eine zart Haut ausspannen $ die zum Flattern dienen $	Bey den Fledermäusen sind die an den Vorderfüßen ungemein lang und dünne ; und zwischen ihnen ist eine zarte Haut ausgespannt , die zum Flattern dient .	20	20	ausspannen
diese christlich $ nicht römisch $ bürger- Charakter müssen frei und selbständig $ d. h. d Adel und d Geistlichkeit gegenüber $ $ denn wo sein Freiheit ohne Nebenfreiheit $ und Selbstständigkeit eine Stand ohne Gegenselbstständigkeit Andere $ ausbilden sein $ ehe Columbus und Vasco Di Gama ihr Segel ausspannen dürfen $	Dieser christliche , nicht Römische , Bürger- Charakter mußte frei und selbstständig , d. h. dem Adel und der Geistlichkeit gegenüber , — denn wo ist Freiheit ohne Nebenfreiheit , und Selbstständigkeit eines Standes ohne Gegenselbstständigkeit Andrer — ausgebildet seyn , ehe Columbus und Vasco di Gama ihre Segel ausspannen durften .	49	49	ausspannen
da es untunlich sein $ sie in d bieten hineinnehmen $ legen sie d Verunglückte in d Netz $ die sich unter ihr Bote ausspannen lassen $	Da es unthunlich war , sie in das Bot hineinzunehmen , legten sie die Verunglückten in das Netz , das sich unter ihrem Bote ausspannen ließ .	24	24	ausspannen
sofort werden d Flügel ausspannen und d Fall in eine schief Ebene überleiten $ die in d Richtung nach d Pol hinführen $	Sofort wurden die Flügel ausgespannt und der Fall in eine schiefe Ebene übergeleitet , die in der Richtung nach dem Pol hinführte .	4	4	ausspannen
drinnen sein vier Hängematte ausspannen $ zwei Frau mit Säugling und zwei Mann beherbergen $	Drinnen waren vier Hängematten ausgespannt , zwei Frauen mit Säuglingen und zwei Männer beherbergend .	4	4	ausspannen
