sentence_lemma	sentence_token	index_lemma	index_token	lemma
an d nächst Brücke aber durchstechen eine Nationalgarde eins d Pferd und so werden d Herr Minister packen $	An der nächsten Brücke aber durchstach ein Nationalgarde eins der Pferde und so wurde der Herr Minister gepackt .	17	17	packen
ich legen an $ drücken ab $ $ ich haben fehlen $ d Tier springen mit glühend Auge auf ich zu $ ich sein verlieren $ haben ich nicht Besinnenheit genug $ d Jagdmesser herausreissen $ die ich d Tier $ als es mich packen wollen $ tief in d Gurgel stoßen $ so daß d Blut ich über Hand und Arm spritzen $	Ich legte an , drückte ab , — ich hatte gefehlt , das Thier sprang mit glühenden Augen auf mich zu , ich war verloren , hatte ich nicht Besonnenheit genug , das Jagdmesser herauszureißen , das ich dem Thier , als es mich packen wollte , tief in die Gurgel stieß , so daß das Blut mir über Hand und Arm spritzte .	44	44	packen
meine Bursche kommen herbei $ wir packen d Mensch $ und führen er nach Haus $ wo ich er in d Turm bei d Nebengebäude einsperren lassen $ und d nächst Morgen $ d Vorfall d Obrigkeit anzeigen wollen $	Meine Bursche kamen herbei , wir packten den Menschen , und führten ihn nach Hause , wo ich ihn in den Thurm bei dem Nebengebäude einsperren ließ , und den nächsten Morgen , den Vorfall der Obrigkeit anzeigen wollte .	6	6	packen
schließlich packen man auch er $ um er wegführen $	Schließlich packte man auch ihn , um ihn wegzuführen .	1	1	packen
zusammenschrecken d Rittersmann $ es packen er $ wie mit Kralle $ an $ und schütteln er $ wie Fieber $ Hinüber und herüber $	Zusammenschrak der Rittersmann ; Es packt' ihn , wie mit Krallen , an , Und schüttelt' ihn , wie Fieber , Hinüber und herüber .	5	5	packen
dann beginnen eine toll Jagen durch d Gezweig $ bis die eine d ander im buchstäblich Sinn d Wort beim Kragen packen haben und beide nun $ unfähig $ noch zu fliegen $ wirbeln zum Boden herabstürzen $	Dann beginnt ein tolles Jagen durch das Gezweig , bis der eine den andern im buchstäblichen Sinne des Worts beim Kragen gepackt hat und beide nun , unfähig , noch zu fliegen , wirbelnd zum Boden herabstürzen .	21	21	packen
er liegen dabei zu Bett $ plötzlich werfen er d Decke ab $ erheben sich $ wollen sie packen und hinwerfen $	Er lag dabei zu Bett , plötzlich warf er die Decke ab , erhob sich , wollte sie packen und hinwerfen .	18	18	packen
$ Hoiho $ $ schreien er und packen er noch fest $ $ wollen sehen $ wer es von wir beide am lang aushalten $ $	„ Hoiho ! ” schrie er und packte ihn noch fester ; „ wollen sehen , wer 's von uns Beiden am längsten aushält ! ”	7	7	packen
Hr erst Gang sein in d Scheune $ wo sie eine Arm voll Heu packen $ und gerade dasjenig $ worin d arm Daumesdick liegen und schlafen $	hr erster Gang war in die Scheune , wo sie einen Arm voll Heu packte , und gerade dasjenige , worin der arme Daumesdick lag und schlief .	14	14	packen
'bindet d Sack auf $ Herr Fuchs $ binden d Sack auf $ rufen er d Katze zu $ aber d Hund haben er schon packen und halten er fest $	‘Bindet den Sack auf , Herr Fuchs , bindet den Sack auf ,’ rief ihm die Katze zu , aber die Hunde hatten ihn schon gepackt und hielten ihn fest .	25	25	packen
so packen sie mit rasch Bissen d roh Eisen $ glätten es zu rundlich Draht $ welche aus d Schlangenmaul nehmen in tausend Krümmung gewunden werden $	So packen sie mit raschen Bissen das rohe Eisen , glätten es zu rundlichem Draht , welcher aus dem Schlangenmaule genommen in tausend Krümmungen gewunden wird .	1	1	packen
wenn du aus d Fenster kugeln $ so packen du d Schwerkraft mit ihr furchtbar Geierkralle $ ob du nun im tief Dusel alle Sinn liegen $ taub $ blind und gefühlsstumpf sein oder ob du deine Sinn alle hell beisammen haben $ sie packen dich im Verhältnis zu deine real Körpermasse und fragen sonst absolut nach gar nichts $	Wenn du aus dem Fenster kugelst , so packt dich die Schwerkraft mit ihren furchtbaren Geierkrallen , ob du nun im tiefsten Dusel aller Sinne liegst , taub , blind und gefühlsstumpf bist oder ob du deine Sinne alle hell beisammen hast , sie packt dich im Verhältnis zu deiner realen Körpermasse und fragt sonst absolut nach gar nichts .	8	8	packen
daß d abgenehmen Kopf d amerikanisch Schildkröte noch am ander Tag eine entgegen gehalten Stock fest mit d Kinnbacke packen haben $ haben ich aus eigen Erfahrung d englisch ober Gardner erzählen $	Daß der abgenommene Kopf der amerikanischen Schildkröte noch am andern Tage einen entgegen gehaltenen Stock fest mit den Kinnbacken gepackt habe , hat mir aus eigener Erfahrung der englische Obriste Gardner erzählt .	19	18	packen
ich sein immer vor er davonlaufen und haben immer d groß Angst haben $ er packen ich irgendwo unversehens $	Ich bin immer vor ihm davongelaufen und hab’ immer die grösste Angst gehabt , er packt mich irgendwo unversehens .	15	15	packen
es helfen sie aber nichts $ wenn d Habicht sie einmal packen haben $ müssen sie sterben $	Es hilft ihr aber Nichts — wenn der Habicht sie einmal gepackt hat , muß sie sterben .	11	11	packen
Merk d übrig Pferd d Wolf $ so gehen sie ohne weit auf er zu und hauen $ wenn er nicht weichen $ mit d Vorderhuf auf er los $ ja d Hengst packen er auch mit d Zahn $	Merken die übrigen Pferde den Wolf , so gehen sie ohne weiteres auf ihn zu und hauen , wenn er nicht weicht , mit den Vorderhufen auf ihn los , ja die Hengste packen ihn auch mit den Zähnen .	33	33	packen
und als ich kommen vor Heidelberg hinan $ da packen ich d Bettelvogt gleich hinten und vorne an $ d eine packen ich hinten $ die andere packen ich vorn $ $ Ei ihr verflucht Bettelvogt $ so lassen ich ungeschoren $ $	Und als ich kam vor Heidelberg hinan , Da packten mich die Bettelvögte gleich hinten und vornen an ; Der eine packt mich hinten , der andre packt mich vorn ; „ Ey ihr verfluchte Bettelvögt , so laßt mich ungeschorn . “	9	9	packen
er wollen weiter reden $ aber eine von d Himmelsbewohner haben er am Kragen packen und schieben er mit unwiderstehlich Gewalt hinaus $	Er wollte weiter reden , aber einer von den Himmelsbewohnern hatte ihn am Kragen gepackt und schob ihn mit unwiderstehlicher Gewalt hinaus .	14	14	packen
selbst wenn d Tier schon ziemlich satt sein $ fällen es über Kaninchen $ Taube oder Huhn wie rasen her $ packen sie im Genick und lassen sie nicht eher los $ als bis seine Beute sich nicht mehr rühren $	Selbst wenn das Thier schon ziemlich satt ist , fällt es über Kaninchen , Tauben oder Hühner wie rasend her , packt sie im Genick und läßt sie nicht eher los , als bis seine Beute sich nicht mehr rührt .	21	21	packen
ich schleichen ich hinein $ verstehen sich mit d gespannt Zwilling $ bind' d Kerl gleich Hand $ und Fuß $ zusammen $ als wie man_es mit eine Rehbock machen $ und packen er bei d Gurgel $	Jch schleich’ mich hinein — versteht sich mit dem g’spannten Zwilling — bind’ dem Kerl gleich Händ ’ und Füß ’ zusammen , als wie man’s mit einem Rehbock macht , und pack’ ihn bei der Gurgl .	32	32	packen
$ ich glauben immer $ jetzt müssen ich sterben $ und ich sein sonst couragiert $ ich gehen überall allein hin $ in d Keller und hinunter über d ganz Berg $ aber wenn so eine Tag sein $ an die ich die haben $ dann trauen ich mich nirgends hin $ ich glauben immer $ es stehen jemand hinter ich und packen ich plötzlich an $ $	„ Ich glaub’ immer , jetzt muss ich sterben , und ich bin sonst couragirt , ich geh’ überall allein hin , in den Keller und hinunter über den ganzen Berg , aber wenn so ein Tag ist , an dem ich das hab’ , dann trau’ ich mich nirgends hin , ich glaub’ immer , es steht jemand hinter mir und packt mich plötzlich an . “	62	62	packen
d erst Hund welche ankommen $ werden augenblicklich von d Känguru packen und zunächst mit d Vorderfuß $ dann aber mit d Hinterfuß unter d Wasser drücken und dort solange festhalten $ bis er ertränken sein $	Der erste Hund welcher ankommt , wird augenblicklich von dem Känguru gepackt und zunächst mit den Vorderfüßen , dann aber mit den Hinterfüßen unter das Wasser gedrückt und dort solange festgehalten , bis er ertränkt ist .	11	11	packen
sie Trank wohl leer aus $ wohl rein auf d Nagel $ da bringen d Meister eine ander Hagel $ hui Bube stellen ihr wieder ein $ packen hurtig an es $ es müssen nur sein $ Pot Velti zum schmeissen $ wie oft müssen ich_es heißen $ wie lang müssen ich da stehen $ schlagen alle zusammen $ es werden keine erlahmen $ jetzt werden_es erst recht angehen $	Sie trankens wohl leer aus , wohl rein auf den Nagel , Da brachte der Meister ein anderen Hagel ; Hui Buben stellt euch wieder ein , Packt hurtig an es , es muß nur sein , Potz Velti zum schmeißen , wie oft muß ichs heißen , Wie lang muß ich da stehn , Schlagt alle zußammen , 's wird keiner erlahmen , Jezt wirds erst recht angehn .	27	27	packen
