sentence_lemma	sentence_token	target_index	original_word
und klagen $ d Welt sein schief und jede Weg verbauen $ da er nur zwischendurch d gerade Weg nicht schauen $	Und klagt , die Welt sei schief und jeder Weg verbaut , Da er nur zwischendurch den graden Weg nicht schaut .	10	verbauen
wer diese natürlich Verhältnis umkehren $ zerstören d wissenschaftlich Grundlage $ verbauen sich d Weg $ und kommen auf falsch Theorie $ auf d alt d allegorisch und dogmatisch Auslegung $ und auf d neu von tief und flach Schriftsinn $ oder $ wenn er sich am Ende heraushelfen $ und in d glücklich Bahn d analytisch Regression von d Erscheinung d theologisch Interpretation zu ihr wissenschaftlich Prinzip einlenken $ verlieren er d Zeit mit jen unnütz Frage $ wovon man sonst d theologisch Schule widerhallen hören $ ob denn d heilig Schrift wirklich grammatisch und historisch auslegen sein oder nicht $ und dergleichen mehr $ was sich von selbst verstehen $	Wer dieses natürliche Verhältniß umkehrt , zerstört die wissenschaftliche Grundlage , verbauet sich den Weg , und kommt auf falsche Theorieen , auf die alte der allegorischen und dogmatischen Auslegung , und auf die neue von tieferem und flacherem Schriftsinn , oder , wenn er sich am Ende heraushilft , und in die glücklichere Bahn der analytischen Regression von der Erscheinung der theologischen Interpretation zu ihren wissenschaftlichen Principien einlenkt , verliert er die Zeit mit jenen unnützen Fragen , wovon man sonst die theologischen Schulen wiederhallen hörte , ob denn die heilige Schrift wirklich grammatisch und historisch auszulegen sei oder nicht , und dergleichen mehr , was sich von selbst versteht .	11	verbauen
$ Zesara werden kaum von eine Finger d kalt Hand d Schauder berühren $ bloß weil er in keine Zimmer sein $ sondern in d jung Natur $ die um d zagend Geist ihr Berg und Stern als Hüter stellen $ oder auch $ weil d weit dicht Körperwelt so nahe vor wir d Geisterwelt verdrängen und verbauen $ er fragen mit Entrüstung $ $ wer sein du $	— Zesara wurde kaum von einem Finger der kalten Hand des Schauders berührt , blos weil er in keinem Zimmer war , sondern in der jungen Natur , die um den zagenden Geist ihre Berge und Sterne als Hüter stellt , oder auch , weil die weite dichte Körperwelt so nahe vor uns die Geisterwelt verdrängt und verbauet ; er fragte mit Entrüstung : „ wer bist du ?	57	verbauen
d Revolution haben nichts respektieren $ nicht einmal d Grab $ alle sein verbauen $ alle vermauern werden $ berichten er uns $	Die Revolution hat Nichts respectirt , nicht einmal die Gräber – Alles ist verbaut , Alles vermauert worden , berichtet er uns .	13	verbauen
es sein wahr $ daß wer eine Winkel absolut kennen $ begreifen und schildern können $ die werden d sein $ die d Natur verstehen wie sie leben und sein $ aber d Zusammenhäng diese Winkel mit ihr $ dürfen er nicht aus d Auge verlieren und er verbauen $ mit je mehr Talent diese Vereinzelung ausführen werden $ je peinlich werden sie $ und Walter Scott peinigen ich $	Es ist wahr : daß wer einen Winkel absolut kennte , begriffe und schildern könnte , der würde der sein , der die Natur verstände wie sie lebt und ist ; aber den Zusammenhang dieses Winkels mit ihr , darf er nicht aus den Augen verlieren und ihn verbauen : mit je mehr Talent diese Vereinzelung ausgeführt wird , je peinlicher wird sie : und Walter Scott peinigt mich .	48	verbauen
und wie man nach groß Unruhe $ von Außen und innen $ eifersüchtig auf d endlich erringen Genuß d Erholung wachen $ so glauben man d Dasein nicht eng genug umschließen $ d Phantasie d Zugang nicht dicht genug verbauen zu können $	Und wie man nach großer Unruhe , von Außen und Jnnen , eifersüchtig auf den endlich errungenen Genuß der Erholung wacht , so glaubt man das Dasein nicht eng genug umschließen , der Phantasie die Zugänge nicht dicht genug verbauen zu können .	39	verbauen
d Mensch empfangen d Geist mit Gedanke und Wort $ es sein d Gemach $ in die er er herbergen $ d Ehrengewand $ die er er umlegen $ aber die müssen durchsichtig sein und knapp anliegen $ und d Raum einfach $ denn was er nicht ausfüllen $ die verbauen er $	Der Mensch empfängt den Geist mit Gedanken und Worten , es sind die Gemächer , in denen er ihn herbergt , die Ehrengewande , die er ihm umlegt , aber die müssen durchsichtig sein und knapp anliegen , und die Räume einfach , denn was er nicht ausfüllt , das verbaut ihn .	50	verbauen
wenn bei Grieche und Altdeutsche d religiös Empfindung sich verbauen $ so wohnen wir d Gottheit nicht mehr in Tempel $ von Menschenhand machen $	Wenn bei Griechen und Altdeutschen die religiösen Empfindungen sich verbauten , so wohnet uns die Gottheit nicht mehr in Tempeln , von Menschenhänden gemacht .	9	verbauen
er können also z. B. d Nachbar Licht und Aussicht verbauen $ L. 9 de s. p. U. 8. 2 $ $ er d Quellewasser abgraben $ L. 24 $ Ult. L. 26 De Damn. Inf. 39. 2 $ u. s. W $	Er kann also z. B. dem Nachbarn Licht und Aussicht verbauen ( L. 9 de S. P. U. 8. 2 ) , ihm das Quellwasser abgraben ( L. 24 §. ult. L. 26 de damn. inf. 39. 2 ) u. s. w .	10	verbauen
du weißen $ sagen er grollen $ daß ich d Welt nach alle ander Seite hin verbauen sein $ und jetzt auf d einzig Weg $ die ich noch gehen können $ wollen du mich verlassen $	Du weißt , sagte er grollend , daß mir die Welt nach allen andern Seiten hin verbaut ist , und jetzt auf dem einzigen Wege , den ich noch gehen kann , willst du mich verlassen ?	16	verbauen
wollen sie $ daß diese trüb Wildbach d Leidenschaft nicht groß werden $ nicht Land und Volk verwüsten $ verbauen sie in ihr Anfang $ d. h. durch eine tief $ wahrhaft christlich Erziehung $ bändigen diese Leidenschaft in d zart Kinderseele $	Wollet ihr , daß diese trüben Wildbäche der Leidenschaften nicht groß werden , nicht Land und Volk verwüsten , verbauet sie in ihren Anfängen , d. h. durch eine tiefe , wahrhaft christliche Erziehung , bändiget diese Leidenschaften in den zarten Kinderseelen .	19	verbauen
